time_s,x,y,z,vx,vy,vz,roll_deg,pitch_deg,yaw_deg,thrust,vbat,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z
0.000018923,-0.00630772,0.037594467,0.87457556,0.012351067,0.1041414,0.0390289,6.486222,2.213873,-0.90749055,0.000055917255,3.6369503,-4.75643,12.8311825,-0.63938135,0.00039232217,-0.0074631916,1.0112941
0.031861752,-0.0047791777,0.044739354,0.8775255,0.012351067,0.1041414,0.0390289,6.9205008,1.5178568,-0.869416,0.000055917255,3.6369503,-4.75643,12.8311825,-0.63938135,0.00039232217,-0.0074631916,1.0112941
0.048516713,-0.010575128,0.04471317,0.88340706,-0.008106204,0.045652617,0.041026343,6.0876923,1.1562911,-0.8457396,0.0002294153,3.6422288,-39.318195,3.64006,-0.15269049,-0.004291702,-0.009205623,0.9812867
0.09877066,-0.011564685,0.031218387,0.883223,-0.021247458,-0.01925157,0.03698249,3.065039,0.9753252,-0.8425523,0.00035915096,3.6475074,-84.688065,5.1693616,0.6225521,0.002324037,-0.008268682,0.96166897
0.14853139,-0.01673001,0.02808092,0.8817657,-0.036721844,-0.058406815,0.01802637,-1.276453,0.47434813,-0.84160185,0.0003368762,3.6422288,-76.83665,16.412376,-0.06410139,0.0018772634,-0.0019082226,0.98525447
0.19931671,-0.017916009,0.019741409,0.8803857,-0.046974033,-0.06173864,-0.008252933,-4.1830697,-0.5697117,-0.88747597,0.00006834027,3.626393,-31.57805,23.131174,-0.38861364,0.003782438,-0.0017928199,1.0040787
0.24899447,-0.021736464,0.010490445,0.88282335,-0.038529493,-0.040960316,-0.00832696,-4.961717,-1.5605125,-0.9701358,-0.0002590267,3.626393,-9.249021,6.4343863,-0.0300443,-0.005760214,-0.015233083,1.0104504
0.29812583,-0.028896114,0.009934261,0.8841344,-0.026398119,-0.0012944961,0.011887945,-5.7954698,-1.2419875,-0.9605624,0.00020460493,3.6316717,-31.497444,-23.875395,-0.90332973,0.00009462398,-0.01325366,0.9992464
0.3483453,-0.03161972,0.0059279725,0.88632363,-0.022791302,0.04640069,0.009628745,-7.519832,0.0529396,-0.84370476,0.00084561825,3.6316717,-31.939789,-18.984018,-0.7558782,-0.00019912834,-0.010337834,1.0056794
0.3986671,-0.030146888,0.002744189,0.8890697,-0.01677918,0.09222898,0.024615953,-8.305383,0.07263779,-0.86794364,0.0003160484,3.6369503,1.9926256,21.699627,0.28779644,-0.005088469,-0.009566881,1.0018175
0.44889763,-0.032893218,0.012195859,0.88867617,-0.014093579,0.16106284,0.018810948,-7.5550017,-1.129782,-1.029341,-0.00034119614,3.6422288,21.213785,18.20431,1.8083428,0.002211984,-0.002785576,0.97742695
0.51806533,-0.038914006,0.03048143,0.8874144,-0.019485785,0.22971879,-0.004622279,-6.432409,-1.4215766,-1.0370638,0.00010285462,3.6369503,26.47499,-12.6020155,1.4973208,0.00198852,-0.01730883,0.9953298
0.5500861,-0.0414701,0.041459426,0.8886306,-0.006595869,0.2907384,-0.012514726,-4.850799,-0.4002064,-0.8987614,0.00059034297,3.6369503,40.498135,-26.835497,0.818881,-0.0087007275,-0.010982301,0.9980021
0.5982256,-0.038897187,0.068486124,0.8857114,-0.0025479102,0.331062,-0.018942297,-2.432061,0.4795672,-0.79699063,0.000610419,3.6369503,57.180492,-1.8374907,0.67910445,-0.00030790668,-0.02301799,1.0060426
0.64860356,-0.033943057,0.0840667,0.8823545,-0.0010792396,0.37263966,-0.017824411,0.37670457,-0.0708052,-0.7830614,-0.00007104384,3.6316717,48.901943,15.007755,0.2542386,0.00498371,-0.020944597,0.99983287
0.6988269,-0.03939364,0.10114933,0.8801654,-0.0004909814,0.3662189,-0.031750575,2.4960265,-0.18646939,-0.795295,0.000007990538,3.6211145,30.297554,-15.7905035,0.4883723,0.0004896543,-0.025270617,1.0145727
0.7483246,-0.041935354,0.1282255,0.87785107,-0.0067656226,0.35685143,-0.024770716,3.6244965,1.0270838,-0.83045834,0.0006668805,3.6211145,24.682081,-22.815208,0.35061955,0.0007672755,-0.020710466,1.0285124
0.7978861,-0.040573675,0.14134836,0.87593526,-0.0109206615,0.32511547,-0.022261463,5.095896,1.5060656,-0.83931917,0.0003892453,3.6211145,33.371742,6.8440776,-0.2736323,-0.004627441,-0.008719325,1.0282414
0.848248,-0.04014531,0.15176453,0.87616605,-0.019718736,0.27994198,-0.009488612,6.3811936,1.0251436,-0.81268096,-0.000050893286,3.626393,11.268585,7.2241807,-0.2242811,-0.0014896566,-0.013037537,1.0292078
0.8978475,-0.044160813,0.16091527,0.87948763,-0.034576256,0.22393376,0.017983029,6.2246585,1.0702391,-0.8000904,0.0002039,3.6316717,-21.360199,-7.805257,0.6810441,-0.000107040825,-0.017480126,1.0115681
0.9482997,-0.047273472,0.16044258,0.88290685,-0.046058536,0.16942708,0.022278119,5.0903587,1.558086,-0.86754364,0.00038907427,3.6369503,-23.576889,-7.4378,-0.33288133,0.0018291057,-0.005290655,1.0035775
0.99778163,-0.04671959,0.15366572,0.8824912,-0.05859853,0.11297315,0.024880229,4.104194,1.6211046,-0.86407906,0.00032128842,3.6422288,-19.183443,6.8869276,-0.06645829,0.00261568,0.00054881215,0.98709196
1.0478989,-0.049641572,0.15429097,0.8828358,-0.067626044,0.055919185,0.018361773,2.8927135,1.163569,-0.81145024,0.0000057744182,3.6369503,-36.71446,13.1708145,-0.046689328,-0.001748459,-0.013254204,0.98272413
1.0981853,-0.05859482,0.14412034,0.8807385,-0.07480468,0.027116673,-0.0052682343,0.45959973,0.8369064,-0.7657877,-0.000103249295,3.6316717,-60.153023,1.5076717,1.4913582,0.0008476053,-0.01530923,0.9878144
1.1481719,-0.06174984,0.13405226,0.88038206,-0.09122779,-0.0020849856,-0.013150009,-2.4778519,0.9258514,-0.7460993,0.0002834469,3.626393,-53.054432,0.29628584,-0.45580187,-0.0007609234,-0.011638724,1.0078444
1.1979253,-0.070156835,0.13182218,0.8812026,-0.0994088,0.0048045143,-0.0045014075,-4.2530446,0.78663415,-0.75605404,0.00014087083,3.626393,-16.122375,0.77530545,0.13727644,0.0048361532,-0.0073965797,1.0120496
1.2480516,-0.075416006,0.12798595,0.88307816,-0.110768214,0.034208298,0.00021834158,-4.6967587,0.7325137,-0.7644523,0.00033950552,3.626393,-7.663191,3.989509,0.44972086,-0.00014071101,-0.014406239,1.0128833
1.297472,-0.08234614,0.12901197,0.8859018,-0.11909934,0.07006374,0.02344892,-5.368677,0.36364183,-0.78487813,0.00022608259,3.6316717,-21.018328,9.013587,0.6092855,0.005254861,-0.016713101,1.0015595
1.3480556,-0.09249659,0.13568398,0.88820547,-0.12039208,0.11474269,0.02173911,-6.3383794,-0.2457194,-0.8276089,0.000027755495,3.6369503,-9.290697,13.401095,0.9574986,0.004169919,-0.005379913,0.99453455
1.3974746,-0.10041198,0.1398509,0.89083856,-0.12571967,0.16376515,0.02924075,-5.9741,-0.8734783,-0.90439564,0.00009255706,3.6369503,23.019411,11.309611,0.6151368,-0.002910875,-0.020059166,0.9888339
1.4478283,-0.105179004,0.15508872,0.8877988,-0.11469318,0.21631047,0.02002818,-4.5190077,-1.1258451,-0.9139657,0.00005185338,3.6422288,27.312748,-4.124044,1.7554187,-0.00240426,-0.027249046,0.9784691
1.4974341,-0.11282982,0.17342955,0.8850221,-0.107707724,0.25664777,-0.020729326,-3.053585,-0.6575291,-0.85728526,0.00031558555,3.6316717,35.14898,-12.58931,-0.832993,0.0005826638,-0.006995633,1.000274
1.5472121,-0.114329524,0.1900136,0.88354063,-0.10387845,0.2942683,-0.024534674,-0.9948091,-0.14683254,-0.8671525,0.00038135157,3.626393,46.67465,-3.2292078,-0.9347777,-0.0002277572,-0.010427641,1.0097511
1.5971823,-0.11911282,0.2095092,0.8780374,-0.09175249,0.30922925,-0.043218344,1.6257125,-0.47619125,-0.89934206,-0.0001304824,3.6211145,55.680923,10.13739,-1.4581085,0.0032748713,-0.011153579,1.0119256
1.6473099,-0.12448579,0.22294757,0.8761696,-0.089036226,0.29259354,-0.03634543,4.0032964,-0.6831388,-0.95028013,-0.00016217334,3.615836,33.187122,-5.599241,-1.1645238,0.013242727,-0.02429832,1.0279074
1.697705,-0.13085414,0.23776352,0.877707,-0.093370885,0.2666092,-0.011303416,4.824997,0.23889911,-1.0565066,0.0004751704,3.615836,-1.0992395,-23.91803,-0.4748563,0.0019142517,-0.014953655,1.0311815
1.7474415,-0.1306102,0.25015283,0.87617916,-0.09096116,0.2311823,0.004214056,4.738892,1.0331327,-1.1479654,0.00054806,3.626393,5.169544,-4.340896,0.28997454,0.00039643561,-0.0127873225,1.0326098
1.797405,-0.1359513,0.25308412,0.87956476,-0.09271467,0.18552993,0.02428909,5.547948,0.7232898,-1.1465853,-0.00010550728,3.626393,23.438953,9.215063,-0.34350082,0.002303474,-0.0070743123,1.0117822
1.8470008,-0.14325613,0.26353857,0.88197684,-0.11064667,0.1376219,0.030681197,6.4914894,0.46514755,-1.1283222,0.00003836888,3.6369503,7.540243,-1.4290081,0.77959985,-0.0065970714,-0.012138512,0.99640006
