time_s,x,y,z,vx,vy,vz,roll_deg,pitch_deg,yaw_deg,thrust,vbat,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z
0.000026441,-0.02815382,0.013770639,0.8899358,-0.024504015,-0.22117627,-0.0016896605,-1.391179,-3.728513,-0.4203653,0.00019919442,3.3096774,-29.573399,-14.19505,-1.8426938,0.004260285,0.005397448,1.0219284
0.03162832,-0.028648458,-0.009546581,0.8920182,-0.024504015,-0.22117627,-0.0016896605,-3.0731266,-3.5538487,-0.5278613,0.00019919442,3.3096774,-29.573399,-14.19505,-1.8426938,0.004260285,0.005397448,1.0219284
0.04883689,-0.030028049,-0.014604772,0.89136213,0.010003786,-0.20055439,0.0023457324,-4.9774885,-2.521308,-0.57505196,0.00037742764,3.3202348,-52.04063,-27.954739,-1.5729773,-0.00197183,-0.003873613,1.0132315
0.0987777,-0.022875354,-0.029537655,0.89309055,0.037016556,-0.1566985,0.012836895,-7.435871,-1.9172101,-0.61686444,0.00025424702,3.3202348,-40.40509,-1.0184973,-0.95764476,0.0011926311,0.0029004954,1.0126023
0.14920804,-0.018183053,-0.040632505,0.8958768,0.05662099,-0.10566727,0.023918305,-7.707511,-1.8448517,-0.6170184,0.00009498102,3.3255134,25.36653,-5.4768095,0.13412721,0.002953788,-0.006311833,1.0078852
0.19823375,-0.01519032,-0.04145537,0.90227264,0.077219546,-0.045217022,0.04824241,-5.5597987,-1.4019524,-0.58267665,0.00034556628,3.330792,49.459038,-10.416076,0.32525256,-0.0015858999,-0.015552164,0.9765312
0.24821252,-0.0077044377,-0.033928026,0.9013751,0.09074126,0.015549919,0.025454318,-3.2216175,-1.377949,-0.5721103,0.0003371921,3.3413491,46.572147,7.189553,0.56491137,-0.005442822,-0.014143787,0.9750133
0.29826224,-0.00020834932,-0.023031257,0.89902484,0.10436386,0.05574531,-0.0009781942,-0.4370337,-2.2671242,-0.5507876,0.00012354163,3.330792,71.59041,24.013556,2.0586963,-0.0046379757,-0.01453597,0.9820291
0.34837177,0.003394211,-0.010654446,0.8960046,0.12352615,0.06175407,-0.020619556,4.1485853,-3.3811722,-0.414781,0.000013790161,3.3255134,102.24114,17.096003,2.9952075,0.000020218393,-0.022437362,1.0028646
0.39810002,0.009757762,-0.004204186,0.8933675,0.1463174,0.053991593,-0.03034634,8.903377,-3.6652102,-0.19314368,0.00044460723,3.3096774,83.51041,0.13564448,4.6405478,-0.005870164,-0.0152042005,1.0172788
