time_s,x,y,z,vx,vy,vz,roll_deg,pitch_deg,yaw_deg,thrust,vbat,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z
0.000013113,0.009784061,0.05981674,0.8886234,-0.049772773,0.022808295,-0.0032248185,6.12375,1.2811053,-0.7585932,-0.00013703207,3.768915,-15.251944,-1.9789175,0.49339494,-0.0037138152,0.00003872398,1.0088046
0.01553028,0.0055997046,0.060557142,0.8882156,-0.06436665,-0.032442465,0.0106381895,5.6996617,0.48675227,-0.6821557,0.00029288,3.768915,-15.251944,-1.9789175,0.49339494,-0.0037138152,0.00003872398,1.0088046
0.039161805,-0.0017266962,0.05793935,0.8901759,-0.06255507,-0.078403436,0.012329937,4.8925076,0.10981998,-0.62389505,0.00095470453,3.7741935,-15.251944,-1.9789175,0.49339494,-0.0037138152,0.00003872398,1.0088046
0.05526269,-0.0011090135,0.04560583,0.89028084,-0.06255507,-0.078403436,0.012329937,4.3950653,0.072264895,-0.58243275,0.00095470453,3.7741935,25.601295,17.90154,2.055002,-0.012723342,-0.00039482294,1.0356728
0.09156992,-0.0071264473,0.03976328,0.8896059,-0.057395637,-0.13841842,0.015557525,7.4632287,-1.6876848,-0.25039476,0.00004999051,3.768915,120.60808,69.14842,3.0812635,-0.0076932963,-0.004357684,1.0186661
0.14170492,-0.008451212,0.041837443,0.89598095,-0.049178727,-0.17849305,0.045293137,13.307419,-5.420943,0.58100426,-0.00066625787,3.7741935,81.761826,75.51827,4.1411877,0.0037247029,0.007256127,1.0025141
0.19085689,-0.013444096,0.035793267,0.9023174,-0.0034912736,-0.27892098,0.051339563,15.617427,-8.070391,1.5026994,-0.000376243,3.768915,-27.30365,15.239663,5.7513757,-0.005077935,0.0014905782,0.9894699
0.2408865,-0.011762428,0.010144994,0.90880376,0.05998318,-0.4118881,0.046988092,13.430079,-7.8387284,1.70826,0.0006917249,3.779472,-60.679142,-24.647692,3.3743582,-0.0104752835,0.01092897,0.99920684
0.2914672,-0.001651502,-0.026197607,0.9123595,0.12823015,-0.5287527,0.037980143,10.850046,-6.721656,1.587188,0.0007869159,3.779472,-32.058712,-10.690195,0.08637981,-0.012531056,0.0374908,0.9777671
0.34126613,0.0091951545,-0.057587188,0.9095486,0.19273707,-0.6264325,0.0022288088,9.571776,-6.8428273,1.5260739,0.00006624901,3.7847507,-27.221169,19.311012,-4.563574,-0.010811805,0.013364042,0.97351277
0.39107507,0.018737283,-0.09326768,0.9034097,0.2537882,-0.7159055,-0.04467646,7.3876996,-7.472055,1.4096289,-0.000117324154,3.768915,-81.26313,-8.219274,-6.2200747,-0.014179058,0.033902682,0.99153507
0.44099814,0.03520311,-0.13117814,0.8959744,0.3135147,-0.7702895,-0.07728207,2.3245246,-6.516551,0.99276197,0.0005007069,3.7530792,-122.07082,-42.832035,-6.8819857,-0.015606596,0.02607804,1.0296768
0.49094495,0.065250605,-0.18184173,0.8867417,0.385581,-0.80994916,-0.09317748,-3.3441727,-4.483624,0.65344584,0.0006558266,3.742522,-77.60231,-36.63375,-6.877611,-0.01612273,0.030617857,1.0779599
0.5408647,0.08159207,-0.21858364,0.8806656,0.42996827,-0.78054696,-0.07436434,-6.0639563,-2.911915,0.49552202,0.00053160253,3.742522,-15.050275,-20.304098,-5.818072,-0.019845128,0.028752511,1.0814756
0.59155834,0.10688195,-0.25816822,0.88083017,0.45491868,-0.7212016,-0.025920356,-6.6488066,-2.3324075,0.23741248,0.00039040236,3.7478006,-13.914787,-0.64879507,-5.666456,-0.02047439,0.020941371,1.0712146
0.6410896,0.13314742,-0.29258984,0.8801044,0.4797024,-0.6580629,0.0019087252,-7.8610163,-2.3191595,-0.012927138,0.00026165266,3.7636364,-36.10658,-7.8768635,-3.6518583,-0.021985741,0.013970892,1.0536776
0.6922625,0.15055846,-0.31384295,0.8818401,0.4937085,-0.58017224,0.026128836,-9.603044,-1.7929318,-0.11307943,0.00071131164,3.7636364,-18.859089,-8.055755,-3.465134,-0.024998926,0.021543378,1.0414902
0.7406911,0.17588857,-0.3425683,0.8862063,0.51022714,-0.50056314,0.050331432,-9.728318,-1.5927774,-0.18598795,0.0006966178,3.779472,24.235577,9.033151,-0.236747,-0.022454875,-0.00085582805,1.0180944
0.7909922,0.20173214,-0.35859162,0.8940637,0.5188548,-0.41216993,0.07760421,-7.8799973,-2.4068854,-0.3322355,0.00049576134,3.779472,47.507736,29.242695,1.7683709,-0.02563088,-0.0017675201,0.9827217
0.840845,0.22819771,-0.3644808,0.89706105,0.54121494,-0.3327773,0.06520721,-5.630501,-3.8878527,-0.4106081,0.00019624083,3.7953079,40.312634,28.432281,1.6880126,-0.025773045,-0.0023259055,0.9677428
0.89152205,0.2491335,-0.36868864,0.89783376,0.5680169,-0.2657196,0.03787176,-3.9217536,-4.814582,-0.34465843,0.00039069282,3.7847507,32.0127,7.1484866,4.137364,-0.027525684,-0.009423269,0.95586526
0.9413416,0.27660823,-0.37233138,0.8928394,0.6013586,-0.22518627,-0.011576496,-2.2554734,-4.9661946,-0.13700089,0.0006526923,3.7741935,37.622234,-0.11306845,6.0401206,-0.023083068,0.001603698,0.9903016
