time_s,x,y,z,vx,vy,vz,roll_deg,pitch_deg,yaw_deg,thrust,vbat,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z
0.000012264,-0.0019636322,-0.024790471,0.88462496,-0.102447875,0.12771028,-0.028158735,-3.9114332,-0.10847635,-0.5437021,0.00031177473,3.6052787,37.650986,10.071533,-0.128779,0.0008912918,-0.0028195954,1.0121045
0.032181352,-0.007526087,-0.010236517,0.8835021,-0.102447875,0.12771028,-0.028158735,-2.0528183,-0.69482744,-0.5699277,0.00031177473,3.6052787,37.650986,10.071533,-0.128779,0.0008912918,-0.0028195954,1.0121045
0.045208156,-0.010568304,0.0015636751,0.87973434,-0.09214071,0.1535055,-0.034832772,-0.30247036,-1.3055788,-0.5934884,0.000030205758,3.6052787,17.88357,12.239967,-1.2276654,0.007844673,-0.021312783,1.0284461
0.095057994,-0.019924425,0.013105897,0.87647456,-0.08575032,0.17501113,-0.032478597,-0.62529683,-1.5143325,-0.65086627,0.00023840694,3.5947216,-30.165928,-3.379841,-0.53306633,0.0043675154,-0.019986825,1.0593181
0.14537142,-0.022172382,0.020684091,0.8770778,-0.074852355,0.17173289,-0.0042051207,-2.0075755,-1.4191304,-0.63257796,0.00044703486,3.589443,-14.049219,1.824996,0.61095476,-0.0031925766,-0.00917728,1.0638013
0.19537759,-0.023110708,0.027935501,0.87890273,-0.06009816,0.18363948,0.027815409,-1.7839211,-1.7957321,-0.6226611,0.00009945074,3.6052787,24.20607,6.201247,0.67300874,0.0040847883,-0.017904423,1.0383576
0.24560666,-0.02850656,0.039624017,0.8818958,-0.042073887,0.19810006,0.053476617,-0.37677845,-1.6086746,-0.5967917,0.00020067251,3.6052787,23.83477,-15.086779,-0.2647172,-0.0032102028,-0.01054644,1.025903
0.2956518,-0.02882465,0.05509634,0.884125,-0.028762748,0.21017906,0.062200595,0.12788346,-0.8394049,-0.5888093,0.00047914378,3.615836,-6.034571,-10.186532,0.16807611,0.00047680095,-0.021370826,1.0046786
0.3450745,-0.028889844,0.06649292,0.88615316,-0.01940682,0.21745907,0.062477123,-0.30963218,-0.5876595,-0.6178668,0.0002719542,3.6105573,-5.144777,4.315735,-0.66732246,-0.009300531,-0.016016558,1.0116305
0.3953726,-0.028472118,0.08616473,0.89162683,-0.012724235,0.21756813,0.076065086,0.094930105,-0.7709392,-0.62259036,0.00008593987,3.6105573,27.101414,3.9347754,0.68683016,0.0014156015,-0.016909327,1.0101154
0.44511506,-0.030097352,0.09148507,0.8973927,-0.008194128,0.22788529,0.0872872,1.9539875,-0.6827679,-0.5902494,0.00008436898,3.615836,41.53732,-8.999919,0.29776216,-0.006204236,-0.014313943,0.9874811
0.4955864,-0.02602372,0.111052,0.9017966,-0.00041126864,0.21587458,0.08346189,3.5233116,0.11200301,-0.64382637,0.00033758636,3.6211145,16.013475,-22.154701,-0.10064827,-0.007839459,-0.022640135,0.97937036
0.5448494,-0.027051263,0.12276299,0.9049367,0.0012153762,0.19074693,0.06962868,3.4769468,1.2501931,-0.722744,0.00050124637,3.615836,-18.625795,-20.998487,0.030713413,-0.006527729,-0.027208036,0.9696465
0.5950651,-0.021435903,0.1261872,0.9087505,-0.001145927,0.16072422,0.057937678,2.4943779,1.689559,-0.7414414,0.00021282899,3.615836,-16.660643,-1.1422335,0.3727696,-0.002045323,-0.004537137,0.9739937
0.64515424,-0.02490277,0.13083662,0.9103114,-0.01469485,0.13709849,0.042041376,2.0434074,1.6197504,-0.73936695,-0.000008736085,3.6105573,0.9797266,-0.30633172,0.55947936,-0.0005312448,-0.007813896,0.9828173
0.69481444,-0.021622518,0.13455147,0.90864146,-0.029156134,0.115575336,0.018458933,2.2571847,1.9424199,-0.73936796,0.00021151206,3.6105573,-2.7695026,-11.578553,0.85635036,-0.0022875953,-0.010536631,1.0017698
0.7474016,-0.02208864,0.13902201,0.9126007,-0.040358394,0.09758802,0.031130554,1.3876692,2.6337516,-0.7337353,0.00033978946,3.6000001,-30.249323,-11.701287,-0.41471946,-0.00803031,-0.01453992,1.0100772
0.79471844,-0.02010226,0.13755022,0.91735995,-0.054512136,0.07649986,0.046224836,-0.22613053,3.0027072,-0.72669965,0.00024713413,3.6105573,-30.1579,-3.238415,0.93163466,-0.00078102405,-0.009277887,1.0089619
0.8453286,-0.025110552,0.13009396,0.91838753,-0.07808695,0.06630431,0.04332061,-1.337914,3.0360746,-0.6825309,0.0001469535,3.6105573,-19.714788,1.7921904,0.8309135,0.0011073877,0.00419882,0.9980412
0.8950733,-0.03221547,0.131248,0.92003244,-0.10857805,0.06941709,0.039640937,-2.3975036,3.0257719,-0.64253277,0.00033709864,3.615836,-24.597729,3.1337914,1.0844876,0.0025510627,-0.0017227569,1.0011996
0.94549096,-0.03398747,0.12968723,0.9226997,-0.1323274,0.08352177,0.040821694,-3.7137516,2.5579722,-0.63766354,0.00020569979,3.6052787,-26.649193,11.4358225,0.54494727,-0.0011535796,0.0050926865,0.99771696
0.99454576,-0.042470176,0.13141926,0.9235311,-0.15248092,0.10738562,0.033569753,-4.874606,1.7679492,-0.6717587,0.0000631783,3.6105573,-16.149084,17.75058,-0.043153837,0.0022517839,-0.009338627,1.0083002
1.0445079,-0.05455203,0.1349302,0.92477244,-0.17433773,0.14118955,0.03117167,-5.0081663,1.0523251,-0.719817,0.0002186346,3.6052787,13.50573,11.332377,0.518936,0.007606994,-0.0073180697,1.0131145
1.0947764,-0.065798834,0.15459372,0.9289325,-0.18368722,0.18848611,0.045723733,-3.9143674,0.46605554,-0.7659832,0.00024073604,3.6105573,27.09756,10.719197,-0.35972914,0.0015513512,-0.01877938,0.9996752
1.1451353,-0.073851004,0.17064297,0.9313898,-0.19059113,0.24252494,0.0445292,-2.8164964,-0.20841254,-0.785316,0.00023165143,3.6105573,22.569078,17.704533,-0.078499064,0.0028708652,-0.022591557,0.9988793
1.1947391,-0.08117786,0.18665741,0.9303529,-0.1859962,0.26950964,0.028862169,-1.4546723,-1.0548338,-0.7853491,0.000008771339,3.6105573,36.916584,15.869444,-0.17135723,0.0051104417,-0.022377254,1.0058355
1.2448344,-0.09598116,0.20562501,0.9304157,-0.17882124,0.28309467,0.022610351,0.584263,-1.454938,-0.79917294,0.00006374462,3.6052787,43.55688,1.9240501,-0.1821427,0.00084910745,-0.019174349,1.0126956
1.2944908,-0.10074767,0.22222106,0.9298885,-0.1673314,0.28641948,0.017591126,2.5945508,-1.3936574,-0.763116,0.00022316659,3.6000001,33.755272,0.3111003,0.33367854,-0.0031911049,-0.018323308,1.020131
1.3453962,-0.10868393,0.23494424,0.93011606,-0.15458742,0.2745106,0.019900987,3.857138,-1.2446338,-0.7377116,0.0001950212,3.6000001,17.210632,-0.9668519,0.5607446,0.003227339,-0.012379546,1.0249708
1.3950999,-0.11023875,0.24918011,0.93368685,-0.14004004,0.24248491,0.039657857,4.405705,-1.138758,-0.6969108,0.00013005007,3.6052787,9.292214,-5.8785753,-0.035631843,-0.00010401481,-0.009814428,1.0219613
1.4447179,-0.11794042,0.25937012,0.9371852,-0.12561084,0.19470774,0.05416046,4.8214245,-0.80828583,-0.6980335,0.000069693706,3.6052787,4.8240232,-7.995033,0.3001156,0.004726363,-0.015108088,1.0090661
1.4942484,-0.11903123,0.26643226,0.941063,-0.12039984,0.1623335,0.06337385,4.9103236,-0.22752312,-0.7290338,0.00027886961,3.615836,1.3748926,-14.998711,-0.81590587,-0.005460208,-0.013530637,1.0044509
1.5446754,-0.12337071,0.27154285,0.94326365,-0.112639986,0.11801478,0.058673993,4.706199,0.27905107,-0.78662056,0.00019239387,3.6105573,-8.137631,-8.207564,-0.64667475,0.000028670953,-0.0153802475,1.0001096
1.5941979,-0.12603012,0.27047983,0.9488356,-0.11159632,0.07409793,0.067129016,3.9311173,0.77998424,-0.8269563,0.000091565744,3.6105573,-22.330458,-13.7036495,-0.5659361,-0.00008481408,-0.008027714,0.98708993
1.6448708,-0.13083403,0.26494986,0.9493737,-0.11306732,0.029806485,0.0484406,2.4800406,1.5216272,-0.867986,0.00017944393,3.6105573,-35.114044,-16.15595,0.90772,0.0016433251,-0.010288217,0.9867218
1.6944826,-0.1368022,0.24632451,0.9520927,-0.12241171,-0.013402546,0.042580284,0.60247785,2.1731193,-0.85272586,0.0002372809,3.6105573,-42.621574,-5.9079866,0.7999046,0.0014262289,-0.0064652283,0.9874864
1.7443832,-0.13771223,0.23418921,0.9541247,-0.1360552,-0.029856943,0.036520015,-1.9966072,2.3369327,-0.79840875,0.00008093357,3.6052787,-59.17966,-1.967831,1.3811936,0.000898475,-0.0096850805,1.003031
1.7942668,-0.14479786,0.2310604,0.9567912,-0.15156592,-0.036804385,0.03799911,-4.7987237,2.4832149,-0.69313353,0.00013203164,3.6052787,-45.589336,-3.5035074,1.486556,-0.0022621246,-0.003064896,0.99951565
1.8445364,-0.14995313,0.21618114,0.95794636,-0.17521392,0.0078527685,0.03255573,-6.3067856,2.6432195,-0.5914519,0.00032790852,3.6052787,-17.124367,-1.252504,2.4275396,0.0021662978,0.003037082,1.0001502
1.89483,-0.16015372,0.22251712,0.9629634,-0.19127549,0.043305445,0.044752754,-6.8700624,2.3857658,-0.53418344,0.00012962814,3.6052787,-3.4625647,9.229193,0.7194763,0.0072417436,-0.0055969893,0.99977136
1.9443629,-0.17246395,0.22628106,0.9689654,-0.21533512,0.101242244,0.057742525,-6.521498,1.8977332,-0.5353942,0.00015566422,3.6052787,17.104246,10.375582,0.94602364,0.0024153532,-0.010328142,0.9908189
1.993882,-0.18478017,0.24031742,0.97094154,-0.23311113,0.15431885,0.048502944,-5.3042803,1.4262422,-0.5501506,0.00028068235,3.615836,30.673,8.401214,0.04753243,-0.005885292,-0.0139377145,0.989355
2.0442212,-0.19053689,0.24581538,0.9690102,-0.23925959,0.21123046,0.022702657,-3.735657,0.9269116,-0.5642291,0.00014609401,3.6105573,29.264677,9.075843,1.290756,0.0048794677,-0.020514926,0.99322003
2.0939174,-0.19972888,0.26807103,0.96625274,-0.24504286,0.24990015,0.00079602917,-2.2148516,0.5415888,-0.55368334,0.00017871479,3.6052787,38.089905,5.13908,-0.21912993,0.0073203454,-0.014278439,1.0118563
2.143632,-0.21078673,0.2851021,0.9637145,-0.24677609,0.27524394,-0.00922426,0.13345821,0.6043928,-0.534042,0.0003323742,3.5947216,54.806652,-2.1512268,0.0900752,0.005372507,-0.010168296,1.0212718
2.2385821,-0.21859634,0.29948038,0.95958066,-0.25015146,0.28849962,-0.016069122,2.8047452,0.46890655,-0.55118215,0.00032723864,3.5947216,48.86463,12.514519,-0.008299667,0.0046038134,-0.020818686,1.0457262
2.244217,-0.2287364,0.32137516,0.95859563,-0.24618293,0.2709686,-0.0009362671,4.811982,-0.44754606,-0.48396355,-0.00017195736,3.589443,32.458424,18.748402,-0.54532826,0.01089066,-0.015317441,1.0408765
2.29418,-0.23986824,0.33294293,0.96182233,-0.24477915,0.23153538,0.027646791,5.888526,-0.8457948,-0.45059738,-0.000009402322,3.6000001,14.229481,-0.619718,-0.9082225,0.0093233995,-0.00903575,1.0468137
2.3440099,-0.25154582,0.33364898,0.9642199,-0.23249874,0.18064061,0.04695805,6.5610743,-0.26811966,-0.5255139,0.0002884243,3.6000001,13.007656,-17.285017,0.5881244,0.007761088,-0.010152895,1.0407536
2.3938298,-0.25544992,0.34505454,0.96786374,-0.22942626,0.118706524,0.065766364,7.013549,0.41781285,-0.6009436,0.0005541623,3.6052787,0.76164424,-4.9900613,-0.41974032,0.008036751,-0.011705178,1.0213534
2.4440987,-0.26559538,0.3468655,0.97751474,-0.22386731,0.06590101,0.099706426,6.5368533,0.1611675,-0.5802938,0.00003680359,3.6052787,-16.176582,13.264741,0.06873265,0.00056111807,0.0073068026,0.9898706
2.4941392,-0.27848744,0.34241638,0.9828729,-0.22183143,0.00299192,0.0964572,5.932048,-0.38703755,-0.50838816,-0.00016315737,3.6211145,-14.7744665,7.623172,0.9631408,-0.0024921438,0.008860967,0.9711472
2.543858,-0.28109407,0.33449185,0.9853654,-0.22348428,-0.053000107,0.07428632,5.090214,-0.75839436,-0.50725126,-0.000031059248,3.615836,-23.45151,5.0433145,-0.37872207,0.0017195047,0.005957587,0.9627606
2.594058,-0.29244778,0.32827392,0.9857713,-0.21060598,-0.10359623,0.04475028,3.3132954,-0.57156247,-0.5134144,-0.00003397871,3.6105573,-46.83373,-9.413927,-0.3402091,0.0036074747,-0.00301037,0.9829296
2.6433563,-0.300545,0.30902112,0.98821783,-0.20657212,-0.1362551,0.034560263,0.88169575,0.2431405,-0.53122896,0.00036891535,3.6000001,-52.348724,-19.102139,0.60599554,0.0054483595,-0.003996605,0.9948997
2.6934888,-0.30247954,0.29813653,0.99005276,-0.19778597,-0.1616474,0.030555189,-1.277543,0.7075271,-0.55344206,0.00018171979,3.6052787,-38.42096,-6.1272316,-0.59504646,-0.0007069969,-0.00022097968,1.0029982
2.7435048,-0.3083111,0.2765141,0.99144435,-0.19652341,-0.1661625,0.030420268,-3.0740905,0.9098168,-0.5280622,0.0000327508,3.6052787,-35.556946,-9.635842,1.370853,-0.0014802952,-0.0022404755,1.0154554
