# meta:run_trajectory=hover
# meta:run_mode=0
# meta:run_kt=0.008
# meta:run_speed=1.0
# meta:run_reps=1
# meta:run_lap_time_s=15.0000
# meta:run_eval_mode=hlc_e
# meta:indi_kr=1050.0
# meta:indi_kw=87.0
# meta:indi_kr_z=1050.0
# meta:indi_kw_z=87.0
# meta:indi_fc_bw=80.0
# meta:indi_mass=0.0364
# meta:indi_kt1=1.4641e-10
# meta:indi_kt2=1.4872e-10
# meta:indi_kt3=1.4724e-10
# meta:indi_kt4=1.6485e-10
# meta:yaml_stabilizer_controller=2
# meta:yaml_ctrl_mode=0
# meta:takeoff_stabilizer_controller=6
# meta:takeoff_ctrl_mode=0
# meta:trajectory_stabilizer_controller=2
# meta:trajectory_ctrl_mode=0
# meta:landing_stabilizer_controller=6
# meta:landing_ctrl_mode=0
time_s,x,y,z,vx,vy,vz,roll_deg,pitch_deg,yaw_deg,thrust,vbat,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,rpm_m1,rpm_m2,rpm_m3,rpm_m4,tau_x,tau_y,tau_z,alp_x,alp_y,alp_z,alp_raw_x,alp_raw_y,alp_raw_z
0.0003,-0.06556780636310577,0.02404494397342205,0.03303030505776405,0.02254321239888668,0.0021149797830730677,0.0016077591571956873,-0.39006179571151733,0.971413791179657,0.019678054377436638,0.0,4.1331377029418945,0.12503258883953094,-0.1198219433426857,-0.09738899767398834,0.024211855605244637,-0.006779224146157503,1.000307321548462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2859412431716919,0.524796187877655,1.0606852769851685,0.8067023754119873,-0.7515335083007812,0.5259469151496887
0.0302,-0.06556954979896545,0.024042461067438126,0.03303103148937225,0.02238570526242256,0.0020975512452423573,0.0017293302807956934,-0.39006179571151733,0.971413791179657,0.019678054377436638,0.0,4.1331377029418945,0.12503258883953094,-0.1198219433426857,-0.09738899767398834,0.024211855605244637,-0.006779224146157503,1.000307321548462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0811418890953064,-0.8446468710899353,1.436367154121399,0.22637784481048584,-0.25076407194137573,-1.1178253889083862
0.0393,-0.06557225435972214,0.024041086435317993,0.03303291276097298,0.022164255380630493,0.0020759222097694874,0.0019150989828631282,-0.39006179571151733,0.971413791179657,0.019678054377436638,0.0,4.1331377029418945,0.12503258883953094,-0.1198219433426857,-0.09738899767398834,0.024211855605244637,-0.006779224146157503,1.000307321548462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9241408109664917,-0.03308211266994476,-1.5523414611816406,0.2992679178714752,0.44750046730041504,1.599299669265747
0.0452,-0.06557527929544449,0.024039745330810547,0.033034712076187134,0.022034186869859695,0.001959875226020813,0.001911525847390294,-0.39006179571151733,0.971413791179657,0.019678054377436638,0.0,4.1331377029418945,0.12503258883953094,-0.1198219433426857,-0.09738899767398834,0.024211855605244637,-0.006779224146157503,1.000307321548462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1495143473148346,-1.5745482444763184,-0.9957051277160645,1.259977102279663,0.15319626033306122,0.47778451442718506
0.0492,-0.06557758897542953,0.024038519710302353,0.03303562104701996,0.021985864266753197,0.0019583317916840315,0.0019262217683717608,-0.39006179571151733,0.971413791179657,0.019678054377436638,0.0,4.1331377029418945,0.12503258883953094,-0.1198219433426857,-0.09738899767398834,0.024211855605244637,-0.006779224146157503,1.000307321548462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08266916871070862,-1.1323899030685425,-0.4716259837150574,-0.8014510869979858,2.0556700229644775,0.3720264434814453
0.0553,-0.06557895243167877,0.024038884788751602,0.0330364890396595,0.021978620439767838,0.002149654319509864,0.001999090425670147,-0.38879770040512085,0.9668992161750793,0.018215935677289963,0.0,4.138416290283203,-0.09106365591287613,-0.2977076768875122,0.12968681752681732,0.024823864921927452,-0.0032734754495322704,1.000821828842163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0988330990076065,-1.5222127437591553,0.20647060871124268,0.3524003326892853,0.18594692647457123,-0.44499602913856506
0.0604,-0.0655796006321907,0.02404009737074375,0.03303685784339905,0.02198476344347,0.002165621379390359,0.0019171122694388032,-0.38879770040512085,0.9668992161750793,0.018215935677289963,0.0,4.138416290283203,-0.09106365591287613,-0.2977076768875122,0.12968681752681732,0.024823864921927452,-0.0032734754495322704,1.000821828842163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04493232071399689,-1.5010243654251099,0.6212785840034485,0.9051320552825928,2.4073264598846436,-1.2265170812606812
0.0713,-0.06579570472240448,0.024019483476877213,0.03301785886287689,0.02118389494717121,0.002089021960273385,0.0018363009439781308,-0.38879770040512085,0.9668992161750793,0.018215935677289963,0.0,4.138416290283203,-0.09106365591287613,-0.2977076768875122,0.12968681752681732,0.024823864921927452,-0.0032734754495322704,1.000821828842163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6661049127578735,-0.5126109719276428,0.41874122619628906,0.06743675470352173,-0.9672181606292725,-1.6369880437850952
0.0813,-0.06579584628343582,0.02401975728571415,0.03301778808236122,0.021176807582378387,0.0020685256458818913,0.0018541268073022366,-0.38879770040512085,0.9668992161750793,0.018215935677289963,0.0,4.138416290283203,-0.09106365591287613,-0.2977076768875122,0.12968681752681732,0.024823864921927452,-0.0032734754495322704,1.000821828842163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3685157597064972,0.5240285992622375,-1.2267056703567505,1.0673900842666626,0.8338207602500916,1.0982978343963623
0.0902,-0.06579611450433731,0.024019716307520866,0.03301765024662018,0.021102184429764748,0.002017604187130928,0.0017933945637196302,-0.38879770040512085,0.9668992161750793,0.018215935677289963,0.0,4.138416290283203,-0.09106365591287613,-0.2977076768875122,0.12968681752681732,0.024823864921927452,-0.0032734754495322704,1.000821828842163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9453636407852173,-1.1819974184036255,1.8169256448745728,-0.9803833365440369,-0.03425578773021698,0.16899359226226807
