# meta:run_eval_mode=hlc_e
# meta:trajectory=hover
# meta:mode=1
# meta:kt=0.05
# meta:speed=1.0
# meta:reps=1
# meta:laps=1
# meta:formation=vertical
# meta:separation=0.4
# meta:height=1.0
# meta:n_drones=2
# meta:controller=5
# meta:ctrl_mode=0
# meta:csv=hover (no csv)
# meta:usd_start_s=10.111744
# meta:indi_kr=2400.0
# meta:indi_kw=170.0
# meta:indi_kr_z=2400.0
# meta:indi_kw_z=170.0
# meta:indi_fc_bw=206.0
# meta:indi_mass=0.041
# meta:indi_kt1=4.1623e-10
# meta:indi_kt2=4.0592e-10
# meta:indi_kt3=4.1116e-10
# meta:indi_kt4=4.0631e-10
# meta:indi_j_scale=1.0
# meta:indi_notch_f0=6.9
# meta:indi_notch_bw=3.0
# meta:pos_kp_xy=64.0
# meta:pos_kp_z=48.0
# meta:pos_kv_xy=5.0
# meta:pos_kv_z=7.0
time_s,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,roll,pitch,yaw,thrust,vbat,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,tau_x,tau_y,tau_z,alp_x,alp_y,alp_z,a_res_x,a_res_y,a_res_z
4.555428,0.062630,0.291409,0.161004,-0.010518,-0.011324,0.410599,-2.419352,0.056954,0.410145,-0.000074,3.573607,5.138913,-1.801166,-1.553094,0.004003,-0.011726,1.082156,0.000000,0.000000,0.000000,-0.272216,0.542978,-0.463548,0.000000,0.000000,0.000000
6.949368,0.046779,0.340791,0.848056,-0.025392,-0.023405,0.011492,1.056889,0.225900,-0.104535,-0.000028,3.584164,-1.404864,0.828810,0.555393,-0.002366,-0.003780,0.986142,0.000000,0.000000,0.000000,-0.272216,0.542978,-0.463548,0.000000,0.000000,0.000000
11.330424,0.045701,0.291069,0.843999,-0.031308,0.007178,0.000758,-0.154847,0.792804,0.026742,0.000039,3.552493,3.122437,-1.680495,-0.854235,0.000844,-0.025010,1.010919,0.000000,0.000000,0.000000,-0.272216,0.542978,-0.463548,0.000000,0.000000,0.000000
14.031551,0.026851,0.290064,0.849000,-0.027186,0.007314,-0.000155,-0.569030,0.468151,0.014839,-0.000031,3.541935,7.774930,2.597445,1.100469,-0.003463,-0.009577,0.997406,0.000000,0.000000,0.000000,-0.272216,0.542978,-0.463548,0.000000,0.000000,0.000000
14.042404,0.026794,0.290068,0.849003,-0.027075,0.007788,0.001168,-0.569030,0.468151,0.014839,-0.000031,3.541935,8.556138,-1.589097,0.657287,0.012969,-0.006931,1.017332,0.000000,0.000000,0.000000,-0.272216,0.542978,-0.463548,0.000000,0.000000,0.000000
15.033456,0.035323,0.295038,0.846940,-0.015797,0.003537,-0.006324,0.067058,0.924306,0.059802,0.000189,3.531378,-5.641297,-4.421144,0.498000,0.008922,-0.003748,1.001978,0.000000,0.000000,0.000000,-0.272216,0.542978,-0.463548,0.000000,0.000000,0.000000
15.490322,0.044695,0.297042,0.848007,-0.026234,0.006924,0.001322,0.173868,1.158149,0.020803,0.000044,3.531378,-5.489153,2.122779,0.972121,0.018540,-0.022320,1.010242,0.000000,0.000000,0.000000,-0.272216,0.542978,-0.463548,0.000000,0.000000,0.000000
16.055447,0.053288,0.291984,0.846889,-0.039859,-0.001189,-0.005173,-0.403885,1.266680,0.038881,-0.000049,3.531378,-3.244046,-2.697266,0.830301,-0.009386,-0.017694,1.008709,0.000000,0.000000,0.000000,-0.272216,0.542978,-0.463548,0.000000,0.000000,0.000000
16.700343,0.054087,0.290971,0.845943,-0.048061,-0.001407,-0.002438,-0.120815,1.041742,0.034034,-0.000067,3.531378,-9.451247,-0.839420,0.810838,-0.002239,-0.007460,1.004292,0.000000,0.000000,0.000000,-0.272216,0.542978,-0.463548,0.000000,0.000000,0.000000
17.221332,0.040996,0.292183,0.845970,-0.054582,0.008618,-0.002783,0.009494,0.330186,0.036794,-0.000045,3.526100,4.180168,1.377687,-2.150466,-0.000054,-0.006535,0.998490,0.000000,0.000000,0.000000,-0.272216,0.542978,-0.463548,0.000000,0.000000,0.000000
