# meta:run_eval_mode=hlc_e
# meta:trajectory=hover
# meta:mode=1
# meta:kt=0.05
# meta:speed=1.0
# meta:reps=1
# meta:laps=1
# meta:formation=vertical
# meta:separation=0.4
# meta:height=1.0
# meta:n_drones=2
# meta:controller=6
# meta:ctrl_mode=0
# meta:csv=hover (no csv)
# meta:usd_start_s=10.113484
# meta:indi_kr=2400.0
# meta:indi_kw=170.0
# meta:indi_kr_z=2400.0
# meta:indi_kw_z=170.0
# meta:indi_fc_bw=206.0
# meta:indi_mass=0.041
# meta:indi_kt1=4.1623e-10
# meta:indi_kt2=4.0592e-10
# meta:indi_kt3=4.1116e-10
# meta:indi_kt4=4.0631e-10
# meta:indi_j_scale=1.0
# meta:indi_notch_f0=6.9
# meta:indi_notch_bw=3.0
# meta:pos_kp_xy=40.0
# meta:pos_kp_z=30.0
# meta:pos_kv_xy=8.0
# meta:pos_kv_z=10.0
time_s,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,roll,pitch,yaw,thrust,vbat,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,tau_x,tau_y,tau_z,alp_x,alp_y,alp_z,a_res_x,a_res_y,a_res_z
2.851194,0.003816,-0.235782,-0.026948,-0.009645,-0.002951,0.002773,0.793986,-0.469138,-0.032790,0.000000,3.906158,0.000026,-0.072865,-0.248909,-0.013222,0.013548,1.000279,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.921194,0.003806,-0.235790,-0.026940,-0.010077,-0.003073,0.003179,0.778726,-0.476092,-0.033815,0.000000,3.906158,0.139567,-0.372846,-0.225195,-0.009541,0.012297,1.002588,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.932329,0.003807,-0.235933,-0.026939,-0.009903,-0.003542,0.003352,0.785170,-0.476799,-0.034104,0.000000,3.911437,0.139567,-0.372846,-0.225195,-0.009541,0.012297,1.002588,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.940208,0.003810,-0.236005,-0.026937,-0.009834,-0.003910,0.003452,0.785170,-0.476799,-0.034104,0.000000,3.911437,0.139567,-0.372846,-0.225195,-0.009541,0.012297,1.002588,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2.990313,0.003807,-0.236002,-0.026947,-0.010100,-0.003309,0.002791,0.781061,-0.475048,-0.036155,0.000000,3.911437,0.244535,-0.280851,-0.131942,-0.012489,0.014962,0.998224,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.031259,0.003808,-0.235121,-0.026948,-0.009746,0.000272,0.002708,0.766645,-0.477818,-0.033299,0.000000,3.906158,0.246831,0.229645,0.140778,-0.009495,0.013655,1.000130,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.042239,0.003812,-0.235054,-0.026949,-0.009630,0.000382,0.002601,0.765553,-0.477268,-0.032644,0.000000,3.911437,0.246831,0.229645,0.140778,-0.009495,0.013655,1.000130,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.071389,0.003847,-0.235513,-0.026958,-0.008888,-0.001049,0.002419,0.776228,-0.479587,-0.033868,0.000000,3.906158,0.151835,-0.157184,-0.048116,-0.010794,0.010869,0.999304,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.088170,0.003833,-0.235123,-0.026956,-0.008881,-0.000056,0.002326,0.777161,-0.479450,-0.033351,0.000000,3.911437,0.151835,-0.157184,-0.048116,-0.010794,0.010869,0.999304,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.099327,0.003833,-0.235591,-0.026955,-0.008595,-0.001860,0.002517,0.789784,-0.479148,-0.033585,0.000000,3.911437,0.151835,-0.157184,-0.048116,-0.010794,0.010869,0.999304,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
