# meta:run_trajectory=slalom
# meta:run_mode=1
# meta:run_kt=0.01
# meta:run_speed=1.0
# meta:run_reps=1
# meta:run_lap_time_s=14.5886
# meta:run_eval_mode=onboard_d
# meta:indi_kr=2400.0
# meta:indi_kw=170.0
# meta:indi_kr_z=2400.0
# meta:indi_kw_z=170.0
# meta:indi_fc_bw=60.0
# meta:indi_mass=0.041
# meta:indi_kt1=4.1623e-10
# meta:indi_kt2=4.0592e-10
# meta:indi_kt3=4.1116e-10
# meta:indi_kt4=4.0631e-10
# meta:indi_j_scale=1.0
# meta:indi_filt_order=1
# meta:indi_ff_free=0
# meta:indi_filt_tau=1
# meta:pos_kp_xy=64.0
# meta:pos_kp_z=48.0
# meta:pos_kv_xy=5.0
# meta:pos_kv_z=7.0
# meta:yaml_stabilizer_controller=6
# meta:yaml_ctrl_mode=3
# meta:takeoff_stabilizer_controller=6
# meta:takeoff_ctrl_mode=0
# meta:trajectory_stabilizer_controller=6
# meta:trajectory_ctrl_mode=3
time_s,x,y,z,vx,vy,vz,roll_deg,pitch_deg,yaw_deg,thrust,vbat,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,rpm_m1,rpm_m2,rpm_m3,rpm_m4,tau_x,tau_y,tau_z,alp_x,alp_y,alp_z,alp_raw_x,alp_raw_y,alp_raw_z
0.0246,0.284253865480423,-0.18371659517288208,-0.03395110368728638,0.013437749817967415,0.01464320719242096,0.0025015005376189947,-0.29025763273239136,-0.3045158088207245,-0.10704432427883148,0.0,3.9483871459960938,0.16840705275535583,0.06773015111684799,-0.42516589164733887,0.00326090632006526,-0.000514149374794215,1.004409670829773,2672.0,2486.0,2692.0,2599.0,-0.014000000432133675,-0.014000000432133675,0.0024999999441206455,-1.3144769668579102,-1.6017894744873047,-4.798393726348877,-0.36043229699134827,6.489315032958984,2.3363752365112305
0.0345,0.284255713224411,-0.18371713161468506,-0.03395187854766846,0.013497556559741497,0.014912931248545647,0.0025096845347434282,-0.29025763273239136,-0.3045158088207245,-0.10704432427883148,0.0,3.9483871459960938,0.16840705275535583,0.06773015111684799,-0.42516589164733887,0.00326090632006526,-0.000514149374794215,1.004409670829773,2672.0,2486.0,2692.0,2599.0,-0.014000000432133675,-0.014000000432133675,0.0024999999441206455,-1.057167887687683,-4.099949836730957,0.791827380657196,-0.3030262589454651,2.2465829849243164,0.23589468002319336
0.0446,0.2842562198638916,-0.18371379375457764,-0.03395109251141548,0.013364437967538834,0.015361227095127106,0.00273165968246758,-0.2922627031803131,-0.3057847321033478,-0.10766430199146271,0.0,3.9483871459960938,0.16840705275535583,0.06773015111684799,-0.42516589164733887,0.00326090632006526,-0.000514149374794215,1.004409670829773,2672.0,2486.0,2692.0,2599.0,-0.014000000432133675,-0.014000000432133675,0.0024999999441206455,2.253115177154541,-2.823730707168579,-0.46573203802108765,-1.6407604217529297,-1.0913854837417603,0.13183359801769257
0.0496,0.2842567563056946,-0.18370936810970306,-0.03394852578639984,0.013556968420743942,0.015479608438909054,0.0029481227975338697,-0.2922627031803131,-0.3057847321033478,-0.10766430199146271,0.0,3.9483871459960938,-0.08767625689506531,0.7469576597213745,-0.13975529372692108,0.0004790555976796895,0.0012795504881069064,1.0010441541671753,2672.0,2486.0,2692.0,2599.0,-0.014000000432133675,-0.014000000432133675,0.0024999999441206455,0.5524508953094482,-1.3265302181243896,1.2403255701065063,-2.7581632137298584,-5.764763832092285,-2.425595998764038
0.0545,0.2842574715614319,-0.18370452523231506,-0.03394603729248047,0.013455976732075214,0.01590919680893421,0.0029871889855712652,-0.2922627031803131,-0.3057847321033478,-0.10766430199146271,0.0,3.9483871459960938,-0.08767625689506531,0.7469576597213745,-0.13975529372692108,0.0004790555976796895,0.0012795504881069064,1.0010441541671753,2672.0,2486.0,2692.0,2599.0,-0.014000000432133675,-0.014000000432133675,0.0024999999441206455,5.721059799194336,0.9912442564964294,4.506751537322998,-1.7333276271820068,-0.8968010544776917,-6.284929275512695
0.0595,0.2842603921890259,-0.18370188772678375,-0.033945441246032715,0.01408001035451889,0.015545998699963093,0.0028330355416983366,-0.2922627031803131,-0.3057847321033478,-0.10766430199146271,0.0,3.9483871459960938,-0.08767625689506531,0.7469576597213745,-0.13975529372692108,0.0004790555976796895,0.0012795504881069064,1.0010441541671753,2692.0,2574.0,2724.0,2623.0,-0.014000000432133675,-0.014000000432133675,0.0024999999441206455,0.726142168045044,1.631436824798584,0.6451494693756104,-0.7415925860404968,-4.490936756134033,2.518583297729492
0.0645,0.2842622399330139,-0.1836995929479599,-0.03394673392176628,0.013544740155339241,0.016116736456751823,0.002673342125490308,-0.2922627031803131,-0.3057847321033478,-0.10766430199146271,0.0,3.9483871459960938,-0.08767625689506531,0.7469576597213745,-0.13975529372692108,0.0004790555976796895,0.0012795504881069064,1.0010441541671753,2692.0,2574.0,2724.0,2623.0,-0.014000000432133675,-0.014000000432133675,0.0024999999441206455,0.29478687047958374,4.638798236846924,1.0754027366638184,2.710909843444824,-1.0383766889572144,-1.19440758228302
0.0745,0.2842629849910736,-0.18369677662849426,-0.03394825756549835,0.014055957086384296,0.015893910080194473,0.0026521373074501753,-0.2917324900627136,-0.3082573115825653,-0.10589880496263504,0.0,3.9483871459960938,-0.08767625689506531,0.7469576597213745,-0.13975529372692108,0.0004790555976796895,0.0012795504881069064,1.0010441541671753,2692.0,2574.0,2724.0,2623.0,-0.014000000432133675,-0.014000000432133675,0.0024999999441206455,-0.9702247977256775,2.3437530994415283,1.3958065509796143,1.6742833852767944,-0.14319269359111786,-1.632978081703186
0.0845,0.28426429629325867,-0.18369610607624054,-0.03395070508122444,0.013738095760345459,0.015986556187272072,0.002330561401322484,-0.2917324900627136,-0.3082573115825653,-0.10589880496263504,0.0,3.9483871459960938,-0.06229177862405777,-0.8469732999801636,-0.059920113533735275,-0.005884538404643536,0.005160241387784481,0.9962958693504333,2692.0,2574.0,2724.0,2623.0,-0.014000000432133675,-0.014000000432133675,0.0024999999441206455,-2.1677842140197754,0.8128331303596497,2.0447537899017334,3.005981206893921,2.0732240676879883,-0.4374512732028961
0.0945,0.28426483273506165,-0.1836947500705719,-0.0339541994035244,0.01404035184532404,0.016103817149996758,0.002187358681112528,-0.2917324900627136,-0.3082573115825653,-0.10589880496263504,0.0,3.9483871459960938,-0.06229177862405777,-0.8469732999801636,-0.059920113533735275,-0.005884538404643536,0.005160241387784481,0.9962958693504333,2692.0,2574.0,2724.0,2623.0,-0.014000000432133675,-0.014000000432133675,0.0024999999441206455,-2.5122251510620117,2.3885271549224854,0.8418699502944946,0.7725734710693359,1.9055874347686768,-2.3323216438293457
