t_unix,rpm_m1,rpm_m2,rpm_m3,rpm_m4,motor_m1,marker
1784735058.528737,0,0,0,0,0,0.0
1784735058.5389645,0,0,0,0,218,0.0
1784735058.5488083,0,0,0,0,218,0.0
1784735058.5591066,0,0,0,0,436,0.0
1784735058.5688055,0,0,0,0,436,0.0
1784735058.5797694,0,0,0,0,654,0.0
1784735058.588858,0,0,0,0,654,0.0
1784735058.598605,0,0,0,0,872,0.0
1784735058.6091099,0,0,0,0,872,0.0
1784735058.6189315,0,0,0,0,1090,0.0
1784735058.6285834,0,0,0,0,1090,0.0
1784735058.6392243,0,0,0,0,1308,0.0
1784735058.649167,0,0,0,0,1308,0.0
1784735058.6586597,0,0,0,0,1526,0.0
1784735058.6690745,0,0,0,0,1526,0.0
1784735058.6789627,0,0,0,0,1744,0.0
1784735058.6890008,0,0,0,0,1744,0.0
1784735058.6995494,0,0,0,0,1744,0.0
1784735058.709661,0,0,0,0,1962,0.0
1784735058.7193139,0,0,0,0,1962,0.0
1784735058.7290905,0,0,0,0,2180,0.0
1784735058.739458,0,0,0,0,2180,0.0
1784735058.7485347,0,0,0,0,2398,0.0
1784735058.759704,0,0,0,0,2398,0.0
1784735058.768778,0,0,0,0,2616,0.0
1784735058.7793438,0,0,0,0,2616,0.0
1784735058.7890892,0,0,0,0,2834,0.0
1784735058.7987664,0,0,0,0,2834,0.0
1784735058.8093607,0,0,0,0,3052,0.0
1784735058.8192432,1018,0,0,0,3052,0.0
1784735058.8298626,1018,0,1267,574,3270,0.0
1784735058.8387554,1018,930,1267,574,3270,0.0
1784735058.8485408,1018,930,1267,574,3488,0.0
1784735058.85897,1018,930,1267,574,3488,0.0
1784735058.8688395,1018,930,1267,574,3706,0.0
1784735058.8784194,1018,930,1267,597,3706,0.0
1784735058.8889294,1240,930,704,597,3924,0.0
1784735058.8986588,1240,686,704,597,3924,0.0
1784735058.9084656,1240,686,704,597,4142,0.0
1784735058.9189224,1536,686,643,682,4142,0.0
1784735058.9287612,1536,674,643,682,4360,0.0
1784735058.9388192,1536,674,643,682,4360,0.0
1784735058.948755,880,674,937,941,4578,0.0
1784735058.9584215,880,957,937,941,4578,0.0
1784735058.9698687,880,957,937,1163,4796,0.0
1784735058.9793994,1114,1184,1166,1163,4796,0.0
1784735058.989054,1114,1184,1166,1353,5014,0.0
1784735058.9987884,1311,1378,1362,1353,5014,0.0
1784735059.0091982,1311,1378,1536,1522,5232,0.0
1784735059.0187104,1488,1552,1536,1522,5232,0.0
1784735059.0293796,1488,1552,1702,1681,5450,0.0
1784735059.0382545,1654,1714,1702,1832,5450,0.0
1784735059.0496156,1811,1868,1858,1832,5668,0.0
1784735059.0584486,1811,1868,2006,1978,5668,0.0
1784735059.0683684,1960,2015,2144,2116,5886,0.0
1784735059.0789402,2099,2154,2144,2247,5886,0.0
1784735059.0887372,2230,2282,2282,2374,6104,0.0
1784735059.0984912,2230,2403,2409,2374,6104,0.0
1784735059.108363,2354,2403,2525,2492,6322,0.0
1784735059.1181583,2473,2520,2638,2604,6322,0.0
1784735059.1285372,2587,2632,2752,2713,6540,0.0
1784735059.1382105,2701,2740,2861,2821,6540,0.0
1784735059.1485784,2811,2847,2970,2925,6758,0.0
1784735059.1581268,2919,2951,3072,3026,6758,0.0
1784735059.1687596,3023,3054,3172,3127,6976,0.0
1784735059.1785657,3126,3151,3272,3226,6976,0.0
1784735059.18858,3226,3247,3371,3322,7194,0.0
1784735059.1984878,3325,3437,3466,3504,7194,0.0
1784735059.2085605,3421,3526,3651,3594,7412,0.0
1784735059.2184205,3604,3611,3741,3683,7412,0.0
1784735059.2289364,3690,3695,3825,3773,7630,0.0
1784735059.2386527,3772,3854,3909,3929,7630,0.0
1784735059.2491083,3935,3934,4066,4008,7848,0.0
1784735059.2580826,4013,4009,4145,4161,7848,0.0
1784735059.2693195,4093,4154,4298,4234,8066,0.0
1784735059.278942,4243,4227,4373,4306,8066,0.0
1784735059.2880747,4319,4370,4520,4453,8284,0.0
1784735059.298473,4466,4438,4589,4523,8284,0.0
1784735059.3081865,4539,4571,4732,4659,8502,0.0
1784735059.3181314,4683,4636,4801,4796,8502,0.0
1784735059.3282886,4753,4769,4937,4861,8720,0.0
1784735059.338245,4888,4831,5071,4992,8720,0.0
1784735059.34809,5023,4956,5200,5119,8938,0.0
1784735059.3581378,5088,5080,5264,5186,8938,0.0
1784735059.3683608,5208,5193,5386,5300,9156,0.0
1784735059.3786767,5325,5250,5500,5421,9156,0.0
1784735059.3884132,5443,5357,5618,5525,9374,0.0
1784735059.3981524,5555,5462,5719,5634,9374,0.0
1784735059.408757,5665,5569,5834,5738,9592,0.0
1784735059.4186637,5773,5670,5942,5847,9592,0.0
1784735059.4285023,5828,5769,6051,5945,9810,0.0
1784735059.4379609,5935,5870,6155,6047,9810,0.0
1784735059.4484062,6087,5971,6259,6148,9810,0.0
1784735059.4581313,6189,6064,6359,6242,10028,0.0
1784735059.4686139,6289,6157,6457,6342,10028,0.0
1784735059.4784145,6383,6251,6551,6428,10246,0.0
1784735059.4885347,6478,6343,6691,6525,10464,0.0
1784735059.498284,6571,6431,6786,6615,10464,0.0
1784735059.5086849,6657,6517,6878,6747,10464,0.0
1784735059.5184252,6781,6597,6958,6829,10682,0.0
1784735059.5290446,6867,6719,7089,6907,10682,0.0
1784735059.5388439,6944,6793,7166,7028,10900,0.0
1784735059.5490317,7061,6879,7288,7108,10900,0.0
1784735059.5582578,7141,6989,7368,7184,11118,0.0
1784735059.5678985,7216,7062,7483,7307,11118,0.0
1784735059.5786896,7332,7135,7564,7377,11336,0.0
1784735059.5892706,7406,7233,7671,7485,11336,0.0
1784735059.5992908,7520,7316,7741,7566,11554,0.0
1784735059.6082044,7597,7414,7853,7671,11554,0.0
1784735059.6189456,7708,7485,7916,7747,11772,0.0
1784735059.628085,7806,7577,8012,7859,11772,0.0
1784735059.638651,7879,7644,8105,7945,11990,0.0
1784735059.6483202,7979,7728,8200,8016,11990,0.0
1784735059.6589272,8081,7794,8265,8105,12208,0.0
1784735059.667864,8145,7884,8356,8200,12208,0.0
1784735059.677896,8238,7968,8451,8296,12426,0.0
1784735059.6884198,8325,8028,8549,8349,12426,0.0
1784735059.6977797,8416,8114,8633,8445,12644,0.0
1784735059.70821,8476,8195,8723,8531,12644,0.0
1784735059.7184207,8562,8282,8809,8612,12862,0.0
1784735059.7282324,8656,8332,8863,8688,12862,0.0
1784735059.7381074,8737,8417,8949,8766,13080,0.0
1784735059.7477663,8824,8500,9026,8840,13080,0.0
1784735059.7577076,8908,8577,9136,8912,13298,0.0
1784735059.7684066,8983,8651,9203,8986,13298,0.0
1784735059.7781398,9055,8718,9269,9059,13516,0.0
1784735059.7881196,9131,8765,9328,9124,13516,0.0
1784735059.7979815,9203,8828,9370,9195,13734,0.0
1784735059.8077111,9282,8895,9420,9259,13734,0.0
1784735059.8183992,9357,8959,9475,9331,13952,0.0
1784735059.828008,9454,9029,9514,9388,13952,0.0
1784735059.8378448,9534,9097,9580,9457,14170,0.0
1784735059.848297,9603,9192,9632,9548,14170,0.0
1784735059.857726,9674,9263,9689,9607,14388,0.0
1784735059.8684785,9751,9338,9737,9669,14388,0.0
1784735059.8785815,9842,9408,9808,9737,14606,0.0
1784735059.887816,9907,9483,9863,9805,14606,0.0
1784735059.898642,9975,9560,9918,9874,14824,0.0
1784735059.9076846,10060,9616,9971,9932,14824,0.0
1784735059.9184003,10111,9704,10041,9983,15042,0.0
1784735059.9280472,10174,9765,10080,10050,15042,0.0
1784735059.9375975,10247,9818,10164,10095,15260,0.0
1784735059.9481184,10307,9889,10205,10143,15260,0.0
1784735059.9587498,10368,9961,10252,10205,15478,0.0
1784735059.967675,10434,10021,10328,10259,15478,0.0
1784735059.9789689,10511,10080,10378,10334,15696,0.0
1784735059.987996,10568,10159,10454,10378,15696,0.0
1784735059.9976478,10630,10216,10489,10467,15914,0.0
1784735060.0078318,10687,10291,10561,10498,15914,0.0
1784735060.0178132,10752,10341,10619,10574,16132,0.0
1784735060.0277684,10816,10411,10697,10623,16132,0.0
1784735060.0380406,10883,10449,10737,10683,16350,0.0
1784735060.048309,10954,10528,10814,10721,16350,0.0
1784735060.0585573,10999,10561,10869,10787,16568,0.0
1784735060.0678194,11061,10638,10926,10851,16568,0.0
1784735060.0782154,11123,10687,10986,10889,16786,0.0
1784735060.08741,11166,10750,11029,10930,16786,0.0
1784735060.0980556,11225,10797,11092,10976,17004,0.0
1784735060.1077478,11282,10840,11142,11011,17004,0.0
1784735060.1177027,11333,10907,11212,11072,17222,0.0
1784735060.1281254,11385,10958,11276,11121,17222,0.0
1784735060.1380107,11426,11023,11314,11173,17440,0.0
1784735060.1478913,11492,11090,11380,11223,17440,0.0
1784735060.1578078,11554,11148,11446,11282,17658,0.0
1784735060.1676304,11621,11198,11483,11320,17658,0.0
