time_s,x,y,z,vx,vy,vz,roll_deg,pitch_deg,yaw_deg,thrust,vbat,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z
0.000011865,0.04909772,0.06998801,0.88566107,0.02325322,-0.16904707,-0.0031337433,-3.9683743,-2.7126396,0.46783522,0.0003721816,3.885044,-29.586765,-8.754374,-2.7147954,-0.0065146238,-0.004233253,1.0165108
0.03197476,0.054169383,0.054509412,0.8861857,0.02325322,-0.16904707,-0.0031337433,-5.869984,-2.1525939,0.36791992,0.0003721816,3.885044,-29.586765,-8.754374,-2.7147954,-0.0065146238,-0.004233253,1.0165108
0.04934465,0.057454027,0.044526342,0.8907035,0.0508686,-0.13223505,0.004638348,-7.2755427,-1.8460617,0.31058246,0.00006408911,3.885044,-24.768612,-2.0974126,-1.3419322,0.00048013966,-0.013142707,1.0075823
0.105383374,0.06363278,0.037167806,0.8957027,0.06717449,-0.07039967,0.025033973,-8.279928,-1.6695559,0.27149504,0.000037986298,3.8903227,-12.825804,-8.428326,-0.9380911,-0.000957607,-0.005903124,1.0005602
0.14934766,0.07440578,0.033532586,0.8975663,0.087505475,-0.0069239642,0.039200615,-8.182684,-0.763871,0.37541887,0.00025821096,3.8956013,21.433338,-27.313734,-0.9899093,-0.0044342973,-0.008186259,0.98794645
0.19936362,0.08153076,0.037640028,0.9017203,0.098217316,0.052081626,0.026754986,-5.874879,0.7030948,0.5311906,0.00073087926,3.9008799,70.45237,-27.7368,-0.9216083,-0.005980508,-0.025335291,0.97257364
0.24951772,0.087315716,0.055661898,0.89918095,0.09556239,0.106903106,0.026323628,-1.654063,1.4288276,0.54499567,0.0008342251,3.8956013,95.992,1.606045,-1.2031667,-0.0067781108,-0.02738294,0.9659532
0.299121,0.09133449,0.06450337,0.89647615,0.08805244,0.15194567,-0.008030389,2.834712,0.43978134,0.5171921,0.0004046347,3.8903227,83.4225,38.171135,-1.1691562,-0.009206269,-0.02639416,0.9613203
0.3490927,0.08919218,0.08421474,0.89177966,0.084395975,0.1405405,-0.035389837,6.588884,-1.7411753,0.64435935,-0.000105736995,3.8797655,73.911415,47.526176,-0.7506672,0.005547061,-0.030344347,1.0094036
0.39949286,0.0947381,0.08433623,0.8897609,0.08808025,0.10820105,-0.052630052,10.358728,-3.7321181,0.9570363,-0.000007094828,3.8692083,73.94483,29.817108,2.1592493,0.0007435847,-0.012868061,1.0389967
0.44897482,0.093977176,0.091532834,0.89218545,0.116230905,0.018698338,-0.044250775,13.870986,-4.7730417,1.3195647,0.00032958973,3.8692083,61.839283,17.441843,2.4436588,-0.0021780045,-0.012635909,1.0497086
0.49915642,0.09878705,0.09212001,0.8954834,0.15004452,-0.0941643,-0.014846821,16.316046,-5.52556,1.7019051,0.0007031564,3.874487,36.114532,22.995687,3.1146297,-0.012404038,-0.0020224487,1.0554576
0.54904544,0.10533752,0.08163827,0.8990646,0.19527833,-0.22621767,0.008168429,17.622578,-7.3336368,2.449677,0.0002898597,3.874487,14.613015,49.096127,4.1906424,-0.0052094874,-0.011108507,1.0373473
0.59896266,0.1137479,0.05783021,0.9020835,0.26091465,-0.37190822,0.0151579855,17.846403,-9.605555,3.4198043,-0.00022496209,3.8797655,-10.827874,39.139893,3.3813167,-0.008412367,0.0051107747,1.0382613
0.6494067,0.12920131,0.0282777,0.904247,0.3368842,-0.5330963,0.012333593,16.909122,-10.623675,3.8721895,0.00019040638,3.8797655,-34.673767,5.4342246,-0.6364872,-0.00083508,0.012562668,1.0284307
0.69877636,0.15150644,-0.0014668031,0.90538263,0.434934,-0.6753151,0.0018759788,13.958627,-10.489883,3.668394,0.00048333374,3.8797655,-77.23889,-4.724481,-3.8278432,-0.009095078,0.012493431,1.0297936
0.7487204,0.17786023,-0.05524718,0.90096265,0.5282363,-0.79403126,-0.0044372585,9.694766,-10.58117,3.3964863,0.0003073187,3.8797655,-88.757385,2.4134755,-8.057728,-0.013500393,0.033754554,1.0312972
