time_s,x,y,z,vx,vy,vz,roll_deg,pitch_deg,yaw_deg,thrust,vbat,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z
0.000012285,-0.014004859,0.08204844,0.88821834,-0.12868693,0.01005279,0.053815495,10.229998,0.45122504,0.08552396,0.0002819661,3.8322582,-17.351513,28.774641,-0.04806483,0.014187134,0.006769358,0.9915315
0.03192501,-0.022427589,0.08187526,0.88938034,-0.12868693,0.01005279,0.053815495,9.490507,-1.1591793,0.3788154,0.0002819661,3.8322582,-17.351513,28.774641,-0.04806483,0.014187134,0.006769358,0.9915315
0.047296353,-0.03304211,0.06574278,0.8904133,-0.124808006,-0.0720214,0.034223303,9.091089,-2.6857674,0.9135523,0.0017746463,3.8164225,20.81217,48.25476,12.284951,0.0068067904,0.010850879,1.0267141
0.09794189,-0.03617475,0.05023008,0.8917857,-0.113598086,-0.1680266,0.03342508,13.680832,-6.972972,2.4416945,0.00078222645,3.8164225,141.24786,125.95152,13.3309555,0.0134145245,0.009383515,1.0355667
0.14797045,-0.038714115,0.029101014,0.8971549,-0.056948807,-0.27868664,0.04886174,21.299126,-13.240268,5.097825,-0.00085337827,3.8005865,108.52626,125.20192,10.21999,0.01796573,-0.0006039019,1.0360489
0.19773547,-0.055153098,0.016174544,0.8995739,0.054141622,-0.44447112,0.019961417,22.47403,-16.531546,6.933562,-0.0007342599,3.805865,-75.95652,24.104969,2.7666383,0.015618961,0.004357575,1.0398554
0.24761285,-0.04701144,-0.026569905,0.91043735,0.18612942,-0.62544084,0.043952387,15.493576,-15.497968,6.486017,0.0013195126,3.8005865,-157.13388,-45.848404,-4.3850155,0.005942205,0.032587662,1.0614098
0.29776433,-0.012170097,-0.084548615,0.9166029,0.3446963,-0.77100104,0.035571594,9.21608,-13.88675,5.4562345,0.0015357279,3.821701,-75.9994,-17.348818,-16.150967,-0.0041715954,0.038995,1.0404661
0.347157,0.011537004,-0.13047858,0.91237164,0.4921739,-0.8725585,0.024484405,7.2937074,-14.370217,4.625032,0.000071685456,3.8375368,-14.908929,20.009775,-22.573696,-0.0028835991,0.030928718,0.9869575
0.397041,0.0358216,-0.17214586,0.9072457,0.61949205,-0.9321956,0.0055058803,4.8951077,-14.487341,3.490626,-0.0007034447,3.8269796,-85.60773,-36.059696,-22.563374,-0.014003661,0.04107244,0.9764647
0.44805762,0.071674936,-0.25054103,0.902278,0.73141694,-0.967394,-0.055634603,-2.0882745,-10.409728,2.4076436,0.0006260149,3.8164225,-166.16031,-116.01576,-22.733507,-0.011686357,0.03755441,1.0109262
0.5121467,0.10770868,-0.30967265,0.89475673,0.8404171,-1.0132258,-0.061541103,-10.153018,-3.961908,2.0897994,0.0019077447,3.8111439,-145.88506,-122.90387,-21.73364,-0.023581617,0.04835169,1.0600984
0.55303794,0.159017,-0.36434218,0.8915133,0.88705814,-0.94136083,-0.063152954,-15.48271,0.46547502,2.064536,0.001841818,3.8005865,-78.18899,-54.919727,-17.9505,-0.036556255,0.04245532,1.0991652
0.5971452,0.19714601,-0.39848387,0.89461964,0.88578576,-0.8099909,-0.034838244,-17.622587,1.8001274,1.5838363,0.0007437137,3.805865,-14.328893,-0.14215295,-13.350479,-0.037023168,0.01673865,1.0763705
0.64739454,0.23469855,-0.42477316,0.899633,0.853206,-0.6432425,0.026202792,-17.371302,1.7505136,0.8805574,0.00027374903,3.821701,11.839037,6.488159,-10.153343,-0.027199134,0.016036,1.0481339
0.6974732,0.27264667,-0.43951306,0.9031631,0.8239371,-0.47643727,0.027385313,-16.948841,2.146212,0.5845081,0.0005803747,3.8269796,7.171082,-17.541012,-4.657245,-0.020624744,0.0076333308,1.0163603
0.7472583,0.31059796,-0.45054546,0.9020894,0.80601084,-0.3202533,0.013739351,-16.258064,3.5512507,0.8627247,0.0011359969,3.8322582,25.16672,-29.83378,-1.5266799,-0.024700563,0.0007381748,0.9964309
0.81418455,0.34941283,-0.443987,0.90000397,0.77290356,-0.17539817,-0.008759835,-13.593508,4.306208,0.94973487,0.00125403,3.8269796,79.51821,-2.1806748,-2.5931857,-0.0254637,0.008318323,0.9908347
0.8492955,0.38342643,-0.43698916,0.8938154,0.74120826,-0.034070723,-0.055973683,-8.399041,3.479418,0.6599964,0.00066273584,3.821701,115.29819,32.04513,-2.7330208,-0.020720756,-0.0048244884,1.0058573
0.89652437,0.40896282,-0.41766655,0.8833744,0.7027838,0.07164331,-0.05944288,-3.4321983,1.9967322,0.29852378,0.0002972158,3.8111439,82.088356,27.198978,-2.6314647,-0.025935095,-0.012001544,1.024685
0.9472682,0.43769234,-0.40066704,0.8697736,0.6656049,0.13555762,-0.12815477,-0.5954515,1.0788082,0.09049779,0.0007293952,3.8005865,45.096302,14.949681,0.28807747,-0.02542626,-0.020900466,1.0730251
0.99698997,0.45454937,-0.39077333,0.863401,0.6496172,0.15428998,-0.09400214,0.986231,0.7380759,0.06748631,0.001004357,3.7900293,38.449093,9.045815,2.5203311,-0.017156476,-0.013123618,1.1027988
1.0463887,0.4894867,-0.36946863,0.86156064,0.6337077,0.15663794,-0.049089037,3.4677691,-0.41062486,0.2741562,0.0009611496,3.7900293,44.921055,32.866936,1.4469625,-0.020235974,-0.011094456,1.1213267
1.0968139,0.51534474,-0.3546558,0.8644058,0.62710106,0.14512736,0.007269301,5.427073,-2.5552113,0.55267704,0.00048025514,3.805865,31.0247,46.145977,1.2744896,-0.020656476,-0.015541143,1.0918952
1.1470442,0.5382789,-0.34630388,0.8729374,0.6392573,0.090739846,0.084920615,6.3777204,-4.6081853,0.9063026,0.00036941294,3.8164225,4.538708,33.39347,-0.75184834,-0.013721932,-0.014132386,1.0383391
1.1969215,0.5699538,-0.347977,0.8820071,0.67208076,0.042506732,0.10067701,5.8219314,-5.870993,1.0560433,0.00047783082,3.8269796,-23.11893,22.055645,-2.7787197,-0.013470709,-0.006302753,0.99620986
1.2466232,0.58952343,-0.349418,0.8896403,0.7138592,-0.014411355,0.127666,4.419007,-6.3948054,0.9833252,0.0004901087,3.8322582,-51.45091,4.143697,-6.0643716,-0.017789375,-0.004756595,0.9575272
1.2976878,0.62222934,-0.36489394,0.8958979,0.7542774,-0.051377818,0.104218826,1.5161536,-6.420375,0.58103746,0.00060197676,3.8322582,-76.05124,-8.314856,-10.211997,-0.024319304,0.00384629,0.940398
1.3466372,0.65003103,-0.3754109,0.89958125,0.7977619,-0.092406124,0.07456655,-2.8525817,-5.5942125,0.046977192,0.00055152783,3.8322582,-105.50352,-26.013073,-11.04635,-0.02962755,-0.010134226,0.9379572
1.3985287,0.6780211,-0.38479945,0.90228677,0.8251224,-0.068275206,0.04203163,-8.317918,-4.0366025,-0.37474957,0.0008115147,3.8269796,-107.844025,-27.505123,-9.9943285,-0.03526616,-0.001844077,0.9662122
1.4470813,0.71244335,-0.4059196,0.90777785,0.8458962,-0.016398404,0.038723357,-13.077628,-2.4656234,-0.56795436,0.0007103215,3.8164225,-76.86419,-29.379435,-6.018114,-0.036120076,-0.0011972057,0.98424524
1.4967678,0.7457457,-0.40769038,0.91592824,0.85673183,0.07212352,0.015338378,-16.241453,-1.0492368,-0.66070724,0.0005342047,3.8164225,-47.999004,-26.344877,-3.0739307,-0.02425564,-0.00069609453,0.98234546
1.5466162,0.7917068,-0.40081194,0.9227158,0.8513421,0.17915334,0.053031832,-18.547756,0.32629648,-0.48975438,0.000721348,3.821701,-44.55929,-31.385283,-0.025038695,-0.022904167,-0.014880677,0.98049706
1.5967929,0.8302708,-0.38362503,0.9251475,0.85988235,0.35943657,0.011388155,-20.56241,2.265278,0.14425659,0.00038957162,3.821701,-22.289106,-58.318718,1.5735146,-0.021813074,-0.013379909,0.9837198
1.6464472,0.86190104,-0.35941082,0.9224663,0.83036417,0.5298855,-0.028719753,-20.6736,5.1754546,1.3491846,0.000951332,3.8164225,40.62688,-64.93118,0.95370924,-0.023694487,-0.031484608,1.0053345
1.6975262,0.9149681,-0.31713012,0.9246961,0.78120375,0.69480294,-0.05809391,-17.488554,7.8231797,2.1355922,0.00095656066,3.8111439,96.19849,-45.51068,-2.679215,-0.027912363,-0.028164087,1.0135486
1.7467213,0.9462706,-0.28214264,0.917765,0.7191003,0.8601225,-0.07336889,-12.574794,9.837578,2.5367243,0.00060668314,3.8164225,94.064,-37.89149,-9.18782,-0.02042165,-0.048962228,1.014729
1.796624,0.9781722,-0.22503315,0.90844315,0.64435196,0.9362108,-0.08274353,-8.6303215,11.867795,2.5314476,0.00093521713,3.805865,65.29492,-37.223465,-12.30412,-0.014298889,-0.051533885,1.036854
1.8681047,0.9943189,-0.17115287,0.90028745,0.5281956,1.012832,-0.12140843,-5.4600153,13.296052,2.0793772,0.0011342438,3.8005865,61.190166,-10.216117,-12.138856,-0.016832259,-0.05235953,1.0780271
1.8972826,1.0110694,-0.12987036,0.8912256,0.40678418,1.0803752,-0.104371406,-1.9552226,13.054417,1.368584,0.00060994155,3.8005865,75.45137,21.38151,-14.5874195,-0.0059837913,-0.045879852,1.0835534
1.9484712,1.0195425,-0.06123543,0.88375485,0.2803737,1.0972689,-0.110324286,2.0759122,11.629924,0.62498945,0.00018389332,3.7953079,76.04015,34.197178,-15.67944,0.0034059938,-0.048682157,1.098014
