# meta:run_trajectory=tilted_oval
# meta:run_mode=1
# meta:run_kt=0.05
# meta:run_speed=1.0
# meta:run_reps=1
# meta:run_lap_time_s=12.0212
# meta:run_eval_mode=onboard_d
# meta:indi_kr=2400.0
# meta:indi_kw=170.0
# meta:indi_kr_z=2400.0
# meta:indi_kw_z=170.0
# meta:indi_fc_bw=60.0
# meta:indi_mass=0.041
# meta:indi_kt1=4.1623e-10
# meta:indi_kt2=4.0592e-10
# meta:indi_kt3=4.1116e-10
# meta:indi_kt4=4.0631e-10
# meta:indi_j_scale=1.0
# meta:indi_filt_order=1
# meta:indi_ff_free=0
# meta:indi_filt_tau=1
# meta:pos_kp_xy=64.0
# meta:pos_kp_z=48.0
# meta:pos_kv_xy=5.0
# meta:pos_kv_z=7.0
# meta:yaml_stabilizer_controller=6
# meta:yaml_ctrl_mode=3
# meta:takeoff_stabilizer_controller=6
# meta:takeoff_ctrl_mode=0
# meta:trajectory_stabilizer_controller=6
# meta:trajectory_ctrl_mode=3
# meta:landing_stabilizer_controller=6
# meta:landing_ctrl_mode=0
time_s,x,y,z,vx,vy,vz,roll_deg,pitch_deg,yaw_deg,thrust,vbat,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,rpm_m1,rpm_m2,rpm_m3,rpm_m4,tau_x,tau_y,tau_z,alp_x,alp_y,alp_z,alp_raw_x,alp_raw_y,alp_raw_z
0.0045,0.2549688220024109,-0.3891824781894684,0.03698882833123207,-0.003435492981225252,-0.01892237365245819,-0.001175800571218133,0.6708115339279175,0.38612785935401917,-0.5252748727798462,0.0,3.958944320678711,0.11371731758117676,-0.6440752744674683,0.08031484484672546,0.006489003077149391,0.005954020656645298,0.9994131922721863,2683.0,2526.0,2683.0,2574.0,-0.05057090148329735,-0.019806306809186935,0.020550642162561417,-1.3689570426940918,1.0513311624526978,1.1498894691467285,-1.2370845079421997,-0.23135215044021606,-1.8990402221679688
0.0324,0.2549343407154083,-0.3891816735267639,0.036987606436014175,-0.0033349564764648676,-0.018643751740455627,-0.0016541226068511605,0.6708115339279175,0.38612785935401917,-0.5252748727798462,0.0,3.958944320678711,0.33244743943214417,0.37938734889030457,0.12994953989982605,0.008317887783050537,0.006402266677469015,0.992987334728241,2683.0,2526.0,2683.0,2574.0,-0.05057090148329735,-0.019806306809186935,0.020550642162561417,1.860183596611023,-1.0103894472122192,-1.9546787738800049,0.40058043599128723,-1.8567343950271606,-0.28500938415527344
0.0405,0.2549673020839691,-0.3891812562942505,0.03698542341589928,-0.003619983559474349,-0.018906567245721817,-0.001825544866733253,0.6708115339279175,0.38612785935401917,-0.5252748727798462,0.0,3.958944320678711,0.33244743943214417,0.37938734889030457,0.12994953989982605,0.008317887783050537,0.006402266677469015,0.992987334728241,2683.0,2526.0,2683.0,2574.0,-0.05057090148329735,-0.019806306809186935,0.020550642162561417,-0.6844242811203003,3.166363000869751,-1.4478015899658203,-0.10051624476909637,-1.3437926769256592,-1.0238512754440308
0.0464,0.25493165850639343,-0.3893728256225586,0.03696553781628609,-0.0035104129929095507,-0.019409392029047012,-0.00215118657797575,0.6708115339279175,0.38612785935401917,-0.5252748727798462,0.0,3.958944320678711,0.33244743943214417,0.37938734889030457,0.12994953989982605,0.008317887783050537,0.006402266677469015,0.992987334728241,2705.0,2613.0,2726.0,2617.0,-0.05057090148329735,-0.019806306809186935,0.020550642162561417,-0.3274022340774536,2.137831687927246,-2.1854963302612305,2.2058722972869873,0.4616570472717285,3.320392370223999
0.0525,0.25496748089790344,-0.389181524515152,0.03698142617940903,-0.00324149033986032,-0.019071616232395172,-0.0021815807558596134,0.6708115339279175,0.38612785935401917,-0.5252748727798462,0.0,3.958944320678711,0.33244743943214417,0.37938734889030457,0.12994953989982605,0.008317887783050537,0.006402266677469015,0.992987334728241,2705.0,2613.0,2726.0,2617.0,-0.05057090148329735,-0.019806306809186935,0.020550642162561417,-1.6713532209396362,-1.173758864402771,-0.06956187635660172,-3.987184524536133,0.5400105714797974,0.6656059622764587
0.0565,0.25493547320365906,-0.3893747627735138,0.03695974498987198,-0.0031627858988940716,-0.019575027748942375,-0.0021541144233196974,0.6930258274078369,0.3882611095905304,-0.5298433899879456,0.0,3.958944320678711,0.33244743943214417,0.37938734889030457,0.12994953989982605,0.008317887783050537,0.006402266677469015,0.992987334728241,2705.0,2613.0,2726.0,2617.0,-0.05057090148329735,-0.019806306809186935,0.020550642162561417,0.1774979680776596,-1.0321046113967896,2.237818956375122,-0.9912314414978027,3.4324188232421875,-0.17520347237586975
0.0624,0.2541973292827606,-0.38918161392211914,0.03698031231760979,-0.005530154332518578,-0.018750859424471855,-0.002111803274601698,0.6930258274078369,0.3882611095905304,-0.5298433899879456,0.0,3.958944320678711,0.6704162955284119,0.014862206764519215,-0.3893309533596039,0.009376936592161655,0.0033602819312363863,0.9991997480392456,2705.0,2613.0,2726.0,2617.0,-0.05057090148329735,-0.019806306809186935,0.020550642162561417,0.7758363485336304,0.7996156215667725,-0.4782443642616272,-1.386104941368103,-2.5167369842529297,4.046896457672119
0.0735,0.25413960218429565,-0.3893732726573944,0.036958660930395126,-0.006014885846525431,-0.019581319764256477,-0.0022180716041475534,0.6930258274078369,0.3882611095905304,-0.5298433899879456,0.0,3.958944320678711,0.6704162955284119,0.014862206764519215,-0.3893309533596039,0.009376936592161655,0.0033602819312363863,0.9991997480392456,2705.0,2613.0,2726.0,2617.0,-0.05057090148329735,-0.019806306809186935,0.020550642162561417,1.3784747123718262,1.8343030214309692,-2.863316059112549,-0.7552303671836853,1.7937790155410767,-0.9243159294128418
0.0835,0.25453871488571167,-0.3893739581108093,0.03695789352059364,-0.00425000162795186,-0.019638489931821823,-0.002278567524626851,0.6930258274078369,0.3882611095905304,-0.5298433899879456,0.0,3.958944320678711,0.6704162955284119,0.014862206764519215,-0.3893309533596039,0.009376936592161655,0.0033602819312363863,0.9991997480392456,2730.0,2654.0,2757.0,2641.0,-0.05057090148329735,-0.019806306809186935,0.020550642162561417,2.0669407844543457,-1.6814996004104614,0.9442972540855408,0.8308411836624146,2.389547109603882,1.900200366973877
0.0934,0.2548736333847046,-0.3891823887825012,0.036978624761104584,-0.0033041576389223337,-0.019066262990236282,-0.002465580590069294,0.6930258274078369,0.3882611095905304,-0.5298433899879456,0.0,3.958944320678711,0.6704162955284119,0.014862206764519215,-0.3893309533596039,0.009376936592161655,0.0033602819312363863,0.9991997480392456,2730.0,2654.0,2757.0,2641.0,-0.05057090148329735,-0.019806306809186935,0.020550642162561417,-0.8202856183052063,-1.721046805381775,-2.287471294403076,0.16385595500469208,3.69446063041687,3.8266947269439697
