# Motion type:     linear
# Target height:   0.50 m
# Date & time:     2026-02-28 23:23:55
# URI:             radio://0/80/2M/E7E7E7E7E7

t_ms,x,y,z,vx,vy,vz,roll,pitch,yaw,thrust,zrange_mm,vbat,varPX,varPY,varPZ,flow_deltaX,flow_deltaY,flow_squal,flow_rawPixelSum,acc_x,acc_y,acc_z
70526,5.721292836824432e-05,-6.147873500594869e-05,0.6649076342582703,0.005589940119534731,-0.005711957812309265,-0.00019914197036996484,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
70526,0.0,0.0,0.0,0.0,0.0,0.0,0.00040438398718833923,-0.04600991681218147,0.0003651697188615799,0.0,0,4.03812313079834,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
70546,-3.992397614638321e-05,-3.3310519938822836e-05,0.010054939426481724,9.212749864673242e-05,-0.002480453113093972,-0.00014064185961615294,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
70546,0.0,0.0,0.0,0.0,0.0,0.0,-0.06483897566795349,0.08754081279039383,0.00022375120897777379,0.0,0,4.043401718139648,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
70547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0001038588015944697,0.00010385896166553721,0.00014799989003222436,0,0,0,0,0.0,0.0,0.0
70548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0,0,0,0,0.009291581809520721,-0.008759436197578907,0.9992561340332031
70566,8.483234705636278e-05,8.888762386050075e-05,0.010073740966618061,0.00400574691593647,0.00030565305496566,-0.00023920528474263847,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
70566,0.0,0.0,0.0,0.0,0.0,0.0,-0.17460905015468597,0.05723785609006882,0.0034866691567003727,0.0,0,4.043401718139648,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
70586,-1.4848601495032199e-05,1.8807359083439223e-05,0.010171346366405487,0.0020914634224027395,-0.0019660871475934982,3.7985199014656246e-05,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
70586,0.0,0.0,0.0,0.0,0.0,0.0,-0.19168776273727417,0.17430394887924194,0.004689905792474747,0.0,0,4.043401718139648,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
70587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0001208140020025894,0.00012081424210919067,0.00019899859034921974,0,0,0,0,0.0,0.0,0.0
70588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0,0.0,0.0,0,0,0,0,0.012778111733496189,-0.011020403355360031,1.00148344039917
70606,0.0007792557589709759,-0.00011123522563138977,0.009019416756927967,0.015395037829875946,-0.004947206936776638,-0.001324295881204307,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
70606,0.0,0.0,0.0,0.0,0.0,0.0,-0.13961903750896454,-0.13707731664180756,0.007447768934071064,0.0,0,4.03812313079834,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
70626,0.00046716220094822347,-0.0004939936916343868,0.009029281325638294,0.009317168034613132,-0.009931975044310093,-0.0013722011353820562,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
70626,0.0,0.0,0.0,0.0,0.0,0.0,-0.050192270427942276,0.10842804610729218,0.008892807178199291,0.0,0,4.03812313079834,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
70627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0001393069833284244,0.00013930453860666603,0.00023360512568615377,0,0,0,0,0.0,0.0,0.0
70628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0,0.0,0.0,0,0,0,0,0.0105097321793437,-0.009477180428802967,1.0000706911087036
70646,1.240776964550605e-05,-0.0006261958624236286,0.008596074767410755,0.00255512329749763,-0.010588054545223713,-0.002788599580526352,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
70646,0.0,0.0,0.0,0.0,0.0,0.0,-0.0807996615767479,0.3527732193470001,0.012163800187408924,0.0,0,4.043401718139648,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
70666,0.0006420757854357362,-0.0008172142552211881,0.008549838326871395,0.010103514418005943,-0.011776085011661053,-0.003154875710606575,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
70666,0.0,0.0,0.0,0.0,0.0,0.0,-0.10273372381925583,0.18128089606761932,0.012254059314727783,0.0,0,4.043401718139648,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
70667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.00016320050053764135,0.00016320074792020023,0.00025262334384024143,0,0,0,0,0.0,0.0,0.0
70668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0,0.0,0.0,0,0,0,0,0.009190165437757969,-0.009412351995706558,0.9987435340881348
70686,-2.6249046641169116e-05,-0.004007923416793346,0.008453530259430408,0.0016820409800857306,-0.046645984053611755,-0.004325589165091515,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
70686,0.0,0.0,0.0,0.0,0.0,0.0,0.7801225185394287,0.4396367371082306,0.01048583909869194,0.0,0,4.043401718139648,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
70706,-0.00018243562954012305,-0.005010575987398624,0.00904060248285532,0.0006990258116275072,-0.05135650932788849,-0.001155508798547089,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
70706,0.0,0.0,0.0,0.0,0.0,0.0,0.7765087485313416,0.48060745000839233,0.012652881443500519,0.0,0,4.03812313079834,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0
