time_ms,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,roll,pitch,yaw,thrust,vbat,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,rate_roll,rate_pitch,rate_yaw
0,-0.3019,0.0011,0.0101,-0.0130,0.0034,0.0086,-0.52,0.17,-36.56,0,3.848,-0.130,-0.013,-0.286,0.003,-0.007,0.000,0.000,0.000,0.000
51,-0.3016,0.0009,0.0105,-0.0071,0.0019,0.0084,-0.53,0.18,-36.38,0,3.859,0.284,0.075,-0.079,0.003,-0.009,0.000,0.000,0.000,0.000
101,-0.3023,0.0003,0.0106,-0.0079,-0.0007,0.0074,-0.53,0.20,-36.21,0,3.848,-0.347,0.156,-0.118,0.007,-0.009,0.000,0.000,0.000,0.000
153,-0.3021,0.0015,0.0107,-0.0034,0.0056,0.0058,-0.55,0.16,-36.03,0,3.859,-0.410,0.179,-0.059,0.003,-0.006,0.000,0.000,0.000,0.000
203,-0.3022,0.0013,0.0097,-0.0020,0.0041,0.0008,-0.57,0.14,-35.88,0,3.853,-0.161,-0.014,-0.086,0.004,-0.006,0.000,0.000,0.000,0.000
255,-0.3021,0.0007,0.0084,-0.0003,0.0007,-0.0051,-0.58,0.16,-35.70,0,3.859,0.259,-0.082,-0.326,0.004,-0.008,0.000,0.000,0.000,0.000
306,-0.3024,0.0006,0.0071,-0.0004,0.0008,-0.0089,-0.58,0.15,-35.53,0,3.853,0.134,-0.092,-0.300,0.005,-0.007,0.000,0.000,0.000,0.000
357,-0.3022,0.0002,0.0077,0.0014,-0.0018,-0.0031,-0.55,0.15,-35.36,0,3.859,-0.120,-0.014,0.012,0.003,-0.008,0.000,0.000,0.000,0.000
408,-0.3021,0.0007,0.0073,0.0027,0.0010,-0.0046,-0.61,0.10,-35.19,0,3.848,-0.121,-0.040,0.246,0.006,-0.011,0.000,0.000,0.000,0.000
459,-0.3016,0.0011,0.0075,0.0059,0.0030,-0.0020,-0.54,0.15,-35.02,0,3.859,0.073,0.183,0.001,0.003,-0.009,0.000,0.000,0.000,0.000
510,-0.3017,0.0013,0.0086,0.0049,0.0031,0.0034,-0.56,0.11,-34.85,0,3.848,-0.004,-0.326,0.159,0.003,-0.008,0.000,0.000,0.000,0.000
561,-0.3029,-0.0001,0.0080,-0.0019,-0.0047,-0.0000,-0.53,0.17,-34.68,0,3.859,-0.130,-0.151,0.070,0.006,-0.009,0.000,0.000,0.000,0.000
612,-0.3025,0.0005,0.0071,0.0007,-0.0014,-0.0038,-0.51,0.20,-34.51,0,3.848,-0.229,-0.083,0.281,0.005,-0.010,0.000,0.000,0.000,0.000
663,-0.3017,0.0013,0.0064,0.0054,0.0032,-0.0057,-0.56,0.19,-34.33,0,3.859,-0.226,0.088,-0.029,0.003,-0.011,0.000,0.000,0.000,0.000
714,-0.3021,0.0007,0.0064,0.0026,-0.0010,-0.0043,-0.52,0.20,-34.16,0,3.848,0.016,-0.058,-0.198,0.005,-0.004,0.000,0.000,0.000,0.000
765,-0.3035,-0.0014,0.0076,-0.0038,-0.0106,0.0026,-0.43,0.17,-33.99,0,3.859,0.034,-0.252,0.034,0.004,-0.007,0.000,0.000,0.000,0.000
816,-0.3016,0.0012,0.0100,0.0081,0.0053,0.0130,-0.67,0.15,-33.83,0,3.848,0.154,0.248,-0.040,0.001,-0.010,0.000,0.000,0.000,0.000
866,-0.3013,0.0011,0.0090,0.0080,0.0036,0.0062,-0.53,0.18,-33.65,0,3.859,-0.169,-0.240,-0.012,-0.000,-0.012,0.000,0.000,0.000,0.000
918,-0.3015,0.0012,0.0094,0.0051,0.0037,0.0069,-0.51,0.14,-33.49,0,3.853,0.066,0.200,-0.132,0.005,-0.010,0.000,0.000,0.000,0.000
968,-0.2978,-0.0038,0.0091,0.0216,-0.0212,0.0047,-0.46,-0.04,-33.32,0,3.859,-0.144,-0.036,0.255,0.004,-0.010,0.000,0.000,0.000,0.000
1019,-0.2971,-0.0038,0.0098,0.0215,-0.0170,0.0067,-0.42,-0.01,-33.15,0,3.848,-0.036,-0.339,0.164,0.008,-0.006,0.000,0.000,0.000,0.000
