time_ms,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,roll,pitch,yaw,thrust,vbat,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,rate_roll,rate_pitch,rate_yaw
0,3.8139,8.1252,0.0084,-0.0038,-0.0038,-0.0027,-1.19,0.61,0.03,0,3.954,0.042,-0.074,0.166,0.010,-0.021,0.000,0.000,0.000,0.000
50,3.8162,8.1250,0.0068,0.0085,-0.0041,-0.0092,-1.18,0.52,0.02,0,3.948,-0.063,-0.380,-0.028,0.013,-0.022,0.000,0.000,0.000,0.000
101,3.8162,8.1251,0.0075,0.0079,-0.0038,-0.0034,-1.19,0.63,0.03,0,3.954,-0.126,-0.197,-0.223,0.011,-0.021,0.000,0.000,0.000,0.000
152,3.8155,8.1253,0.0072,0.0037,-0.0021,-0.0036,-1.19,0.53,0.02,0,3.948,-0.074,-0.412,-0.023,0.010,-0.024,0.000,0.000,0.000,0.000
203,3.8163,8.1250,0.0080,0.0075,-0.0036,0.0016,-1.21,0.59,0.02,0,3.954,-0.125,-0.049,-0.050,0.010,-0.019,0.000,0.000,0.000,0.000
255,3.8139,8.1252,0.0094,-0.0053,-0.0034,0.0088,-1.18,0.54,0.02,0,3.948,-0.145,-0.200,0.170,0.009,-0.021,0.000,0.000,0.000,0.000
305,3.8160,8.1252,0.0100,0.0059,-0.0030,0.0098,-1.18,0.54,0.02,0,3.954,-0.239,-0.230,0.245,0.009,-0.023,0.000,0.000,0.000,0.000
357,3.8159,8.1251,0.0103,0.0050,-0.0038,0.0095,-1.18,0.55,0.02,0,3.948,0.022,-0.135,0.246,0.010,-0.020,0.000,0.000,0.000,0.000
407,3.8163,8.1251,0.0097,0.0065,-0.0036,0.0041,-1.23,0.59,0.03,0,3.954,-0.036,-0.180,-0.125,0.010,-0.022,0.000,0.000,0.000,0.000
458,3.8163,8.1250,0.0091,0.0066,-0.0039,0.0008,-1.23,0.60,0.03,0,3.948,0.087,0.041,0.045,0.009,-0.023,0.000,0.000,0.000,0.000
509,3.8164,8.1250,0.0091,0.0064,-0.0047,0.0016,-1.18,0.65,0.04,0,3.954,0.001,0.172,-0.061,0.010,-0.023,0.000,0.000,0.000,0.000
560,3.8160,8.1250,0.0097,0.0045,-0.0037,0.0043,-1.19,0.63,0.04,0,3.948,-0.261,0.147,0.414,0.010,-0.020,0.000,0.000,0.000,0.000
611,3.8136,8.1250,0.0096,-0.0058,-0.0038,0.0040,-1.19,0.60,0.04,0,3.954,0.003,-0.051,0.103,0.011,-0.022,0.000,0.000,0.000,0.000
663,3.8161,8.1251,0.0100,0.0070,-0.0041,0.0056,-1.19,0.61,0.04,0,3.948,-0.096,-0.050,0.102,0.011,-0.023,0.000,0.000,0.000,0.000
713,3.8145,8.1252,0.0102,-0.0006,-0.0038,0.0061,-1.19,0.61,0.04,0,3.954,0.092,0.135,-0.062,0.010,-0.022,0.000,0.000,0.000,0.000
764,3.8138,8.1252,0.0085,-0.0033,-0.0040,-0.0032,-1.21,0.57,0.03,0,3.948,-0.122,0.032,0.295,0.009,-0.022,0.000,0.000,0.000,0.000
816,3.8159,8.1252,0.0100,0.0080,-0.0042,0.0050,-1.18,0.60,0.04,0,3.954,0.021,0.145,0.145,0.010,-0.022,0.000,0.000,0.000,0.000
867,3.8150,8.1254,0.0089,0.0031,-0.0034,-0.0023,-1.18,0.60,0.04,0,3.948,-0.337,0.123,0.217,0.011,-0.022,0.000,0.000,0.000,0.000
917,3.8138,8.1271,0.0097,-0.0027,0.0062,0.0029,-1.18,0.60,0.03,0,3.954,-0.325,0.065,0.135,0.012,-0.024,0.000,0.000,0.000,0.000
969,3.8161,8.1251,0.0091,0.0100,-0.0046,-0.0006,-1.29,0.60,0.03,0,3.948,-0.128,0.224,0.017,0.008,-0.021,0.000,0.000,0.000,0.000
1019,3.8138,8.1274,0.0083,-0.0026,0.0067,-0.0046,-1.18,0.60,0.03,0,3.954,-0.218,0.084,0.363,0.010,-0.023,0.000,0.000,0.000,0.000
1071,3.8138,8.1251,0.0085,-0.0028,-0.0044,-0.0020,-1.27,0.59,0.03,0,3.948,0.231,0.044,-0.213,0.010,-0.023,0.000,0.000,0.000,0.000
1122,3.8161,8.1251,0.0075,0.0102,-0.0048,-0.0064,-1.19,0.59,0.03,0,3.954,-0.003,-0.450,-0.191,0.012,-0.023,0.000,0.000,0.000,0.000
1173,3.8138,8.1256,0.0080,-0.0017,-0.0021,-0.0015,-1.18,0.50,0.02,0,3.948,-0.128,-0.046,0.195,0.009,-0.023,0.000,0.000,0.000,0.000
1224,3.8150,8.1252,0.0084,0.0044,-0.0048,0.0015,-1.21,0.56,0.03,0,3.954,-0.064,-0.176,0.163,0.014,-0.021,0.000,0.000,0.000,0.000
1274,3.8159,8.1252,0.0101,0.0090,-0.0043,0.0099,-1.18,0.59,0.04,0,3.948,0.087,-0.061,-0.295,0.012,-0.022,0.000,0.000,0.000,0.000
1325,3.8160,8.1252,0.0091,0.0095,-0.0041,0.0028,-1.21,0.53,0.02,0,3.954,0.180,0.017,-0.292,0.009,-0.024,0.000,0.000,0.000,0.000
1377,3.8139,8.1251,0.0092,-0.0022,-0.0049,0.0033,-1.18,0.50,0.02,0,3.948,0.017,-0.059,0.140,0.012,-0.021,0.000,0.000,0.000,0.000
1427,3.8139,8.1252,0.0097,-0.0023,-0.0043,0.0060,-1.18,0.59,0.03,0,3.954,0.167,-0.139,0.121,0.011,-0.022,0.000,0.000,0.000,0.000
1479,3.8153,8.1256,0.0096,0.0053,-0.0019,0.0043,-1.18,0.60,0.03,0,3.948,0.019,-0.102,-0.353,0.011,-0.022,0.000,0.000,0.000,0.000
1529,3.8138,8.1251,0.0099,-0.0020,-0.0045,0.0048,-1.18,0.59,0.03,0,3.954,0.111,-0.037,-0.322,0.011,-0.021,0.000,0.000,0.000,0.000
1581,3.8141,8.1263,0.0084,-0.0009,0.0022,-0.0037,-1.19,0.58,0.03,0,3.948,-0.125,-0.142,0.251,0.010,-0.022,0.000,0.000,0.000,0.000
1632,3.8148,8.1256,0.0082,0.0029,-0.0014,-0.0039,-1.18,0.50,0.02,0,3.954,-0.039,-0.231,0.129,0.009,-0.023,0.000,0.000,0.000,0.000
1682,3.8139,8.1256,0.0089,-0.0028,-0.0013,0.0017,-1.19,0.50,0.01,0,3.948,0.052,-0.175,-0.320,0.010,-0.021,0.000,0.000,0.000,0.000
1733,3.8139,8.1252,0.0082,-0.0027,-0.0039,-0.0014,-1.20,0.55,0.02,0,3.954,-0.091,0.195,0.022,0.010,-0.023,0.000,0.000,0.000,0.000
1785,3.8148,8.1261,0.0081,0.0021,0.0006,-0.0010,-1.20,0.53,0.02,0,3.948,-0.121,0.328,0.067,0.011,-0.022,0.000,0.000,0.000,0.000
1835,3.8158,8.1253,0.0089,0.0078,-0.0041,0.0035,-1.23,0.54,0.02,0,3.954,-0.054,-0.173,-0.074,0.012,-0.021,0.000,0.000,0.000,0.000
1886,3.8160,8.1252,0.0082,0.0094,-0.0040,-0.0005,-1.19,0.51,0.02,0,3.948,-0.062,-0.003,-0.040,0.012,-0.020,0.000,0.000,0.000,0.000
1937,3.8140,8.1252,0.0090,-0.0020,-0.0039,0.0045,-1.19,0.50,0.02,0,3.954,0.124,0.070,-0.024,0.011,-0.023,0.000,0.000,0.000,0.000
1988,3.8159,8.1253,0.0100,0.0077,-0.0032,0.0093,-1.22,0.57,0.02,0,3.948,-0.077,0.203,-0.010,0.011,-0.023,0.000,0.000,0.000,0.000
2040,3.8146,8.1263,0.0095,0.0012,0.0016,0.0040,-1.23,0.56,0.02,0,3.948,-0.130,0.012,0.065,0.009,-0.021,0.000,0.000,0.000,0.000
2091,3.8158,8.1271,0.0081,0.0078,0.0053,-0.0040,-1.22,0.56,0.03,0,3.948,-0.262,0.242,0.063,0.009,-0.023,0.000,0.000,0.000,0.000
2141,3.8158,8.1253,0.0084,0.0070,-0.0051,-0.0009,-1.19,0.61,0.04,0,3.954,-0.081,-0.305,0.207,0.010,-0.021,0.000,0.000,0.000,0.000
2192,3.8158,8.1253,0.0078,0.0071,-0.0052,-0.0030,-1.24,0.55,0.03,0,3.948,-0.059,0.349,-0.171,0.011,-0.023,0.000,0.000,0.000,0.000
