a_hat_res_rms,a_hat_vs_a_res_rmse,a_res_rms,a_res_z_mean,a_res_z_rms,cmd_logged,controller,dz_cmd_m,dz_err_mean_m,dz_err_rms_m,dz_mean_m,e_R_peak,e_R_rmse,effort_proxy,fs_hz,gyro_band_frac,gyro_x_band_pow,gyro_x_dom_hz,gyro_y_band_pow,gyro_y_dom_hz,gyro_z_band_pow,gyro_z_dom_hz,min_dz_m,min_sep_m,min_sep_vs_cmd_m,motor_mean_ratio,motor_rms_ratio,motor_sat_frac,motor_spread_mean,n_raw,n_robots,n_samples,nan_fraction,notes,phase,phase_t_hi,phase_t_lo,pos_err_valid,pos_peak_m,pos_peak_z,pos_rmse_m,pos_rmse_x,pos_rmse_y,pos_rmse_z,rate_hz_est,run,scenario,spectrum_ok,study_controller,t_below_min_safe_s,t_end,t_start,tau_peak,tau_rms,vehicle_id
0.0,0.6955818708896868,0.6955818708896868,-0.5459657708072981,0.6663181569612011,1.0,stock_lee,,,,,0.519774205012138,0.1152084454469817,,,,,,,,,,,,,,,,,4001.0,2,4001.0,0.0,,scenario,8.0,0.0,1.0,0.1000626247357123,0.0940159999999999,0.0350676138799882,0.0055686079743556,0.014656390145376,0.031367473222598,500.0,A8_2026-09-19_14-58-02.meta,A8,0.0,stock_lee,,8.0,0.0,,,cf5
0.0,0.7774334579121581,0.7774334579121581,-0.5339252447353443,0.730911125102146,1.0,stock_lee,,,,,0.6411375465912131,0.1253990663656526,,,,,,,,,,,,,,,,,3514.0,2,3514.0,0.0,,land,15.026,8.0,1.0,0.1189404215395254,0.0999339999999999,0.0389326221764163,0.0031421862829241,0.0207662178812109,0.0327817011426354,500.0,A8_2026-09-19_14-58-02.meta,A8,0.0,stock_lee,,15.026,8.0,,,cf5
0.0,0.9374587230059352,0.9374587230059352,-0.6757181613333333,0.8975199190359191,1.0,stock_lee,,,,,0.519774205012138,0.1746460650728018,,,,,,,,,,,,,,,,,1500.0,2,1500.0,0.0,,approach1,6.496996996996997,3.496996996996997,1.0,0.1000626247357123,0.0940159999999999,0.0473932912836475,0.007449225717706,0.0200412433922149,0.0422963551408077,500.0,A8_2026-09-19_14-58-02.meta,A8,0.0,stock_lee,,6.496,3.498,,,cf5
0.0,0.0,0.0,0.0,0.0,1.0,stock_lee,,,,,0.0098000776527535,0.0098000776527535,,,,,,,,,,,,,,,,,4001.0,2,4001.0,0.0,,scenario,8.0,0.0,1.0,0.4506834160183842,0.449983,0.4466826080938977,0.0038694047776972,0.0192801869305572,0.4462495428257106,500.0,A8_2026-09-19_14-58-02.meta,A8,0.0,stock_lee,,8.0,0.0,,,cf_second
0.0,0.0,0.0,0.0,0.0,1.0,stock_lee,,,,,0.0098000776527535,0.0098000776527535,,,,,,,,,,,,,,,,,3514.0,2,3514.0,0.0,,land,15.026,8.0,1.0,0.4476007322726358,0.447009,0.4439709495441465,0.0050568104654678,0.0211764353258149,0.4434367951511682,500.0,A8_2026-09-19_14-58-02.meta,A8,0.0,stock_lee,,15.026,8.0,,,cf_second
0.0,0.0,0.0,0.0,0.0,1.0,stock_lee,,,,,0.0098000776527535,0.0098000776527535,,,,,,,,,,,,,,,,,1500.0,2,1500.0,0.0,,approach1,6.496996996996997,3.496996996996997,1.0,0.4506834160183842,0.4499809999999999,0.4474541521685866,0.0035912882669036,0.0224166572786696,0.4468778517872007,500.0,A8_2026-09-19_14-58-02.meta,A8,0.0,stock_lee,,6.496,3.498,,,cf_second
,,,,,,stock_lee,0.25,0.0166892126696832,0.0228867147509604,0.2333107873303167,,,,,,,,,,,,0.220801,0.2286060988600259,-0.021393901139974,,,,,,2,,,time offset between the two logs' own t[0]: +0.0000 s,,,,,,,,,,,,A8_2026-09-19_14-58-02.meta,A8,,stock_lee,0.0,,,,,__formation__
0.0,0.4476054052332802,0.4476054052332802,-0.20206884003999,0.409321177879708,1.0,stock_lee,,,,,0.6518627675239628,0.3028973803632932,,,,,,,,,,,,,,,,,4001.0,2,4001.0,0.0,,scenario,8.0,0.0,1.0,0.2415195361891041,0.1523689999999999,0.1119509275633387,0.068589033300357,0.0514118986142529,0.0720095228014477,500.0,A8_2026-09-19_15-00-55.meta,A8,0.0,stock_lee,,8.0,0.0,,,cf5
0.0,0.4911879285948143,0.4911879285948143,-0.2482759884024355,0.4652117547776666,1.0,stock_lee,,,,,0.471405673977308,0.247924577968994,,,,,,,,,,,,,,,,,3449.0,2,3449.0,0.0,,land,14.896,8.0,1.0,0.1443838400168108,0.1216009999999999,0.0945302217976892,0.0573804399490985,0.0348273198563433,0.0665620442594138,500.0,A8_2026-09-19_15-00-55.meta,A8,0.0,stock_lee,,14.896,8.0,,,cf5
0.0,0.684873313556538,0.684873313556538,-0.3675135853333333,0.6421649961622449,1.0,stock_lee,,,,,0.6518627675239628,0.3502188288628449,,,,,,,,,,,,,,,,,1500.0,2,1500.0,0.0,,approach1,6.496996996996997,3.496996996996997,1.0,0.2415195361891041,0.1523689999999999,0.1317800876098256,0.0739884409396584,0.0686613605544875,0.08471906317104,500.0,A8_2026-09-19_15-00-55.meta,A8,0.0,stock_lee,,6.496,3.498,,,cf5
