# meta:run_eval_mode=formation_scenario
# meta:scenario=A1
# meta:title=Vertical stack hover, dz=0.50 m
# meta:n_drones=2
# meta:duration_s=12.000
# meta:height=1.0
# meta:timescale=1.0
# meta:controller=6
# meta:ctrl_mode=3
# meta:tags=hover|data_collection
# meta:param_dz=0.5
# meta:param_hold=12.0
# meta:param_rotate_deg=0.0
# meta:realised_peak_speed=0.0
# meta:realised_peak_accel=0.0
# meta:realised_speed_requested=None
# meta:realised_period_effective=None
# meta:realised_period_pinned=False
# meta:realised_path_kind=fixed
# meta:indi_kr=2400.0
# meta:indi_kw=170.0
# meta:indi_kr_z=2400.0
# meta:indi_kw_z=170.0
# meta:indi_kr_geo=0.01
# meta:indi_kw_geo=0.0011
# meta:indi_kr_z_geo=0.01
# meta:indi_kw_z_geo=0.00138
# meta:indi_fc_bw=206.0
# meta:indi_mass=0.041
# meta:indi_kt1=4.1623e-10
# meta:indi_kt2=4.0592e-10
# meta:indi_kt3=4.1116e-10
# meta:indi_kt4=4.0631e-10
# meta:indi_j_scale=1.0
# meta:indi_notch_f0=6.9
# meta:indi_notch_bw=3.0
# meta:pos_kp_xy=64.0
# meta:pos_kp_z=48.0
# meta:pos_kv_xy=5.0
# meta:pos_kv_z=7.0
# meta:t_start_sim=1789494052.8774
# meta:usd_start_s=10.792952
time_s,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,roll,pitch,yaw,thrust,vbat,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,tau_x,tau_y,tau_z,alp_x,alp_y,alp_z,a_res_x,a_res_y,a_res_z
2.817505,-0.014163,0.530016,-0.023863,-0.008406,0.000860,0.000588,-0.087177,0.151809,0.184385,0.000000,3.964223,0.030579,-0.059973,0.113827,-0.005343,0.004952,1.003881,0.000000,0.000000,0.000000,-0.393065,1.055966,-1.808443,-0.063990,0.066129,9.546124
2.866309,-0.014076,0.530005,-0.023997,-0.008202,0.000683,0.000122,-0.086471,0.149748,0.189247,0.000000,3.964223,-0.367703,0.097355,-0.159273,0.004054,-0.003961,1.000421,0.000000,0.000000,0.000000,-0.915264,0.716544,3.629987,0.013240,-0.019876,9.510774
2.916298,-0.014073,0.530010,-0.023995,-0.007374,0.001217,0.000479,-0.085774,0.147290,0.192150,0.000000,3.964223,0.167120,0.551016,0.097046,0.001714,0.000036,0.997508,0.000000,0.000000,0.000000,0.317756,3.031271,-2.916275,-0.016517,0.015108,9.476814
2.966358,-0.014064,0.530010,-0.023733,-0.006246,0.001194,0.001724,-0.089058,0.146148,0.194312,0.000000,3.964223,0.180724,-0.407690,0.154737,-0.000302,-0.001739,1.002709,0.000000,0.000000,0.000000,2.646704,-2.401437,-0.537784,-0.014533,-0.002143,9.521626
3.017484,-0.014060,0.530013,-0.023988,-0.006206,0.001415,0.000298,-0.092098,0.146773,0.194090,0.000000,3.964223,-0.055489,-0.090128,0.489662,0.001869,-0.005504,1.000646,0.000000,0.000000,0.000000,0.305255,1.835869,-0.526750,-0.009532,-0.026118,9.507743
3.066439,-0.014060,0.530011,-0.023998,-0.006386,0.000994,0.000243,-0.092552,0.154815,0.195910,0.000000,3.964223,-0.259025,-0.509947,0.029519,-0.005436,0.004287,0.997807,0.000000,0.000000,0.000000,-1.964088,-1.788100,-1.307381,-0.073507,0.049304,9.473465
3.116427,-0.014068,0.530016,-0.023992,-0.007221,0.002087,0.000941,-0.088317,0.155136,0.198746,0.000000,3.964223,-0.324009,0.340181,-0.579426,0.004645,0.003104,1.002458,0.000000,0.000000,0.000000,1.160661,0.015893,-4.229408,0.010432,0.021761,9.517349
3.167379,-0.014072,0.530018,-0.023078,-0.007227,0.001866,0.005209,-0.090411,0.148862,0.201735,0.000000,3.964223,0.690867,0.757607,0.231147,-0.002289,-0.003131,1.000864,0.000000,0.000000,0.000000,2.052476,2.625394,3.408243,-0.045962,-0.002074,9.498819
3.217321,-0.014067,0.530024,-0.023965,-0.006834,0.002365,0.000745,-0.089797,0.150418,0.203922,0.000000,3.964223,-0.643150,-0.195501,-0.155873,0.000635,0.000349,1.001430,0.000000,0.000000,0.000000,-1.640018,-3.857327,-2.959014,-0.016144,0.014591,9.504941
3.266493,-0.014066,0.530022,-0.023995,-0.006737,0.002342,0.000402,-0.088323,0.149297,0.208641,0.000000,3.964223,0.252401,0.133333,0.508018,-0.000984,-0.004380,1.002380,0.000000,0.000000,0.000000,4.428759,1.703574,3.572468,-0.024277,-0.023774,9.505997
3.316300,-0.014066,0.530020,-0.023998,-0.006966,0.001802,0.000229,-0.089776,0.154562,0.206972,0.000000,3.964223,-0.062161,0.019746,-0.041203,0.001465,0.003255,0.999750,0.000000,0.000000,0.000000,-3.217234,-4.117409,-0.323371,-0.021580,0.051325,9.478591
3.366532,-0.014066,0.530015,-0.023485,-0.006731,0.001597,0.001969,-0.088086,0.148928,0.210027,0.000000,3.964223,-0.374873,-0.007147,-0.301123,0.002814,-0.004095,0.998143,0.000000,0.000000,0.000000,1.331584,-2.967810,0.656952,-0.008699,-0.041098,9.483918
3.415322,-0.014065,0.530024,-0.023884,-0.006730,0.002431,0.000596,-0.096986,0.152163,0.210399,0.000000,3.964223,0.390307,0.003164,-0.306977,0.000406,-0.001399,1.002729,0.000000,0.000000,0.000000,-0.667437,-1.065843,-4.190354,-0.021227,0.035201,9.506161
3.466349,-0.014058,0.530026,-0.023990,-0.005982,0.002938,0.001099,-0.098367,0.154698,0.209998,0.000000,3.964223,-0.629155,-0.200549,0.176311,0.001792,0.004712,1.002236,0.000000,0.000000,0.000000,-3.277537,-0.425444,-3.382023,-0.008569,0.042412,9.514785
3.516282,-0.014057,0.530026,-0.023988,-0.006048,0.002395,0.001279,-0.098366,0.156326,0.210416,0.000000,3.964223,0.503108,-0.063067,0.224066,-0.001228,-0.006537,1.003913,0.000000,0.000000,0.000000,4.018057,2.138360,1.969019,-0.035064,-0.036180,9.519463
3.566346,-0.014063,0.530023,-0.023991,-0.006693,0.002321,0.000956,-0.101238,0.156554,0.213412,0.000000,3.964223,-0.037120,0.417408,0.798050,0.002871,0.007991,0.996780,0.000000,0.000000,0.000000,-0.714925,2.226585,4.786184,-0.008576,0.083732,9.470073
3.616433,-0.014067,0.530016,-0.023788,-0.007058,0.001672,0.002919,-0.100177,0.155811,0.210727,0.000000,3.964223,0.218875,-0.193175,-0.033235,-0.007147,-0.007629,1.001682,0.000000,0.000000,0.000000,14.840178,-15.421401,9.295218,-0.101464,-0.053023,9.505100
3.666456,-0.014072,0.530020,-0.023099,-0.007784,0.002497,0.030919,-0.103488,0.218079,0.218703,0.000151,3.373021,-1.194180,-5.354404,-1.399060,-0.013347,-0.006612,1.017470,0.000000,0.000000,0.000000,-9.678900,-6.008610,-8.214234,-0.128185,-0.056996,0.834470
3.716435,-0.014769,0.530098,-0.012955,-0.019549,0.016076,0.306348,-0.875407,0.616842,0.170681,0.000672,3.563050,-41.431416,-35.450794,-1.552323,0.032406,-0.028842,1.616313,0.000000,0.000000,0.000000,14.187812,-14.071225,-6.468277,0.307222,-0.268088,1.426316
3.766421,-0.015897,0.531171,0.011212,-0.052013,0.055621,0.602002,-3.043861,2.554067,0.132031,0.001099,3.673900,-33.882877,-23.342361,-0.326187,0.008791,-0.005707,1.567260,0.000000,0.000000,0.000000,12.544005,-15.013187,-1.895558,0.073388,-0.026996,0.348350
3.817401,-0.018114,0.534015,0.046439,-0.086235,0.094729,0.792101,-3.813175,3.413709,0.161679,0.001074,3.763636,29.385746,6.493739,0.366540,0.002931,-0.015046,1.376134,0.000000,0.000000,0.000000,11.866449,20.407347,-8.708671,0.014076,-0.111979,0.294820
3.866496,-0.022064,0.538130,0.085528,-0.101284,0.108876,0.838075,-2.046022,2.114022,0.158999,0.000166,3.811144,42.713627,63.519169,3.458077,-0.001162,-0.002190,1.099905,0.000000,0.000000,0.000000,-1.256525,5.362987,2.635695,0.023280,-0.064414,-0.740279
