# meta:run_eval_mode=formation_scenario
# meta:scenario=A1
# meta:title=Vertical stack hover, dz=0.50 m
# meta:n_drones=2
# meta:duration_s=12.000
# meta:height=1.0
# meta:timescale=1.0
# meta:controller=6
# meta:ctrl_mode=0
# meta:tags=hover|data_collection
# meta:param_dz=0.5
# meta:param_hold=12.0
# meta:param_rotate_deg=0.0
# meta:realised_peak_speed=0.0
# meta:realised_peak_accel=0.0
# meta:realised_speed_requested=None
# meta:realised_period_effective=None
# meta:realised_period_pinned=False
# meta:realised_path_kind=fixed
# meta:indi_kr=2400.0
# meta:indi_kw=170.0
# meta:indi_kr_z=2400.0
# meta:indi_kw_z=170.0
# meta:indi_kr_geo=0.01
# meta:indi_kw_geo=0.0011
# meta:indi_kr_z_geo=0.01
# meta:indi_kw_z_geo=0.00138
# meta:indi_fc_bw=206.0
# meta:indi_mass=0.041
# meta:indi_kt1=4.1623e-10
# meta:indi_kt2=4.0592e-10
# meta:indi_kt3=4.1116e-10
# meta:indi_kt4=4.0631e-10
# meta:indi_j_scale=1.0
# meta:indi_notch_f0=6.9
# meta:indi_notch_bw=3.0
# meta:pos_kp_xy=40.0
# meta:pos_kp_z=30.0
# meta:pos_kv_xy=8.0
# meta:pos_kv_z=10.0
# meta:indi_rpm_source=1.0
# meta:config_source=all+robot_override
# meta:shared_controller=6
# meta:shared_ctrl_mode=3
# meta:gains_apply=1
time_s,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,roll,pitch,yaw,thrust,vbat,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,tau_x,tau_y,tau_z,alp_x,alp_y,alp_z,a_res_x,a_res_y,a_res_z
7.239591,-0.050047,0.466193,-0.019028,-0.002222,-0.017498,-0.001356,0.363944,0.037915,-0.938325,0.000000,3.768915,-0.324899,0.469984,0.372303,0.001084,0.002136,0.995054,0.000000,0.000000,0.000000,-0.496132,1.928123,9.916243,0.007669,-0.045919,9.575272
7.289623,-0.050041,0.465659,-0.019026,-0.001865,-0.018531,-0.001194,0.359171,0.032140,-0.948170,0.000000,3.768915,0.118863,-0.047930,-0.390843,0.002841,0.004599,0.999946,0.000000,0.000000,0.000000,1.723159,4.104244,-0.550193,0.025686,-0.013120,9.608910
7.339502,-0.050046,0.466608,-0.019022,-0.002518,-0.013357,-0.001163,0.352167,0.032639,-0.973799,0.000000,3.768915,0.334347,-0.344978,-1.192602,-0.001880,0.002763,1.002538,0.000000,0.000000,0.000000,-1.327439,-4.058449,-10.042418,-0.029181,-0.024035,9.615422
7.390601,-0.050045,0.466759,-0.018198,-0.002244,-0.012352,0.003235,0.331539,0.037304,-0.986076,0.000000,3.774194,0.065277,0.349480,0.829142,-0.001892,0.005234,0.998018,0.000000,0.000000,0.000000,1.707888,2.781911,6.669961,-0.017802,-0.004315,9.589839
7.439544,-0.050976,0.466772,-0.016443,-0.005207,-0.011836,0.009973,0.327926,0.033878,-0.990250,0.000000,3.774194,0.337727,-0.149381,0.084789,-0.002895,0.007883,1.000174,0.000000,0.000000,0.000000,-2.348636,-2.672820,-1.401073,-0.029303,0.010849,9.593184
7.489604,-0.051099,0.467055,-0.012474,-0.005474,-0.009918,0.023490,0.323071,0.054505,-1.003854,0.000000,3.774194,-0.089944,0.035076,-0.053129,-0.001342,0.008434,0.996613,0.000000,0.000000,0.000000,-3.553080,-0.045062,-3.041569,-0.021928,0.027616,9.561821
7.540418,-0.052047,0.466789,-0.005354,-0.008872,-0.011157,0.047306,0.317922,0.064299,-1.016892,0.000000,3.774194,-0.059098,0.242104,-0.117169,0.002087,0.004276,0.997966,0.000000,0.000000,0.000000,-1.969857,4.383410,2.349708,0.018730,-0.010333,9.575580
7.588419,-0.053102,0.466772,0.002776,-0.011961,-0.011648,0.069707,0.323885,0.086326,-1.016181,0.000000,3.774194,-0.598691,0.187421,-0.453423,0.003863,0.004294,1.000885,0.000000,0.000000,0.000000,-0.907905,3.266409,-2.151434,0.016587,-0.018466,9.601933
7.639674,-0.053995,0.466786,0.013438,-0.012549,-0.011064,0.097467,0.324737,0.104884,-1.015172,0.000000,3.774194,-0.321443,0.561115,0.568315,-0.000348,0.002285,0.995786,0.000000,0.000000,0.000000,-1.787885,1.320571,3.598794,-0.013512,-0.019419,9.559310
7.689564,-0.054737,0.465749,0.025883,-0.012508,-0.014318,0.127610,0.343164,0.100996,-1.024497,0.000000,3.774194,-0.082108,0.069419,-0.554574,-0.002561,0.005218,1.001407,0.000000,0.000000,0.000000,1.216692,-0.379243,-0.337196,-0.039137,-0.011210,9.602825
