# meta:run_eval_mode=formation_scenario
# meta:scenario=A1
# meta:title=Vertical stack hover, dz=0.50 m
# meta:n_drones=2
# meta:duration_s=15.000
# meta:height=1.0
# meta:timescale=1.0
# meta:controller=6
# meta:ctrl_mode=0
# meta:tags=hover|data_collection
# meta:param_dz=0.5
# meta:param_hold=15.0
# meta:param_rotate_deg=0.0
# meta:realised_peak_speed=0.0
# meta:realised_peak_accel=0.0
# meta:realised_speed_requested=None
# meta:realised_period_effective=None
# meta:realised_period_pinned=False
# meta:realised_path_kind=fixed
# meta:indi_kr=2400.0
# meta:indi_kw=170.0
# meta:indi_kr_z=2400.0
# meta:indi_kw_z=170.0
# meta:indi_kr_geo=0.01
# meta:indi_kw_geo=0.0011
# meta:indi_kr_z_geo=0.01
# meta:indi_kw_z_geo=0.00138
# meta:indi_fc_bw=206.0
# meta:indi_mass=0.041
# meta:indi_kt1=4.1623e-10
# meta:indi_kt2=4.0592e-10
# meta:indi_kt3=4.1116e-10
# meta:indi_kt4=4.0631e-10
# meta:indi_j_scale=1.0
# meta:indi_notch_f0=6.9
# meta:indi_notch_bw=3.0
# meta:pos_kp_xy=40.0
# meta:pos_kp_z=30.0
# meta:pos_kv_xy=8.0
# meta:pos_kv_z=10.0
# meta:t_start_sim=1789987332.2014
# meta:usd_start_s=15.184181
# meta:indi_rpm_source=1.0
# meta:config_source=all+robot_override
# meta:shared_controller=6
# meta:shared_ctrl_mode=3
# meta:gains_apply=1
time_s,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,roll,pitch,yaw,thrust,vbat,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,tau_x,tau_y,tau_z,alp_x,alp_y,alp_z,a_res_x,a_res_y,a_res_z
7.215639,0.364117,-0.008159,-0.023973,0.012055,-0.016042,0.002601,-0.675922,-0.250921,0.737143,0.000000,3.816422,0.189852,-0.020378,-0.113002,-0.000758,-0.016556,1.000954,0.000000,0.000000,0.000000,0.643748,2.510677,-1.048193,0.031793,-0.043068,9.588703
7.264694,0.364257,-0.008326,-0.023947,0.013615,-0.016965,0.002547,-0.674601,-0.248109,0.734065,0.000000,3.816422,0.460277,0.087502,-0.097741,0.002599,-0.017672,0.999665,0.000000,0.000000,0.000000,3.203716,2.420244,-0.895147,0.069149,-0.048649,9.573246
7.315587,0.364264,-0.008329,-0.023949,0.013845,-0.016965,0.002742,-0.676778,-0.250081,0.733428,0.000000,3.816422,0.372807,0.779066,0.163114,0.003307,-0.015875,0.997039,0.000000,0.000000,0.000000,0.028564,2.181613,0.206996,0.074564,-0.043548,9.541428
7.363563,0.364135,-0.008158,-0.023971,0.014112,-0.016067,0.003205,-0.674017,-0.251856,0.730984,0.000000,3.816422,0.069728,-0.326300,-0.066684,0.004196,-0.016389,0.998789,0.000000,0.000000,0.000000,0.641468,0.187756,-1.568194,0.086018,-0.048526,9.557056
7.415575,0.364288,-0.008315,-0.023933,0.014861,-0.016226,0.003596,-0.672050,-0.247315,0.726899,0.000000,3.816422,-0.711732,-0.282424,-0.124772,0.003369,-0.013615,1.002994,0.000000,0.000000,0.000000,-3.378073,-1.746204,-1.374600,0.070476,-0.033836,9.587657
7.465547,0.364295,-0.008315,-0.023935,0.015246,-0.016232,0.003208,-0.671908,-0.247104,0.725096,0.000000,3.816422,-0.696751,-0.405051,0.284866,-0.002925,-0.017122,1.002972,0.000000,0.000000,0.000000,-2.255761,-0.661737,0.896590,0.012636,-0.065482,9.585279
7.516534,0.364289,-0.008313,-0.023963,0.014619,-0.016330,0.001828,-0.671980,-0.241909,0.725414,0.000000,3.816422,-0.342677,0.201348,0.051331,-0.004248,-0.017539,0.999114,0.000000,0.000000,0.000000,1.206687,-0.237188,-0.008008,-0.000107,-0.057959,9.550443
7.564601,0.364139,-0.008153,-0.023990,0.014097,-0.015714,0.000745,-0.671895,-0.238566,0.728226,0.000000,3.816422,0.252717,0.445029,-0.184937,-0.002587,-0.018016,1.002039,0.000000,0.000000,0.000000,1.047033,0.529253,-2.752959,0.013786,-0.047067,9.588384
7.615571,0.364276,-0.008303,-0.023982,0.014268,-0.015418,0.001059,-0.671208,-0.232775,0.731669,0.000000,3.816422,0.314028,0.516450,-0.196645,-0.000461,-0.012787,1.002579,0.000000,0.000000,0.000000,0.282206,0.731321,-0.490029,0.034778,-0.003824,9.592105
7.664667,0.364270,-0.008303,-0.023982,0.013754,-0.015548,0.000844,-0.670009,-0.233396,0.733856,0.000000,3.816422,-0.271852,0.354012,-0.395218,0.005434,-0.012080,1.000145,0.000000,0.000000,0.000000,-0.749446,0.327346,-0.135567,0.091399,-0.011045,9.564911
7.716701,0.364260,-0.008306,-0.023983,0.013398,-0.016167,0.000734,-0.670488,-0.235073,0.730166,0.000000,3.816422,-0.301725,-0.111544,0.234632,0.002742,-0.016236,1.002347,0.000000,0.000000,0.000000,0.422070,0.894989,-1.539664,0.063519,-0.053434,9.580070
