# meta:run_eval_mode=formation_scenario
# meta:scenario=A1
# meta:title=Vertical stack hover, dz=0.30 m
# meta:n_drones=2
# meta:duration_s=15.000
# meta:height=1.0
# meta:timescale=1.0
# meta:controller=6
# meta:ctrl_mode=0
# meta:tags=hover|data_collection
# meta:param_dz=0.3
# meta:param_hold=15.0
# meta:param_rotate_deg=0.0
# meta:realised_peak_speed=0.0
# meta:realised_peak_accel=0.0
# meta:realised_speed_requested=None
# meta:realised_period_effective=None
# meta:realised_period_pinned=False
# meta:realised_path_kind=fixed
# meta:indi_kr=2400.0
# meta:indi_kw=170.0
# meta:indi_kr_z=2400.0
# meta:indi_kw_z=170.0
# meta:indi_kr_geo=0.01
# meta:indi_kw_geo=0.0011
# meta:indi_kr_z_geo=0.01
# meta:indi_kw_z_geo=0.00138
# meta:indi_fc_bw=206.0
# meta:indi_mass=0.041
# meta:indi_kt1=4.1623e-10
# meta:indi_kt2=4.0592e-10
# meta:indi_kt3=4.1116e-10
# meta:indi_kt4=4.0631e-10
# meta:indi_j_scale=1.0
# meta:indi_notch_f0=6.9
# meta:indi_notch_bw=3.0
# meta:pos_kp_xy=40.0
# meta:pos_kp_z=30.0
# meta:pos_kv_xy=8.0
# meta:pos_kv_z=10.0
# meta:indi_rpm_source=1.0
# meta:config_source=all+robot_override
# meta:shared_controller=6
# meta:shared_ctrl_mode=3
# meta:gains_apply=1
time_s,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,roll,pitch,yaw,thrust,vbat,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,tau_x,tau_y,tau_z,alp_x,alp_y,alp_z,a_res_x,a_res_y,a_res_z
7.237470,0.006225,0.367463,-0.014680,0.011601,-0.027969,0.003706,-0.088664,-0.153634,-0.726253,0.000000,3.885044,0.099761,0.113111,0.134524,0.002172,-0.010822,1.002794,0.000000,0.000000,0.000000,2.100914,0.876992,1.944469,0.045833,-0.095228,9.606996
7.286612,0.006217,0.367452,-0.014952,0.011340,-0.028360,0.002010,-0.084772,-0.150523,-0.724721,0.000000,3.885044,0.100690,0.333220,0.017982,-0.000427,-0.010155,1.002451,0.000000,0.000000,0.000000,0.115010,1.388793,1.560621,0.019325,-0.088700,9.593824
7.337245,0.006232,0.367457,-0.014961,0.012259,-0.027877,0.002366,-0.086422,-0.154383,-0.719300,0.000000,3.885044,0.040943,0.172800,-0.010951,0.002809,-0.008120,1.001256,0.000000,0.000000,0.000000,-1.211275,-0.176998,0.556283,0.042228,-0.072990,9.584319
7.386475,0.006234,0.367456,-0.014695,0.011913,-0.028129,0.002572,-0.089062,-0.156699,-0.715959,0.000000,3.885044,0.036059,0.297326,0.138203,0.000237,-0.009811,0.997678,0.000000,0.000000,0.000000,-0.405381,-3.396542,-0.645747,0.025487,-0.075640,9.526543
7.437601,0.006115,0.367732,-0.014986,0.011823,-0.027511,0.000644,-0.086068,-0.153179,-0.710735,0.000000,3.885044,-0.212967,0.102399,-0.081687,-0.001610,-0.008304,0.999607,0.000000,0.000000,0.000000,-0.794644,0.237893,0.358879,0.018143,-0.063858,9.541017
7.487084,0.006237,0.367454,-0.014976,0.012235,-0.027731,0.001532,-0.079713,-0.153381,-0.707861,0.000000,3.885044,-0.287020,-0.576770,0.013038,0.001714,-0.006309,1.001023,0.000000,0.000000,0.000000,-0.735675,1.432237,-0.269284,0.046991,-0.063519,9.565454
7.539502,0.006239,0.367462,-0.014429,0.012627,-0.028031,0.003940,-0.084039,-0.156208,-0.704466,0.000000,3.885044,-0.099594,0.133517,0.196862,0.005099,-0.010509,1.001480,0.000000,0.000000,0.000000,1.114691,4.699247,1.515954,0.077447,-0.091043,9.558102
7.586477,0.006241,0.367461,-0.014954,0.012553,-0.027785,0.001433,-0.087617,-0.155074,-0.699477,0.000000,3.885044,0.032246,0.261211,0.017070,0.004746,-0.009423,1.004510,0.000000,0.000000,0.000000,0.345853,1.469969,-0.107607,0.057601,-0.075421,9.582618
7.636497,0.006241,0.367455,-0.014968,0.012288,-0.028246,0.001771,-0.089529,-0.157921,-0.695032,0.000000,3.885044,-0.090174,0.102174,-0.069615,0.002415,-0.011464,1.001882,0.000000,0.000000,0.000000,0.074976,0.137099,-0.455891,0.040486,-0.096843,9.558036
7.687562,0.006242,0.367456,-0.014969,0.012602,-0.027984,0.001730,-0.087376,-0.157269,-0.690463,0.000000,3.885044,-0.182308,-0.407471,-0.354167,0.000431,-0.009891,0.995887,0.000000,0.000000,0.000000,-2.181193,-0.179445,-1.580925,0.049174,-0.085092,9.512515
7.736492,0.006250,0.367458,-0.014554,0.013287,-0.027784,0.003605,-0.091135,-0.158846,-0.687596,0.000000,3.885044,0.020055,-0.232649,-0.185035,0.005595,-0.011634,1.002709,0.000000,0.000000,0.000000,0.878921,2.545253,-1.170569,0.085542,-0.098020,9.574225
7.785547,0.006260,0.367471,-0.014953,0.013672,-0.027402,0.001906,-0.091925,-0.158772,-0.686749,0.000000,3.885044,0.022544,0.603559,0.077958,0.006236,-0.008909,1.002290,0.000000,0.000000,0.000000,0.754628,0.896870,-0.014695,0.077183,-0.076348,9.564423
7.837561,0.006262,0.367467,-0.014414,0.013580,-0.027536,0.004802,-0.092618,-0.161608,-0.683750,0.000000,3.885044,-0.146204,0.069145,0.003345,-0.000506,-0.010706,1.003194,0.000000,0.000000,0.000000,-1.110532,-1.221699,1.471151,0.011917,-0.088471,9.567519
7.886531,0.006272,0.367471,-0.014938,0.014006,-0.026828,0.002269,-0.096840,-0.163181,-0.680520,0.000000,3.885044,-0.249048,-0.447939,-0.218783,-0.000875,-0.006927,1.002403,0.000000,0.000000,0.000000,-0.074284,-0.709668,1.056744,0.028402,-0.038748,9.565535
7.935530,0.006270,0.367476,-0.014689,0.014143,-0.027254,0.002957,-0.098617,-0.161616,-0.679729,0.000000,3.885044,-0.033434,-0.502033,-0.364745,0.002937,-0.008607,1.000302,0.000000,0.000000,0.000000,1.705661,0.625158,-0.617207,0.071425,-0.068766,9.562850
7.987127,0.006130,0.367742,-0.014973,0.013069,-0.026580,0.002986,-0.098070,-0.167362,-0.678081,0.000000,3.885044,-0.102097,0.544318,0.077243,0.005313,-0.006410,1.005132,0.000000,0.000000,0.000000,1.850454,0.576926,-8.905577,0.074592,-0.052091,9.594109
8.038426,0.006254,0.367524,-0.014202,0.013184,-0.023722,0.028951,-0.081020,-0.182493,-0.668535,-0.000103,3.330792,4.303537,2.104363,0.613949,0.000607,-0.017829,1.026686,0.000000,0.000000,0.000000,24.606489,7.072609,1.808594,0.013669,-0.129364,3.898284
