# meta:run_eval_mode=formation_scenario
# meta:scenario=A1
# meta:title=Vertical stack hover, dz=0.30 m
# meta:n_drones=2
# meta:duration_s=15.000
# meta:height=1.0
# meta:timescale=1.0
# meta:controller=5
# meta:ctrl_mode=3
# meta:tags=hover|data_collection
# meta:param_dz=0.3
# meta:param_hold=15.0
# meta:param_rotate_deg=0.0
# meta:realised_peak_speed=0.0
# meta:realised_peak_accel=0.0
# meta:realised_speed_requested=None
# meta:realised_period_effective=None
# meta:realised_period_pinned=False
# meta:realised_path_kind=fixed
# meta:indi_kr=2400.0
# meta:indi_kw=170.0
# meta:indi_kr_z=2400.0
# meta:indi_kw_z=170.0
# meta:indi_kr_geo=0.01
# meta:indi_kw_geo=0.0011
# meta:indi_kr_z_geo=0.01
# meta:indi_kw_z_geo=0.00138
# meta:indi_fc_bw=206.0
# meta:indi_mass=0.041
# meta:indi_kt1=4.1623e-10
# meta:indi_kt2=4.0592e-10
# meta:indi_kt3=4.1116e-10
# meta:indi_kt4=4.0631e-10
# meta:indi_j_scale=1.0
# meta:indi_notch_f0=6.9
# meta:indi_notch_bw=3.0
# meta:pos_kp_xy=64.0
# meta:pos_kp_z=48.0
# meta:pos_kv_xy=5.0
# meta:pos_kv_z=7.0
# meta:config_source=all+robot_override
# meta:shared_controller=6
# meta:shared_ctrl_mode=3
# meta:gains_apply=0
time_s,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,roll,pitch,yaw,thrust,vbat,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,tau_x,tau_y,tau_z,alp_x,alp_y,alp_z,a_res_x,a_res_y,a_res_z
7.225688,0.006157,-0.396208,-0.030979,0.024203,-0.021085,0.002246,0.398698,0.063632,-0.156999,0.000000,3.842815,-0.009947,0.109836,-0.019602,0.005238,0.001715,1.001372,-0.000308,0.000418,-0.000351,0.942445,-0.482265,-0.455491,0.000000,0.000000,0.000000
7.274563,0.006233,-0.396207,-0.030978,0.024115,-0.021170,0.002284,0.396818,0.061012,-0.155982,0.000000,3.837537,-0.172540,-0.077034,0.149155,0.008465,0.002020,1.000185,-0.000308,0.000418,-0.000351,0.942445,-0.482265,-0.455491,0.000000,0.000000,0.000000
7.324672,0.006235,-0.396206,-0.030979,0.024158,-0.020958,0.002173,0.391528,0.065150,-0.155380,0.000000,3.842815,-0.020798,0.359488,-0.034188,0.009300,0.001827,1.000727,-0.000308,0.000418,-0.000351,0.942445,-0.482265,-0.455491,0.000000,0.000000,0.000000
7.374733,0.006236,-0.396207,-0.030981,0.024127,-0.021254,0.001910,0.388590,0.063225,-0.152954,0.000000,3.842815,0.254326,0.203201,0.116509,0.007156,0.000190,0.999899,-0.000308,0.000418,-0.000351,0.942445,-0.482265,-0.455491,0.000000,0.000000,0.000000
7.424674,0.006234,-0.396208,-0.030978,0.023894,-0.021363,0.002373,0.386886,0.068606,-0.152229,0.000000,3.842815,0.045725,0.146840,0.106459,0.008801,0.000305,1.002920,-0.000308,0.000418,-0.000351,0.942445,-0.482265,-0.455491,0.000000,0.000000,0.000000
7.475580,0.006238,-0.396208,-0.030971,0.024438,-0.021234,0.003036,0.382207,0.064286,-0.150848,0.000000,3.842815,0.085428,-0.053473,-0.023400,0.006776,0.001821,1.000601,-0.000308,0.000418,-0.000351,0.942445,-0.482265,-0.455491,0.000000,0.000000,0.000000
7.524604,0.006238,-0.396207,-0.030972,0.024426,-0.020988,0.002914,0.381762,0.063770,-0.150469,0.000000,3.842815,-0.143986,0.206087,-0.121751,0.007926,0.000689,0.998979,-0.000308,0.000418,-0.000351,0.942445,-0.482265,-0.455491,0.000000,0.000000,0.000000
7.574702,0.006238,-0.396205,-0.030974,0.024229,-0.020918,0.002792,0.380158,0.061706,-0.148817,0.000000,3.842815,0.082540,-0.424154,-0.270189,0.005847,0.000005,1.001658,-0.000308,0.000418,-0.000351,0.942445,-0.482265,-0.455491,0.000000,0.000000,0.000000
7.623680,0.006237,-0.396205,-0.030974,0.024269,-0.020934,0.002632,0.381418,0.061965,-0.148263,0.000000,3.842815,-0.040683,0.258021,-0.011682,0.008056,0.001235,1.001861,-0.000308,0.000418,-0.000351,0.942445,-0.482265,-0.455491,0.000000,0.000000,0.000000
7.675576,0.006241,-0.396204,-0.030975,0.024886,-0.020687,0.002717,0.379068,0.058270,-0.145539,0.000000,3.842815,-0.044747,0.304432,-0.141306,0.008103,0.002775,1.000111,-0.000308,0.000418,-0.000351,0.942445,-0.482265,-0.455491,0.000000,0.000000,0.000000
7.724726,0.005981,-0.396201,-0.030974,0.023610,-0.020436,0.002852,0.376989,0.057259,-0.144462,0.000000,3.842815,-0.087532,-0.082645,-0.152088,0.008002,0.001237,0.999453,-0.000308,0.000418,-0.000351,0.942445,-0.482265,-0.455491,0.000000,0.000000,0.000000
7.773733,0.006229,-0.396200,-0.030980,0.023967,-0.020359,0.001950,0.373134,0.069190,-0.146608,0.000000,3.837537,0.094263,0.088901,0.048597,0.005521,0.001209,1.001024,-0.000308,0.000418,-0.000351,0.942445,-0.482265,-0.455491,0.000000,0.000000,0.000000
7.824664,0.005972,-0.396197,-0.030981,0.022666,-0.019995,0.001819,0.369115,0.070046,-0.147170,0.000000,3.842815,-0.109464,-0.067293,0.024713,0.009284,0.002769,1.000146,-0.000308,0.000418,-0.000351,0.942445,-0.482265,-0.455491,0.000000,0.000000,0.000000
7.873619,0.006221,-0.396193,-0.030981,0.023396,-0.019639,0.002021,0.365998,0.082837,-0.149955,0.000000,3.842815,-0.213582,-0.128854,-0.259889,0.007053,0.000807,1.001240,-0.000308,0.000418,-0.000351,0.942445,-0.482265,-0.455491,0.000000,0.000000,0.000000
7.924713,0.006229,-0.396195,-0.030980,0.023499,-0.019945,0.002077,0.364478,0.083952,-0.150774,0.000000,3.842815,-0.140331,-0.392552,-0.128605,0.006905,0.000290,1.001162,-0.000308,0.000418,-0.000351,0.942445,-0.482265,-0.455491,0.000000,0.000000,0.000000
7.974534,0.006232,-0.396196,-0.030979,0.023691,-0.020114,0.002428,0.362165,0.085681,-0.151758,0.000000,3.842815,-0.318179,-0.077556,-0.003497,0.007112,0.000353,1.001849,-0.000308,0.000418,-0.000351,0.942445,-0.482265,-0.455491,0.000000,0.000000,0.000000
8.023792,0.006231,-0.396197,-0.030972,0.023720,-0.019871,0.003151,0.363189,0.084089,-0.149151,0.000000,3.842815,-0.113962,0.368569,0.159109,0.006449,0.003098,1.002571,-0.000308,0.000418,-0.000351,0.942445,-0.482265,-0.455491,0.000000,0.000000,0.000000
8.074683,0.006228,-0.396196,-0.030970,0.023327,-0.019963,0.003113,0.361995,0.083857,-0.146761,0.000000,3.842815,-0.127562,0.270702,0.070650,0.009545,0.000253,1.000132,-0.000308,0.000418,-0.000351,0.942445,-0.482265,-0.455491,0.000000,0.000000,0.000000
8.123587,0.006229,-0.396198,-0.030973,0.023248,-0.020318,0.002676,0.360587,0.085689,-0.146897,0.000000,3.842815,0.009860,-0.235723,0.031295,0.009117,0.000095,1.000248,-0.000308,0.000418,-0.000351,0.942445,-0.482265,-0.455491,0.000000,0.000000,0.000000
8.175641,0.006229,-0.396198,-0.030976,0.023393,-0.020027,0.002542,0.360249,0.086845,-0.143801,0.000000,3.842815,-0.019440,0.213453,0.102100,0.007771,0.000475,1.003027,-0.000308,0.000418,-0.000351,0.942445,-0.482265,-0.455491,0.000000,0.000000,0.000000
8.224553,0.006231,-0.396197,-0.030974,0.023748,-0.019998,0.002872,0.357313,0.082694,-0.141785,0.000000,3.842815,-0.313954,0.039358,-0.231622,0.007670,0.001057,1.000415,-0.000308,0.000418,-0.000351,0.942445,-0.482265,-0.455491,0.000000,0.000000,0.000000
8.273694,0.006232,-0.396196,-0.030972,0.023708,-0.020055,0.002790,0.356152,0.074091,-0.138797,0.000000,3.842815,-0.067079,0.000290,0.108806,0.006515,0.001642,1.000016,-0.000308,0.000418,-0.000351,0.942445,-0.482265,-0.455491,0.000000,0.000000,0.000000
8.324579,0.006227,-0.396193,-0.030975,0.023243,-0.019561,0.002670,0.352608,0.070963,-0.138628,0.000000,3.842815,-0.072599,-0.375010,0.117114,0.009419,0.002335,1.000739,-0.000308,0.000418,-0.000351,0.942445,-0.482265,-0.455491,0.000000,0.000000,0.000000
8.374698,0.006227,-0.396187,-0.030971,0.023273,-0.018788,0.003070,0.352758,0.068904,-0.134029,0.000000,3.842815,0.010497,0.073705,0.009101,0.008146,0.002698,1.000971,-0.000308,0.000418,-0.000351,0.942445,-0.482265,-0.455491,0.000000,0.000000,0.000000
8.423690,0.006195,-0.396182,-0.030967,0.023156,-0.018466,0.003640,0.348586,0.078781,-0.134848,0.000000,3.842815,0.108290,-0.326490,-0.157270,0.005131,0.001054,1.001574,-0.000308,0.000418,-0.000351,0.942445,-0.482265,-0.455491,0.000000,0.000000,0.000000
8.473680,0.005708,-0.396183,-0.030965,0.020903,-0.018798,0.003729,0.348814,0.082533,-0.135448,0.000000,3.842815,-0.021711,0.181045,0.118154,0.007080,0.001137,1.001715,-0.000308,0.000418,-0.000351,0.942445,-0.482265,-0.455491,0.000000,0.000000,0.000000
8.524768,0.006207,-0.396186,-0.030968,0.022942,-0.019074,0.003166,0.347414,0.092782,-0.136865,0.000000,3.842815,-0.051274,-0.308784,-0.210630,0.008171,0.000724,0.999064,-0.000308,0.000418,-0.000351,0.942445,-0.482265,-0.455491,0.000000,0.000000,0.000000
8.573733,0.006218,-0.396190,-0.030968,0.022027,-0.019477,0.003359,0.344661,0.095823,-0.137137,0.000000,3.842815,-0.053110,-0.209421,-0.105898,0.006893,0.000804,1.001311,-0.000308,0.000418,-0.000351,0.942445,-0.482265,-0.455491,0.000000,0.000000,0.000000
8.623642,0.006214,-0.396193,-0.030970,0.021925,-0.019715,0.003002,0.342540,0.101932,-0.137406,0.000000,3.842815,0.169404,0.046960,0.139798,0.007809,0.004643,1.001250,-0.000308,0.000418,-0.000351,0.942445,-0.482265,-0.455491,0.000000,0.000000,0.000000
8.674698,0.006213,-0.396190,-0.030968,0.021727,-0.019322,0.003430,0.341693,0.100203,-0.135556,0.000000,3.842815,-0.283410,0.021063,-0.049854,0.010261,0.003585,1.000306,-0.000308,0.000418,-0.000351,0.942445,-0.482265,-0.455491,0.000000,0.000000,0.000000
8.723606,0.006212,-0.396186,-0.030966,0.021521,-0.018843,0.003564,0.338280,0.096336,-0.132997,0.000000,3.842815,0.180792,0.030140,-0.220151,0.006426,0.001312,1.001101,-0.000308,0.000418,-0.000351,0.942445,-0.482265,-0.455491,0.000000,0.000000,0.000000
8.773721,0.006212,-0.396182,-0.030969,0.021987,-0.018399,0.003211,0.339551,0.096746,-0.135478,0.000000,3.842815,-0.080772,-0.029665,0.039816,0.009486,-0.000203,0.999484,-0.000308,0.000418,-0.000351,0.942445,-0.482265,-0.455491,0.000000,0.000000,0.000000
8.823542,0.006216,-0.396179,-0.030974,0.022347,-0.017888,0.002781,0.337076,0.101109,-0.133860,0.000000,3.842815,-0.134732,0.261208,0.045336,0.009790,0.003918,1.004072,-0.000308,0.000418,-0.000351,0.942445,-0.482265,-0.455491,0.000000,0.000000,0.000000
8.873526,0.006216,-0.396171,-0.030973,0.021964,-0.017442,0.002816,0.334770,0.100753,-0.134260,0.000000,3.842815,-0.214951,0.068207,0.131452,0.007427,0.001253,1.000765,-0.000308,0.000418,-0.000351,0.942445,-0.482265,-0.455491,0.000000,0.000000,0.000000
8.923742,0.006217,-0.396172,-0.030974,0.022458,-0.017547,0.002601,0.329717,0.100158,-0.131587,0.000000,3.842815,-0.134484,-0.227046,-0.035245,0.009715,0.001135,1.000666,-0.000308,0.000418,-0.000351,0.942445,-0.482265,-0.455491,0.000000,0.000000,0.000000
8.974629,0.006220,-0.396172,-0.030976,0.022520,-0.017587,0.002302,0.326506,0.103482,-0.131522,0.000000,3.842815,-0.123552,-0.181733,0.314205,0.007948,-0.000345,1.001313,-0.000308,0.000418,-0.000351,0.942445,-0.482265,-0.455491,0.000000,0.000000,0.000000
9.023562,0.006223,-0.396172,-0.030974,0.022951,-0.017468,0.002945,0.320768,0.099959,-0.128600,0.000000,3.842815,-0.093960,0.511980,0.073431,0.006928,0.000718,1.001060,-0.000308,0.000418,-0.000351,0.942445,-0.482265,-0.455491,0.000000,0.000000,0.000000
9.073678,0.006222,-0.396172,-0.030974,0.022720,-0.017674,0.002689,0.318250,0.103524,-0.129937,0.000000,3.842815,-0.038172,-0.725337,0.073827,0.007148,0.000911,1.000779,-0.000308,0.000418,-0.000351,0.942445,-0.482265,-0.455491,0.000000,0.000000,0.000000
9.124768,0.005448,-0.396169,-0.030972,0.019894,-0.016850,0.003116,0.316495,0.103630,-0.129106,0.000000,3.842815,0.347065,-0.035084,-0.036505,0.007118,0.002999,1.004334,-0.000308,0.000418,-0.000351,0.942445,-0.482265,-0.455491,0.000000,0.000000,0.000000
9.173729,0.006197,-0.396162,-0.030967,0.022469,-0.016540,0.003465,0.318508,0.118610,-0.133093,0.000000,3.842815,0.191765,0.041353,0.133547,0.007714,-0.000617,1.002989,-0.000308,0.000418,-0.000351,0.942445,-0.482265,-0.455491,0.000000,0.000000,0.000000
9.223622,0.006087,-0.396161,-0.030963,0.021918,-0.016462,0.003842,0.320025,0.138658,-0.136759,0.000000,3.842815,-0.068237,-0.148275,-0.015908,0.008501,0.001157,1.003390,-0.000308,0.000418,-0.000351,0.942445,-0.482265,-0.455491,0.000000,0.000000,0.000000
9.273753,0.006211,-0.396160,-0.030963,0.021828,-0.016161,0.003643,0.317332,0.141112,-0.136603,0.000000,3.837537,0.048165,0.141511,0.091043,0.007908,-0.000050,0.997948,-0.000308,0.000418,-0.000351,0.942445,-0.482265,-0.455491,0.000000,0.000000,0.000000
9.324582,0.005952,-0.396162,-0.030969,0.020581,-0.016471,0.003071,0.315583,0.145329,-0.136551,0.000000,3.842815,0.145242,0.142888,-0.153837,0.006769,0.001320,0.999193,-0.000308,0.000418,-0.000351,0.942445,-0.482265,-0.455491,0.000000,0.000000,0.000000
9.374733,0.006197,-0.396164,-0.030973,0.020700,-0.016848,0.002815,0.312843,0.155589,-0.136892,0.000000,3.842815,0.017719,0.057981,-0.057921,0.007463,0.000090,0.999912,-0.000308,0.000418,-0.000351,0.942445,-0.482265,-0.455491,0.000000,0.000000,0.000000
9.423798,0.006201,-0.396169,-0.030976,0.020478,-0.017376,0.002564,0.313342,0.158920,-0.137143,0.000000,3.842815,-0.065410,0.026144,0.106076,0.009459,0.000398,1.001220,-0.000308,0.000418,-0.000351,0.942445,-0.482265,-0.455491,0.000000,0.000000,0.000000
9.472606,0.006201,-0.396170,-0.030974,0.020499,-0.017237,0.002758,0.312914,0.160230,-0.137776,0.000000,3.842815,-0.009696,-0.066589,0.178109,0.007085,0.001654,1.001422,-0.000308,0.000418,-0.000351,0.942445,-0.482265,-0.455491,0.000000,0.000000,0.000000
9.524779,0.006199,-0.396167,-0.030976,0.020405,-0.017015,0.002493,0.313799,0.162035,-0.137109,0.000000,3.842815,-0.027640,-0.017956,0.006107,0.006959,0.000389,1.002431,-0.000308,0.000418,-0.000351,0.942445,-0.482265,-0.455491,0.000000,0.000000,0.000000
9.573720,0.006194,-0.396167,-0.030975,0.019733,-0.016777,0.002647,0.308231,0.161307,-0.137676,0.000000,3.842815,0.010793,-0.162299,-0.121569,0.008015,0.002084,1.000991,-0.000308,0.000418,-0.000351,0.942445,-0.482265,-0.455491,0.000000,0.000000,0.000000
9.623551,0.006190,-0.396166,-0.030972,0.019199,-0.016778,0.002931,0.306194,0.160900,-0.135576,0.000000,3.842815,-0.031471,0.063214,0.008168,0.007671,0.000861,1.001464,-0.000308,0.000418,-0.000351,0.942445,-0.482265,-0.455491,0.000000,0.000000,0.000000
9.673672,0.006184,-0.396164,-0.030975,0.018716,-0.016637,0.002602,0.301935,0.158679,-0.134831,0.000000,3.842815,-0.099582,-0.033683,-0.027056,0.007178,0.001364,1.002658,-0.000308,0.000418,-0.000351,0.942445,-0.482265,-0.455491,0.000000,0.000000,0.000000
9.724733,0.006184,-0.396162,-0.030975,0.018839,-0.016362,0.002341,0.302732,0.164552,-0.134116,0.000000,3.842815,-0.161931,0.299873,-0.146149,0.007785,0.000212,1.000878,-0.000308,0.000418,-0.000351,0.942445,-0.482265,-0.455491,0.000000,0.000000,0.000000
9.773659,0.006183,-0.396160,-0.030980,0.018599,-0.016033,0.002018,0.298422,0.160322,-0.131236,0.000000,3.842815,-0.114672,0.179167,0.020029,0.007847,0.001798,1.000993,-0.000308,0.000418,-0.000351,0.942445,-0.482265,-0.455491,0.000000,0.000000,0.000000
9.823784,0.006184,-0.396153,-0.030982,0.018931,-0.015278,0.002028,0.299623,0.163976,-0.130545,0.000000,3.842815,-0.160266,-0.318008,0.282814,0.008923,0.000254,1.000324,-0.000308,0.000418,-0.000351,0.942445,-0.482265,-0.455491,0.000000,0.000000,0.000000
9.872145,0.006186,-0.396153,-0.030980,0.018924,-0.015597,0.002290,0.297039,0.167623,-0.129645,0.000000,3.842815,0.021105,0.050147,-0.196125,0.011115,0.000924,1.001069,-0.000308,0.000418,-0.000351,0.942445,-0.482265,-0.455491,0.000000,0.000000,0.000000
9.923695,0.006187,-0.396153,-0.030976,0.018991,-0.015135,0.002527,0.295512,0.169245,-0.128161,0.000000,3.842815,0.137783,0.326712,-0.015939,0.007317,0.002931,1.001228,-0.000308,0.000418,-0.000351,0.942445,-0.482265,-0.455491,0.000000,0.000000,0.000000
9.973599,0.006185,-0.396149,-0.030975,0.019062,-0.015194,0.002867,0.292936,0.169276,-0.127833,0.000000,3.842815,-0.007617,-0.005717,-0.006795,0.008639,0.000654,1.002511,-0.000308,0.000418,-0.000351,0.942445,-0.482265,-0.455491,0.000000,0.000000,0.000000
10.022674,0.006188,-0.396154,-0.030975,0.019425,-0.015544,0.002731,0.289939,0.166953,-0.129183,0.000000,3.842815,-0.160828,0.019352,0.100505,0.007896,0.001491,1.002546,-0.000308,0.000418,-0.000351,0.942445,-0.482265,-0.455491,0.000000,0.000000,0.000000
10.074750,0.006190,-0.396154,-0.030973,0.019510,-0.015476,0.002836,0.287531,0.169840,-0.130499,0.000000,3.842815,0.154522,-0.154433,-0.023336,0.008186,0.003931,1.003500,-0.000308,0.000418,-0.000351,0.942445,-0.482265,-0.455491,0.000000,0.000000,0.000000
10.123668,0.006188,-0.396147,-0.030973,0.019033,-0.014728,0.002716,0.289397,0.168282,-0.130783,0.000000,3.842815,-0.166860,0.225275,0.047312,0.007334,0.002894,1.001642,-0.000308,0.000418,-0.000351,0.942445,-0.482265,-0.455491,0.000000,0.000000,0.000000
