# meta:run_eval_mode=formation_scenario
# meta:scenario=A1
# meta:title=Vertical stack hover, dz=0.50 m
# meta:n_drones=2
# meta:duration_s=15.000
# meta:height=0.77
# meta:timescale=1.0
# meta:controller=5
# meta:ctrl_mode=3
# meta:tags=hover|data_collection
# meta:param_dz=0.5
# meta:param_hold=15.0
# meta:param_rotate_deg=0.0
# meta:realised_peak_speed=0.0
# meta:realised_peak_accel=0.0
# meta:realised_speed_requested=None
# meta:realised_period_effective=None
# meta:realised_period_pinned=False
# meta:realised_path_kind=fixed
# meta:indi_kr=2400.0
# meta:indi_kw=170.0
# meta:indi_kr_z=2400.0
# meta:indi_kw_z=170.0
# meta:indi_kr_geo=0.01
# meta:indi_kw_geo=0.0011
# meta:indi_kr_z_geo=0.01
# meta:indi_kw_z_geo=0.00138
# meta:indi_fc_bw=206.0
# meta:indi_mass=0.041
# meta:indi_kt1=4.1623e-10
# meta:indi_kt2=4.0592e-10
# meta:indi_kt3=4.1116e-10
# meta:indi_kt4=4.0631e-10
# meta:indi_j_scale=1.0
# meta:indi_notch_f0=6.9
# meta:indi_notch_bw=3.0
# meta:pos_kp_xy=64.0
# meta:pos_kp_z=48.0
# meta:pos_kv_xy=5.0
# meta:pos_kv_z=7.0
# meta:t_start_sim=1790267775.6087
# meta:usd_start_s=15.217864
# meta:config_source=all+robot_override
# meta:shared_controller=6
# meta:shared_ctrl_mode=3
# meta:gains_apply=0
time_s,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,roll,pitch,yaw,thrust,vbat,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,tau_x,tau_y,tau_z,alp_x,alp_y,alp_z,a_res_x,a_res_y,a_res_z
7.241827,1.456608,0.494566,0.075549,0.750568,0.286728,0.038337,-0.363745,-0.195121,0.032447,-0.002253,3.900880,-1.289953,-0.930319,-0.545818,0.001636,0.016454,1.007190,0.000003,-0.000026,-0.000049,-0.938824,1.005778,1.561770,0.000000,0.000000,0.000000
7.292695,1.494176,0.508982,0.077561,0.752003,0.289857,0.042649,-0.352953,-0.143973,-0.008792,-0.002816,3.541935,2.656405,-5.728529,-3.577164,0.028015,-0.005843,1.024614,0.000003,-0.000026,-0.000049,-0.938824,1.005778,1.561770,0.000000,0.000000,0.000000
7.341757,1.531761,0.523533,0.080184,0.750204,0.291750,0.068170,-0.158259,0.304135,-0.122451,-0.002922,3.621114,7.200194,-43.090748,-6.514192,0.020063,-0.004404,1.097144,0.000003,-0.000026,-0.000049,-0.938824,1.005778,1.561770,0.000000,0.000000,0.000000
7.391774,1.568806,0.538111,0.085147,0.723912,0.291178,0.132413,0.126778,3.483719,-0.485291,-0.001135,3.647507,5.998003,-150.200790,-15.029866,0.024097,0.020663,1.159504,0.000003,-0.000026,-0.000049,-0.938824,1.005778,1.561770,0.000000,0.000000,0.000000
7.442020,1.602980,0.552593,0.093264,0.629968,0.286570,0.183928,0.909623,11.655654,-1.208649,0.001018,3.652786,54.282673,-213.081894,-2.790321,0.087623,0.001766,1.115523,0.000003,-0.000026,-0.000049,-0.938824,1.005778,1.561770,0.000000,0.000000,0.000000
7.491802,1.630202,0.566379,0.102993,0.445124,0.259178,0.195112,4.359238,22.261372,-1.826138,0.002414,3.642229,116.677849,-189.038696,-11.204402,0.027892,-0.006665,1.091922,0.000003,-0.000026,-0.000049,-0.938824,1.005778,1.561770,0.000000,0.000000,0.000000
7.541766,1.646458,0.577763,0.111587,0.201747,0.188673,0.135662,11.166232,30.304550,-3.567965,0.001527,3.652786,114.797546,-46.198483,-13.901983,0.013951,-0.020446,0.999820,0.000003,-0.000026,-0.000049,-0.938824,1.005778,1.561770,0.000000,0.000000,0.000000
7.591863,1.650346,0.584582,0.115846,-0.044638,0.079341,0.033550,16.681772,31.302954,-4.692117,0.000361,3.663343,35.359688,70.071373,-15.698708,0.026324,-0.009863,0.956596,0.000003,-0.000026,-0.000049,-0.938824,1.005778,1.561770,0.000000,0.000000,0.000000
7.641798,1.642463,0.585457,0.114978,-0.264496,-0.044619,-0.066145,17.617386,27.346294,-4.146622,-0.000363,3.668622,-25.160801,119.788223,-14.635742,0.048625,-0.009269,0.930101,0.000003,-0.000026,-0.000049,-0.938824,1.005778,1.561770,0.000000,0.000000,0.000000
7.691783,1.624544,0.580176,0.109729,-0.446850,-0.165251,-0.136472,15.640639,21.469250,-3.049775,0.000138,3.652786,-62.014271,109.669426,-15.418759,0.052173,0.011082,0.970599,0.000003,-0.000026,-0.000049,-0.938824,1.005778,1.561770,0.000000,0.000000,0.000000
7.740814,1.598203,0.569094,0.102709,-0.606021,-0.277314,-0.113027,11.968925,15.888684,-2.352052,-0.000154,3.631672,-154.801682,168.577560,3.621330,0.243136,0.139214,1.191019,0.000003,-0.000026,-0.000049,-0.938824,1.005778,1.561770,0.000000,0.000000,0.000000
7.791825,1.565264,0.553515,0.098613,-0.697738,-0.336059,-0.040590,4.755968,7.369967,-1.341619,-0.001053,3.615836,-99.232658,174.763489,-6.304932,0.074522,0.030460,1.192583,0.000003,-0.000026,-0.000049,-0.938824,1.005778,1.561770,0.000000,0.000000,0.000000
7.841887,1.529931,0.536338,0.099334,-0.701362,-0.343975,0.077631,-0.008932,-1.110873,-1.288645,-0.000923,3.594722,-75.763916,149.265671,-8.008651,0.071834,0.027175,1.275171,0.000003,-0.000026,-0.000049,-0.938824,1.005778,1.561770,0.000000,0.000000,0.000000
7.891031,1.496469,0.519778,0.106429,-0.626263,-0.312649,0.203383,-3.716984,-7.943118,-1.788241,-0.000673,3.589443,-56.943775,106.541115,-6.248930,0.056282,0.007159,1.260437,0.000003,-0.000026,-0.000049,-0.938824,1.005778,1.561770,0.000000,0.000000,0.000000
7.942820,1.468234,0.505509,0.119226,-0.494702,-0.255808,0.303269,-6.260902,-13.222819,-2.527275,-0.001335,3.600000,-13.669102,99.370728,0.087107,0.068208,0.017946,1.230465,0.000003,-0.000026,-0.000049,-0.938824,1.005778,1.561770,0.000000,0.000000,0.000000
7.991752,1.447644,0.494232,0.135955,-0.324704,-0.195967,0.356577,-6.970883,-17.803604,-3.200502,-0.001676,3.605279,-14.887097,57.262592,-1.797639,0.078630,0.008690,1.147234,0.000003,-0.000026,-0.000049,-0.938824,1.005778,1.561770,0.000000,0.000000,0.000000
8.041827,1.436083,0.485961,0.154413,-0.137221,-0.133841,0.376892,-7.906180,-20.061235,-3.577529,-0.001492,3.615836,-23.560743,-8.863256,-0.641852,0.069257,0.020493,1.094576,0.000003,-0.000026,-0.000049,-0.938824,1.005778,1.561770,0.000000,0.000000,0.000000
8.090690,1.433768,0.480979,0.173378,0.041198,-0.064443,0.381380,-8.809560,-19.077440,-3.407240,-0.000930,3.621114,4.801914,-67.935585,1.836827,0.058407,0.002451,1.067953,0.000003,-0.000026,-0.000049,-0.938824,1.005778,1.561770,0.000000,0.000000,0.000000
8.142679,1.439622,0.479468,0.192403,0.186262,0.002509,0.379781,-8.113128,-15.382946,-2.832227,-0.000523,3.610557,36.463802,-108.545128,0.604693,0.044016,0.004015,1.032412,0.000003,-0.000026,-0.000049,-0.938824,1.005778,1.561770,0.000000,0.000000,0.000000
8.191756,1.451620,0.481009,0.211594,0.285301,0.056471,0.390933,-6.026924,-9.817236,-2.096566,-0.000102,3.600000,44.858620,-126.378555,4.069438,0.032102,0.002332,1.045369,0.000003,-0.000026,-0.000049,-0.938824,1.005778,1.561770,0.000000,0.000000,0.000000
8.241924,1.467227,0.484823,0.231884,0.329808,0.093384,0.424144,-3.743094,-3.543986,-1.565606,0.000050,3.584164,40.437279,-121.493103,0.258618,0.018406,0.008433,1.080851,0.000003,-0.000026,-0.000049,-0.938824,1.005778,1.561770,0.000000,0.000000,0.000000
8.292740,1.483636,0.490078,0.254305,0.317595,0.114324,0.474245,-1.853890,2.439945,-1.277491,0.000230,3.573607,33.012249,-107.288925,-0.851228,0.021521,0.003042,1.111627,0.000003,-0.000026,-0.000049,-0.938824,1.005778,1.561770,0.000000,0.000000,0.000000
8.341703,1.498097,0.495997,0.279476,0.252954,0.119624,0.532510,-0.074251,7.664237,-1.170122,0.000410,3.568329,40.143528,-80.969437,1.440212,0.018910,-0.004777,1.131812,0.000003,-0.000026,-0.000049,-0.938824,1.005778,1.561770,0.000000,0.000000,0.000000
8.391887,1.508285,0.501746,0.307421,0.150008,0.107746,0.583596,1.792735,11.312760,-1.257175,0.000304,3.568329,27.578161,-37.414181,-1.157419,0.027242,-0.000651,1.124099,0.000003,-0.000026,-0.000049,-0.938824,1.005778,1.561770,0.000000,0.000000,0.000000
8.440691,1.512795,0.506559,0.337686,0.028822,0.083122,0.625860,3.084924,12.985381,-1.345427,0.000186,3.573607,16.219490,-7.759118,1.337712,0.032298,-0.005190,1.114001,0.000003,-0.000026,-0.000049,-0.938824,1.005778,1.561770,0.000000,0.000000,0.000000
8.491857,1.511141,0.509928,0.369881,-0.093690,0.050700,0.660065,3.869251,13.007079,-1.336187,0.000059,3.578886,10.558522,32.120113,-0.171609,0.037552,-0.000769,1.086728,0.000003,-0.000026,-0.000049,-0.938824,1.005778,1.561770,0.000000,0.000000,0.000000
8.540688,1.503672,0.511549,0.403660,-0.201133,0.013715,0.690285,4.280485,11.175373,-1.146043,-0.000345,3.584164,-0.504362,62.304935,-2.075149,0.051466,0.002159,1.073201,0.000003,-0.000026,-0.000049,-0.938824,1.005778,1.561770,0.000000,0.000000,0.000000
8.591679,1.491516,0.511297,0.438841,-0.280183,-0.023565,0.717618,4.169837,8.009022,-0.894168,-0.000382,3.589443,-7.421330,69.967354,1.745845,0.053659,0.004298,1.066320,0.000003,-0.000026,-0.000049,-0.938824,1.005778,1.561770,0.000000,0.000000,0.000000
8.641851,1.476202,0.509251,0.475405,-0.326854,-0.057447,0.744792,3.685044,4.401286,-0.611022,-0.000491,3.589443,-17.208305,79.975281,-0.613718,0.060366,0.002964,1.058540,0.000003,-0.000026,-0.000049,-0.938824,1.005778,1.561770,0.000000,0.000000,0.000000
8.690866,1.459437,0.505665,0.513350,-0.337758,-0.084602,0.772710,2.826632,0.389518,-0.348752,-0.000728,3.589443,-21.574804,84.138344,1.849890,0.063513,0.008836,1.053713,0.000003,-0.000026,-0.000049,-0.938824,1.005778,1.561770,0.000000,0.000000,0.000000
8.741866,1.443061,0.500961,0.552702,-0.311321,-0.101725,0.801307,1.637289,-3.730005,-0.144120,-0.000923,3.589443,-27.047487,72.874260,1.594913,0.062904,0.008777,1.059052,0.000003,-0.000026,-0.000049,-0.938824,1.005778,1.561770,0.000000,0.000000,0.000000
8.790858,1.428843,0.495698,0.593336,-0.253312,-0.106867,0.822438,0.305704,-7.060321,-0.043377,-0.000878,3.594722,-23.807512,42.628006,1.284811,0.059076,0.017138,1.044620,0.000003,-0.000026,-0.000049,-0.938824,1.005778,1.561770,0.000000,0.000000,0.000000
8.841854,1.418030,0.490458,0.634698,-0.177245,-0.101167,0.830337,-0.879402,-9.004111,-0.042163,-0.000790,3.605279,-16.357748,17.287113,1.244551,0.065957,0.017446,1.025499,0.000003,-0.000026,-0.000049,-0.938824,1.005778,1.561770,0.000000,0.000000,0.000000
