# meta:run_eval_mode=formation_scenario
# meta:scenario=A2
# meta:title=Vertical stack tracking circle, dz=0.30 m
# meta:n_drones=2
# meta:duration_s=27.720
# meta:height=1.0
# meta:timescale=1.0
# meta:controller=6
# meta:ctrl_mode=0
# meta:tags=tracking|data_collection
# meta:param_dz=0.3
# meta:param_path=circle
# meta:param_speed=0.4
# meta:param_length=1.2
# meta:param_radius=0.75
# meta:param_period=11.780865163102812
# meta:param_laps=2.0
# meta:param_hold=12.0
# meta:param_rotate_deg=0.0
# meta:realised_peak_speed=0.4
# meta:realised_peak_accel=0.2191
# meta:realised_speed_requested=0.4
# meta:realised_period_effective=11.780865163102812
# meta:realised_period_pinned=False
# meta:realised_path_kind=circle
# meta:indi_kr=2400.0
# meta:indi_kw=170.0
# meta:indi_kr_z=2400.0
# meta:indi_kw_z=170.0
# meta:indi_kr_geo=0.01
# meta:indi_kw_geo=0.0011
# meta:indi_kr_z_geo=0.01
# meta:indi_kw_z_geo=0.00138
# meta:indi_fc_bw=206.0
# meta:indi_mass=0.041
# meta:indi_kt1=4.1623e-10
# meta:indi_kt2=4.0592e-10
# meta:indi_kt3=4.1116e-10
# meta:indi_kt4=4.0631e-10
# meta:indi_j_scale=1.0
# meta:indi_notch_f0=6.9
# meta:indi_notch_bw=3.0
# meta:pos_kp_xy=40.0
# meta:pos_kp_z=30.0
# meta:pos_kv_xy=8.0
# meta:pos_kv_z=10.0
# meta:t_start_sim=1790184080.0471
# meta:usd_start_s=16.163888
# meta:indi_rpm_source=1.0
# meta:config_source=all+robot_override
# meta:shared_controller=6
# meta:shared_ctrl_mode=3
# meta:gains_apply=1
time_s,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,roll,pitch,yaw,thrust,vbat,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,tau_x,tau_y,tau_z,alp_x,alp_y,alp_z,a_res_x,a_res_y,a_res_z
7.227550,-0.001974,0.400992,-0.018367,0.002319,-0.000310,0.002565,-0.630603,-0.041924,-2.520646,0.000000,3.948387,0.030980,-0.685134,-0.221208,-0.003763,-0.009027,1.000316,0.000000,0.000000,0.000000,0.298558,0.920501,1.671425,0.038183,0.021275,9.543701
7.279542,-0.001978,0.400994,-0.018490,0.002219,-0.000441,0.001602,-0.623464,-0.037982,-2.532647,0.000000,3.943109,0.067946,-0.355288,0.137504,0.002227,-0.007082,0.998869,0.000000,0.000000,0.000000,0.915499,-1.411922,-1.377497,0.009041,-0.017057,9.594976
7.329580,-0.001973,0.400995,-0.018208,0.002727,-0.000381,0.003177,-0.619155,-0.037963,-2.529592,0.000000,3.943109,-0.135524,0.198105,0.179401,0.004528,-0.011568,0.997294,0.000000,0.000000,0.000000,-0.249365,-1.115850,2.418011,0.017986,-0.001977,9.568292
7.378600,-0.001957,0.400991,-0.018575,0.003059,-0.000261,0.000135,-0.619800,-0.035777,-2.530424,0.000000,3.943109,-0.429347,-0.007292,-0.054929,-0.002920,-0.010602,1.002118,0.000000,0.000000,0.000000,-1.901180,4.490796,-0.316588,-0.029446,-0.007470,9.506927
7.430568,-0.001967,0.400993,-0.018450,0.002373,-0.000648,0.000629,-0.625992,-0.028530,-2.527638,0.000000,3.943109,-0.300880,-0.021058,0.082346,-0.003844,-0.007747,1.000122,0.000000,0.000000,0.000000,0.906395,1.492244,1.992819,0.016715,-0.018482,9.549225
7.477491,-0.001980,0.400992,-0.018535,0.001847,-0.000789,0.001023,-0.616367,-0.032403,-2.540994,0.000000,3.943109,-0.070625,-0.059591,0.338612,0.001434,-0.011575,1.001048,0.000000,0.000000,0.000000,0.198761,-3.504167,-1.183485,0.009779,-0.012458,9.561773
7.527424,-0.001979,0.400989,-0.018759,0.002254,-0.000834,0.000753,-0.618110,-0.031262,-2.544511,0.000000,3.948387,-0.005914,0.027062,0.452034,0.000754,-0.012483,1.002556,0.000000,0.000000,0.000000,1.010224,0.173752,0.092282,-0.009593,0.013602,9.526806
7.579553,-0.001952,0.400979,-0.018037,0.002671,-0.001156,0.004010,-0.618486,-0.029672,-2.541513,0.000000,3.943109,-0.366804,0.248383,-0.024122,-0.000160,-0.007233,1.000669,0.000000,0.000000,0.000000,1.328836,1.452599,0.642072,-0.002702,-0.016109,9.524773
7.629585,-0.001973,0.400988,-0.018768,0.002739,-0.001148,-0.000554,-0.621326,-0.034286,-2.533211,0.000000,3.943109,-0.249553,-0.545044,0.094067,-0.000129,-0.011384,1.002589,0.000000,0.000000,0.000000,0.595533,1.523835,1.269920,0.025306,-0.033098,9.530088
7.678506,-0.001974,0.400983,-0.018873,0.003038,-0.001477,-0.000191,-0.622064,-0.028133,-2.531215,0.000000,3.943109,-0.187384,0.009534,0.224478,-0.002863,-0.013652,0.997880,0.000000,0.000000,0.000000,-1.751422,0.577248,0.405999,-0.005257,-0.035734,9.541827
7.729416,-0.001972,0.400982,-0.018256,0.002966,-0.001664,0.002371,-0.625313,-0.024937,-2.526922,0.000000,3.943109,-0.240809,0.028769,-0.076051,-0.000212,-0.006714,0.998646,0.000000,0.000000,0.000000,2.024311,-1.649948,2.302703,0.014541,0.021774,9.536007
7.779537,-0.001968,0.400989,-0.018854,0.003209,-0.001181,-0.000133,-0.624586,-0.025274,-2.523769,0.000000,3.943109,-0.585072,-0.145697,-0.147130,0.004255,-0.008808,1.000872,0.000000,0.000000,0.000000,0.496821,-0.666732,-0.569988,0.031260,0.021792,9.522470
7.829663,-0.001966,0.400987,-0.018257,0.003651,-0.001029,0.002012,-0.625872,-0.028414,-2.520900,0.000000,3.943109,-0.064832,-0.230980,0.305722,0.003380,-0.014114,1.002382,0.000000,0.000000,0.000000,-2.379531,1.025948,0.851847,-0.006355,-0.028260,9.518474
7.878580,-0.001962,0.400981,-0.017977,0.003922,-0.001710,0.003081,-0.622928,-0.033042,-2.527916,0.000000,3.943109,0.085891,-0.512278,-0.045076,-0.003748,-0.009997,0.999441,0.000000,0.000000,0.000000,0.913866,-3.105922,0.780309,0.007998,-0.008474,9.559193
7.927571,-0.001965,0.400981,-0.018367,0.003396,-0.002010,0.000895,-0.622626,-0.029837,-2.521056,0.000000,3.943109,-0.236327,-0.115827,-0.094206,0.003621,-0.008553,0.997378,0.000000,0.000000,0.000000,-1.623046,0.284260,-2.203337,0.027250,0.013354,9.534924
7.977508,-0.001964,0.400981,-0.018454,0.003601,-0.001709,-0.000006,-0.629415,-0.028260,-2.521987,0.000000,3.943109,-0.128445,1.546348,0.230641,0.004537,-0.007083,1.006282,0.000000,0.000000,0.000000,0.720532,-3.139185,-1.252236,-0.009734,-0.002302,9.488762
8.029599,-0.001942,0.401018,-0.018200,0.003631,0.002457,0.005852,-0.642712,-0.042554,-2.524110,0.000094,3.441642,3.168881,-8.456241,-0.615061,0.010192,0.004814,1.065361,0.000000,0.000000,0.000000,0.943260,1.928879,-4.012637,-0.027661,-0.023577,7.193500
8.079387,-0.002524,0.401069,-0.013787,-0.004370,0.001890,0.197628,0.113083,0.535576,-2.537011,0.000540,3.578886,43.618244,-38.569706,1.560485,0.012740,0.012329,1.614588,0.000000,0.000000,0.000000,-4.738895,-15.796273,-0.969682,-0.017075,0.024293,0.923679
8.129467,-0.004289,0.399688,0.005180,-0.039407,-0.024068,0.505796,1.951100,2.510080,-2.483757,0.001489,3.673900,-27.775446,-32.129543,1.807120,0.002980,-0.001200,1.583114,0.000000,0.000000,0.000000,-40.857460,28.895037,-3.164067,0.035586,-0.023107,1.503500
8.177502,-0.008639,0.399446,0.037073,-0.092269,-0.027861,0.732473,0.435991,4.029541,-2.401782,0.001318,3.747801,-31.389038,13.828852,3.264208,-0.010148,0.011455,1.331688,0.000000,0.000000,0.000000,27.142031,18.487179,5.063648,-0.067386,-0.113808,1.322664
8.228580,-0.013311,0.397800,0.076281,-0.121592,-0.021752,0.824207,-0.844705,2.918106,-2.290252,0.000397,3.790029,15.900963,85.297493,0.610573,-0.001469,-0.007627,1.076892,0.000000,0.000000,0.000000,7.373944,22.882849,0.286900,-0.134601,0.069650,0.420259
8.277475,-0.017407,0.396720,0.116720,-0.107986,-0.020317,0.824670,-0.068084,-1.645952,-2.333784,-0.000800,3.795308,2.625713,104.581017,-1.959657,0.004808,-0.019322,0.973748,0.000000,0.000000,0.000000,-5.037046,-3.029524,-0.685141,0.014378,-0.158139,-0.297929
8.328581,-0.018438,0.395038,0.148118,-0.061845,-0.025444,0.799431,-0.064906,-6.765963,-2.483246,-0.001341,3.784751,-18.726660,54.058624,-3.081667,0.012296,-0.011882,0.964129,0.000000,0.000000,0.000000,-0.914737,-28.181465,-3.920127,0.020209,-0.131676,-0.608943
