# meta:run_eval_mode=formation_scenario
# meta:scenario=A2
# meta:title=Vertical stack tracking circle, dz=0.30 m
# meta:n_drones=2
# meta:duration_s=27.720
# meta:height=1.0
# meta:timescale=1.0
# meta:controller=5
# meta:ctrl_mode=3
# meta:tags=tracking|data_collection
# meta:param_dz=0.3
# meta:param_path=circle
# meta:param_speed=0.4
# meta:param_length=1.2
# meta:param_radius=0.75
# meta:param_period=11.780865163102812
# meta:param_laps=2.0
# meta:param_hold=12.0
# meta:param_rotate_deg=0.0
# meta:realised_peak_speed=0.4
# meta:realised_peak_accel=0.2191
# meta:realised_speed_requested=0.4
# meta:realised_period_effective=11.780865163102812
# meta:realised_period_pinned=False
# meta:realised_path_kind=circle
# meta:indi_kr=2400.0
# meta:indi_kw=170.0
# meta:indi_kr_z=2400.0
# meta:indi_kw_z=170.0
# meta:indi_kr_geo=0.01
# meta:indi_kw_geo=0.0011
# meta:indi_kr_z_geo=0.01
# meta:indi_kw_z_geo=0.00138
# meta:indi_fc_bw=206.0
# meta:indi_mass=0.041
# meta:indi_kt1=4.1623e-10
# meta:indi_kt2=4.0592e-10
# meta:indi_kt3=4.1116e-10
# meta:indi_kt4=4.0631e-10
# meta:indi_j_scale=1.0
# meta:indi_notch_f0=6.9
# meta:indi_notch_bw=3.0
# meta:pos_kp_xy=64.0
# meta:pos_kp_z=48.0
# meta:pos_kv_xy=5.0
# meta:pos_kv_z=7.0
# meta:t_start_sim=1790184438.0598
# meta:usd_start_s=16.240072
# meta:config_source=all+robot_override
# meta:shared_controller=6
# meta:shared_ctrl_mode=3
# meta:gains_apply=0
time_s,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,roll,pitch,yaw,thrust,vbat,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,tau_x,tau_y,tau_z,alp_x,alp_y,alp_z,a_res_x,a_res_y,a_res_z
7.252147,0.013186,-0.225762,-0.021957,0.022296,0.012106,0.002999,0.676185,0.811345,-0.195437,0.000062,3.832258,-0.693845,1.078856,2.477175,0.022644,0.009395,0.986223,0.000918,0.000064,0.000014,-1.329666,-1.384623,-0.192370,0.000000,0.000000,0.000000
7.303018,0.012328,-0.225846,-0.021964,0.011466,0.006079,0.001469,0.653337,0.819196,-0.197970,0.000033,3.536657,-1.562147,2.483313,0.513873,0.030748,0.019607,1.004405,0.000918,0.000064,0.000014,-1.329666,-1.384623,-0.192370,0.000000,0.000000,0.000000
7.353982,0.013069,-0.225986,-0.021978,0.006736,0.000193,0.002997,0.351853,0.491096,-0.206219,-0.000105,3.636950,-3.744060,6.467247,-1.345540,0.038113,0.005354,1.054090,0.000918,0.000064,0.000014,-1.329666,-1.384623,-0.192370,0.000000,0.000000,0.000000
7.404083,0.013068,-0.226041,-0.020874,0.002188,-0.002970,0.046764,0.336036,0.427885,-0.243988,0.000213,3.663343,-5.457426,-7.118511,-1.707288,0.024525,0.005173,1.117861,0.000918,0.000064,0.000014,-1.329666,-1.384623,-0.192370,0.000000,0.000000,0.000000
7.451961,0.012955,-0.226082,-0.016955,-0.004330,-0.004088,0.103522,-0.068654,0.783935,-0.336695,0.000291,3.668622,-15.553143,-11.638557,-2.686887,0.046392,0.021494,1.084399,0.000918,0.000064,0.000014,-1.329666,-1.384623,-0.192370,0.000000,0.000000,0.000000
7.504046,0.013798,-0.226016,-0.010486,-0.010001,0.001142,0.142816,-0.819288,1.227132,-0.433755,0.000312,3.673900,-9.464506,0.230357,-2.122001,0.041320,0.007140,1.065612,0.000918,0.000064,0.000014,-1.329666,-1.384623,-0.192370,0.000000,0.000000,0.000000
7.552352,0.014621,-0.224854,-0.002598,-0.015460,0.013526,0.167863,-1.148688,1.169172,-0.515081,0.000179,3.673900,5.133262,7.850408,-1.426562,0.037985,0.007965,1.042871,0.000918,0.000064,0.000014,-1.329666,-1.384623,-0.192370,0.000000,0.000000,0.000000
7.602230,0.015636,-0.224120,0.004876,-0.016599,0.021752,0.174843,-0.929136,0.667222,-0.581971,-0.000015,3.673900,1.807604,14.170516,0.003438,0.037274,0.005389,1.002798,0.000918,0.000064,0.000014,-1.329666,-1.384623,-0.192370,0.000000,0.000000,0.000000
7.652288,0.017536,-0.223001,0.013713,-0.008332,0.027417,0.181458,-0.474660,-0.292356,-0.594401,-0.000311,3.668622,27.905931,20.780857,-0.720315,0.038589,0.005172,1.032365,0.000918,0.000064,0.000014,-1.329666,-1.384623,-0.192370,0.000000,0.000000,0.000000
7.704211,0.020480,-0.222567,0.023919,0.010830,0.020313,0.200040,1.011479,-1.312675,-0.592008,-0.000367,3.663343,21.354959,12.441963,0.566403,0.039252,0.001252,1.025618,0.000918,0.000064,0.000014,-1.329666,-1.384623,-0.192370,0.000000,0.000000,0.000000
7.753133,0.024146,-0.221917,0.034174,0.035606,0.006021,0.212261,1.761878,-2.037871,-0.545847,-0.000572,3.658065,-3.636417,7.902952,1.889714,0.033145,-0.002683,1.018385,0.000918,0.000064,0.000014,-1.329666,-1.384623,-0.192370,0.000000,0.000000,0.000000
7.802242,0.029174,-0.222106,0.044843,0.063597,-0.009391,0.219695,1.578413,-1.901470,-0.503543,0.000042,3.658065,-8.746359,-34.424591,2.166595,0.043042,0.000854,1.011660,0.000918,0.000064,0.000014,-1.329666,-1.384623,-0.192370,0.000000,0.000000,0.000000
7.854112,0.034517,-0.223324,0.056253,0.077055,-0.022476,0.229008,1.093728,0.063963,-0.470718,0.000603,3.647507,-14.344711,-50.984608,1.049120,0.029391,0.001974,1.028675,0.000918,0.000064,0.000014,-1.329666,-1.384623,-0.192370,0.000000,0.000000,0.000000
7.904032,0.040402,-0.224398,0.068167,0.071641,-0.027269,0.245286,0.242467,2.316860,-0.408939,0.000465,3.642229,-21.146162,-27.232069,-0.589677,0.032263,0.009484,1.044633,0.000918,0.000064,0.000014,-1.329666,-1.384623,-0.192370,0.000000,0.000000,0.000000
7.953974,0.045175,-0.225234,0.080892,0.050695,-0.023222,0.267847,-0.547485,3.396535,-0.327025,0.000256,3.636950,-5.968599,-9.685546,0.596690,0.041417,0.013085,1.050099,0.000918,0.000064,0.000014,-1.329666,-1.384623,-0.192370,0.000000,0.000000,0.000000
8.001958,0.049745,-0.226111,0.095537,0.027682,-0.016117,0.295850,-0.961327,3.870221,-0.241877,0.000316,3.631672,-12.236174,-8.346574,-1.382223,0.032107,0.007825,1.059347,0.000918,0.000064,0.000014,-1.329666,-1.384623,-0.192370,0.000000,0.000000,0.000000
8.052975,0.052329,-0.226027,0.111166,-0.002157,-0.002818,0.328544,-1.384981,4.192343,-0.170820,0.000343,3.626393,0.777366,4.590167,0.804920,0.034034,0.013699,1.082595,0.000918,0.000064,0.000014,-1.329666,-1.384623,-0.192370,0.000000,0.000000,0.000000
8.104153,0.054300,-0.225685,0.128540,-0.028149,0.009621,0.367420,-1.247856,3.757429,-0.113451,0.000097,3.621114,6.117509,14.578631,1.775288,0.034921,0.008916,1.087481,0.000918,0.000064,0.000014,-1.329666,-1.384623,-0.192370,0.000000,0.000000,0.000000
8.153126,0.054928,-0.224678,0.148039,-0.048559,0.020057,0.411837,-0.933279,2.955377,-0.101806,0.000052,3.621114,9.558019,13.452616,1.105039,0.034707,0.007481,1.099920,0.000918,0.000064,0.000014,-1.329666,-1.384623,-0.192370,0.000000,0.000000,0.000000
8.201900,0.054887,-0.223578,0.170714,-0.061005,0.025790,0.464711,-0.488923,2.102099,-0.099964,0.000044,3.621114,6.413680,16.670872,0.057873,0.036265,0.003588,1.110064,0.000918,0.000064,0.000014,-1.329666,-1.384623,-0.192370,0.000000,0.000000,0.000000
8.253010,0.054252,-0.222546,0.195086,-0.065921,0.026194,0.515175,-0.074216,1.222704,-0.070742,-0.000025,3.621114,7.940937,18.680067,1.134842,0.040371,0.002593,1.105136,0.000918,0.000064,0.000014,-1.329666,-1.384623,-0.192370,0.000000,0.000000,0.000000
8.302064,0.053800,-0.221021,0.222456,-0.061393,0.024863,0.565472,0.394528,0.286550,-0.056400,-0.000069,3.621114,11.119819,13.478211,0.872224,0.044126,0.007241,1.098685,0.000918,0.000064,0.000014,-1.329666,-1.384623,-0.192370,0.000000,0.000000,0.000000
