# meta:run_eval_mode=formation_scenario
# meta:scenario=A3
# meta:title=Static-top, dz=0.40 m, 4 passes at 0.40 m/s
# meta:n_drones=2
# meta:duration_s=26.250
# meta:height=1.0
# meta:timescale=1.0
# meta:controller=6
# meta:ctrl_mode=0
# meta:tags=tracking|data_collection
# meta:param_dz=0.4
# meta:param_speed=0.4
# meta:param_length=1.2
# meta:param_passes=4
# meta:param_rotate_deg=0.0
# meta:realised_peak_speed=0.4
# meta:realised_peak_accel=0.2093
# meta:realised_speed_requested=0.4
# meta:realised_period_effective=None
# meta:realised_period_pinned=False
# meta:realised_path_kind=fixed
# meta:indi_kr=2400.0
# meta:indi_kw=170.0
# meta:indi_kr_z=2400.0
# meta:indi_kw_z=170.0
# meta:indi_kr_geo=0.01
# meta:indi_kw_geo=0.0011
# meta:indi_kr_z_geo=0.01
# meta:indi_kw_z_geo=0.00138
# meta:indi_fc_bw=206.0
# meta:indi_mass=0.041
# meta:indi_kt1=4.1623e-10
# meta:indi_kt2=4.0592e-10
# meta:indi_kt3=4.1116e-10
# meta:indi_kt4=4.0631e-10
# meta:indi_j_scale=1.0
# meta:indi_notch_f0=6.9
# meta:indi_notch_bw=3.0
# meta:pos_kp_xy=40.0
# meta:pos_kp_z=30.0
# meta:pos_kv_xy=8.0
# meta:pos_kv_z=10.0
# meta:t_start_sim=1790179065.8066
# meta:usd_start_s=15.323596
# meta:indi_rpm_source=1.0
# meta:config_source=all+robot_override
# meta:shared_controller=6
# meta:shared_ctrl_mode=3
# meta:gains_apply=1
time_s,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,roll,pitch,yaw,thrust,vbat,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,tau_x,tau_y,tau_z,alp_x,alp_y,alp_z,a_res_x,a_res_y,a_res_z
7.219871,-0.031065,0.424780,-0.018984,-0.006716,-0.011043,0.001616,-0.433134,0.103138,-2.168166,0.000000,3.927273,-0.230065,0.160669,-0.123931,-0.001965,-0.010325,0.998525,0.000000,0.000000,0.000000,0.285470,-0.842497,-1.820278,-0.029643,-0.020379,9.532503
7.268756,-0.031062,0.423996,-0.018985,-0.006172,-0.012816,0.001398,-0.451580,0.102405,-2.162447,0.000000,3.927273,-0.075227,-0.545048,-0.119590,0.000250,-0.006418,0.997972,0.000000,0.000000,0.000000,-1.505041,-1.750927,1.768836,0.016197,0.016854,9.518416
7.316881,-0.031060,0.423968,-0.018991,-0.005955,-0.013645,0.000698,-0.442149,0.105096,-2.163923,0.000000,3.927273,0.161127,-0.661971,-0.349470,0.002338,-0.011599,0.997606,0.000000,0.000000,0.000000,3.911294,1.578874,-0.266975,-0.012087,-0.050496,9.526043
7.368896,-0.031055,0.424323,-0.018993,-0.005484,-0.012360,0.000639,-0.432378,0.112876,-2.160779,0.000000,3.921994,-0.027458,0.523400,0.108421,0.002612,-0.011486,1.000059,0.000000,0.000000,0.000000,-0.712779,2.023954,1.544820,-0.003677,-0.041684,9.546235
7.418972,-0.031053,0.424108,-0.018990,-0.005452,-0.013109,0.001232,-0.449890,0.111225,-2.169095,0.000000,3.921994,-0.121705,-0.031786,-0.002402,-0.002585,-0.010983,1.001567,0.000000,0.000000,0.000000,0.858005,-1.774574,-1.708459,-0.044877,-0.028174,9.541409
7.468771,-0.031088,0.423918,-0.018980,-0.004389,-0.014234,0.001002,-0.440326,0.110186,-2.160007,0.000000,3.927273,-0.232332,-0.330373,0.058188,0.001968,-0.008101,0.996813,0.000000,0.000000,0.000000,-3.954105,-0.523911,1.046616,0.015280,-0.002572,9.503708
7.517838,-0.031089,0.423947,-0.018980,-0.004601,-0.014422,0.000866,-0.443415,0.105201,-2.161603,0.000000,3.927273,0.162905,-0.232965,-0.105415,0.004413,-0.011691,1.001542,0.000000,0.000000,0.000000,0.852522,2.064662,2.499033,0.008745,-0.048165,9.535357
7.568894,-0.031090,0.424123,-0.018985,-0.004693,-0.013131,0.000512,-0.424650,0.112380,-2.159454,0.000000,3.921994,0.048518,-0.016058,0.108115,0.000903,-0.011162,0.998822,0.000000,0.000000,0.000000,-2.790670,1.968832,1.422792,-0.023429,-0.039573,9.514967
7.618717,-0.031100,0.423936,-0.018987,-0.005246,-0.013527,0.000821,-0.442433,0.116729,-2.165772,0.000000,3.921994,-0.233135,-0.188646,-0.030090,-0.004963,-0.012526,1.001964,0.000000,0.000000,0.000000,3.160738,-2.372287,-1.763889,-0.053296,-0.041902,9.537580
7.668817,-0.031103,0.424398,-0.018985,-0.005362,-0.011821,0.000656,-0.433472,0.123845,-2.164207,0.000000,3.921994,-0.160844,-0.165080,0.102787,0.003380,-0.012436,1.000425,0.000000,0.000000,0.000000,-0.821492,-0.634407,-0.478282,0.012849,-0.049074,9.536507
7.716689,-0.031105,0.424506,-0.018987,-0.005504,-0.012036,0.000705,-0.450042,0.115745,-2.168086,0.000000,3.921994,-0.071187,0.014752,-0.103972,0.004075,-0.009747,0.998932,0.000000,0.000000,0.000000,3.444950,-0.379662,2.454978,0.010939,-0.032344,9.521555
7.767711,-0.031110,0.424210,-0.018995,-0.005920,-0.013189,0.000230,-0.436147,0.119572,-2.173318,0.000000,3.927273,0.033975,-0.436244,0.226676,-0.000929,-0.011189,1.000074,0.000000,0.000000,0.000000,0.831538,-2.475432,1.251214,-0.041702,-0.040817,9.521675
7.818798,-0.031113,0.424139,-0.018993,-0.005917,-0.012797,0.000387,-0.426855,0.121199,-2.177555,0.000000,3.921994,-0.014723,0.097034,0.079853,-0.004425,-0.010653,1.002021,0.000000,0.000000,0.000000,1.405650,-1.787833,-1.396053,-0.053969,-0.027166,9.552381
7.866833,-0.031111,0.424567,-0.018996,-0.005373,-0.011605,0.000085,-0.435616,0.116190,-2.177887,0.000000,3.921994,-0.134064,-0.232943,0.079580,0.002317,-0.010467,0.998585,0.000000,0.000000,0.000000,-0.202611,1.198665,-0.805849,0.005710,-0.038212,9.525797
7.918797,-0.031103,0.424136,-0.018990,-0.005329,-0.013817,0.000723,-0.428781,0.115156,-2.180259,0.000000,3.921994,-0.291494,-0.143055,-0.008906,0.000124,-0.011149,1.003212,0.000000,0.000000,0.000000,1.235606,2.839518,-0.186731,-0.030250,-0.043518,9.548640
7.966809,-0.031106,0.424251,-0.018992,-0.005782,-0.013240,0.000209,-0.428003,0.111179,-2.182127,0.000000,3.921994,-0.210592,-0.242531,0.031394,-0.001202,-0.013350,0.996366,0.000000,0.000000,0.000000,1.081934,-0.008843,2.707838,-0.039783,-0.057643,9.501425
8.017816,-0.031107,0.423735,-0.018968,-0.005687,-0.013646,0.003041,-0.433628,0.116436,-2.181818,0.000055,3.921994,0.366508,0.295649,-0.469609,-0.001802,-0.013041,1.006316,0.000000,0.000000,0.000000,-10.946467,8.786016,-2.481596,0.003151,-0.036250,8.568209
8.066685,-0.031114,0.424811,-0.017507,-0.006235,-0.005731,0.075299,-0.466430,0.154780,-2.168172,0.000056,3.336071,4.176785,1.449928,-1.446570,0.009729,0.015318,1.061463,0.000000,0.000000,0.000000,23.296309,4.213741,-5.398097,0.098806,0.161027,1.011260
