# meta:run_eval_mode=formation_scenario
# meta:scenario=A3
# meta:title=Static-top, dz=0.25 m, 4 passes at 0.30 m/s
# meta:n_drones=2
# meta:duration_s=35.000
# meta:height=1.0
# meta:timescale=1.0
# meta:controller=5
# meta:ctrl_mode=3
# meta:tags=tracking|data_collection
# meta:param_dz=0.25
# meta:param_speed=0.3
# meta:param_length=1.2
# meta:param_passes=4
# meta:param_rotate_deg=0.0
# meta:realised_peak_speed=0.3
# meta:realised_peak_accel=0.1177
# meta:realised_speed_requested=0.3
# meta:realised_period_effective=None
# meta:realised_period_pinned=False
# meta:realised_path_kind=fixed
# meta:indi_kr=2400.0
# meta:indi_kw=170.0
# meta:indi_kr_z=2400.0
# meta:indi_kw_z=170.0
# meta:indi_kr_geo=0.01
# meta:indi_kw_geo=0.0011
# meta:indi_kr_z_geo=0.01
# meta:indi_kw_z_geo=0.00138
# meta:indi_fc_bw=206.0
# meta:indi_mass=0.041
# meta:indi_kt1=4.1623e-10
# meta:indi_kt2=4.0592e-10
# meta:indi_kt3=4.1116e-10
# meta:indi_kt4=4.0631e-10
# meta:indi_j_scale=1.0
# meta:indi_notch_f0=6.9
# meta:indi_notch_bw=3.0
# meta:pos_kp_xy=64.0
# meta:pos_kp_z=48.0
# meta:pos_kv_xy=5.0
# meta:pos_kv_z=7.0
# meta:t_start_sim=1789988589.4709
# meta:usd_start_s=15.302223
# meta:config_source=all+robot_override
# meta:shared_controller=6
# meta:shared_ctrl_mode=3
# meta:gains_apply=0
time_s,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,roll,pitch,yaw,thrust,vbat,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,tau_x,tau_y,tau_z,alp_x,alp_y,alp_z,a_res_x,a_res_y,a_res_z
7.246125,0.001432,-0.342287,-0.029474,0.022753,-0.014624,0.002911,0.533881,0.167407,-2.065157,-0.000068,3.879766,-0.042640,1.744883,1.750840,0.005692,-0.010755,0.999838,-0.000270,0.000478,-0.000161,-0.739320,1.227559,0.114998,0.000000,0.000000,0.000000
7.295056,0.001376,-0.342322,-0.028952,0.018252,-0.017262,0.005298,0.525786,0.139531,-2.086758,-0.000019,3.626393,-0.153811,0.422958,-0.904243,0.009722,-0.002412,1.004772,-0.000270,0.000478,-0.000161,-0.739320,1.227559,0.114998,0.000000,0.000000,0.000000
7.345133,0.001299,-0.342362,-0.028917,0.014298,-0.019185,0.004141,0.482576,0.152742,-2.136400,0.000073,3.695015,-1.611696,0.188404,0.639612,0.019862,-0.009545,1.003044,-0.000270,0.000478,-0.000161,-0.739320,1.227559,0.114998,0.000000,0.000000,0.000000
7.395086,0.001228,-0.342386,-0.028855,0.010725,-0.019907,0.011184,0.342332,0.197758,-2.152100,0.000001,3.710850,-11.236829,2.096670,0.917509,0.016263,-0.010068,1.052931,-0.000270,0.000478,-0.000161,-0.739320,1.227559,0.114998,0.000000,0.000000,0.000000
7.444066,0.001170,-0.342334,-0.027939,0.008005,-0.015299,0.038345,-0.399823,0.197948,-2.110416,-0.000125,3.716129,-20.913465,6.063344,2.756925,0.011813,-0.000865,1.088334,-0.000270,0.000478,-0.000161,-0.739320,1.227559,0.114998,0.000000,0.000000,0.000000
7.494991,0.002105,-0.342128,-0.024311,0.012921,-0.002728,0.089160,-1.274078,-0.414398,-2.112550,-0.000430,3.721408,-13.170244,14.480791,-0.585525,0.012382,-0.001425,1.074702,-0.000270,0.000478,-0.000161,-0.739320,1.227559,0.114998,0.000000,0.000000,0.000000
7.545033,0.002345,-0.341849,-0.018647,0.019824,0.012280,0.130279,-1.729112,-0.880752,-2.138667,-0.000135,3.721408,-2.510546,-11.136615,-2.512411,0.014180,-0.007883,1.087430,-0.000270,0.000478,-0.000161,-0.739320,1.227559,0.114998,0.000000,0.000000,0.000000
7.595436,0.002420,-0.340549,-0.011623,0.021999,0.028700,0.155955,-1.820896,-0.399746,-2.214229,0.000157,3.721408,14.726890,-20.741602,-0.225305,0.007492,-0.014237,1.031671,-0.000270,0.000478,-0.000161,-0.739320,1.227559,0.114998,0.000000,0.000000,0.000000
7.643978,0.002345,-0.340246,-0.003523,0.015356,0.033444,0.169900,-0.917522,0.666234,-2.176698,0.000427,3.716129,38.230808,-19.444262,-0.694453,0.011654,-0.001373,1.035495,-0.000270,0.000478,-0.000161,-0.739320,1.227559,0.114998,0.000000,0.000000,0.000000
7.694045,0.002086,-0.339461,0.003840,-0.000657,0.025723,0.171049,0.869792,1.787024,-2.114702,0.000552,3.710850,6.577488,-16.685511,0.613986,0.011952,-0.012193,1.017278,-0.000270,0.000478,-0.000161,-0.739320,1.227559,0.114998,0.000000,0.000000,0.000000
7.745004,0.000906,-0.339716,0.012665,-0.024508,0.011369,0.184233,1.140801,2.647707,-2.123426,0.000652,3.710850,-10.572480,-14.273884,2.057232,0.007036,-0.012087,1.033901,-0.000270,0.000478,-0.000161,-0.739320,1.227559,0.114998,0.000000,0.000000,0.000000
7.794123,-0.000784,-0.339899,0.021924,-0.051223,0.003732,0.198002,0.585114,3.261355,-2.097943,0.000779,3.705572,-7.216269,-9.427179,0.996450,0.008170,-0.006951,1.035868,-0.000270,0.000478,-0.000161,-0.739320,1.227559,0.114998,0.000000,0.000000,0.000000
7.844069,-0.004093,-0.340506,0.032650,-0.080672,-0.001072,0.210823,0.283268,3.461431,-2.034817,0.000447,3.700293,-0.956259,28.845861,1.444598,0.006001,-0.014321,1.029129,-0.000270,0.000478,-0.000161,-0.739320,1.227559,0.114998,0.000000,0.000000,0.000000
7.894106,-0.008506,-0.341072,0.043521,-0.099266,-0.004670,0.223047,0.242706,1.926343,-1.976607,-0.000136,3.695015,-1.568146,56.444458,0.787858,0.011563,-0.006247,1.025824,-0.000270,0.000478,-0.000161,-0.739320,1.227559,0.114998,0.000000,0.000000,0.000000
7.944028,-0.012141,-0.342683,0.054579,-0.090692,-0.011644,0.236628,0.214973,-0.957848,-1.947333,-0.000634,3.689736,-1.468588,51.289246,1.866418,0.013370,-0.002911,1.030967,-0.000270,0.000478,-0.000161,-0.739320,1.227559,0.114998,0.000000,0.000000,0.000000
7.994145,-0.015684,-0.344048,0.067402,-0.062294,-0.016374,0.259257,0.090525,-3.364926,-1.948432,-0.000288,3.684458,-11.369544,19.432453,0.320726,0.026691,-0.008083,1.042090,-0.000270,0.000478,-0.000161,-0.739320,1.227559,0.114998,0.000000,0.000000,0.000000
8.044179,-0.017363,-0.345202,0.080594,-0.024160,-0.015938,0.277209,-0.468924,-4.094429,-1.919631,0.000225,3.679179,-7.279691,-15.840752,2.937426,0.014864,-0.007264,1.037717,-0.000270,0.000478,-0.000161,-0.739320,1.227559,0.114998,0.000000,0.000000,0.000000
8.094135,-0.017989,-0.347042,0.095124,0.007914,-0.014964,0.300815,-0.715159,-3.458679,-1.875958,0.000077,3.673900,0.535194,-3.479380,-0.222485,0.010544,-0.008713,1.065300,-0.000270,0.000478,-0.000161,-0.739320,1.227559,0.114998,0.000000,0.000000,0.000000
8.143995,-0.016913,-0.347990,0.111402,0.038492,-0.010779,0.334437,-0.750180,-3.289482,-1.826543,-0.000105,3.668622,-8.310581,-3.812381,-0.556580,0.018483,-0.013131,1.072762,-0.000270,0.000478,-0.000161,-0.739320,1.227559,0.114998,0.000000,0.000000,0.000000
8.195172,-0.014482,-0.348879,0.128899,0.065797,-0.004091,0.372630,-1.159369,-2.848025,-1.817160,0.000150,3.663343,-5.752799,-19.945107,2.032222,0.007994,-0.009125,1.084335,-0.000270,0.000478,-0.000161,-0.739320,1.227559,0.114998,0.000000,0.000000,0.000000
8.244061,-0.011813,-0.348915,0.149173,0.080512,0.007628,0.422391,-1.430943,-1.688881,-1.739557,0.000153,3.658065,3.029069,-27.471268,1.457011,0.013131,-0.006681,1.100115,-0.000270,0.000478,-0.000161,-0.739320,1.227559,0.114998,0.000000,0.000000,0.000000
8.295040,-0.008034,-0.348720,0.171537,0.085926,0.017169,0.473640,-1.181050,-0.449446,-1.661345,0.000231,3.658065,9.394398,-19.308435,1.057417,0.011098,-0.005651,1.105903,-0.000270,0.000478,-0.000161,-0.739320,1.227559,0.114998,0.000000,0.000000,0.000000
8.343979,-0.004808,-0.347811,0.196258,0.079347,0.024028,0.524776,-0.712187,0.509695,-1.604915,0.000119,3.658065,8.273053,-17.991171,1.435486,0.008001,-0.004490,1.109025,-0.000270,0.000478,-0.000161,-0.739320,1.227559,0.114998,0.000000,0.000000,0.000000
8.394054,-0.001422,-0.347548,0.223907,0.068202,0.023792,0.576581,-0.329179,1.256011,-1.574960,0.000170,3.658065,2.948994,-9.376204,-1.287956,0.008313,-0.008173,1.103719,-0.000270,0.000478,-0.000161,-0.739320,1.227559,0.114998,0.000000,0.000000,0.000000
8.443978,0.000687,-0.346586,0.254276,0.049203,0.024054,0.627304,-0.091691,1.830456,-1.509029,0.000197,3.658065,8.318268,-7.978274,0.110739,0.006340,-0.009877,1.096299,-0.000270,0.000478,-0.000161,-0.739320,1.227559,0.114998,0.000000,0.000000,0.000000
8.495091,0.001096,-0.346637,0.286420,0.024261,0.017103,0.671926,0.366916,2.179513,-1.481654,0.000247,3.658065,9.172777,3.034902,1.479294,0.010115,-0.007001,1.086443,-0.000270,0.000478,-0.000161,-0.739320,1.227559,0.114998,0.000000,0.000000,0.000000
8.545099,0.001155,-0.345764,0.320195,0.002573,0.011324,0.706022,0.766745,2.109677,-1.437560,0.000209,3.663343,4.755254,2.783024,1.263848,0.009500,-0.010923,1.073322,-0.000270,0.000478,-0.000161,-0.739320,1.227559,0.114998,0.000000,0.000000,0.000000
8.595165,0.000814,-0.345923,0.356447,-0.014086,0.001547,0.737143,0.915271,1.761767,-1.373992,0.000015,3.663343,-6.186283,14.607276,2.346770,0.013738,-0.009989,1.061769,-0.000270,0.000478,-0.000161,-0.739320,1.227559,0.114998,0.000000,0.000000,0.000000
8.645001,0.000097,-0.346872,0.393804,-0.022903,-0.007708,0.763724,0.554475,0.968923,-1.326668,-0.000024,3.663343,-12.567804,14.130547,1.864900,0.014192,-0.006934,1.050796,-0.000270,0.000478,-0.000161,-0.739320,1.227559,0.114998,0.000000,0.000000,0.000000
8.694101,-0.000434,-0.347119,0.432789,-0.022966,-0.007851,0.789136,-0.025623,0.256017,-1.272568,-0.000031,3.668622,-3.124424,6.325868,4.849179,0.013847,-0.008578,1.040311,-0.000270,0.000478,-0.000161,-0.739320,1.227559,0.114998,0.000000,0.000000,0.000000
8.745275,-0.001158,-0.347652,0.472007,-0.019960,-0.007646,0.800796,-0.129753,-0.200297,-1.216342,0.000122,3.673900,6.887589,3.257085,2.490395,0.013146,-0.007620,1.020893,-0.000270,0.000478,-0.000161,-0.739320,1.227559,0.114998,0.000000,0.000000,0.000000
8.795127,-0.002226,-0.348166,0.512106,-0.016922,-0.009599,0.806789,0.222802,-0.417422,-1.129110,-0.000054,3.673900,-3.513262,10.835824,0.127777,0.011766,-0.009138,1.004655,-0.000270,0.000478,-0.000161,-0.739320,1.227559,0.114998,0.000000,0.000000,0.000000
8.844052,-0.002991,-0.349219,0.552988,-0.010134,-0.012510,0.813161,0.004756,-0.851805,-1.036154,-0.000065,3.673900,-13.347538,3.055167,2.614021,0.019940,-0.010601,1.006712,-0.000270,0.000478,-0.000161,-0.739320,1.227559,0.114998,0.000000,0.000000,0.000000
8.894127,-0.003053,-0.349162,0.593195,-0.000555,-0.006561,0.809008,-0.619771,-0.977644,-0.963740,0.000136,3.679179,-7.149434,-8.233438,2.139894,0.006244,-0.010157,0.988895,-0.000270,0.000478,-0.000161,-0.739320,1.227559,0.114998,0.000000,0.000000,0.000000
8.944190,-0.003949,-0.349012,0.633060,0.002521,0.001819,0.801568,-0.955981,-0.635959,-0.886689,0.000214,3.684458,2.589048,-8.215468,2.083358,0.005664,-0.005826,0.994227,-0.000270,0.000478,-0.000161,-0.739320,1.227559,0.114998,0.000000,0.000000,0.000000
8.995079,-0.003910,-0.348873,0.672909,0.005027,0.008300,0.791856,-0.792889,-0.232235,-0.769443,0.000219,3.684458,7.996409,-4.654752,2.055213,-0.001126,0.001953,0.964785,-0.000270,0.000478,-0.000161,-0.739320,1.227559,0.114998,0.000000,0.000000,0.000000
9.044941,-0.003896,-0.348273,0.711556,0.005506,0.012568,0.770349,-0.411118,-0.119712,-0.624555,0.000049,3.684458,4.008493,5.068630,2.110001,0.002361,-0.002268,0.947156,-0.000270,0.000478,-0.000161,-0.739320,1.227559,0.114998,0.000000,0.000000,0.000000
9.093014,-0.004771,-0.347747,0.748662,0.004236,0.013934,0.742830,-0.228956,-0.319151,-0.540797,0.000051,3.689736,3.676470,1.049590,2.674361,0.003727,-0.003990,0.945742,-0.000270,0.000478,-0.000161,-0.739320,1.227559,0.114998,0.000000,0.000000,0.000000
9.145159,-0.004889,-0.346826,0.785193,0.006017,0.015106,0.716086,-0.023729,-0.317173,-0.440974,0.000108,3.689736,2.086022,0.326976,0.873276,0.016254,-0.003960,0.941307,-0.000270,0.000478,-0.000161,-0.739320,1.227559,0.114998,0.000000,0.000000,0.000000
9.194043,-0.004854,-0.345949,0.819862,0.008017,0.015320,0.684299,0.024728,-0.336052,-0.332092,0.000038,3.689736,-2.969280,-1.084627,1.420152,0.017047,0.000276,0.936360,-0.000270,0.000478,-0.000161,-0.739320,1.227559,0.114998,0.000000,0.000000,0.000000
9.245095,-0.004822,-0.344931,0.853466,0.009444,0.016747,0.650235,-0.121854,-0.272799,-0.249548,0.000209,3.695015,-0.329092,-4.956141,2.848626,0.015370,-0.013961,0.927599,-0.000270,0.000478,-0.000161,-0.739320,1.227559,0.114998,0.000000,0.000000,0.000000
9.295165,-0.004823,-0.343903,0.884902,0.008812,0.018135,0.613481,-0.112052,-0.008206,-0.156985,0.000156,3.695015,3.601605,-5.482038,1.868276,0.019235,-0.006019,0.924861,-0.000270,0.000478,-0.000161,-0.739320,1.227559,0.114998,0.000000,0.000000,0.000000
9.344080,-0.004859,-0.343160,0.914702,0.006452,0.017422,0.573797,0.059746,0.217986,-0.046052,0.000210,3.695015,3.004531,-4.798586,2.386156,0.002407,-0.014076,0.913610,-0.000270,0.000478,-0.000161,-0.739320,1.227559,0.114998,0.000000,0.000000,0.000000
9.394024,-0.005721,-0.341915,0.942129,0.000191,0.017230,0.529399,0.191440,0.439210,0.042812,0.000210,3.695015,2.860916,-1.092682,1.089280,0.021098,-0.007924,0.907326,-0.000270,0.000478,-0.000161,-0.739320,1.227559,0.114998,0.000000,0.000000,0.000000
