# meta:run_eval_mode=formation_scenario
# meta:scenario=A4
# meta:title=Offset stack, dz=0.30 m, y-offset 0.10 m, lemniscate
# meta:n_drones=2
# meta:duration_s=18.824
# meta:height=1.0
# meta:timescale=1.0
# meta:controller=6
# meta:ctrl_mode=0
# meta:tags=tracking|data_collection
# meta:param_dz=0.3
# meta:param_offset=0.1
# meta:param_axis=y
# meta:param_motion=lemniscate
# meta:param_speed=0.4
# meta:param_length=1.2
# meta:param_radius=0.45
# meta:param_period=8.0
# meta:param_laps=2.0
# meta:param_rotate_deg=0.0
# meta:realised_peak_speed=0.4998
# meta:realised_peak_accel=0.5898
# meta:realised_speed_requested=None
# meta:realised_period_effective=8.0
# meta:realised_period_pinned=False
# meta:realised_path_kind=lemniscate
# meta:indi_kr=2400.0
# meta:indi_kw=170.0
# meta:indi_kr_z=2400.0
# meta:indi_kw_z=170.0
# meta:indi_kr_geo=0.01
# meta:indi_kw_geo=0.0011
# meta:indi_kr_z_geo=0.01
# meta:indi_kw_z_geo=0.00138
# meta:indi_fc_bw=206.0
# meta:indi_mass=0.041
# meta:indi_kt1=4.1623e-10
# meta:indi_kt2=4.0592e-10
# meta:indi_kt3=4.1116e-10
# meta:indi_kt4=4.0631e-10
# meta:indi_j_scale=1.0
# meta:indi_notch_f0=6.9
# meta:indi_notch_bw=3.0
# meta:pos_kp_xy=40.0
# meta:pos_kp_z=30.0
# meta:pos_kv_xy=8.0
# meta:pos_kv_z=10.0
# meta:t_start_sim=1790263405.7971
# meta:usd_start_s=15.634107
# meta:indi_rpm_source=1.0
# meta:config_source=all+robot_override
# meta:shared_controller=6
# meta:shared_ctrl_mode=3
# meta:gains_apply=1
time_s,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,roll,pitch,yaw,thrust,vbat,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,tau_x,tau_y,tau_z,alp_x,alp_y,alp_z,a_res_x,a_res_y,a_res_z
7.210953,-0.103769,-0.494201,-0.421941,-0.067844,-0.249617,-0.210964,-0.015612,0.179755,-0.156692,0.000000,3.890323,-0.174212,0.300680,0.132004,0.000666,-0.007490,0.994791,0.000000,0.000000,0.000000,0.636298,-1.113830,-1.007496,-0.019674,-0.071526,9.509688
7.260900,-0.107191,-0.506755,-0.432542,-0.068964,-0.252459,-0.213270,-0.016689,0.174187,-0.157983,0.000000,3.890323,-0.042985,-0.452303,-0.181679,-0.000506,-0.004800,0.996168,0.000000,0.000000,0.000000,-0.765637,0.448772,-0.926147,-0.015393,-0.046591,9.492855
7.310972,-0.110686,-0.519464,-0.443276,-0.070667,-0.255843,-0.215786,-0.017078,0.177563,-0.158644,0.000000,3.895601,0.353056,-0.478598,-0.117327,0.000085,-0.009595,0.995567,0.000000,0.000000,0.000000,-2.436018,-1.938336,-0.379308,-0.025158,-0.077640,9.472808
7.360004,-0.114248,-0.532329,-0.454128,-0.071749,-0.259025,-0.218113,-0.020419,0.181853,-0.159163,0.000000,3.890323,0.006171,-0.194982,-0.114891,0.002662,-0.005329,0.996892,0.000000,0.000000,0.000000,0.169163,0.608319,1.007203,-0.009931,-0.039377,9.500057
7.410894,-0.117926,-0.545622,-0.465312,-0.072504,-0.262256,-0.220652,-0.021836,0.179152,-0.159032,0.000000,3.890323,0.177311,0.031798,0.045274,0.000557,-0.006265,0.996292,0.000000,0.000000,0.000000,-1.317857,1.766791,-0.848181,-0.026334,-0.051711,9.493366
7.462020,-0.121556,-0.558815,-0.476411,-0.072564,-0.265483,-0.223219,-0.017789,0.176520,-0.158824,0.000000,3.890323,-0.148411,0.176285,0.055642,0.003412,-0.005488,0.992472,0.000000,0.000000,0.000000,1.752275,-1.233825,1.599099,0.004794,-0.069433,9.500138
7.510867,-0.125292,-0.572428,-0.487838,-0.074088,-0.268366,-0.224832,-0.017254,0.179460,-0.160532,0.000000,3.890323,-0.034881,-0.109182,-0.009277,0.001148,-0.003110,0.999027,0.000000,0.000000,0.000000,0.462103,1.642568,0.765774,-0.039344,-0.039613,9.518024
7.559999,-0.129033,-0.585908,-0.499132,-0.075469,-0.271113,-0.227091,-0.020869,0.180290,-0.161425,0.000000,3.890323,0.251259,-0.032687,-0.008358,0.000781,-0.008669,0.996859,0.000000,0.000000,0.000000,0.010909,-0.255415,-1.192593,-0.053002,-0.032145,9.513865
7.609915,-0.132827,-0.599550,-0.510529,-0.076622,-0.274498,-0.228973,-0.021298,0.182042,-0.161381,0.000000,3.890323,0.088348,0.000241,-0.085826,0.001020,-0.006268,0.997500,0.000000,0.000000,0.000000,-2.305078,0.657469,0.162869,-0.009338,-0.050121,9.480990
7.659934,-0.136696,-0.613350,-0.522027,-0.078122,-0.277519,-0.230791,-0.017980,0.185787,-0.162233,0.000000,3.890323,-0.349443,-0.145517,-0.154823,-0.001276,-0.003823,0.993729,0.000000,0.000000,0.000000,-1.442930,2.223637,0.898096,-0.027878,-0.073113,9.510068
