# meta:run_eval_mode=formation_scenario
# meta:scenario=A4
# meta:title=Offset stack, dz=0.30 m, y-offset 0.10 m, lemniscate
# meta:n_drones=2
# meta:duration_s=18.824
# meta:height=1.0
# meta:timescale=1.0
# meta:controller=5
# meta:ctrl_mode=3
# meta:tags=tracking|data_collection
# meta:param_dz=0.3
# meta:param_offset=0.1
# meta:param_axis=y
# meta:param_motion=lemniscate
# meta:param_speed=0.4
# meta:param_length=1.2
# meta:param_radius=0.45
# meta:param_period=8.0
# meta:param_laps=2.0
# meta:param_rotate_deg=0.0
# meta:realised_peak_speed=0.4998
# meta:realised_peak_accel=0.5898
# meta:realised_speed_requested=None
# meta:realised_period_effective=8.0
# meta:realised_period_pinned=False
# meta:realised_path_kind=lemniscate
# meta:indi_kr=2400.0
# meta:indi_kw=170.0
# meta:indi_kr_z=2400.0
# meta:indi_kw_z=170.0
# meta:indi_kr_geo=0.01
# meta:indi_kw_geo=0.0011
# meta:indi_kr_z_geo=0.01
# meta:indi_kw_z_geo=0.00138
# meta:indi_fc_bw=206.0
# meta:indi_mass=0.041
# meta:indi_kt1=4.1623e-10
# meta:indi_kt2=4.0592e-10
# meta:indi_kt3=4.1116e-10
# meta:indi_kt4=4.0631e-10
# meta:indi_j_scale=1.0
# meta:indi_notch_f0=6.9
# meta:indi_notch_bw=3.0
# meta:pos_kp_xy=64.0
# meta:pos_kp_z=48.0
# meta:pos_kv_xy=5.0
# meta:pos_kv_z=7.0
# meta:t_start_sim=1790263227.7703
# meta:usd_start_s=15.617792
# meta:config_source=all+robot_override
# meta:shared_controller=6
# meta:shared_ctrl_mode=3
# meta:gains_apply=0
time_s,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,roll,pitch,yaw,thrust,vbat,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,tau_x,tau_y,tau_z,alp_x,alp_y,alp_z,a_res_x,a_res_y,a_res_z
7.217722,1.416222,0.867448,0.020785,0.683139,0.424002,0.014312,0.110692,0.229640,-0.051645,0.000000,4.043402,0.942814,-0.963568,0.034440,0.008471,0.010084,1.009107,0.000751,-0.000010,0.000018,-0.409388,0.809523,-0.803331,0.000000,0.000000,0.000000
7.268726,1.450458,0.888680,0.021523,0.683893,0.424216,0.015133,0.126212,0.257568,-0.031911,-0.002123,3.658065,1.576422,-5.149776,4.832195,0.011858,-0.005830,1.008430,0.000751,-0.000010,0.000018,-0.409388,0.809523,-0.803331,0.000000,0.000000,0.000000
7.317857,1.484578,0.909849,0.022276,0.680755,0.422419,0.015306,0.230729,0.385751,-0.020138,-0.002650,3.779472,-0.858596,-4.211771,-3.881167,0.024395,-0.000859,1.006467,0.000751,-0.000010,0.000018,-0.409388,0.809523,-0.803331,0.000000,0.000000,0.000000
7.369697,1.518471,0.930893,0.024012,0.673360,0.418320,0.065615,0.493047,0.881387,-0.277223,-0.002697,3.826980,32.438263,-47.617767,-10.684237,0.033919,-0.008281,1.177513,0.000751,-0.000010,0.000018,-0.409388,0.809523,-0.803331,0.000000,0.000000,0.000000
7.418706,1.551483,0.951400,0.029393,0.639979,0.397597,0.144780,2.628083,4.090018,-0.894685,-0.001088,3.842815,83.816269,-133.073593,-12.265461,0.042416,0.009623,1.134231,0.000751,-0.000010,0.000018,-0.409388,0.809523,-0.803331,0.000000,0.000000,0.000000
7.469689,1.581474,0.970047,0.037801,0.548204,0.341736,0.183877,7.315205,11.221949,-2.144818,0.000832,3.842815,110.985703,-193.780411,-12.062924,0.056284,0.012989,1.095839,0.000751,-0.000010,0.000018,-0.409388,0.809523,-0.803331,0.000000,0.000000,0.000000
7.518597,1.604949,0.984868,0.046850,0.377212,0.244978,0.169154,13.439198,20.991938,-4.544910,0.002608,3.826980,101.017311,-184.027588,-11.486002,0.024309,0.011825,1.064980,0.000751,-0.000010,0.000018,-0.409388,0.809523,-0.803331,0.000000,0.000000,0.000000
7.567694,1.618031,0.993966,0.053840,0.141283,0.115412,0.100057,19.309143,28.642931,-7.286780,0.001831,3.842815,60.864182,-41.950882,-4.074397,0.015939,0.011834,0.993323,0.000751,-0.000010,0.000018,-0.409388,0.809523,-0.803331,0.000000,0.000000,0.000000
7.618698,1.619050,0.996149,0.056271,-0.095747,-0.028592,-0.006254,21.917625,29.125082,-7.647369,0.000077,3.853373,-12.336293,90.147827,-0.241703,0.035236,0.002432,0.927361,0.000751,-0.000010,0.000018,-0.409388,0.809523,-0.803331,0.000000,0.000000,0.000000
7.668741,1.609022,0.991162,0.053424,-0.300303,-0.169418,-0.099689,19.626287,24.401281,-5.688280,-0.000550,3.848094,-88.603935,129.820541,-2.678943,0.054207,0.017946,0.957913,0.000751,-0.000010,0.000018,-0.409388,0.809523,-0.803331,0.000000,0.000000,0.000000
