# meta:run_eval_mode=formation_scenario
# meta:scenario=A7
# meta:title=Dynamic merge, dz 1.10 -> 0.10 m while translating
# meta:n_drones=2
# meta:duration_s=11.750
# meta:height=0.2
# meta:timescale=1.0
# meta:controller=6
# meta:ctrl_mode=0
# meta:tags=tracking|extreme|data_collection
# meta:param_dz_start=1.1
# meta:param_dz_end=0.1
# meta:param_speed=0.3
# meta:param_length=1.2
# meta:param_settle=3.0
# meta:param_rotate_deg=0.0
# meta:realised_peak_speed=0.3905
# meta:realised_peak_accel=0.1533
# meta:realised_speed_requested=0.3
# meta:realised_period_effective=None
# meta:realised_period_pinned=False
# meta:realised_path_kind=fixed
# meta:indi_kr=2400.0
# meta:indi_kw=170.0
# meta:indi_kr_z=2400.0
# meta:indi_kw_z=170.0
# meta:indi_kr_geo=0.01
# meta:indi_kw_geo=0.0011
# meta:indi_kr_z_geo=0.01
# meta:indi_kw_z_geo=0.00138
# meta:indi_fc_bw=206.0
# meta:indi_mass=0.041
# meta:indi_kt1=4.1623e-10
# meta:indi_kt2=4.0592e-10
# meta:indi_kt3=4.1116e-10
# meta:indi_kt4=4.0631e-10
# meta:indi_j_scale=1.0
# meta:indi_notch_f0=6.9
# meta:indi_notch_bw=3.0
# meta:pos_kp_xy=40.0
# meta:pos_kp_z=30.0
# meta:pos_kv_xy=8.0
# meta:pos_kv_z=10.0
# meta:t_start_sim=1790182666.0583
# meta:usd_start_s=15.241613
# meta:indi_rpm_source=1.0
# meta:config_source=all+robot_override
# meta:shared_controller=6
# meta:shared_ctrl_mode=3
# meta:gains_apply=1
time_s,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,roll,pitch,yaw,thrust,vbat,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,tau_x,tau_y,tau_z,alp_x,alp_y,alp_z,a_res_x,a_res_y,a_res_z
7.241466,-0.007029,0.481829,-0.018959,-0.002956,-0.017772,0.002780,-0.372103,-0.012468,-3.280362,0.000000,3.895601,0.380478,-0.099786,0.240100,-0.000508,-0.013767,1.004467,0.000000,0.000000,0.000000,0.333744,-2.690845,0.921400,-0.006444,-0.073205,9.603326
7.292546,-0.007025,0.481829,-0.018911,-0.002480,-0.017541,0.002276,-0.368500,-0.007001,-3.276678,0.000000,3.895601,-0.175729,0.490694,-0.087725,0.000686,-0.012211,1.002056,0.000000,0.000000,0.000000,0.763989,0.100315,2.522084,0.003356,-0.055134,9.562357
7.341352,-0.007021,0.481831,-0.018850,-0.002052,-0.016980,0.001788,-0.374529,-0.005879,-3.271833,0.000000,3.895601,-0.194671,0.053846,-0.027487,0.000429,-0.010443,0.998592,0.000000,0.000000,0.000000,-1.669299,-0.277951,-0.122893,0.007067,-0.036289,9.534157
7.391596,-0.007017,0.481832,-0.018975,-0.001598,-0.017126,0.002173,-0.372868,-0.009788,-3.270281,0.000000,3.895601,-0.110511,-0.281450,-0.122585,0.001057,-0.013410,1.006584,0.000000,0.000000,0.000000,0.710016,3.535718,2.333265,0.002569,-0.071798,9.604681
7.441416,-0.007016,0.481828,-0.018982,-0.001633,-0.017740,0.002302,-0.376461,-0.001309,-3.272373,0.000000,3.895601,0.081358,0.263977,0.018323,0.001821,-0.012689,1.000662,0.000000,0.000000,0.000000,0.208372,-1.797184,0.623542,0.007053,-0.062789,9.557995
7.492440,-0.007054,0.481830,-0.018973,-0.002512,-0.017230,0.002857,-0.381699,0.007075,-3.278759,0.000000,3.895601,-0.051806,-0.095266,0.025368,-0.005547,-0.010929,1.005150,0.000000,0.000000,0.000000,3.061909,-1.671956,-0.910636,-0.052506,-0.039453,9.583459
7.541257,-0.007018,0.481841,-0.018982,-0.001274,-0.016074,0.001685,-0.386292,-0.006608,-3.285381,0.000000,3.895601,0.011863,-0.114177,-0.032268,0.002789,-0.008252,0.999745,0.000000,0.000000,0.000000,-3.494021,0.689152,-2.279588,0.042881,-0.022224,9.540962
7.591356,-0.007040,0.481839,-0.018523,-0.000552,-0.016668,0.003974,-0.386043,0.001513,-3.287946,0.000000,3.895601,0.063109,-0.386161,0.100970,0.003368,-0.012128,1.002957,0.000000,0.000000,0.000000,-0.212192,-0.298900,-1.179086,0.030102,-0.062322,9.568835
7.643331,-0.007003,0.481840,-0.018961,-0.000052,-0.016278,0.002784,-0.383909,0.002917,-3.278482,0.000000,3.895601,0.179084,0.147249,0.381980,0.001532,-0.010569,1.004744,0.000000,0.000000,0.000000,-0.627544,0.896508,-0.496408,0.001436,-0.037118,9.579826
7.691402,-0.007001,0.481841,-0.018714,-0.000258,-0.016534,0.003585,-0.389171,-0.000363,-3.279155,0.000000,3.895601,-0.265348,-0.218756,0.041220,-0.000738,-0.010232,1.000402,0.000000,0.000000,0.000000,-0.349414,-1.514059,-0.961260,-0.010338,-0.031600,9.533905
7.741320,-0.007006,0.481838,-0.018957,-0.000749,-0.016326,0.003744,-0.392839,0.005052,-3.282610,0.000000,3.900880,0.005270,-0.232412,0.013818,-0.002558,-0.011650,1.005023,0.000000,0.000000,0.000000,-1.648295,-0.684147,-0.919800,-0.018727,-0.044046,9.589484
7.791331,-0.007004,0.481845,-0.018973,-0.000473,-0.015774,0.002773,-0.397481,0.006648,-3.282292,0.000000,3.895601,0.049235,-0.168568,-0.030538,0.002778,-0.011448,0.997848,0.000000,0.000000,0.000000,0.337421,-0.484925,-0.784878,0.017575,-0.050602,9.522822
7.840454,-0.007006,0.481684,-0.018946,-0.000134,-0.015622,0.002201,-0.397457,0.010218,-3.279723,0.000000,3.895601,-0.056181,0.182472,0.099001,0.001137,-0.012648,1.001890,0.000000,0.000000,0.000000,0.442744,1.481221,1.271584,0.003362,-0.049847,9.552161
7.891304,-0.007001,0.481710,-0.018964,-0.000206,-0.014830,0.002003,-0.399718,0.011963,-3.290886,0.000000,3.895601,0.151440,-0.432779,0.164348,-0.001489,-0.007322,1.002437,0.000000,0.000000,0.000000,-0.331762,-2.398318,-0.413530,-0.016960,-0.008220,9.558387
7.942317,-0.006992,0.481725,-0.018366,0.000739,-0.013778,0.003347,-0.398891,0.017096,-3.284596,0.000000,3.895601,-0.137593,-0.052796,0.224954,0.003025,-0.006290,0.998009,0.000000,0.000000,0.000000,-1.187309,1.548289,-0.185895,0.035610,0.002605,9.516366
7.991339,-0.006985,0.481734,-0.018977,0.000851,-0.013892,0.000670,-0.402078,0.008503,-3.284798,0.000000,3.895601,0.277434,-0.470801,0.064306,0.001511,-0.011132,0.998763,0.000000,0.000000,0.000000,-0.526542,1.510816,0.068405,0.008814,-0.044905,9.526223
8.041353,-0.006986,0.481723,-0.018768,0.000373,-0.014281,0.001939,-0.399189,0.009456,-3.280724,0.000000,3.895601,-0.022858,0.034155,-0.116192,0.002014,-0.010486,1.000165,0.000000,0.000000,0.000000,0.038625,1.439978,-1.159837,0.008490,-0.036551,9.531230
8.090472,-0.006994,0.481714,-0.018979,0.000334,-0.015106,0.000883,-0.397929,0.009532,-3.276319,0.000000,3.895601,-0.199728,-0.469319,0.056863,0.002054,-0.008818,0.997314,0.000000,0.000000,0.000000,-0.843951,0.427848,0.691037,0.017132,-0.026437,9.513368
8.141328,-0.007068,0.481694,-0.018954,-0.000360,-0.015878,0.002749,-0.395597,0.007297,-3.273609,0.000000,3.895601,-0.213452,-0.142088,-0.019473,-0.001594,-0.013844,1.006715,0.000000,0.000000,0.000000,1.155924,-1.127903,0.160028,-0.029160,-0.078585,9.588207
8.190434,-0.007003,0.481700,-0.018956,-0.000053,-0.015602,0.002375,-0.400640,0.010850,-3.276532,0.000000,3.895601,-0.057262,-0.289795,0.033627,0.000382,-0.011298,0.998044,0.000000,0.000000,0.000000,0.249328,-0.513507,1.095399,0.001062,-0.048006,9.523383
8.241338,-0.007005,0.481683,-0.018901,-0.000556,-0.016011,0.003940,-0.400241,0.009304,-3.275802,0.000000,3.895601,0.178271,-0.322572,-0.092378,-0.000227,-0.011786,1.005018,0.000000,0.000000,0.000000,-0.830188,-0.369059,1.556471,-0.001524,-0.036419,9.574773
8.291387,-0.007021,0.481696,-0.018365,-0.001142,-0.015397,0.004931,-0.399945,0.012278,-3.287723,0.000000,3.895601,0.175717,-0.155938,0.160505,0.001374,-0.011582,0.997616,0.000000,0.000000,0.000000,0.152474,1.526480,-0.357261,0.007573,-0.049774,9.516810
8.340372,-0.007022,0.481694,-0.018943,-0.001262,-0.016017,0.002391,-0.396511,0.011387,-3.288604,0.000000,3.895601,-0.047856,0.244830,0.036229,0.000914,-0.014256,1.003199,0.000000,0.000000,0.000000,2.457904,-1.300933,-0.280202,-0.009213,-0.083016,9.572432
