# meta:run_eval_mode=formation_scenario
# meta:scenario=A8
# meta:title=Vertical swap (2 robots), dz=0.40 m at crossing, span=1.00 m, passes=2
# meta:n_drones=2
# meta:duration_s=14.000
# meta:height=1.0
# meta:timescale=1.0
# meta:controller=6
# meta:ctrl_mode=3
# meta:tags=swap|data_collection
# meta:param_dz=0.4
# meta:param_span=1.0
# meta:param_duration=6.0
# meta:param_settle=2.0
# meta:param_passes=2
# meta:param_rotate_deg=0.0
# meta:realised_peak_speed=0.3646
# meta:realised_peak_accel=0.2087
# meta:realised_speed_requested=None
# meta:realised_period_effective=None
# meta:realised_period_pinned=False
# meta:realised_path_kind=fixed
# meta:indi_kr=2400.0
# meta:indi_kw=170.0
# meta:indi_kr_z=2400.0
# meta:indi_kw_z=170.0
# meta:indi_kr_geo=0.01
# meta:indi_kw_geo=0.0011
# meta:indi_kr_z_geo=0.01
# meta:indi_kw_z_geo=0.00138
# meta:indi_fc_bw=206.0
# meta:indi_mass=0.041
# meta:indi_kt1=4.1623e-10
# meta:indi_kt2=4.0592e-10
# meta:indi_kt3=4.1116e-10
# meta:indi_kt4=4.0631e-10
# meta:indi_j_scale=1.0
# meta:indi_notch_f0=6.9
# meta:indi_notch_bw=3.0
# meta:pos_kp_xy=64.0
# meta:pos_kp_z=48.0
# meta:pos_kv_xy=5.0
# meta:pos_kv_z=7.0
time_s,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,roll,pitch,yaw,thrust,vbat,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,tau_x,tau_y,tau_z,alp_x,alp_y,alp_z,a_res_x,a_res_y,a_res_z
2.839720,0.050904,0.296984,-0.024008,-0.007958,-0.001492,-0.000462,-0.453048,0.302127,0.237434,0.000000,3.911437,0.093516,-0.023187,0.080566,-0.005233,-0.007449,0.998381,0.000000,0.000000,0.000000,4.055512,0.352292,-0.883170,-0.082748,-0.018463,9.581749
2.890613,0.050878,0.296981,-0.024045,-0.008689,-0.001383,-0.001040,-0.451722,0.305113,0.241937,0.000000,3.911437,0.174913,0.248834,0.373121,0.001652,-0.010110,0.999094,0.000000,0.000000,0.000000,-3.603622,-1.711711,1.574817,-0.028626,0.026987,9.562755
2.940687,0.050873,0.296990,-0.024005,-0.008309,-0.000205,-0.000214,-0.451591,0.302835,0.243000,0.000000,3.911437,-0.053510,-0.342282,-0.242972,0.004324,-0.000031,1.004919,0.000000,0.000000,0.000000,-2.596848,2.364975,2.137087,-0.004302,0.060885,9.635580
2.988741,0.050914,0.296998,-0.024071,-0.008537,-0.000414,-0.000458,-0.446260,0.307526,0.244254,0.000000,3.911437,-0.461595,-0.037772,0.291113,-0.000426,-0.006379,0.999588,0.000000,0.000000,0.000000,-0.085582,-0.582674,-4.315334,-0.075127,-0.034918,9.577116
3.038675,0.050879,0.297004,-0.024004,-0.009624,-0.000022,-0.000192,-0.448555,0.305258,0.240905,0.000000,3.911437,0.297809,-0.038470,-0.458117,-0.008700,-0.011361,1.002107,0.000000,0.000000,0.000000,1.688524,-0.744133,6.378749,-0.114069,-0.049684,9.594197
3.088591,0.050901,0.297010,-0.023994,-0.008798,0.001413,0.000747,-0.450986,0.303419,0.245883,0.000000,3.911437,0.238786,-0.213672,-0.678526,0.006423,-0.005776,1.001436,0.000000,0.000000,0.000000,0.764102,1.178843,-4.612315,0.018732,0.105793,9.611424
3.140701,0.050830,0.297034,-0.023989,-0.009697,0.001799,0.000624,-0.450302,0.307637,0.248319,0.000000,3.911437,-0.290346,0.585964,0.526629,0.002829,0.001625,1.001894,0.000000,0.000000,0.000000,-0.310274,0.018044,-1.466438,-0.056791,0.051355,9.587417
3.188700,0.050850,0.297025,-0.024005,-0.009318,0.001284,-0.000488,-0.453413,0.307423,0.248587,0.000000,3.911437,0.271389,0.062277,0.218270,-0.008278,-0.015540,0.996498,0.000000,0.000000,0.000000,2.667696,-0.538807,9.389922,-0.098729,-0.058305,9.540287
3.238643,0.050816,0.297038,-0.024409,-0.009634,0.002567,-0.001519,-0.452842,0.306214,0.249012,0.000000,3.911437,-0.045761,-0.776215,-0.677208,0.002430,-0.002165,0.999415,0.000000,0.000000,0.000000,-2.065699,-0.870923,-7.295718,0.072040,0.117083,9.595985
3.289846,0.050901,0.297027,-0.024002,-0.008863,0.002523,0.000991,-0.454671,0.307954,0.253573,0.000000,3.911437,-0.225051,0.354829,0.830554,0.012166,0.002698,1.001508,0.000000,0.000000,0.000000,-1.053900,0.314093,-4.903582,-0.000456,0.040895,9.572372
3.339624,0.050904,0.297029,-0.023987,-0.008908,0.002291,0.001259,-0.454831,0.306861,0.256375,0.000000,3.911437,0.347395,0.083398,0.163450,-0.005238,-0.014801,0.999487,0.000000,0.000000,0.000000,3.499862,-0.682102,10.512297,-0.110341,-0.076281,9.584150
3.391723,0.050906,0.297024,-0.024104,-0.008175,0.002087,0.001677,-0.456994,0.306830,0.260255,0.000000,3.911437,-0.032985,-0.434604,-0.286343,0.001070,-0.010679,1.000025,0.000000,0.000000,0.000000,-0.658751,0.265625,-8.549957,0.020450,0.046454,9.584256
3.438747,0.050836,0.297048,-0.023975,-0.008822,0.002556,0.001420,-0.458746,0.312354,0.259277,0.000000,3.911437,-0.127758,0.577847,0.396086,0.011646,0.000678,1.001400,0.000000,0.000000,0.000000,-0.535833,0.153468,-1.859518,-0.011185,0.071773,9.570761
3.489104,0.050834,0.297042,-0.023973,-0.009010,0.001827,0.001419,-0.455425,0.313932,0.262242,0.000000,3.911437,-0.120878,-0.112493,0.386238,-0.013025,-0.016246,1.000213,0.000000,0.000000,0.000000,-0.178761,-0.223403,7.023013,-0.148761,-0.060048,9.570251
3.538662,0.050827,0.297035,-0.023983,-0.008927,0.001875,0.000954,-0.455964,0.312949,0.265414,0.000000,3.911437,0.104607,-0.622549,0.052157,0.001203,-0.004957,0.996376,0.000000,0.000000,0.000000,-1.790365,1.819630,-5.754147,0.053952,0.078109,9.549150
3.589177,0.050819,0.297018,-0.023980,-0.009473,0.000827,0.000896,-0.459080,0.316587,0.266468,0.000000,3.911437,-0.274120,0.245408,0.540215,0.014323,-0.003246,1.002090,0.000000,0.000000,0.000000,-1.252695,2.291934,-6.508223,0.018851,0.013139,9.575768
3.640891,0.050820,0.297050,-0.023937,-0.010160,0.003510,0.005460,-0.429401,0.327804,0.253311,0.000055,3.790029,1.318836,-2.163511,-1.456747,-0.015149,-0.021548,1.005948,0.000000,0.000000,0.000000,-10.195702,-5.811627,1.893756,-0.160220,-0.149566,6.635983
3.688743,0.050719,0.297200,-0.018832,-0.018440,0.015657,0.203325,-0.655814,0.472819,0.214438,0.000453,3.373021,-22.240007,-21.742685,-1.452366,0.007784,-0.028954,1.345035,0.000000,0.000000,0.000000,-8.160113,-35.925507,12.485877,-0.004098,-0.202926,5.638795
3.738678,0.049248,0.298899,0.002800,-0.059021,0.066028,0.556084,-2.664747,2.065788,0.247358,0.001397,3.473314,-71.975800,-54.541016,2.397583,0.019078,-0.038765,1.722209,0.000000,0.000000,0.000000,26.230692,26.315449,-0.915065,-0.376587,0.374907,13.386953
3.789680,0.044703,0.303415,0.039028,-0.128209,0.131599,0.843459,-5.185889,4.756587,0.478367,0.001908,3.584164,-0.367525,-37.519711,2.566545,-0.015207,-0.005240,1.639236,0.000000,0.000000,0.000000,31.286894,20.578920,1.477349,-1.306058,1.125349,13.195847
3.837757,0.037232,0.309028,0.086206,-0.179467,0.158533,0.999335,-3.856725,5.272856,0.627241,0.001239,3.663343,53.290432,42.190372,2.282840,-0.008098,-0.015979,1.351426,0.000000,0.000000,0.000000,2.438664,6.575107,4.951827,-0.880874,0.408270,9.148281
3.889773,0.029010,0.315004,0.138323,-0.181893,0.148656,1.054883,-0.562328,1.850708,0.614164,0.000042,3.716129,73.601791,104.806938,2.900819,0.000968,-0.026376,1.127550,0.000000,0.000000,0.000000,4.649996,-1.262665,-3.746346,-0.003876,-0.240431,1.797652
3.939120,0.023110,0.318878,0.189609,-0.134274,0.107982,1.036956,3.011179,-3.630231,0.991893,-0.000276,3.742522,65.208557,103.443878,6.119368,0.013909,-0.021098,0.987539,0.000000,0.000000,0.000000,5.627989,-2.554774,-3.724903,0.097802,-0.176662,-0.150544
3.987787,0.020720,0.320095,0.238370,-0.052876,0.046445,0.975812,6.329940,-8.444612,1.736994,-0.000418,3.747801,56.781578,77.479317,7.604524,0.025886,-0.011222,0.907448,0.000000,0.000000,0.000000,-18.439888,-15.641569,2.995431,0.094952,0.003891,-1.098726
4.038666,0.023133,0.318881,0.283353,0.049225,-0.026435,0.888010,9.182763,-11.895707,2.539794,-0.000600,3.747801,43.189571,47.449825,5.343742,0.018316,-0.022907,0.873477,0.000000,0.000000,0.000000,2.379983,-30.990688,-2.334445,-0.043654,-0.028302,-0.961242
4.089755,0.030989,0.313220,0.323641,0.159257,-0.109876,0.785487,10.844246,-13.402753,2.923342,-0.000792,3.753079,3.161633,-0.286198,-2.726485,0.022226,-0.027670,0.851781,0.000000,0.000000,0.000000,4.573732,-35.646793,-2.519842,0.008482,-0.126773,-0.942418
