# meta:run_eval_mode=formation_scenario
# meta:scenario=A8
# meta:title=Vertical swap (2 robots), dz=0.25 m at crossing, span=1.00 m, passes=2
# meta:n_drones=2
# meta:duration_s=14.000
# meta:height=1.0
# meta:timescale=1.0
# meta:controller=6
# meta:ctrl_mode=3
# meta:tags=swap|data_collection
# meta:param_dz=0.25
# meta:param_span=1.0
# meta:param_duration=6.0
# meta:param_settle=2.0
# meta:param_passes=2
# meta:param_rotate_deg=0.0
# meta:realised_peak_speed=0.3646
# meta:realised_peak_accel=0.2087
# meta:realised_speed_requested=None
# meta:realised_period_effective=None
# meta:realised_period_pinned=False
# meta:realised_path_kind=fixed
# meta:indi_kr=2400.0
# meta:indi_kw=170.0
# meta:indi_kr_z=2400.0
# meta:indi_kw_z=170.0
# meta:indi_kr_geo=0.01
# meta:indi_kw_geo=0.0011
# meta:indi_kr_z_geo=0.01
# meta:indi_kw_z_geo=0.00138
# meta:indi_fc_bw=206.0
# meta:indi_mass=0.041
# meta:indi_kt1=4.1623e-10
# meta:indi_kt2=4.0592e-10
# meta:indi_kt3=4.1116e-10
# meta:indi_kt4=4.0631e-10
# meta:indi_j_scale=1.0
# meta:indi_notch_f0=6.9
# meta:indi_notch_bw=3.0
# meta:pos_kp_xy=64.0
# meta:pos_kp_z=48.0
# meta:pos_kv_xy=5.0
# meta:pos_kv_z=7.0
# meta:t_start_sim=1789571571.4954
# meta:usd_start_s=10.840651
# meta:config_source=all
# meta:shared_controller=6
# meta:shared_ctrl_mode=3
# meta:gains_apply=1
time_s,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,roll,pitch,yaw,thrust,vbat,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,tau_x,tau_y,tau_z,alp_x,alp_y,alp_z,a_res_x,a_res_y,a_res_z
2.829114,-0.050968,0.497836,-0.022991,0.001743,-0.008367,0.000442,-0.066286,0.175679,0.189830,0.000000,4.075073,0.192797,-0.033789,0.045844,0.005245,-0.003910,0.998738,0.045000,0.003719,0.002500,-0.544488,-0.676017,1.287768,0.010114,0.016863,9.487470
2.879055,-0.049929,0.498698,-0.022992,0.005117,-0.004897,0.001065,-0.061713,0.168698,0.188350,0.000000,4.075073,-0.275593,0.021701,0.177424,0.001920,-0.000504,1.002565,0.045000,0.003719,0.002500,3.009726,3.694908,-2.856832,0.006170,-0.039213,9.517754
2.927922,-0.049910,0.498180,-0.022982,0.004639,-0.005960,0.000927,-0.084619,0.172265,0.188822,0.000000,4.075073,0.810472,-0.205136,-0.134868,0.004527,-0.005962,0.998713,0.045000,0.003719,0.002500,-3.207857,0.331593,-0.113932,0.028780,0.001219,9.466501
2.977103,-0.049907,0.497875,-0.022974,0.004808,-0.007178,0.001571,-0.075934,0.182636,0.191599,0.000000,4.075073,0.032644,0.099914,-0.038758,0.005215,0.002860,1.000776,0.045000,0.003719,0.002500,2.281668,0.423483,2.592035,0.001921,0.017461,9.485073
3.028998,-0.050739,0.498195,-0.022981,0.000590,-0.005630,0.002099,-0.074668,0.189949,0.189425,0.000000,4.075073,0.358405,-0.068439,0.274698,0.001507,-0.007947,1.003418,0.045000,0.003719,0.002500,-0.820484,-0.252307,-1.421698,-0.036132,-0.038413,9.512553
3.078320,-0.050995,0.497887,-0.022955,-0.000601,-0.007025,0.002010,-0.084945,0.214374,0.189991,0.000000,4.075073,0.161171,-0.391892,-0.082814,0.001154,0.002166,1.003442,0.045000,0.003719,0.002500,0.360263,0.980721,2.153487,-0.018995,0.033744,9.499722
3.128983,-0.051005,0.497864,-0.022964,-0.000198,-0.007155,0.001900,-0.079361,0.218103,0.194955,0.000000,4.075073,0.480071,0.139139,0.027534,0.006954,-0.007333,1.001368,0.045000,0.003719,0.002500,-1.347423,-1.222214,0.758161,0.016306,-0.065569,9.475351
3.178134,-0.050994,0.497863,-0.022960,0.000224,-0.006952,0.001609,-0.076713,0.222812,0.193118,0.000000,4.075073,0.065479,-0.100400,-0.112190,0.006135,-0.002766,1.003229,0.045000,0.003719,0.002500,0.334969,-0.955012,2.161973,-0.001939,0.008950,9.513335
3.228986,-0.051001,0.497428,-0.022986,-0.000070,-0.007664,0.001374,-0.073741,0.222939,0.193597,0.000000,4.075073,0.207888,-0.264085,0.226089,0.004406,-0.004724,1.003293,0.045000,0.003719,0.002500,0.042569,0.203886,0.161154,0.020427,-0.029913,9.508327
3.278140,-0.050995,0.496856,-0.022972,0.000339,-0.009152,0.001660,-0.058757,0.225531,0.194031,0.000000,4.075073,0.261929,0.266164,0.186430,0.006829,-0.000405,1.001269,0.045000,0.003719,0.002500,-0.642963,-3.215474,-2.891424,0.004971,0.037939,9.457458
