# meta:run_eval_mode=formation_scenario
# meta:scenario=A8
# meta:title=Vertical swap (2 robots), dz=0.25 m at crossing, span=1.00 m, passes=2
# meta:n_drones=2
# meta:duration_s=14.000
# meta:height=1.0
# meta:timescale=1.0
# meta:controller=6
# meta:ctrl_mode=0
# meta:tags=swap|data_collection
# meta:param_dz=0.25
# meta:param_span=1.0
# meta:param_duration=6.0
# meta:param_settle=2.0
# meta:param_passes=2
# meta:param_rotate_deg=0.0
# meta:realised_peak_speed=0.3646
# meta:realised_peak_accel=0.2087
# meta:realised_speed_requested=None
# meta:realised_period_effective=None
# meta:realised_period_pinned=False
# meta:realised_path_kind=fixed
# meta:indi_kr=2400.0
# meta:indi_kw=170.0
# meta:indi_kr_z=2400.0
# meta:indi_kw_z=170.0
# meta:indi_kr_geo=0.01
# meta:indi_kw_geo=0.0011
# meta:indi_kr_z_geo=0.01
# meta:indi_kw_z_geo=0.00138
# meta:indi_fc_bw=206.0
# meta:indi_mass=0.041
# meta:indi_kt1=4.1623e-10
# meta:indi_kt2=4.0592e-10
# meta:indi_kt3=4.1116e-10
# meta:indi_kt4=4.0631e-10
# meta:indi_j_scale=1.0
# meta:indi_notch_f0=6.9
# meta:indi_notch_bw=3.0
# meta:pos_kp_xy=40.0
# meta:pos_kp_z=30.0
# meta:pos_kv_xy=8.0
# meta:pos_kv_z=10.0
# meta:t_start_sim=1789748091.0469
# meta:usd_start_s=10.857521
# meta:indi_rpm_source=1.0
# meta:config_source=all+robot_override
# meta:shared_controller=6
# meta:shared_ctrl_mode=3
# meta:gains_apply=1
time_s,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,roll,pitch,yaw,thrust,vbat,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,tau_x,tau_y,tau_z,alp_x,alp_y,alp_z,a_res_x,a_res_y,a_res_z
2.835103,-0.075036,0.569004,-0.022999,-0.003715,0.000920,0.000246,0.301439,-0.031961,0.022327,0.000000,4.027566,-0.233828,0.406721,-0.290091,-0.001172,0.008788,0.998595,0.000000,0.000000,0.000000,1.060000,-2.669353,-10.784234,-0.011531,0.005350,9.561497
2.885181,-0.075037,0.569009,-0.023000,-0.003759,0.000926,-0.000097,0.301969,-0.029443,0.024298,0.000000,4.027566,0.528988,-0.370793,1.372066,-0.003488,0.003696,1.001355,0.000000,0.000000,0.000000,1.087219,0.455540,7.512486,0.002925,-0.017485,9.583456
2.934142,-0.075035,0.569017,-0.022996,-0.003495,0.002283,0.000698,0.303229,-0.026424,0.021811,0.000000,4.032845,-0.190904,0.382914,0.803461,0.005198,0.009247,1.000238,0.000000,0.000000,0.000000,-1.449151,2.498862,12.290667,0.023204,0.063971,9.591810
2.983276,-0.075037,0.569019,-0.022994,-0.003976,0.001997,0.000652,0.305891,-0.021586,0.022901,0.000000,4.032845,-0.259776,0.390240,-0.631240,-0.007538,0.004530,0.997418,0.000000,0.000000,0.000000,1.885703,-1.132344,-3.049649,-0.095879,-0.031619,9.568475
3.034296,-0.075034,0.569021,-0.022995,-0.003275,0.002061,0.000535,0.305246,-0.024875,0.023265,0.000000,4.022287,0.170161,-0.016867,-1.043840,0.003379,0.002742,0.997735,0.000000,0.000000,0.000000,-2.497508,1.201501,-1.687622,0.038004,-0.029712,9.550900
3.084131,-0.075034,0.569022,-0.022990,-0.003606,0.002190,0.001095,0.308831,-0.021114,0.021874,0.000000,4.022287,-0.217101,0.190479,-0.605198,0.002803,0.008474,0.998600,0.000000,0.000000,0.000000,-2.684828,1.113075,-9.137094,-0.014299,0.042970,9.552854
3.134223,-0.075030,0.569022,-0.022993,-0.002893,0.002517,0.000730,0.310419,-0.020463,0.022072,0.000000,4.022287,-0.171263,-0.557681,-0.260046,-0.004297,0.007058,1.002342,0.000000,0.000000,0.000000,3.207489,-3.185123,-17.773308,-0.009274,0.005697,9.581528
3.183486,-0.075028,0.569030,-0.022993,-0.002827,0.003366,0.000811,0.310229,-0.020281,0.021180,0.000000,4.027566,0.220414,-0.019303,0.224270,0.001384,0.007370,1.002696,0.000000,0.000000,0.000000,-0.969160,-1.626738,-7.573729,0.018963,0.028580,9.584893
3.233147,-0.075029,0.569034,-0.022999,-0.003099,0.003622,-0.000112,0.306658,-0.021125,0.018016,0.000000,4.022287,-0.105795,-0.103818,1.750316,-0.005946,0.011554,1.000954,0.000000,0.000000,0.000000,-1.794558,-0.744594,6.391531,-0.042146,0.059581,9.576064
3.283175,-0.075030,0.569033,-0.023006,-0.003011,0.003294,-0.000796,0.309351,-0.021836,0.017236,0.000000,4.022287,0.309837,-0.108816,1.487947,-0.003198,0.006182,0.998858,0.000000,0.000000,0.000000,1.098047,-0.920452,4.133320,0.005017,0.010700,9.566137
3.334225,-0.075052,0.569044,-0.023016,-0.003592,0.003062,-0.001273,0.306748,-0.025521,0.016717,0.000000,4.022287,0.113667,-0.424868,0.530283,-0.000956,0.003702,0.999032,0.000000,0.000000,0.000000,3.826416,-2.217394,5.904465,-0.005809,0.016350,9.585847
3.383191,-0.075034,0.569025,-0.023012,-0.003290,0.002065,-0.001099,0.307347,-0.018241,0.016640,0.000000,4.022287,0.044020,0.173713,0.322081,-0.005661,0.008138,0.999533,0.000000,0.000000,0.000000,1.092263,-0.795543,1.571689,-0.041306,0.008973,9.579598
3.434140,-0.075032,0.569016,-0.023011,-0.003167,0.001647,-0.000910,0.308600,-0.023267,0.018767,0.000000,4.027566,0.066064,-0.131472,-0.308547,-0.004196,0.000913,0.998522,0.000000,0.000000,0.000000,0.191354,1.390012,5.010220,0.000440,-0.059284,9.582603
3.484219,-0.075047,0.569035,-0.023008,-0.003403,0.002634,-0.000506,0.307370,-0.022144,0.021284,0.000000,4.022287,-0.268096,0.134297,-0.649508,0.004502,0.013088,0.998679,0.000000,0.000000,0.000000,-1.240641,3.470328,1.261490,0.011872,0.087967,9.568797
3.534209,-0.075037,0.569035,-0.023007,-0.002905,0.002399,-0.000475,0.309469,-0.017856,0.025631,0.000000,4.027566,0.076909,-0.477110,-1.419707,-0.004136,0.005307,0.998361,0.000000,0.000000,0.000000,2.529324,-0.913839,-0.372281,-0.056591,-0.011358,9.572109
3.584326,-0.075063,0.569057,-0.023003,-0.003201,0.003153,-0.000041,0.304174,-0.020212,0.025979,0.000000,4.032845,0.504339,-0.549061,-0.957226,0.003542,0.005581,0.999348,0.000000,0.000000,0.000000,-1.593533,1.090409,-14.686953,0.039958,0.028528,9.558988
3.633100,-0.075115,0.569003,-0.022940,-0.006437,-0.001030,0.006067,0.306935,-0.024610,0.024513,0.000074,3.916716,3.347593,-3.891470,-0.494408,-0.021879,0.006909,0.998607,0.000000,0.000000,0.000000,-1.765320,-3.369749,-6.945118,-0.212154,-0.004963,6.409394
3.683249,-0.076005,0.567473,-0.019129,-0.018842,-0.012502,0.128546,0.481776,0.419156,-0.417041,0.000840,3.636950,13.579151,-57.039368,-21.563040,0.020655,-0.019367,1.278651,0.000000,0.000000,0.000000,54.982468,-51.454601,0.366130,0.133787,-0.217465,3.362046
3.735100,-0.081662,0.563422,-0.005957,-0.128425,-0.078271,0.343920,3.892962,6.841298,-1.890598,0.005572,3.747801,185.312531,-235.979660,-28.250519,-0.003392,0.013925,1.470032,0.000000,0.000000,0.000000,135.483231,-115.793625,10.518494,-0.556097,-0.098100,4.111710
3.785122,-0.094882,0.553555,0.007558,-0.344882,-0.245735,0.313175,18.351742,21.200022,-5.970080,0.011338,3.911437,395.553223,-370.457397,-24.896515,0.005419,0.018482,1.027962,0.000000,0.000000,0.000000,-389.428680,405.662354,11.183064,-0.760545,-0.405047,2.008816
