# meta:run_eval_mode=formation_scenario
# meta:scenario=A8
# meta:title=Vertical swap (2 robots), dz=0.25 m at crossing, span=1.00 m, passes=2
# meta:n_drones=2
# meta:duration_s=14.000
# meta:height=1.0
# meta:timescale=1.0
# meta:controller=6
# meta:ctrl_mode=0
# meta:tags=swap|data_collection
# meta:param_dz=0.25
# meta:param_span=1.0
# meta:param_duration=6.0
# meta:param_settle=2.0
# meta:param_passes=2
# meta:param_rotate_deg=0.0
# meta:realised_peak_speed=0.3646
# meta:realised_peak_accel=0.2087
# meta:realised_speed_requested=None
# meta:realised_period_effective=None
# meta:realised_period_pinned=False
# meta:realised_path_kind=fixed
# meta:indi_kr=2400.0
# meta:indi_kw=170.0
# meta:indi_kr_z=2400.0
# meta:indi_kw_z=170.0
# meta:indi_kr_geo=0.01
# meta:indi_kw_geo=0.0011
# meta:indi_kr_z_geo=0.01
# meta:indi_kw_z_geo=0.00138
# meta:indi_fc_bw=206.0
# meta:indi_mass=0.041
# meta:indi_kt1=4.1623e-10
# meta:indi_kt2=4.0592e-10
# meta:indi_kt3=4.1116e-10
# meta:indi_kt4=4.0631e-10
# meta:indi_j_scale=1.0
# meta:indi_notch_f0=6.9
# meta:indi_notch_bw=3.0
# meta:pos_kp_xy=40.0
# meta:pos_kp_z=30.0
# meta:pos_kv_xy=8.0
# meta:pos_kv_z=10.0
# meta:t_start_sim=1789985339.1245
# meta:usd_start_s=15.251881
# meta:indi_rpm_source=1.0
# meta:config_source=all+robot_override
# meta:shared_controller=6
# meta:shared_ctrl_mode=3
# meta:gains_apply=1
time_s,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,roll,pitch,yaw,thrust,vbat,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,tau_x,tau_y,tau_z,alp_x,alp_y,alp_z,a_res_x,a_res_y,a_res_z
7.241579,-0.002807,0.394394,-0.013967,0.010230,-0.020632,0.001948,-0.042190,-0.098719,-2.618654,0.000000,4.017009,-0.116893,0.116916,0.165984,-0.000435,-0.006670,1.002759,0.000000,0.000000,0.000000,-0.972651,0.041108,0.548815,0.010820,-0.057913,9.558898
7.289577,-0.002804,0.394509,-0.013963,0.010003,-0.019914,0.001880,-0.035706,-0.096714,-2.633747,0.000000,4.017009,-0.177449,-0.094270,0.226045,0.000945,-0.005860,0.997934,0.000000,0.000000,0.000000,-0.641728,0.415224,-1.213130,0.030067,-0.047406,9.507921
7.340641,-0.002799,0.393575,-0.013958,0.010598,-0.023413,0.002243,-0.029701,-0.092747,-2.644250,0.000000,4.017009,-0.016628,-0.034365,0.011906,0.003630,-0.007177,1.004205,0.000000,0.000000,0.000000,-1.308506,3.665028,-1.455654,0.051847,-0.066771,9.559114
7.390727,-0.002791,0.393553,-0.013956,0.011019,-0.023054,0.002251,-0.029934,-0.086711,-2.650470,0.000000,4.017009,-0.086816,-0.094515,-0.152841,0.004185,-0.002285,1.000934,0.000000,0.000000,0.000000,1.036858,-1.066313,-0.033795,0.044994,-0.024964,9.526054
7.443749,-0.003826,0.393550,-0.013158,0.007342,-0.023395,0.004984,-0.027824,-0.063905,-2.650339,0.000000,4.017009,0.402353,-0.236688,-0.017526,0.000690,-0.006706,0.997657,0.000000,0.000000,0.000000,0.340360,-1.526938,0.980283,0.017892,-0.061614,9.495156
7.490810,-0.003860,0.393558,-0.010415,0.007342,-0.023106,0.014485,-0.030131,-0.060726,-2.644545,0.000000,4.017009,-0.098687,-0.265627,-0.064063,0.004467,-0.004564,0.997123,0.000000,0.000000,0.000000,0.938475,-0.035401,-1.035431,0.050169,-0.043018,9.483014
7.539593,-0.004391,0.393564,-0.004836,0.005675,-0.022537,0.034173,-0.043313,-0.054005,-2.648819,0.000000,4.017009,0.007329,0.392342,0.072060,0.000194,-0.007256,1.002347,0.000000,0.000000,0.000000,0.183158,1.126077,0.126854,0.006783,-0.065707,9.530555
7.591605,-0.004910,0.393595,0.001658,0.003732,-0.020707,0.053434,-0.074848,-0.027535,-2.671651,0.000000,4.017009,0.104446,-0.841283,0.222737,-0.000907,-0.005974,0.999116,0.000000,0.000000,0.000000,0.291456,-2.031600,-2.462985,0.000483,-0.041483,9.497266
7.640580,-0.005912,0.393608,0.009791,0.001619,-0.020140,0.075173,-0.085739,-0.002414,-2.685523,0.000000,4.017009,0.179005,-0.017092,-0.131673,0.003771,-0.006738,0.999557,0.000000,0.000000,0.000000,1.962653,-1.888054,2.868203,0.028494,-0.064137,9.505444
7.689732,-0.006479,0.393610,0.019062,0.000995,-0.020105,0.097418,-0.090645,-0.001951,-2.684129,0.000000,4.017009,0.196331,-0.087504,0.203224,-0.001074,-0.007321,1.000493,0.000000,0.000000,0.000000,-1.111037,-2.672767,-2.887512,-0.015904,-0.055267,9.502428
