# meta:run_eval_mode=formation_scenario
# meta:scenario=A8
# meta:title=Vertical swap (2 robots), dz=0.40 m at crossing, span=1.00 m, passes=2
# meta:n_drones=2
# meta:duration_s=14.000
# meta:height=1.0
# meta:timescale=1.0
# meta:controller=6
# meta:ctrl_mode=3
# meta:tags=swap|data_collection
# meta:param_dz=0.4
# meta:param_span=1.0
# meta:param_duration=6.0
# meta:param_settle=2.0
# meta:param_passes=2
# meta:param_rotate_deg=0.0
# meta:realised_peak_speed=0.3646
# meta:realised_peak_accel=0.2087
# meta:realised_speed_requested=None
# meta:realised_period_effective=None
# meta:realised_period_pinned=False
# meta:realised_path_kind=fixed
# meta:indi_kr=2400.0
# meta:indi_kw=170.0
# meta:indi_kr_z=2400.0
# meta:indi_kw_z=170.0
# meta:indi_kr_geo=0.01
# meta:indi_kw_geo=0.0011
# meta:indi_kr_z_geo=0.01
# meta:indi_kw_z_geo=0.00138
# meta:indi_fc_bw=206.0
# meta:indi_mass=0.041
# meta:indi_kt1=4.1623e-10
# meta:indi_kt2=4.0592e-10
# meta:indi_kt3=4.1116e-10
# meta:indi_kt4=4.0631e-10
# meta:indi_j_scale=1.0
# meta:indi_notch_f0=6.9
# meta:indi_notch_bw=3.0
# meta:pos_kp_xy=64.0
# meta:pos_kp_z=48.0
# meta:pos_kv_xy=5.0
# meta:pos_kv_z=7.0
time_s,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,roll,pitch,yaw,thrust,vbat,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,tau_x,tau_y,tau_z,alp_x,alp_y,alp_z,a_res_x,a_res_y,a_res_z
2.840930,0.022870,-0.342151,-0.028516,-0.012758,0.009783,-0.002130,0.303855,-0.118218,0.083482,0.000000,3.737243,0.044777,-0.007664,-0.267199,-0.008146,0.009815,0.998832,-0.037568,-0.001769,0.001732,-0.395879,-0.178576,-1.837112,0.000000,0.000000,0.000000
2.889919,0.022819,-0.341877,-0.028045,-0.010017,0.006845,0.000391,0.292042,-0.120074,0.081466,0.000028,3.209384,0.187275,0.010692,-0.879225,-0.000575,0.008303,1.003683,-0.037568,-0.001769,0.001732,-0.395879,-0.178576,-1.837112,0.000000,0.000000,0.000000
2.940930,0.022926,-0.341960,-0.028882,-0.006718,0.003007,-0.003773,0.287595,-0.126430,0.083214,0.000015,3.278006,0.095949,-0.419096,-0.916099,0.000586,0.011202,0.999072,-0.037568,-0.001769,0.001732,-0.395879,-0.178576,-1.837112,0.000000,0.000000,0.000000
2.989976,0.022951,-0.341991,-0.029041,-0.004450,0.000186,-0.004177,0.287689,-0.133596,0.006260,0.000005,3.330792,-0.724958,-0.545254,-6.404840,-0.008744,0.012228,1.001016,-0.037568,-0.001769,0.001732,-0.395879,-0.178576,-1.837112,0.000000,0.000000,0.000000
3.039975,0.022970,-0.342014,-0.029027,-0.002554,-0.002118,-0.002133,0.281590,-0.138801,-0.205687,-0.000009,3.362463,0.833302,0.052719,-7.341988,-0.015491,0.010802,1.003219,-0.037568,-0.001769,0.001732,-0.395879,-0.178576,-1.837112,0.000000,0.000000,0.000000
3.088895,0.022985,-0.342034,-0.029008,-0.001049,-0.003805,-0.002762,0.265206,-0.121826,-0.179438,0.000024,3.373021,3.026796,1.756931,-12.599553,0.003498,-0.000239,1.012287,-0.037568,-0.001769,0.001732,-0.395879,-0.178576,-1.837112,0.000000,0.000000,0.000000
3.140073,0.022095,-0.342046,-0.028984,-0.003129,-0.005022,0.002329,0.244451,-0.103832,-0.327263,0.000072,3.388856,-3.698288,3.745930,-9.070639,-0.000542,-0.004642,1.010901,-0.037568,-0.001769,0.001732,-0.395879,-0.178576,-1.837112,0.000000,0.000000,0.000000
3.191105,0.021978,-0.342049,-0.027989,-0.002315,-0.005082,0.004680,0.095702,-0.080089,-0.519201,-0.000047,3.399414,1.800922,-3.098471,4.177038,-0.001862,0.010821,1.006065,-0.037568,-0.001769,0.001732,-0.395879,-0.178576,-1.837112,0.000000,0.000000,0.000000
3.241020,0.021213,-0.342048,-0.027934,-0.003957,-0.004819,0.007306,0.077229,-0.101799,-0.430731,0.000057,3.394135,-1.261965,2.147409,9.883938,-0.000860,-0.002744,1.018440,-0.037568,-0.001769,0.001732,-0.395879,-0.178576,-1.837112,0.000000,0.000000,0.000000
3.289032,0.020457,-0.343033,-0.027923,-0.005420,-0.005792,0.008442,-0.149037,-0.073094,-0.144098,-0.000012,3.388856,-11.002033,-1.476554,-0.271518,-0.013066,-0.018909,1.006956,-0.037568,-0.001769,0.001732,-0.395879,-0.178576,-1.837112,0.000000,0.000000,0.000000
3.340029,0.019441,-0.343012,-0.027877,-0.007988,0.001063,0.014440,-0.699942,-0.013143,-0.169427,0.000012,3.378299,-24.753117,-0.190112,0.282331,-0.000778,-0.007863,0.993447,-0.037568,-0.001769,0.001732,-0.395879,-0.178576,-1.837112,0.000000,0.000000,0.000000
3.389067,0.018423,-0.343897,-0.027038,-0.009360,0.012189,0.022800,-1.751380,-0.126147,-0.179161,0.000011,3.373021,-33.046410,2.833380,0.071825,-0.015708,-0.014769,0.999158,-0.037568,-0.001769,0.001732,-0.395879,-0.178576,-1.837112,0.000000,0.000000,0.000000
3.439046,0.017161,-0.342949,-0.026794,-0.010237,0.038991,0.022225,-3.269356,-0.223313,-0.230598,-0.000000,3.362463,-9.203379,12.639904,4.843813,-0.032282,-0.002328,1.010485,-0.037568,-0.001769,0.001732,-0.395879,-0.178576,-1.837112,0.000000,0.000000,0.000000
