# meta:run_eval_mode=formation_scenario
# meta:scenario=A8
# meta:title=Vertical swap (2 robots), dz=0.25 m at crossing, span=1.00 m, passes=2
# meta:n_drones=2
# meta:duration_s=14.000
# meta:height=1.0
# meta:timescale=1.0
# meta:controller=6
# meta:ctrl_mode=3
# meta:tags=swap|data_collection
# meta:param_dz=0.25
# meta:param_span=1.0
# meta:param_duration=6.0
# meta:param_settle=2.0
# meta:param_passes=2
# meta:param_rotate_deg=0.0
# meta:realised_peak_speed=0.3646
# meta:realised_peak_accel=0.2087
# meta:realised_speed_requested=None
# meta:realised_period_effective=None
# meta:realised_period_pinned=False
# meta:realised_path_kind=fixed
# meta:indi_kr=2400.0
# meta:indi_kw=170.0
# meta:indi_kr_z=2400.0
# meta:indi_kw_z=170.0
# meta:indi_kr_geo=0.01
# meta:indi_kw_geo=0.0011
# meta:indi_kr_z_geo=0.01
# meta:indi_kw_z_geo=0.00138
# meta:indi_fc_bw=206.0
# meta:indi_mass=0.041
# meta:indi_kt1=4.1623e-10
# meta:indi_kt2=4.0592e-10
# meta:indi_kt3=4.1116e-10
# meta:indi_kt4=4.0631e-10
# meta:indi_j_scale=1.0
# meta:indi_notch_f0=6.9
# meta:indi_notch_bw=3.0
# meta:pos_kp_xy=64.0
# meta:pos_kp_z=48.0
# meta:pos_kv_xy=5.0
# meta:pos_kv_z=7.0
# meta:t_start_sim=1789491827.3579
# meta:usd_start_s=10.888015
time_s,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,roll,pitch,yaw,thrust,vbat,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,tau_x,tau_y,tau_z,alp_x,alp_y,alp_z,a_res_x,a_res_y,a_res_z
2.805366,-0.018228,-0.123692,-0.026985,-0.011743,0.016157,0.000736,0.290932,-0.379960,0.040254,0.000000,4.043402,0.046469,-0.063726,0.040636,-0.009836,0.012135,1.000284,-0.016591,0.002187,-0.001471,-0.461771,1.126436,-1.393739,0.000000,0.000000,0.000000
2.853690,-0.019029,-0.124225,-0.026448,-0.014632,0.014075,0.002756,0.290106,-0.377083,0.042738,-0.000012,4.043402,0.101772,0.329806,-0.180709,-0.015703,0.012272,0.999725,-0.016591,0.002187,-0.001471,-0.461771,1.126436,-1.393739,0.000000,0.000000,0.000000
2.905839,-0.019210,-0.124821,-0.026885,-0.009930,0.007215,-0.000115,0.334085,-0.362056,0.044889,0.000003,3.615836,-0.046496,-1.097727,0.648976,-0.010902,0.002008,0.998362,-0.016591,0.002187,-0.001471,-0.461771,1.126436,-1.393739,0.000000,0.000000,0.000000
2.955740,-0.019122,-0.124353,-0.026589,-0.005082,0.005048,0.001969,0.327781,-0.371953,0.037680,-0.000022,3.679179,0.236809,0.962450,1.314814,-0.036070,0.018563,1.007437,-0.016591,0.002187,-0.001471,-0.461771,1.126436,-1.393739,0.000000,0.000000,0.000000
3.005704,-0.019040,-0.123937,-0.026967,-0.000967,0.003032,0.001976,0.311137,-0.393295,-0.158480,0.000002,3.721408,1.537705,0.651597,-0.807205,0.002193,0.007682,1.029593,-0.016591,0.002187,-0.001471,-0.461771,1.126436,-1.393739,0.000000,0.000000,0.000000
3.054626,-0.018032,-0.125021,-0.025907,0.005916,-0.003459,0.007464,0.332805,-0.409045,-0.114609,-0.000091,3.747801,2.606032,-3.714349,-0.071585,-0.024693,-0.017154,1.022385,-0.016591,0.002187,-0.001471,-0.461771,1.126436,-1.393739,0.000000,0.000000,0.000000
3.103772,-0.017853,-0.125886,-0.025888,0.008764,-0.007947,0.004841,0.296611,-0.436502,0.100317,-0.000025,3.758358,-4.290977,6.261949,3.559440,0.006224,0.000604,1.008722,-0.016591,0.002187,-0.001471,-0.461771,1.126436,-1.393739,0.000000,0.000000,0.000000
3.155680,-0.017801,-0.126708,-0.025896,0.010965,-0.011728,0.005468,0.307296,-0.425624,0.060433,-0.000128,3.763636,4.872312,-0.429658,-7.683692,-0.023858,-0.006576,0.977845,-0.016591,0.002187,-0.001471,-0.461771,1.126436,-1.393739,0.000000,0.000000,0.000000
3.205786,-0.017766,-0.127774,-0.025881,0.012757,-0.015187,0.005634,0.238229,-0.464676,-0.289461,-0.000138,3.763636,-5.857198,-1.611239,-3.957237,-0.003940,0.018420,1.001455,-0.016591,0.002187,-0.001471,-0.461771,1.126436,-1.393739,0.000000,0.000000,0.000000
3.253851,-0.017734,-0.128295,-0.025908,0.014301,-0.016057,0.005694,0.220839,-0.450237,-0.392980,-0.000179,3.763636,1.603505,-2.040992,5.437892,-0.013083,0.021805,1.018237,-0.016591,0.002187,-0.001471,-0.461771,1.126436,-1.393739,0.000000,0.000000,0.000000
