# meta:run_eval_mode=formation_scenario
# meta:scenario=A8
# meta:title=Vertical swap (2 robots), dz=0.25 m at crossing, span=1.00 m, passes=2
# meta:n_drones=2
# meta:duration_s=14.000
# meta:height=1.0
# meta:timescale=1.0
# meta:controller=5
# meta:ctrl_mode=3
# meta:tags=swap|data_collection
# meta:param_dz=0.25
# meta:param_span=1.0
# meta:param_duration=6.0
# meta:param_settle=2.0
# meta:param_passes=2
# meta:param_rotate_deg=0.0
# meta:realised_peak_speed=0.3646
# meta:realised_peak_accel=0.2087
# meta:realised_speed_requested=None
# meta:realised_period_effective=None
# meta:realised_period_pinned=False
# meta:realised_path_kind=fixed
# meta:indi_kr=2400.0
# meta:indi_kw=170.0
# meta:indi_kr_z=2400.0
# meta:indi_kw_z=170.0
# meta:indi_kr_geo=0.01
# meta:indi_kw_geo=0.0011
# meta:indi_kr_z_geo=0.01
# meta:indi_kw_z_geo=0.00138
# meta:indi_fc_bw=206.0
# meta:indi_mass=0.041
# meta:indi_kt1=4.1623e-10
# meta:indi_kt2=4.0592e-10
# meta:indi_kt3=4.1116e-10
# meta:indi_kt4=4.0631e-10
# meta:indi_j_scale=1.0
# meta:indi_notch_f0=6.9
# meta:indi_notch_bw=3.0
# meta:pos_kp_xy=64.0
# meta:pos_kp_z=48.0
# meta:pos_kv_xy=5.0
# meta:pos_kv_z=7.0
# meta:t_start_sim=1789749557.4414
# meta:usd_start_s=10.891936
# meta:config_source=all+robot_override
# meta:shared_controller=6
# meta:shared_ctrl_mode=3
# meta:gains_apply=0
time_s,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,roll,pitch,yaw,thrust,vbat,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,tau_x,tau_y,tau_z,alp_x,alp_y,alp_z,a_res_x,a_res_y,a_res_z
2.813985,-0.063852,-0.198840,-0.026000,0.015269,0.016814,0.000104,0.362186,-0.074937,-0.206387,0.000000,4.122581,-0.176274,-0.107667,-0.116205,0.004394,0.013441,1.002236,0.000765,0.000053,0.000021,-0.853537,-1.732875,-0.382008,0.000000,0.000000,0.000000
2.862127,-0.063859,-0.198850,-0.025991,0.014151,0.014206,0.001102,0.364617,-0.090010,-0.207462,-0.000111,3.916716,-0.913084,1.504557,-0.819266,0.012585,0.018045,0.991858,0.000765,0.000053,0.000021,-0.853537,-1.732875,-0.382008,0.000000,0.000000,0.000000
2.912953,-0.063877,-0.198901,-0.025997,0.012303,0.008782,-0.000011,0.359723,-0.092307,-0.246975,-0.000026,3.932551,1.686540,0.390404,-1.565603,0.007250,0.008437,1.007170,0.000765,0.000053,0.000021,-0.853537,-1.732875,-0.382008,0.000000,0.000000,0.000000
2.962937,-0.064663,-0.199786,-0.025967,0.008284,0.001186,0.007130,0.373671,-0.159925,-0.268693,-0.000048,3.980059,-4.192070,-6.370343,-0.601277,-0.008922,0.009592,1.052453,0.000765,0.000053,0.000021,-0.853537,-1.732875,-0.382008,0.000000,0.000000,0.000000
3.012046,-0.064930,-0.200008,-0.024754,0.005867,-0.002179,0.041732,0.304783,0.035214,-0.258136,0.000137,3.985337,-13.313280,-8.626040,-0.573717,-0.009722,0.015638,1.082903,0.000765,0.000053,0.000021,-0.853537,-1.732875,-0.382008,0.000000,0.000000,0.000000
3.060882,-0.065752,-0.200009,-0.021186,-0.002968,0.000111,0.092709,-0.352605,0.676039,-0.242799,0.000517,3.985337,-7.289134,-18.995356,-0.157211,-0.004731,0.005907,1.116433,0.000765,0.000053,0.000021,-0.853537,-1.732875,-0.382008,0.000000,0.000000,0.000000
3.111008,-0.067596,-0.199958,-0.015214,-0.021499,0.006260,0.143187,-0.731677,1.539729,-0.222108,0.000416,3.985337,-5.569795,-9.765058,1.548443,0.003581,0.019449,1.095548,0.000765,0.000053,0.000021,-0.853537,-1.732875,-0.382008,0.000000,0.000000,0.000000
3.162129,-0.070549,-0.198379,-0.007037,-0.043945,0.017754,0.175006,-0.838714,1.965761,-0.194205,0.000428,3.985337,28.623444,9.802259,0.853917,-0.003157,0.010673,1.061294,0.000765,0.000053,0.000021,-0.853537,-1.732875,-0.382008,0.000000,0.000000,0.000000
3.212040,-0.074629,-0.197082,0.001535,-0.063606,0.017019,0.195023,0.607831,1.391795,-0.140473,0.000038,3.985337,28.706688,22.725374,0.036742,-0.001216,0.007368,1.025952,0.000765,0.000053,0.000021,-0.853537,-1.732875,-0.382008,0.000000,0.000000,0.000000
3.261981,-0.079215,-0.196044,0.011038,-0.072099,0.004491,0.204810,1.822017,0.260261,-0.121514,-0.000010,3.985337,-1.803317,27.450306,0.347784,-0.008200,0.016382,1.014675,0.000765,0.000053,0.000021,-0.853537,-1.732875,-0.382008,0.000000,0.000000,0.000000
