# meta:run_eval_mode=formation_scenario
# meta:scenario=C5
# meta:title=Near-ground pass at z=0.15 m, 0.25 m/s
# meta:n_drones=1
# meta:duration_s=21.000
# meta:height=1.0
# meta:timescale=1.0
# meta:controller=6
# meta:ctrl_mode=3
# meta:tags=data_collection
# meta:param_z=0.15
# meta:param_speed=0.25
# meta:param_length=1.2
# meta:param_passes=2
# meta:param_rotate_deg=0.0
# meta:realised_peak_speed=0.25
# meta:realised_peak_accel=0.0818
# meta:realised_speed_requested=None
# meta:realised_period_effective=None
# meta:realised_period_pinned=False
# meta:realised_path_kind=fixed
# meta:indi_kr=2400.0
# meta:indi_kw=170.0
# meta:indi_kr_z=2400.0
# meta:indi_kw_z=170.0
# meta:indi_kr_geo=0.01
# meta:indi_kw_geo=0.0011
# meta:indi_kr_z_geo=0.01
# meta:indi_kw_z_geo=0.00138
# meta:indi_fc_bw=206.0
# meta:indi_mass=0.041
# meta:indi_kt1=4.1623e-10
# meta:indi_kt2=4.0592e-10
# meta:indi_kt3=4.1116e-10
# meta:indi_kt4=4.0631e-10
# meta:indi_j_scale=1.0
# meta:indi_notch_f0=6.9
# meta:indi_notch_bw=3.0
# meta:pos_kp_xy=64.0
# meta:pos_kp_z=48.0
# meta:pos_kv_xy=5.0
# meta:pos_kv_z=7.0
# meta:t_start_sim=1789751773.2528
# meta:usd_start_s=10.650077
# meta:indi_rpm_source=1.0
# meta:config_source=all+robot_override
# meta:shared_controller=6
# meta:shared_ctrl_mode=3
# meta:gains_apply=1
time_s,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,roll,pitch,yaw,thrust,vbat,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,tau_x,tau_y,tau_z,alp_x,alp_y,alp_z,a_res_x,a_res_y,a_res_z
2.805025,-0.071078,0.590834,-0.021979,-0.008149,-0.016898,0.002564,0.039414,-0.045704,0.106299,0.000000,4.075073,-0.294993,-0.058122,-0.078262,-0.004401,-0.008112,1.004574,0.045000,0.004352,0.002500,0.142615,-1.035506,-3.892304,-0.030405,-0.084592,9.609423
2.854150,-0.071078,0.590836,-0.021974,-0.007835,-0.017191,0.002830,0.040178,-0.040625,0.108462,0.000000,4.075073,0.129314,0.477069,0.515122,-0.002750,-0.006180,1.002276,0.000143,0.000038,-0.000148,-0.011732,-1.090141,1.861332,-0.014089,-0.059188,9.589999
2.905041,-0.071074,0.590837,-0.021978,-0.007644,-0.016837,0.002136,0.043454,-0.038106,0.106109,0.000000,4.075073,0.084681,0.223674,0.527985,-0.007459,-0.000690,1.003099,-0.000030,-0.000123,-0.000081,-0.355925,1.345233,0.507405,-0.063455,-0.021437,9.583695
2.955057,-0.071077,0.590841,-0.021980,-0.008268,-0.016529,0.002237,0.045037,-0.036544,0.106841,0.000000,4.075073,0.243583,-0.314136,0.408923,-0.009441,-0.007909,1.003105,-0.000025,-0.000230,-0.000115,2.573450,-1.001577,1.553270,-0.063864,-0.090691,9.589086
3.005082,-0.071080,0.590838,-0.021978,-0.007637,-0.015949,0.002166,0.046744,-0.032075,0.104738,0.000000,4.080352,0.029150,0.593081,0.030620,-0.000565,0.000349,0.996807,0.000080,-0.000058,-0.000230,0.799062,2.013749,5.341337,-0.013742,-0.001535,9.526875
3.055090,-0.071077,0.590848,-0.021985,-0.007991,-0.015811,0.001496,0.051206,-0.030962,0.102214,0.000000,4.080352,0.126433,-0.383895,0.102192,-0.008287,-0.009606,1.000032,-0.000081,0.000006,-0.000276,2.121496,-4.601342,7.892324,-0.063666,-0.107918,9.560534
3.105518,-0.071075,0.590845,-0.021985,-0.007630,-0.016295,0.001634,0.047924,-0.027795,0.099902,0.000000,4.069795,0.183411,0.012865,0.326838,0.000109,-0.004166,1.004343,0.000167,-0.000087,-0.000187,-1.456525,1.692958,4.055876,0.005803,-0.044346,9.593596
3.154086,-0.071069,0.590847,-0.021984,-0.007066,-0.015850,0.001662,0.049219,-0.031665,0.100369,0.000000,4.069795,-0.259480,-0.334792,-0.096685,-0.004157,-0.002825,1.001770,-0.000107,-0.000107,-0.000099,2.594321,-0.964799,2.036514,-0.029862,-0.042750,9.570265
3.205061,-0.071069,0.590840,-0.021988,-0.006956,-0.016947,0.000953,0.050833,-0.031556,0.099249,0.000000,4.069795,0.216963,0.088311,-0.048435,0.002492,-0.009308,0.999811,0.000189,-0.000074,-0.000195,-0.279565,1.487017,4.609074,0.027053,-0.096087,9.548705
3.255056,-0.071072,0.590840,-0.021990,-0.007720,-0.016395,0.000924,0.051256,-0.031041,0.099794,0.000000,4.069795,0.018017,0.023485,0.374891,-0.011128,-0.000735,1.003201,-0.000047,-0.000157,-0.000172,0.267830,-0.690107,3.625032,-0.097193,-0.033922,9.580391
