# meta:run_eval_mode=formation_scenario
# meta:scenario=C5
# meta:title=Near-ground pass at z=0.15 m, 0.25 m/s
# meta:n_drones=1
# meta:duration_s=21.000
# meta:height=0.1
# meta:timescale=1.0
# meta:controller=6
# meta:ctrl_mode=0
# meta:tags=data_collection
# meta:param_z=0.15
# meta:param_speed=0.25
# meta:param_length=1.2
# meta:param_passes=2
# meta:param_rotate_deg=0.0
# meta:realised_peak_speed=0.25
# meta:realised_peak_accel=0.0818
# meta:realised_speed_requested=0.25
# meta:realised_period_effective=None
# meta:realised_period_pinned=False
# meta:realised_path_kind=fixed
# meta:indi_kr=2400.0
# meta:indi_kw=170.0
# meta:indi_kr_z=2400.0
# meta:indi_kw_z=170.0
# meta:indi_kr_geo=0.01
# meta:indi_kw_geo=0.0011
# meta:indi_kr_z_geo=0.01
# meta:indi_kw_z_geo=0.00138
# meta:indi_fc_bw=206.0
# meta:indi_mass=0.041
# meta:indi_kt1=4.1623e-10
# meta:indi_kt2=4.0592e-10
# meta:indi_kt3=4.1116e-10
# meta:indi_kt4=4.0631e-10
# meta:indi_j_scale=1.0
# meta:indi_notch_f0=6.9
# meta:indi_notch_bw=3.0
# meta:pos_kp_xy=40.0
# meta:pos_kp_z=30.0
# meta:pos_kv_xy=8.0
# meta:pos_kv_z=10.0
# meta:t_start_sim=1790180582.0610
# meta:usd_start_s=15.106346
# meta:indi_rpm_source=1.0
# meta:config_source=all+robot_override
# meta:shared_controller=6
# meta:shared_ctrl_mode=3
# meta:gains_apply=1
time_s,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,roll,pitch,yaw,thrust,vbat,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,tau_x,tau_y,tau_z,alp_x,alp_y,alp_z,a_res_x,a_res_y,a_res_z
7.243519,-0.616173,0.010902,-0.023984,-0.017641,-0.010260,0.001756,-0.051958,0.027239,-0.595490,0.000000,4.069795,-0.011996,-0.088457,-0.084478,-0.005720,-0.000518,0.998382,0.000000,0.000000,0.000000,-1.590279,-0.360828,-1.076321,-0.059393,0.008666,9.502267
7.293576,-0.616171,0.010896,-0.023983,-0.017216,-0.010571,0.001389,-0.055239,0.031942,-0.591857,0.000000,4.069795,-0.165577,-0.161618,-0.178771,-0.003988,-0.001852,1.001101,0.000000,0.000000,0.000000,-0.426186,-0.309146,-1.263841,-0.047977,-0.019897,9.519239
7.343584,-0.616159,0.010904,-0.023992,-0.016409,-0.009802,0.000755,-0.053031,0.031153,-0.590098,0.000000,4.069795,-0.097935,-0.041900,0.108722,-0.007337,-0.003571,0.999017,0.000000,0.000000,0.000000,-0.286622,0.872561,-0.407107,-0.071987,-0.024968,9.509944
7.393455,-0.616154,0.010912,-0.023992,-0.015771,-0.008874,0.000743,-0.059823,0.028644,-0.587782,0.000000,4.069795,0.013779,-0.347938,-0.047795,-0.004511,0.001748,0.999281,0.000000,0.000000,0.000000,-0.348535,2.194445,-0.186194,-0.042156,0.025658,9.491160
7.443512,-0.616146,0.010916,-0.023995,-0.015055,-0.008628,0.000328,-0.059199,0.033555,-0.579824,0.000000,4.069795,-0.065137,0.398449,0.117573,-0.002866,-0.004117,1.001728,0.000000,0.000000,0.000000,1.853675,-0.526456,0.433085,-0.030494,-0.027550,9.512897
7.493579,-0.616144,0.010919,-0.023993,-0.014950,-0.008307,0.000778,-0.062465,0.033683,-0.576540,0.000000,4.069795,0.083424,0.002836,0.305109,-0.008450,-0.004328,1.002998,0.000000,0.000000,0.000000,1.239315,-3.440180,-1.170635,-0.083646,-0.030449,9.525916
7.543522,-0.616140,0.010920,-0.023988,-0.014486,-0.008166,0.001471,-0.063858,0.036762,-0.571751,0.000000,4.069795,0.038852,0.026950,-0.149934,-0.004037,-0.002184,1.001961,0.000000,0.000000,0.000000,-0.396932,2.602015,-0.331017,-0.045698,-0.009053,9.510895
7.593623,-0.616141,0.010919,-0.023986,-0.014924,-0.008607,0.001281,-0.065775,0.033452,-0.570170,0.000000,4.069795,0.044254,-0.209942,0.034277,-0.007683,-0.005744,1.001686,0.000000,0.000000,0.000000,-0.110897,0.777847,-1.746422,-0.091240,-0.039771,9.501484
7.643466,-0.616141,0.010914,-0.023991,-0.014422,-0.008839,0.000807,-0.072297,0.038051,-0.568527,0.000000,4.069795,0.091904,0.212961,-0.154982,-0.002387,-0.002628,0.998936,0.000000,0.000000,0.000000,1.285622,0.684533,0.397825,-0.031030,-0.012093,9.484034
7.693431,-0.616141,0.010915,-0.023996,-0.014699,-0.008454,0.000202,-0.073175,0.033897,-0.563630,0.000000,4.069795,-0.376854,0.209955,0.029336,-0.007220,-0.005296,0.998410,0.000000,0.000000,0.000000,-0.089362,1.157600,0.061751,-0.087003,-0.038347,9.463072
