# meta:run_eval_mode=formation_scenario
# meta:scenario=A8
# meta:title=Vertical swap (2 robots), dz=0.25 m at crossing, span=1.00 m, passes=1
# meta:n_drones=2
# meta:duration_s=8.000
# meta:height=1.0
# meta:timescale=1.0
# meta:controller=5
# meta:ctrl_mode=3
# meta:tags=swap|data_collection
# meta:param_dz=0.25
# meta:param_span=1.0
# meta:param_duration=6.0
# meta:param_settle=2.0
# meta:param_passes=1
# meta:param_rotate_deg=0.0
# meta:realised_peak_speed=0.3646
# meta:realised_peak_accel=0.2087
# meta:realised_speed_requested=None
# meta:realised_period_effective=None
# meta:realised_period_pinned=False
# meta:realised_path_kind=fixed
# meta:indi_kr=2400.0
# meta:indi_kw=170.0
# meta:indi_kr_z=2400.0
# meta:indi_kw_z=170.0
# meta:indi_kr_geo=0.01
# meta:indi_kw_geo=0.0011
# meta:indi_kr_z_geo=0.01
# meta:indi_kw_z_geo=0.00138
# meta:indi_fc_bw=206.0
# meta:indi_mass=0.041
# meta:indi_kt1=4.1623e-10
# meta:indi_kt2=4.0592e-10
# meta:indi_kt3=4.1116e-10
# meta:indi_kt4=4.0631e-10
# meta:indi_j_scale=1.0
# meta:indi_notch_f0=6.9
# meta:indi_notch_bw=3.0
# meta:pos_kp_xy=64.0
# meta:pos_kp_z=48.0
# meta:pos_kv_xy=5.0
# meta:pos_kv_z=7.0
# meta:t_start_sim=1789822906.7088
# meta:usd_start_s=15.189387
# meta:config_source=all+robot_override
# meta:shared_controller=6
# meta:shared_ctrl_mode=3
# meta:gains_apply=0
time_s,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,roll,pitch,yaw,thrust,vbat,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,tau_x,tau_y,tau_z,alp_x,alp_y,alp_z,a_res_x,a_res_y,a_res_z
7.231635,-0.004891,0.796823,-0.016006,0.007692,-0.017585,-0.000592,-0.129858,-0.264221,-1.129465,0.000000,4.069795,-0.020864,0.062520,-0.007113,-0.002047,-0.005704,1.001731,-0.000645,-0.000025,-0.000016,0.232031,0.735728,0.350037,0.000000,0.000000,0.000000
7.282305,-0.004920,0.796853,-0.016001,0.008401,-0.014073,0.000122,-0.133902,-0.249985,-1.138779,-0.000052,4.069795,-0.768936,-0.830771,-0.401534,0.011311,-0.007144,1.003229,-0.000645,-0.000025,-0.000016,0.232031,0.735728,0.350037,0.000000,0.000000,0.000000
7.332578,-0.004914,0.796882,-0.015991,0.009060,-0.011231,0.001966,-0.116544,-0.246936,-1.156751,-0.000085,3.842815,-0.679860,-1.692707,-2.246296,-0.008778,0.001282,1.007854,-0.000645,-0.000025,-0.000016,0.232031,0.735728,0.350037,0.000000,0.000000,0.000000
7.380552,-0.004909,0.796907,-0.015977,0.009685,-0.008798,0.003040,-0.142073,-0.219045,-1.200082,-0.000134,3.906158,0.993316,3.936408,-2.443583,0.004365,-0.013576,1.000694,-0.000645,-0.000025,-0.000016,0.232031,0.735728,0.350037,0.000000,0.000000,0.000000
7.432512,-0.004911,0.796929,-0.015348,0.008497,-0.006561,0.023267,-0.158770,-0.208861,-1.307868,0.000193,3.921994,-2.600684,-9.330794,-0.694625,-0.003775,-0.019267,1.035209,-0.000645,-0.000025,-0.000016,0.232031,0.735728,0.350037,0.000000,0.000000,0.000000
7.481608,-0.005876,0.796151,-0.013218,-0.003632,-0.011731,0.069317,0.133194,0.546187,-1.332276,0.000466,3.921994,20.436357,-27.890303,0.004555,0.005239,-0.017871,1.112227,-0.000645,-0.000025,-0.000016,0.232031,0.735728,0.350037,0.000000,0.000000,0.000000
7.531284,-0.007116,0.795066,-0.009046,-0.024261,-0.022262,0.100991,0.981070,1.842280,-1.351735,0.000551,3.921994,4.001053,-15.561020,-0.916528,-0.009693,-0.009925,1.054269,-0.000645,-0.000025,-0.000016,0.232031,0.735728,0.350037,0.000000,0.000000,0.000000
7.582570,-0.009781,0.793317,-0.003316,-0.051798,-0.035454,0.125035,1.270743,2.605764,-1.358196,0.000657,3.927273,4.322829,-9.766321,-0.000182,0.002917,0.000420,1.045360,-0.000645,-0.000025,-0.000016,0.232031,0.735728,0.350037,0.000000,0.000000,0.000000
7.631539,-0.013005,0.791193,0.002312,-0.076804,-0.047403,0.132266,1.454053,2.913991,-1.384868,0.000567,3.927273,-10.261375,10.749790,0.751314,0.002038,-0.009854,1.043800,-0.000645,-0.000025,-0.000016,0.232031,0.735728,0.350037,0.000000,0.000000,0.000000
7.681677,-0.017014,0.788887,0.008738,-0.091663,-0.051656,0.137996,0.768378,2.107354,-1.432103,0.000255,3.921994,-19.345081,30.400852,-1.171458,-0.001371,-0.010551,1.020864,-0.000645,-0.000025,-0.000016,0.232031,0.735728,0.350037,0.000000,0.000000,0.000000
