# meta:t_zero=scenario_start
t,cf5.a_res_x,cf5.a_res_y,cf5.a_res_z,cf5.acc_x,cf5.acc_y,cf5.acc_z,cf5.alp_x,cf5.alp_y,cf5.alp_z,cf5.ctrltarget_x,cf5.ctrltarget_y,cf5.ctrltarget_z,cf5.e_r_norm,cf5.e_r_x,cf5.e_r_y,cf5.e_r_z,cf5.f_res_x,cf5.f_res_y,cf5.f_res_z,cf5.gyro_x,cf5.gyro_y,cf5.gyro_z,cf5.motor_m1,cf5.motor_m2,cf5.motor_m3,cf5.motor_m4,cf5.pitch_deg,cf5.rnn_clamped,cf5.rnn_pred_x,cf5.rnn_pred_y,cf5.rnn_pred_z,cf5.roll_deg,cf5.tau_x,cf5.tau_y,cf5.tau_z,cf5.vx,cf5.vy,cf5.vz,cf5.x,cf5.y,cf5.yaw_deg,cf5.z,cf_second.a_res_x,cf_second.a_res_y,cf_second.a_res_z,cf_second.acc_x,cf_second.acc_y,cf_second.acc_z,cf_second.alp_x,cf_second.alp_y,cf_second.alp_z,cf_second.ctrltarget_x,cf_second.ctrltarget_y,cf_second.ctrltarget_z,cf_second.e_r_norm,cf_second.e_r_x,cf_second.e_r_y,cf_second.e_r_z,cf_second.f_res_x,cf_second.f_res_y,cf_second.f_res_z,cf_second.gyro_x,cf_second.gyro_y,cf_second.gyro_z,cf_second.motor_m1,cf_second.motor_m2,cf_second.motor_m3,cf_second.motor_m4,cf_second.pitch_deg,cf_second.rnn_clamped,cf_second.rnn_pred_x,cf_second.rnn_pred_y,cf_second.rnn_pred_z,cf_second.roll_deg,cf_second.tau_x,cf_second.tau_y,cf_second.tau_z,cf_second.vx,cf_second.vy,cf_second.vz,cf_second.x,cf_second.y,cf_second.yaw_deg,cf_second.z,rel.cf5_cf_second.vx,rel.cf5_cf_second.vy,rel.cf5_cf_second.vz,rel.cf5_cf_second.x,rel.cf5_cf_second.y,rel.cf5_cf_second.z,rel.cf_second_cf5.vx,rel.cf_second_cf5.vy,rel.cf_second_cf5.vz,rel.cf_second_cf5.x,rel.cf_second_cf5.y,rel.cf_second_cf5.z
0.000000,-0.012916,-0.061721,-0.170378,-0.002053,-0.007070,1.007142,-3.353111,1.052992,2.233836,0.000000,-0.199992,1.000000,0.038322,0.013079,-0.029990,-0.010933,-0.000530,-0.002531,-0.006986,-2.744816,-4.108192,-0.152112,35866.713119,39153.344888,36806.343579,37792.763193,0.253546,0.000000,0.000000,0.000000,0.000000,0.267631,0.000000,0.000000,0.000000,-0.006370,-0.006240,-0.002279,-0.005365,-0.201094,-0.646164,0.974617,0.000000,0.000000,0.000000,0.012255,0.010233,0.998602,0.941959,0.021407,0.403171,-0.000000,0.799987,1.250000,0.001545,-0.001544,0.000000,0.000012,0.000000,0.000000,0.000000,-7.133631,-1.608118,-0.276066,39331.038652,39896.456888,41250.618434,40394.730426,-0.093571,0.000000,0.000000,0.000000,0.000000,0.226664,0.000088,-0.000004,-0.000026,0.000025,-0.026447,-0.008831,0.001996,0.818693,-0.037364,1.142872,-0.006396,0.020207,0.006552,-0.007362,-1.019787,-0.168254,0.006396,-0.020207,-0.006552,0.007362,1.019787,0.168254
0.002000,-0.012108,-0.061925,-0.170263,-0.002004,-0.007099,1.007177,-3.301281,1.013626,2.276649,0.000000,-0.199992,1.000000,0.037910,0.012828,-0.029513,-0.010936,-0.000496,-0.002539,-0.006981,-2.708496,-4.232867,-0.146552,35869.940763,39147.479170,36807.772536,37799.398349,0.230777,0.000000,0.000000,0.000000,0.000000,0.250259,0.000000,0.000000,0.000000,-0.006198,-0.006196,-0.002279,-0.005375,-0.201109,-0.646246,0.974607,0.000000,0.000000,0.000000,0.013737,0.010589,1.000293,0.941959,0.021407,0.403171,-0.000000,0.799987,1.250000,0.001545,-0.001544,0.000000,0.000012,0.000000,0.000000,0.000000,-5.500401,-1.149325,0.602659,39735.175724,39604.581513,41505.756221,40029.932453,-0.088036,0.000000,0.000000,0.000000,0.000000,0.204719,0.000088,-0.000004,-0.000026,0.000082,-0.026594,-0.008986,0.001996,0.818610,-0.036392,1.142844,-0.006280,0.020398,0.006707,-0.007371,-1.019719,-0.168237,0.006280,-0.020398,-0.006707,0.007371,1.019719,0.168237
0.004000,-0.011299,-0.062128,-0.170147,-0.001954,-0.007128,1.007212,-3.249451,0.974260,2.319463,0.000000,-0.199992,1.000000,0.037498,0.012576,-0.029035,-0.010939,-0.000463,-0.002547,-0.006976,-2.672177,-4.357542,-0.140993,35873.168407,39141.613452,36809.201493,37806.033506,0.208009,0.000000,0.000000,0.000000,0.000000,0.232888,0.000000,0.000000,0.000000,-0.006026,-0.006151,-0.002280,-0.005384,-0.201125,-0.646328,0.974597,0.000000,0.000000,0.000000,0.015636,0.009514,0.999498,0.941959,0.021407,0.403171,-0.000000,0.799987,1.250000,0.001545,-0.001544,0.000000,0.000012,0.000000,0.000000,0.000000,-4.955398,-1.178977,1.403517,40053.227061,39322.222395,41777.878694,39710.250389,-0.088036,0.000000,0.000000,0.000000,0.000000,0.204719,0.000088,-0.000004,-0.000026,0.000082,-0.026594,-0.008986,0.001996,0.818610,-0.036392,1.142844,-0.006108,0.020442,0.006707,-0.007380,-1.019735,-0.168247,0.006108,-0.020442,-0.006707,0.007380,1.019735,0.168247
0.006000,-0.010490,-0.062332,-0.170032,-0.001905,-0.007157,1.007248,-3.197620,0.934894,2.362276,0.000000,-0.199992,1.000000,0.037086,0.012325,-0.028557,-0.010942,-0.000430,-0.002556,-0.006971,-2.635857,-4.482218,-0.135433,35876.396051,39135.747734,36810.630450,37812.668662,0.185241,0.000000,0.000000,0.000000,0.000000,0.215516,0.000000,0.000000,0.000000,-0.005854,-0.006107,-0.002280,-0.005393,-0.201140,-0.646410,0.974587,0.000000,0.000000,0.000000,0.017176,0.006892,0.999852,0.941959,0.021407,0.403171,-0.000000,0.799987,1.250000,0.001545,-0.001544,0.000000,0.000012,0.000000,0.000000,0.000000,-4.990959,-1.427688,1.532920,40092.461231,39281.334167,41833.098049,39653.841421,-0.088036,0.000000,0.000000,0.000000,0.000000,0.204719,0.000088,-0.000004,-0.000026,0.000082,-0.026594,-0.008986,0.001996,0.818610,-0.036392,1.142844,-0.005936,0.020487,0.006706,-0.007390,-1.019750,-0.168258,0.005936,-0.020487,-0.006706,0.007390,1.019750,0.168258
0.008000,-0.009681,-0.062536,-0.169916,-0.001855,-0.007186,1.007283,-3.145790,0.895528,2.405089,0.000000,-0.199992,1.000000,0.036675,0.012073,-0.028080,-0.010944,-0.000397,-0.002564,-0.006967,-2.599538,-4.606893,-0.129873,35879.623695,39129.882016,36812.059407,37819.303818,0.162472,0.000000,0.000000,0.000000,0.000000,0.198145,0.000000,0.000000,0.000000,-0.005682,-0.006063,-0.002280,-0.005403,-0.201155,-0.646492,0.974576,0.000000,0.000000,0.000000,0.019084,0.005500,1.001795,0.941959,0.021407,0.403171,-0.000000,0.799987,1.250000,0.001545,-0.001544,0.000000,0.000012,0.000000,0.000000,0.000000,-4.908067,-1.245265,1.189478,39967.284345,39401.690096,41700.194888,39787.805112,-0.088036,0.000000,0.000000,0.000000,0.000000,0.204719,0.000088,-0.000004,-0.000026,0.000077,-0.026113,-0.008741,0.001997,0.818745,-0.036392,1.142898,-0.005759,0.020051,0.006461,-0.007400,-1.019900,-0.168322,0.005759,-0.020051,-0.006461,0.007400,1.019900,0.168322
0.010000,-0.008873,-0.062739,-0.169801,-0.001806,-0.007216,1.007318,-3.093960,0.856162,2.447902,0.000000,-0.199992,1.000000,0.036263,0.011821,-0.027602,-0.010947,-0.000364,-0.002572,-0.006962,-2.563218,-4.731568,-0.124313,35882.851339,39124.016298,36813.488363,37825.938975,0.139704,0.000000,0.000000,0.000000,0.000000,0.180773,0.000000,0.000000,0.000000,-0.005510,-0.006018,-0.002280,-0.005412,-0.201171,-0.646574,0.974566,0.000000,0.000000,0.000000,0.020909,0.003718,1.002416,0.941959,0.021407,0.403171,-0.000000,0.799987,1.250000,0.001545,-0.001544,0.000000,0.000012,0.000000,0.000000,0.000000,-4.740060,-1.056384,0.382728,39676.074902,39692.354947,41412.798770,40090.929570,-0.077887,0.000000,0.000000,0.000000,0.000000,0.163329,0.000088,-0.000004,-0.000026,0.000182,-0.026128,-0.008653,0.001999,0.818624,-0.031158,1.142863,-0.005692,0.020110,0.006373,-0.007411,-1.019795,-0.168297,0.005692,-0.020110,-0.006373,0.007411,1.019795,0.168297
0.012000,-0.008064,-0.062943,-0.169685,-0.001756,-0.007245,1.007354,-3.042130,0.816796,2.490716,0.000000,-0.199992,1.000000,0.035851,0.011570,-0.027125,-0.010950,-0.000331,-0.002581,-0.006957,-2.526899,-4.856243,-0.118754,35886.078982,39118.150580,36814.917320,37832.574131,0.116936,0.000000,0.000000,0.000000,0.000000,0.163402,0.000000,0.000000,0.000000,-0.005338,-0.005974,-0.002281,-0.005421,-0.201186,-0.646655,0.974556,0.000000,0.000000,0.000000,0.022514,0.001809,1.000896,0.941959,0.021407,0.403171,-0.000000,0.799987,1.250000,0.001545,-0.001544,0.000000,0.000012,0.000000,0.000000,0.000000,-4.561174,-0.958975,0.057491,39565.402532,39814.159494,41292.068354,40210.387342,-0.073841,0.000000,0.000000,0.000000,0.000000,0.146824,0.000088,-0.000004,-0.000026,0.000225,-0.026228,-0.008666,0.002000,0.818550,-0.029070,1.142838,-0.005563,0.020254,0.006385,-0.007421,-1.019736,-0.168282,0.005563,-0.020254,-0.006385,0.007421,1.019736,0.168282
0.014000,-0.007255,-0.063147,-0.169570,-0.001707,-0.007274,1.007389,-2.990299,0.777429,2.533529,0.000000,-0.199992,1.000000,0.035439,0.011318,-0.026647,-0.010953,-0.000297,-0.002589,-0.006952,-2.490579,-4.980918,-0.113194,35889.306626,39112.284862,36816.346277,37839.209287,0.094167,0.000000,0.000000,0.000000,0.000000,0.146030,0.000000,0.000000,0.000000,-0.005165,-0.005929,-0.002281,-0.005430,-0.201201,-0.646737,0.974546,0.000000,0.000000,0.000000,0.023183,-0.000866,1.001585,0.941959,0.021407,0.403171,-0.000000,0.799987,1.250000,0.001545,-0.001544,0.000000,0.000012,0.000000,0.000000,0.000000,-4.065969,-0.979003,0.119875,39606.289487,39810.446919,41299.260487,40170.925945,-0.073841,0.000000,0.000000,0.000000,0.000000,0.146824,0.000088,-0.000004,-0.000026,0.000225,-0.026228,-0.008666,0.002000,0.818550,-0.029070,1.142838,-0.005391,0.020299,0.006385,-0.007430,-1.019751,-0.168293,0.005391,-0.020299,-0.006385,0.007430,1.019751,0.168293
0.016000,-0.006446,-0.063350,-0.169454,-0.001658,-0.007303,1.007424,-2.938469,0.738063,2.576342,0.000000,-0.199992,1.000000,0.035028,0.011066,-0.026169,-0.010956,-0.000264,-0.002597,-0.006948,-2.454260,-5.105594,-0.107634,35892.534270,39106.419144,36817.775234,37845.844444,0.071399,0.000000,0.000000,0.000000,0.000000,0.128659,0.000000,0.000000,0.000000,-0.004993,-0.005885,-0.002281,-0.005440,-0.201217,-0.646819,0.974536,0.000000,0.000000,0.000000,0.023011,-0.000287,1.000666,0.941959,0.021407,0.403171,-0.000000,0.799987,1.250000,0.001545,-0.001544,0.000000,0.000012,0.000000,0.000000,0.000000,-2.716064,-1.043105,0.423688,39765.944638,39746.168080,41367.201995,40010.265337,-0.073841,0.000000,0.000000,0.000000,0.000000,0.146824,0.000088,-0.000004,-0.000026,0.000225,-0.026228,-0.008666,0.002000,0.818550,-0.029070,1.142838,-0.005218,0.020343,0.006385,-0.007439,-1.019767,-0.168303,0.005218,-0.020343,-0.006385,0.007439,1.019767,0.168303
0.018000,-0.005638,-0.063554,-0.169338,-0.001608,-0.007332,1.007460,-2.886639,0.698697,2.619155,0.000000,-0.199992,1.000000,0.034616,0.010815,-0.025692,-0.010959,-0.000231,-0.002606,-0.006943,-2.417940,-5.230269,-0.102075,35895.761914,39100.553426,36819.204191,37852.479600,0.048630,0.000000,0.000000,0.000000,0.000000,0.111287,0.000000,0.000000,0.000000,-0.004821,-0.005840,-0.002281,-0.005449,-0.201232,-0.646901,0.974526,0.000000,0.000000,0.000000,0.022108,0.001879,0.998787,0.941959,0.021407,0.403171,-0.000000,0.799987,1.250000,0.001545,-0.001544,0.000000,0.000012,0.000000,0.000000,0.000000,-1.773060,-1.409618,0.370767,39758.773498,39803.800205,41329.663585,39987.219825,-0.073841,0.000000,0.000000,0.000000,0.000000,0.146824,0.000088,-0.000004,-0.000026,0.000216,-0.025563,-0.008360,0.002000,0.818737,-0.029070,1.142906,-0.005037,0.019722,0.006079,-0.007449,-1.019969,-0.168381,0.005037,-0.019722,-0.006079,0.007449,1.019969,0.168381
