cf5.a_hat_x,cf5.a_hat_y,cf5.a_hat_z,cf5.a_res_x,cf5.a_res_y,cf5.a_res_z,cf5.e_r_x,cf5.e_r_y,cf5.e_r_z,cf5.pos_des_x,cf5.pos_des_y,cf5.pos_des_z,cf5.pos_x,cf5.pos_y,cf5.pos_z,cf5.t,cf_second.a_hat_x,cf_second.a_hat_y,cf_second.a_hat_z,cf_second.a_res_x,cf_second.a_res_y,cf_second.a_res_z,cf_second.e_r_x,cf_second.e_r_y,cf_second.e_r_z,cf_second.pos_des_x,cf_second.pos_des_y,cf_second.pos_des_z,cf_second.pos_x,cf_second.pos_y,cf_second.pos_z,cf_second.t
0.000000,0.000000,0.000000,-0.012916,-0.061721,-0.170378,0.013079,-0.029990,-0.010933,0.000000,-0.199992,1.000000,-0.005365,-0.201094,0.974617,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.001544,0.000000,0.000012,-0.000000,0.799987,1.250000,0.001996,0.818693,1.142872,0.000000
0.000000,0.000000,0.000000,-0.012108,-0.061925,-0.170263,0.012828,-0.029513,-0.010936,0.000000,-0.199992,1.000000,-0.005375,-0.201109,0.974607,0.002000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.001544,0.000000,0.000012,-0.000000,0.799987,1.250000,0.001996,0.818610,1.142844,0.002000
0.000000,0.000000,0.000000,-0.011299,-0.062128,-0.170147,0.012576,-0.029035,-0.010939,0.000000,-0.199992,1.000000,-0.005384,-0.201125,0.974597,0.004000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.001544,0.000000,0.000012,-0.000000,0.799987,1.250000,0.001996,0.818610,1.142844,0.004000
0.000000,0.000000,0.000000,-0.010490,-0.062332,-0.170032,0.012325,-0.028557,-0.010942,0.000000,-0.199992,1.000000,-0.005393,-0.201140,0.974587,0.006000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.001544,0.000000,0.000012,-0.000000,0.799987,1.250000,0.001996,0.818610,1.142844,0.006000
0.000000,0.000000,0.000000,-0.009681,-0.062536,-0.169916,0.012073,-0.028080,-0.010944,0.000000,-0.199992,1.000000,-0.005403,-0.201155,0.974576,0.008000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.001544,0.000000,0.000012,-0.000000,0.799987,1.250000,0.001997,0.818745,1.142898,0.008000
0.000000,0.000000,0.000000,-0.008873,-0.062739,-0.169801,0.011821,-0.027602,-0.010947,0.000000,-0.199992,1.000000,-0.005412,-0.201171,0.974566,0.010000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.001544,0.000000,0.000012,-0.000000,0.799987,1.250000,0.001999,0.818624,1.142863,0.010000
0.000000,0.000000,0.000000,-0.008064,-0.062943,-0.169685,0.011570,-0.027125,-0.010950,0.000000,-0.199992,1.000000,-0.005421,-0.201186,0.974556,0.012000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.001544,0.000000,0.000012,-0.000000,0.799987,1.250000,0.002000,0.818550,1.142838,0.012000
0.000000,0.000000,0.000000,-0.007255,-0.063147,-0.169570,0.011318,-0.026647,-0.010953,0.000000,-0.199992,1.000000,-0.005430,-0.201201,0.974546,0.014000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.001544,0.000000,0.000012,-0.000000,0.799987,1.250000,0.002000,0.818550,1.142838,0.014000
0.000000,0.000000,0.000000,-0.006446,-0.063350,-0.169454,0.011066,-0.026169,-0.010956,0.000000,-0.199992,1.000000,-0.005440,-0.201217,0.974536,0.016000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.001544,0.000000,0.000012,-0.000000,0.799987,1.250000,0.002000,0.818550,1.142838,0.016000
0.000000,0.000000,0.000000,-0.005638,-0.063554,-0.169338,0.010815,-0.025692,-0.010959,0.000000,-0.199992,1.000000,-0.005449,-0.201232,0.974526,0.018000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.001544,0.000000,0.000012,-0.000000,0.799987,1.250000,0.002000,0.818737,1.142906,0.018000
