# meta:run_eval_mode=formation_scenario
# meta:scenario=A8
# meta:title=Vertical swap (2 robots), dz=0.25 m at crossing, span=1.00 m, passes=1
# meta:n_drones=2
# meta:duration_s=8.000
# meta:height=1.0
# meta:timescale=1.0
# meta:controller=5
# meta:ctrl_mode=3
# meta:tags=swap|data_collection
# meta:param_dz=0.25
# meta:param_span=1.0
# meta:param_duration=6.0
# meta:param_settle=2.0
# meta:param_passes=1
# meta:param_rotate_deg=0.0
# meta:realised_peak_speed=0.3646
# meta:realised_peak_accel=0.2087
# meta:realised_speed_requested=None
# meta:realised_period_effective=None
# meta:realised_period_pinned=False
# meta:realised_path_kind=fixed
# meta:indi_kr=2400.0
# meta:indi_kw=170.0
# meta:indi_kr_z=2400.0
# meta:indi_kw_z=170.0
# meta:indi_kr_geo=0.01
# meta:indi_kw_geo=0.0011
# meta:indi_kr_z_geo=0.01
# meta:indi_kw_z_geo=0.00138
# meta:indi_fc_bw=206.0
# meta:indi_mass=0.041
# meta:indi_kt1=4.1623e-10
# meta:indi_kt2=4.0592e-10
# meta:indi_kt3=4.1116e-10
# meta:indi_kt4=4.0631e-10
# meta:indi_j_scale=1.0
# meta:indi_notch_f0=6.9
# meta:indi_notch_bw=3.0
# meta:pos_kp_xy=64.0
# meta:pos_kp_z=48.0
# meta:pos_kv_xy=5.0
# meta:pos_kv_z=7.0
# meta:t_start_sim=1789823211.3194
# meta:usd_start_s=15.201371
# meta:config_source=all+robot_override
# meta:shared_controller=6
# meta:shared_ctrl_mode=3
# meta:gains_apply=0
time_s,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,roll,pitch,yaw,thrust,vbat,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,tau_x,tau_y,tau_z,alp_x,alp_y,alp_z,a_res_x,a_res_y,a_res_z
7.249381,-0.015937,-0.259918,-0.022968,0.006629,0.008380,0.003742,0.047444,0.763165,-2.762075,0.000100,3.695015,0.990927,-0.251914,-0.621376,0.012549,0.011184,1.005282,0.000075,0.000016,0.000040,1.376146,0.364976,-1.269951,0.000000,0.000000,0.000000
7.298318,-0.015985,-0.259930,-0.022954,-0.000444,0.006869,0.004743,0.050033,0.765167,-2.750784,0.000145,3.399414,-0.952988,0.932702,-1.023237,0.016520,0.007212,0.996768,0.000075,0.000016,0.000040,1.376146,0.364976,-1.269951,0.000000,0.000000,0.000000
7.349230,-0.016045,-0.259942,-0.022962,-0.006405,0.005578,0.004713,0.093186,0.738160,-2.766308,0.000080,3.473314,1.117322,4.236888,-2.524289,0.025275,-0.003157,1.016855,0.000075,0.000016,0.000040,1.376146,0.364976,-1.269951,0.000000,0.000000,0.000000
7.398390,-0.016090,-0.259956,-0.022099,-0.010622,0.004645,0.022949,-0.215210,0.662965,-2.775681,0.000251,3.489150,-23.367847,-4.021856,-1.568027,0.018250,-0.004451,1.068062,0.000075,0.000016,0.000040,1.376146,0.364976,-1.269951,0.000000,0.000000,0.000000
7.449441,-0.016131,-0.259915,-0.019809,-0.014919,0.010997,0.063282,-1.000068,0.824635,-2.804470,0.000285,3.494428,1.095983,-10.560574,0.153860,0.017673,0.005790,1.094658,0.000075,0.000016,0.000040,1.376146,0.364976,-1.269951,0.000000,0.000000,0.000000
7.498230,-0.016955,-0.259843,-0.015737,-0.023460,0.018278,0.103417,-0.972921,1.093056,-2.840902,0.000143,3.499707,12.285079,17.937971,-0.853483,0.013251,-0.008721,1.057467,0.000075,0.000016,0.000040,1.376146,0.364976,-1.269951,0.000000,0.000000,0.000000
7.549364,-0.016527,-0.259034,-0.009806,-0.022482,0.022853,0.134595,-0.262678,0.171472,-2.923368,-0.000073,3.504985,8.580317,13.775010,1.058875,0.022288,-0.000514,1.064599,0.000075,0.000016,0.000040,1.376146,0.364976,-1.269951,0.000000,0.000000,0.000000
7.598369,-0.016207,-0.258803,-0.002800,-0.014980,0.020566,0.157568,-0.226397,-0.525608,-2.955652,-0.000080,3.499707,-14.575682,9.598289,-0.882507,0.016440,-0.002922,1.021487,0.000075,0.000016,0.000040,1.376146,0.364976,-1.269951,0.000000,0.000000,0.000000
7.649294,-0.015567,-0.257797,0.004267,-0.003552,0.024796,0.154372,-0.802110,-0.926948,-2.980428,0.000050,3.494428,-2.892716,1.690437,1.592866,0.019304,0.004544,0.993225,0.000075,0.000016,0.000040,1.376146,0.364976,-1.269951,0.000000,0.000000,0.000000
7.697253,-0.014199,-0.256745,0.011905,0.009819,0.030457,0.158936,-0.857313,-0.963983,-2.958986,-0.000030,3.489150,8.632431,3.102949,-0.576472,0.017308,0.000801,1.021774,0.000075,0.000016,0.000040,1.376146,0.364976,-1.269951,0.000000,0.000000,0.000000
7.748334,-0.012440,-0.255747,0.019954,0.022476,0.031900,0.170591,-0.120991,-0.899173,-2.948949,0.000153,3.483871,20.830149,-13.124325,0.608846,0.021742,-0.000860,1.038585,0.000075,0.000016,0.000040,1.376146,0.364976,-1.269951,0.000000,0.000000,0.000000
7.798269,-0.010357,-0.254788,0.028907,0.030478,0.025726,0.189654,0.732834,-0.388252,-2.937797,0.000109,3.473314,8.136538,-9.321345,2.729646,0.019241,-0.003068,1.040738,0.000075,0.000016,0.000040,1.376146,0.364976,-1.269951,0.000000,0.000000,0.000000
7.848432,-0.007481,-0.254840,0.039051,0.035693,0.012990,0.211358,1.122734,0.120428,-2.869969,0.000187,3.468035,6.294050,-13.623693,0.328258,0.019803,-0.004901,1.051509,0.000075,0.000016,0.000040,1.376146,0.364976,-1.269951,0.000000,0.000000,0.000000
7.898306,-0.004987,-0.254965,0.050015,0.033466,-0.000004,0.232999,1.295859,0.816614,-2.835459,0.000360,3.462757,-8.153101,-22.659563,1.124149,0.015438,-0.003181,1.047003,0.000075,0.000016,0.000040,1.376146,0.364976,-1.269951,0.000000,0.000000,0.000000
7.948441,-0.002895,-0.255060,0.062147,0.022737,-0.008264,0.252016,0.874677,1.847440,-2.779286,0.000522,3.457478,-7.789502,-12.685389,2.060704,0.015698,0.000698,1.037491,0.000075,0.000016,0.000040,1.376146,0.364976,-1.269951,0.000000,0.000000,0.000000
7.998354,-0.001033,-0.256072,0.075261,0.006999,-0.014756,0.275520,0.511156,2.275920,-2.723609,0.000265,3.452199,-3.418872,1.531317,0.683117,0.012872,0.004248,1.057431,0.000075,0.000016,0.000040,1.376146,0.364976,-1.269951,0.000000,0.000000,0.000000
8.049360,-0.000071,-0.257114,0.089982,-0.008958,-0.018805,0.304839,0.502025,2.008361,-2.631521,0.000104,3.446921,1.857950,12.362157,0.939887,0.021291,-0.000445,1.067233,0.000075,0.000016,0.000040,1.376146,0.364976,-1.269951,0.000000,0.000000,0.000000
