# meta:run_eval_mode=formation_scenario
# meta:scenario=A8
# meta:title=Vertical swap (2 robots), dz=0.25 m at crossing, span=1.00 m, passes=1
# meta:n_drones=2
# meta:duration_s=8.000
# meta:height=1.0
# meta:timescale=1.0
# meta:controller=6
# meta:ctrl_mode=3
# meta:tags=swap|data_collection
# meta:param_dz=0.25
# meta:param_span=1.0
# meta:param_duration=6.0
# meta:param_settle=2.0
# meta:param_passes=1
# meta:param_rotate_deg=0.0
# meta:realised_peak_speed=0.3646
# meta:realised_peak_accel=0.2087
# meta:realised_speed_requested=None
# meta:realised_period_effective=None
# meta:realised_period_pinned=False
# meta:realised_path_kind=fixed
# meta:indi_kr=2400.0
# meta:indi_kw=170.0
# meta:indi_kr_z=2400.0
# meta:indi_kw_z=170.0
# meta:indi_kr_geo=0.01
# meta:indi_kw_geo=0.0011
# meta:indi_kr_z_geo=0.01
# meta:indi_kw_z_geo=0.00138
# meta:indi_fc_bw=206.0
# meta:indi_mass=0.041
# meta:indi_kt1=4.1623e-10
# meta:indi_kt2=4.0592e-10
# meta:indi_kt3=4.1116e-10
# meta:indi_kt4=4.0631e-10
# meta:indi_j_scale=1.0
# meta:indi_notch_f0=6.9
# meta:indi_notch_bw=3.0
# meta:pos_kp_xy=64.0
# meta:pos_kp_z=48.0
# meta:pos_kv_xy=5.0
# meta:pos_kv_z=7.0
# meta:t_start_sim=1789823244.9661
# meta:usd_start_s=15.204684
# meta:indi_rpm_source=1.0
# meta:config_source=all+robot_override
# meta:shared_controller=6
# meta:shared_ctrl_mode=3
# meta:gains_apply=1
time_s,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,roll,pitch,yaw,thrust,vbat,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,tau_x,tau_y,tau_z,alp_x,alp_y,alp_z,a_res_x,a_res_y,a_res_z
7.242486,-0.009045,0.798921,-0.015982,-0.004541,-0.008043,0.001840,-0.213902,-0.003616,5.012114,0.000000,3.885044,0.030906,-0.132910,0.136582,0.002255,-0.005778,1.000411,0.000137,0.000216,0.000025,0.569525,-1.313094,-1.136413,0.007324,-0.023662,9.564930
7.291388,-0.009041,0.798923,-0.015988,-0.003986,-0.007827,0.001268,-0.216032,0.000749,5.007910,0.000000,3.885044,0.028204,0.417514,-0.165376,0.000820,-0.003325,0.999290,0.000298,0.000058,-0.000013,-0.114985,-1.053515,-0.292961,-0.003506,0.013827,9.542501
7.341355,-0.009038,0.798922,-0.015989,-0.003725,-0.007942,0.001277,-0.211889,-0.002756,5.006263,0.000000,3.885044,-0.272301,0.077893,-0.010724,-0.000383,-0.005246,1.000509,0.000233,-0.000035,0.000037,-1.797633,0.537956,-0.424302,0.013087,-0.011884,9.546616
7.391461,-0.009040,0.798925,-0.015989,-0.004113,-0.007739,0.001073,-0.211891,0.001614,5.004475,0.000000,3.885044,0.163414,0.028711,-0.060734,0.000268,-0.007217,0.998249,0.000166,-0.000026,0.000002,-0.132268,2.680394,0.356731,0.009017,-0.036971,9.529230
7.441350,-0.009038,0.798923,-0.015986,-0.004046,-0.007850,0.001453,-0.212453,-0.001813,5.002710,0.000000,3.885044,0.020421,0.192095,-0.109263,0.000119,-0.005966,1.001965,0.000220,-0.000008,0.000021,-0.420578,3.207723,-0.579303,-0.018752,-0.022274,9.553267
7.490315,-0.009040,0.798920,-0.015986,-0.004014,-0.008169,0.001650,-0.212151,0.001317,5.008300,0.000000,3.885044,-0.018798,0.131611,-0.111776,-0.002558,-0.007608,1.000586,0.000168,0.000084,0.000057,-0.546359,-0.635987,-2.202758,-0.016100,-0.042193,9.538451
7.541312,-0.009035,0.798920,-0.015987,-0.003351,-0.008395,0.001365,-0.213898,-0.004108,5.008733,0.000000,3.885044,-0.054925,-0.218032,-0.032289,0.002488,-0.005083,1.000724,0.000346,0.000050,-0.000008,-0.943435,-1.039788,-0.641372,0.041824,-0.017719,9.541409
7.592444,-0.009037,0.798913,-0.015987,-0.003827,-0.008602,0.001204,-0.213893,-0.000840,5.012282,0.000000,3.885044,-0.145300,0.170199,0.285725,-0.000989,-0.008358,1.000592,0.000008,0.000106,-0.000039,3.179054,-0.118632,-0.021089,0.000043,-0.037341,9.539391
7.644295,-0.009038,0.798917,-0.015999,-0.003733,-0.008370,-0.000179,-0.212374,0.001289,5.006019,0.000000,3.885044,0.328985,0.181111,0.148023,0.000163,-0.006145,0.998989,0.000265,0.000161,-0.000103,1.047535,-0.459469,0.442808,-0.016710,-0.014102,9.524196
7.691327,-0.009030,0.798919,-0.016004,-0.002764,-0.008316,-0.000582,-0.216307,-0.001978,5.009892,0.000000,3.885044,-0.039670,0.200135,-0.075021,-0.000201,-0.005834,0.998313,0.000185,0.000094,-0.000134,0.342703,-0.607291,0.696220,0.009549,-0.007879,9.507454
7.741333,-0.009027,0.798926,-0.016005,-0.002650,-0.007211,-0.000405,-0.219870,-0.005589,5.002499,0.000000,3.885044,-0.430072,-0.134292,0.205162,-0.000314,-0.004224,0.998380,0.000151,0.000023,-0.000208,0.994805,-0.649188,0.558968,0.014162,-0.014090,9.524015
7.792497,-0.009027,0.798930,-0.016007,-0.002719,-0.007098,-0.000929,-0.223871,-0.000928,4.998903,0.000000,3.885044,0.164386,-0.141669,0.019933,-0.000233,-0.007209,0.999682,0.000219,0.000044,-0.000193,-0.673886,1.137577,-1.263221,0.007442,-0.031335,9.530725
7.842300,-0.009031,0.798926,-0.016007,-0.003258,-0.007752,-0.000494,-0.226841,0.007557,4.996351,0.000000,3.885044,0.226353,0.226899,-0.048793,-0.002698,-0.004701,1.000058,0.000341,0.000062,-0.000289,-0.684606,0.376045,-0.273061,-0.030429,-0.003130,9.538358
7.891489,-0.009031,0.798921,-0.015998,-0.003111,-0.008122,0.000360,-0.228292,0.010322,4.996250,0.000000,3.885044,-0.148690,-0.287627,-0.260230,-0.000678,-0.004080,0.999626,0.000202,0.000064,-0.000422,0.543135,-1.952352,1.123041,0.002026,-0.006496,9.526114
7.940471,-0.009031,0.798919,-0.015995,-0.003070,-0.008333,0.000185,-0.232254,0.011487,5.000289,0.000000,3.885044,-0.191703,0.458773,0.084560,-0.001045,-0.008230,0.999245,0.000182,0.000020,-0.000568,0.870435,2.511337,1.232780,0.005913,-0.052611,9.525743
