cf5.a_hat_x,cf5.a_hat_y,cf5.a_hat_z,cf5.a_res_x,cf5.a_res_y,cf5.a_res_z,cf5.e_r_x,cf5.e_r_y,cf5.e_r_z,cf5.pos_des_x,cf5.pos_des_y,cf5.pos_des_z,cf5.pos_x,cf5.pos_y,cf5.pos_z,cf5.t,cf_second.a_hat_x,cf_second.a_hat_y,cf_second.a_hat_z,cf_second.a_res_x,cf_second.a_res_y,cf_second.a_res_z,cf_second.e_r_x,cf_second.e_r_y,cf_second.e_r_z,cf_second.pos_des_x,cf_second.pos_des_y,cf_second.pos_des_z,cf_second.pos_x,cf_second.pos_y,cf_second.pos_z,cf_second.t
0.000000,0.000000,0.000000,0.176335,-0.090539,-0.124593,0.004798,-0.002706,-0.001539,0.000000,-0.200005,1.000000,-0.000786,-0.203363,1.021775,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.001972,0.000016,0.000016,0.000000,0.799992,1.250000,0.009855,0.823693,1.145327,0.000000
0.000000,0.000000,0.000000,0.168959,-0.099648,-0.135422,0.003658,-0.002624,-0.001519,0.000000,-0.200005,1.000000,-0.000775,-0.203289,1.021864,0.002000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.001972,0.000016,0.000016,0.000000,0.799992,1.250000,0.009856,0.823659,1.145310,0.002000
0.000000,0.000000,0.000000,0.161584,-0.108758,-0.146251,0.002517,-0.002542,-0.001499,0.000000,-0.200005,1.000000,-0.000765,-0.203215,1.021952,0.004000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.001972,0.000016,0.000016,0.000000,0.799992,1.250000,0.009857,0.823625,1.145292,0.004000
0.000000,0.000000,0.000000,0.154208,-0.117867,-0.157080,0.001377,-0.002461,-0.001478,0.000000,-0.200005,1.000000,-0.000754,-0.203141,1.022041,0.006000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.001972,0.000016,0.000016,0.000000,0.799992,1.250000,0.009858,0.823591,1.145274,0.006000
0.000000,0.000000,0.000000,0.146833,-0.126977,-0.167909,0.000237,-0.002379,-0.001458,0.000000,-0.200005,1.000000,-0.000743,-0.203066,1.022129,0.008000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.001972,0.000016,0.000016,0.000000,0.799992,1.250000,0.009859,0.823557,1.145256,0.008000
0.000000,0.000000,0.000000,0.139457,-0.136086,-0.178738,-0.000903,-0.002297,-0.001437,0.000000,-0.200005,1.000000,-0.000732,-0.202992,1.022218,0.010000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.001972,0.000016,0.000016,0.000000,0.799992,1.250000,0.009860,0.823523,1.145238,0.010000
0.000000,0.000000,0.000000,0.139866,-0.138260,-0.164511,-0.001227,-0.002769,-0.001420,0.000000,-0.200005,1.000000,-0.000725,-0.202945,1.022275,0.012000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.001972,0.000016,0.000016,0.000000,0.799992,1.250000,0.009861,0.823488,1.145221,0.012000
0.000000,0.000000,0.000000,0.141276,-0.121607,-0.127624,0.000666,-0.002728,-0.001399,0.000000,-0.200005,1.000000,-0.000725,-0.202945,1.022275,0.014000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.001972,0.000016,0.000016,0.000000,0.799992,1.250000,0.009862,0.823454,1.145203,0.014000
0.000000,0.000000,0.000000,0.111189,-0.091893,-0.136559,0.004113,0.000985,-0.001368,0.000000,-0.200005,1.000000,-0.000725,-0.202945,1.022275,0.016000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.001972,0.000016,0.000016,0.000000,0.799992,1.250000,0.009863,0.823420,1.145185,0.016000
0.000000,0.000000,0.000000,0.057592,-0.059018,-0.175440,0.007985,0.007467,-0.001357,0.000000,-0.200005,1.000000,-0.000725,-0.202945,1.022275,0.018000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.001972,0.000016,0.000016,0.000000,0.799992,1.250000,0.009864,0.823386,1.145167,0.018000
0.000000,0.000000,0.000000,-0.011016,-0.030336,-0.240269,0.011350,0.013282,-0.002154,0.000000,-0.200005,1.000000,-0.000716,-0.202897,1.022298,0.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.001972,0.000016,0.000016,0.000000,0.799992,1.250000,0.009865,0.823352,1.145149,0.020000
0.000000,0.000000,0.000000,-0.074840,-0.012021,-0.265490,0.013434,0.016922,-0.003477,0.000000,-0.200005,1.000000,-0.000702,-0.202818,1.022337,0.022000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.001972,0.000016,0.000016,0.000000,0.799992,1.250000,0.009866,0.823318,1.145131,0.022000
0.000000,0.000000,0.000000,-0.120129,-0.007526,-0.250166,0.013974,0.022393,-0.003516,0.000000,-0.200005,1.000000,-0.000702,-0.202818,1.022337,0.024000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.001972,0.000016,0.000016,0.000000,0.799992,1.250000,0.009867,0.823283,1.145114,0.024000
0.000000,0.000000,0.000000,-0.143967,-0.018044,-0.235120,0.012730,0.025284,-0.003525,0.000000,-0.200005,1.000000,-0.000702,-0.202818,1.022337,0.026000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.001972,0.000016,0.000016,0.000000,0.799992,1.250000,0.009868,0.823249,1.145096,0.026000
0.000000,0.000000,0.000000,-0.140147,-0.044920,-0.238247,0.009562,0.024902,-0.003496,0.000000,-0.200005,1.000000,-0.000702,-0.202818,1.022337,0.028000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.001972,0.000016,0.000016,0.000000,0.799992,1.250000,0.009870,0.823215,1.145078,0.028000
0.000000,0.000000,0.000000,-0.106407,-0.074427,-0.235526,0.005856,0.017816,-0.002580,0.000000,-0.200005,1.000000,-0.000697,-0.202794,1.022347,0.030000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.001972,0.000016,0.000016,0.000000,0.799992,1.250000,0.009871,0.823181,1.145060,0.030000
0.000000,0.000000,0.000000,-0.054305,-0.094257,-0.189818,0.003242,0.007331,-0.001359,0.000000,-0.200005,1.000000,-0.000689,-0.202762,1.022361,0.032000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.001972,0.000016,0.000016,0.000000,0.799992,1.250000,0.009872,0.823147,1.145042,0.032000
0.000000,0.000000,0.000000,-0.004760,-0.101839,-0.112236,0.002427,0.001371,-0.001345,0.000000,-0.200005,1.000000,-0.000689,-0.202762,1.022361,0.034000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.001972,0.000016,0.000016,0.000000,0.799992,1.250000,0.009873,0.823113,1.145025,0.034000
0.000000,0.000000,0.000000,0.024071,-0.098527,-0.045338,0.002901,-0.002070,-0.001342,0.000000,-0.200005,1.000000,-0.000689,-0.202762,1.022361,0.036000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.001972,0.000016,0.000016,0.000000,0.799992,1.250000,0.009874,0.823078,1.145007,0.036000
