# meta:t_zero=scenario_start
t,cf5.a_res_x,cf5.a_res_y,cf5.a_res_z,cf5.acc_x,cf5.acc_y,cf5.acc_z,cf5.alp_x,cf5.alp_y,cf5.alp_z,cf5.ctrltarget_x,cf5.ctrltarget_y,cf5.ctrltarget_z,cf5.e_r_norm,cf5.e_r_x,cf5.e_r_y,cf5.e_r_z,cf5.f_res_x,cf5.f_res_y,cf5.f_res_z,cf5.gyro_x,cf5.gyro_y,cf5.gyro_z,cf5.motor_m1,cf5.motor_m1_rpm,cf5.motor_m2,cf5.motor_m2_rpm,cf5.motor_m3,cf5.motor_m3_rpm,cf5.motor_m4,cf5.motor_m4_rpm,cf5.pitch_deg,cf5.rnn_clamped,cf5.rnn_pred_x,cf5.rnn_pred_y,cf5.rnn_pred_z,cf5.roll_deg,cf5.rpm_m1,cf5.rpm_m2,cf5.rpm_m3,cf5.rpm_m4,cf5.tau_x,cf5.tau_y,cf5.tau_z,cf5.vx,cf5.vy,cf5.vz,cf5.x,cf5.y,cf5.yaw_deg,cf5.z,cf_second.a_res_x,cf_second.a_res_y,cf_second.a_res_z,cf_second.acc_x,cf_second.acc_y,cf_second.acc_z,cf_second.alp_x,cf_second.alp_y,cf_second.alp_z,cf_second.ctrltarget_x,cf_second.ctrltarget_y,cf_second.ctrltarget_z,cf_second.e_r_norm,cf_second.e_r_x,cf_second.e_r_y,cf_second.e_r_z,cf_second.f_res_x,cf_second.f_res_y,cf_second.f_res_z,cf_second.gyro_x,cf_second.gyro_y,cf_second.gyro_z,cf_second.motor_m1,cf_second.motor_m1_rpm,cf_second.motor_m2,cf_second.motor_m2_rpm,cf_second.motor_m3,cf_second.motor_m3_rpm,cf_second.motor_m4,cf_second.motor_m4_rpm,cf_second.pitch_deg,cf_second.rnn_clamped,cf_second.rnn_pred_x,cf_second.rnn_pred_y,cf_second.rnn_pred_z,cf_second.roll_deg,cf_second.rpm_m1,cf_second.rpm_m2,cf_second.rpm_m3,cf_second.rpm_m4,cf_second.tau_x,cf_second.tau_y,cf_second.tau_z,cf_second.vx,cf_second.vy,cf_second.vz,cf_second.x,cf_second.y,cf_second.yaw_deg,cf_second.z,rel.cf5_cf_second.vx,rel.cf5_cf_second.vy,rel.cf5_cf_second.vz,rel.cf5_cf_second.x,rel.cf5_cf_second.y,rel.cf5_cf_second.z,rel.cf_second_cf5.vx,rel.cf_second_cf5.vy,rel.cf_second_cf5.vz,rel.cf_second_cf5.x,rel.cf_second_cf5.y,rel.cf_second_cf5.z
0.000000,0.077848,0.073508,-0.180016,0.011784,0.014025,1.302613,6.463542,-8.011834,1.410261,0.000000,-0.000002,1.000000,0.191226,-0.037473,0.186279,0.021474,0.003192,0.003014,-0.007381,-34.850572,-47.544115,-28.726888,34305.904497,16250.557858,40370.355735,18404.247600,34610.644770,17400.747347,45682.429510,20026.498231,-25.644510,0.000000,0.000000,0.000000,0.000000,-11.638455,16299.110157,18220.122789,17249.059626,19786.144517,0.000000,0.000000,0.000000,0.163668,-0.090915,0.443476,-0.100415,-0.022155,-3.151021,0.808883,0.000000,0.000000,0.000000,0.044142,-0.034657,1.007620,-0.567178,0.426564,0.537345,0.000000,0.000002,1.300000,0.042918,-0.021044,-0.034654,0.014078,0.000000,0.000000,0.000000,2.389467,4.301389,-0.312508,34789.000000,15625.000000,36918.000000,15974.000000,36123.000000,16233.000000,36923.000000,15723.000000,0.856772,0.000000,0.000000,0.000000,0.000000,-0.080703,15669.000000,15995.000000,16185.000000,15852.000000,0.001229,0.001979,-0.001139,-0.033692,0.013701,-0.004110,0.029366,-0.012729,-0.013150,1.238929,0.197360,-0.104615,0.447586,-0.129781,-0.009426,-0.430046,-0.197360,0.104615,-0.447586,0.129781,0.009426,0.430046
0.002000,0.033784,0.080655,-0.228646,0.012424,0.015309,1.292735,10.899650,-4.509961,0.117471,0.000000,-0.000002,1.000000,0.200690,-0.041031,0.195397,0.020287,0.001385,0.003307,-0.009374,-33.506562,-47.671026,-28.680046,34178.882932,16234.547467,40193.762420,18181.000000,34230.449090,17361.000000,45768.639941,19959.331038,-25.644510,0.000000,0.000000,0.000000,0.000000,-11.638455,16247.732415,18160.904083,17184.309887,19759.242007,0.000000,0.000000,0.000000,0.163668,-0.090915,0.443476,-0.100415,-0.022155,-3.151021,0.808883,0.000000,0.000000,0.000000,0.041658,-0.033861,1.007410,-0.567178,0.426564,0.537345,0.000000,0.000002,1.300000,0.042918,-0.021044,-0.034654,0.014078,0.000000,0.000000,0.000000,1.967424,3.511109,0.336445,34971.610222,15528.062468,36716.671657,15974.552917,36376.382550,16129.563758,36698.476510,15921.362932,0.856772,0.000000,0.000000,0.000000,0.000000,-0.080703,15673.054208,16003.956634,16184.902426,15856.043366,0.001229,0.001979,-0.001139,-0.033692,0.013701,-0.004110,0.029366,-0.012729,-0.013150,1.238929,0.197360,-0.104615,0.447586,-0.129781,-0.009426,-0.430046,-0.197360,0.104615,-0.447586,0.129781,0.009426,0.430046
0.004000,0.008856,0.091313,-0.264467,0.014535,0.015328,1.283816,12.481830,8.217502,2.257172,0.000000,-0.000002,1.000000,0.208368,-0.043901,0.202768,0.019355,0.000363,0.003744,-0.010843,-32.094789,-46.427513,-28.307296,34210.836962,16303.791899,39947.022278,18137.488101,33950.866329,17321.141772,45794.371139,19853.760000,-25.644510,0.000000,0.000000,0.000000,0.000000,-11.638455,16202.713924,18090.070886,17119.413671,19851.721013,0.000000,0.000000,0.000000,0.163668,-0.090915,0.443476,-0.100415,-0.022155,-3.151021,0.808883,0.000000,0.000000,0.000000,0.041122,-0.032726,1.002961,-0.567178,0.426564,0.537345,0.000000,0.000002,1.300000,0.042918,-0.021044,-0.034654,0.014078,0.000000,0.000000,0.000000,2.165188,3.461821,1.298541,35303.138493,15629.191446,36409.663951,16018.498982,36688.849287,16176.551935,36374.305499,15772.000000,0.856772,0.000000,0.000000,0.000000,0.000000,-0.080703,15678.171079,15999.786151,16175.443992,15860.556008,0.001229,0.001979,-0.001139,-0.033692,0.013701,-0.004110,0.029366,-0.012729,-0.013150,1.238929,0.197360,-0.104615,0.447586,-0.129781,-0.009426,-0.430046,-0.197360,0.104615,-0.447586,0.129781,0.009426,0.430046
0.006000,0.007426,0.098510,-0.286513,0.016983,0.014525,1.272821,10.131595,14.437857,5.362128,0.000000,-0.000002,1.000000,0.212183,-0.046370,0.206269,0.017926,0.000304,0.004039,-0.011747,-30.973140,-44.787873,-27.646636,34006.668217,16178.097674,39546.803101,18050.000000,33538.852713,17199.471318,45612.516279,19760.175194,-25.461977,0.000000,0.000000,0.000000,0.000000,-11.790845,16159.458915,18023.252713,17060.274419,19809.386047,0.000000,0.000000,0.000000,0.183190,-0.082862,0.448839,-0.099741,-0.022435,-3.223150,0.810470,0.000000,0.000000,0.000000,0.040349,-0.031657,0.999891,-0.567178,0.426564,0.537345,0.000000,0.000002,1.300000,0.042918,-0.021044,-0.034654,0.014078,0.000000,0.000000,0.000000,1.675804,3.317127,1.501899,35350.391789,15717.039534,36333.661936,15882.244805,36774.513431,16086.488089,36316.432843,15763.059301,0.856772,0.000000,0.000000,0.000000,0.000000,-0.080703,15682.243284,15994.756716,16162.756716,15872.452610,0.001229,0.001979,-0.001139,-0.033692,0.013701,-0.004110,0.029366,-0.012729,-0.013150,1.238929,0.216882,-0.096563,0.452948,-0.129107,-0.009706,-0.428459,-0.216882,0.096563,-0.452948,0.129107,0.009706,0.428459
0.008000,0.032852,0.100378,-0.281100,0.019858,0.013595,1.260523,8.429880,10.410691,5.663944,0.000000,-0.000002,1.000000,0.216082,-0.050382,0.209545,0.015467,0.001347,0.004115,-0.011525,-29.986492,-43.787440,-27.029206,33470.688312,16057.623377,39093.550450,17978.082917,32894.470529,17058.162837,45396.742258,19728.224775,-25.129403,0.000000,0.000000,0.000000,0.000000,-12.077966,16112.604396,17932.265734,16997.364635,19780.920080,0.000000,0.000000,0.000000,0.219516,-0.067269,0.457486,-0.098405,-0.022768,-3.360147,0.813124,0.000000,0.000000,0.000000,0.040601,-0.030737,0.996087,-0.567178,0.426564,0.537345,0.000000,0.000002,1.300000,0.042918,-0.021044,-0.034654,0.014078,0.000000,0.000000,0.000000,1.134371,3.767843,1.493321,35344.433671,15631.349052,36306.262230,16025.000000,36775.098281,16226.262230,36348.234024,15641.066990,0.854388,0.000000,0.000000,0.000000,0.000000,-0.079370,15686.777435,15990.416924,16159.259145,15864.000000,0.001229,0.001979,-0.001139,-0.033788,0.013710,-0.004080,0.029344,-0.012720,-0.012760,1.238927,0.253303,-0.080979,0.461566,-0.127748,-0.010048,-0.425803,-0.253303,0.080979,-0.461566,0.127748,0.010048,0.425803
0.010000,0.066066,0.095901,-0.271094,0.022247,0.013151,1.251732,8.814453,5.588630,4.682025,0.000000,-0.000002,1.000000,0.227141,-0.055643,0.219782,0.013842,0.002709,0.003932,-0.011115,-28.892209,-43.093374,-26.474532,33499.246914,16025.000000,38832.334705,17792.363512,32643.787380,16988.122085,45536.102881,19801.000000,-25.135372,0.000000,0.000000,0.000000,0.000000,-12.088925,16072.072702,17835.124829,16887.393690,19746.887517,0.000000,0.000000,0.000000,0.220153,-0.065979,0.455421,-0.098243,-0.022460,-3.367179,0.812672,0.000000,0.000000,0.000000,0.039053,-0.031649,0.996787,-0.567178,0.426564,0.537345,0.000000,0.000002,1.300000,0.042918,-0.021044,-0.034654,0.014078,0.000000,0.000000,0.000000,0.429120,3.414815,1.718369,35391.150286,15717.730718,36214.591891,16025.000000,36885.278978,16134.591891,36269.785368,15859.665491,0.821956,0.000000,0.000000,0.000000,0.000000,-0.061233,15697.354782,15982.483914,16162.784927,15864.000000,0.001229,0.001979,-0.001139,-0.035086,0.013832,-0.003679,0.029040,-0.012599,-0.007458,1.238892,0.255240,-0.079811,0.459099,-0.127284,-0.009861,-0.426220,-0.255240,0.079811,-0.459099,0.127284,0.009861,0.426220
0.012000,0.087523,0.084862,-0.287145,0.024241,0.012953,1.248616,10.989936,6.116025,4.386113,0.000000,-0.000002,1.000000,0.236320,-0.059302,0.228398,0.012806,0.003588,0.003479,-0.011773,-27.399519,-42.307516,-25.940323,33542.705915,15978.198452,38527.944721,17667.000000,32377.094527,16958.696517,45543.536761,19765.283029,-25.135372,0.000000,0.000000,0.000000,0.000000,-12.088925,16030.988944,17761.754561,16776.678275,19698.149807,0.000000,0.000000,0.000000,0.220153,-0.065979,0.455421,-0.098243,-0.022460,-3.367179,0.812672,0.000000,0.000000,0.000000,0.040600,-0.032809,1.000848,-0.567178,0.426564,0.537345,0.000000,0.000002,1.300000,0.042918,-0.021044,-0.034654,0.014078,0.000000,0.000000,0.000000,0.077685,4.138827,1.743585,35411.324184,15716.351631,36174.439669,16028.527706,36883.100466,16032.055412,36292.203521,15775.392025,0.819977,0.000000,0.000000,0.000000,0.000000,-0.060127,15699.153288,15977.457276,16168.271362,15864.000000,0.001229,0.001979,-0.001139,-0.035166,0.013839,-0.003654,0.029022,-0.012591,-0.007134,1.238890,0.255319,-0.079818,0.459075,-0.127265,-0.009869,-0.426218,-0.255319,0.079818,-0.459075,0.127265,0.009869,0.426218
0.014000,0.122994,0.082735,-0.272824,0.025216,0.013799,1.248885,20.094101,6.197922,4.034288,0.000000,-0.000002,1.000000,0.244497,-0.062662,0.236031,0.011879,0.005043,0.003392,-0.011186,-24.571959,-41.605050,-25.450409,33627.545086,15853.674772,38291.918946,17643.506586,32093.057751,16700.780142,45509.959473,19714.177305,-25.135372,0.000000,0.000000,0.000000,0.000000,-12.088925,15979.085106,17688.611955,16704.854103,19675.147923,0.000000,0.000000,0.000000,0.220153,-0.065979,0.455421,-0.098243,-0.022460,-3.367179,0.812672,0.000000,0.000000,0.000000,0.038174,-0.032383,1.001303,-0.567178,0.426564,0.537345,0.000000,0.000002,1.300000,0.042918,-0.021044,-0.034654,0.014078,0.000000,0.000000,0.000000,0.530698,4.848167,1.742691,35446.662231,15629.912999,36167.227226,16077.000000,36848.197544,16129.000000,36299.912999,15827.220061,0.819977,0.000000,0.000000,0.000000,0.000000,-0.060127,15714.488229,15966.110542,16172.409417,15862.259980,0.001229,0.001979,-0.001139,-0.035166,0.013839,-0.003654,0.029022,-0.012591,-0.007134,1.238890,0.255319,-0.079818,0.459075,-0.127265,-0.009869,-0.426218,-0.255319,0.079818,-0.459075,0.127265,0.009869,0.426218
0.016000,0.174609,0.097760,-0.206645,0.025602,0.015365,1.247631,30.974949,0.812256,3.821807,0.000000,-0.000002,1.000000,0.249665,-0.065575,0.240669,0.010372,0.007159,0.004008,-0.008472,-20.728498,-41.731149,-24.983659,33405.045314,15782.542739,38030.612770,17629.710608,31561.782698,16622.158599,45280.663234,19715.767250,-24.944765,0.000000,0.000000,0.000000,0.000000,-12.233889,15944.630278,17619.898043,16634.100927,19661.391349,0.000000,0.000000,0.000000,0.241108,-0.056890,0.459949,-0.097261,-0.022677,-3.440896,0.814509,0.000000,0.000000,0.000000,0.037153,-0.033034,1.000952,-0.567178,0.426564,0.537345,0.000000,0.000002,1.300000,0.042918,-0.021044,-0.034654,0.014078,0.000000,0.000000,0.000000,1.128860,4.081664,1.442776,35339.600000,15648.896970,36310.263636,16077.000000,36755.221212,16141.921212,36356.418182,15854.363636,0.819977,0.000000,0.000000,0.000000,0.000000,-0.060127,15710.621212,15930.881818,16177.118182,15846.503030,0.001229,0.001979,-0.001139,-0.035166,0.013839,-0.003654,0.029022,-0.012591,-0.007134,1.238890,0.276274,-0.070729,0.463603,-0.126283,-0.010086,-0.424381,-0.276274,0.070729,-0.463603,0.126283,0.010086,0.424381
0.018000,0.210098,0.117149,-0.156521,0.026922,0.016931,1.243746,36.414976,-9.650384,4.212699,0.000000,-0.000002,1.000000,0.255708,-0.069200,0.246024,0.008348,0.008614,0.004803,-0.006417,-16.539040,-43.167752,-24.502786,32967.734921,15786.253928,37716.806386,17614.710086,30866.926001,16556.000000,44962.674100,19662.446021,-24.657129,0.000000,0.000000,0.000000,0.000000,-12.452645,15907.120122,17551.168272,16567.120122,19654.035986,0.000000,0.000000,0.000000,0.272730,-0.043173,0.466783,-0.095778,-0.023006,-3.552139,0.817281,0.000000,0.000000,0.000000,0.034646,-0.032385,1.000397,-0.567178,0.426564,0.537345,0.000000,0.000002,1.300000,0.042918,-0.021044,-0.034654,0.014078,0.000000,0.000000,0.000000,1.345252,3.756625,1.008243,35190.684418,15491.722880,36468.905325,16070.179487,36618.160750,16233.000000,36477.101578,15729.427022,0.815954,0.000000,0.000000,0.000000,0.000000,-0.059325,15717.098619,15922.475345,16187.360947,15841.426036,0.001229,0.001979,-0.001139,-0.035412,0.013720,-0.003601,0.028972,-0.012615,-0.005131,1.238897,0.308142,-0.056893,0.470384,-0.124750,-0.010391,-0.421616,-0.308142,0.056893,-0.470384,0.124750,0.010391,0.421616
