# meta:run_eval_mode=formation_scenario
# meta:scenario=A1
# meta:title=Vertical stack hover, dz=0.30 m
# meta:n_drones=2
# meta:duration_s=15.000
# meta:height=1.0
# meta:timescale=1.0
# meta:controller=6
# meta:ctrl_mode=0
# meta:tags=hover|data_collection
# meta:param_dz=0.3
# meta:param_hold=15.0
# meta:param_rotate_deg=0.0
# meta:realised_peak_speed=0.0
# meta:realised_peak_accel=0.0
# meta:realised_speed_requested=None
# meta:realised_period_effective=None
# meta:realised_period_pinned=False
# meta:realised_path_kind=fixed
# meta:indi_kr=2400.0
# meta:indi_kw=170.0
# meta:indi_kr_z=2400.0
# meta:indi_kw_z=170.0
# meta:indi_kr_geo=0.01
# meta:indi_kw_geo=0.0011
# meta:indi_kr_z_geo=0.01
# meta:indi_kw_z_geo=0.00138
# meta:indi_fc_bw=206.0
# meta:indi_mass=0.041
# meta:indi_kt1=4.1623e-10
# meta:indi_kt2=4.0592e-10
# meta:indi_kt3=4.1116e-10
# meta:indi_kt4=4.0631e-10
# meta:indi_j_scale=1.0
# meta:indi_notch_f0=6.9
# meta:indi_notch_bw=3.0
# meta:pos_kp_xy=40.0
# meta:pos_kp_z=30.0
# meta:pos_kv_xy=8.0
# meta:pos_kv_z=10.0
# meta:t_start_sim=1790176660.2350
# meta:usd_start_s=15.254392
# meta:indi_rpm_source=1.0
# meta:config_source=all+robot_override
# meta:shared_controller=6
# meta:shared_ctrl_mode=3
# meta:gains_apply=1
time_s,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,roll,pitch,yaw,thrust,vbat,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,tau_x,tau_y,tau_z,alp_x,alp_y,alp_z,a_res_x,a_res_y,a_res_z
7.255450,-0.037008,0.438372,-0.017981,-0.000714,-0.011219,0.001980,-0.432120,-0.029097,-6.345613,0.000000,4.117302,0.266330,0.060785,0.409671,0.002307,-0.009946,1.002279,0.000000,0.000000,0.000000,0.304515,-2.177259,0.163338,0.003012,-0.028197,9.517243
7.305731,-0.037008,0.438860,-0.017983,-0.000715,-0.009385,0.001548,-0.424637,-0.026412,-6.348234,0.000000,4.117302,-0.249861,-0.372816,-0.042643,-0.006389,-0.012792,1.000286,0.000000,0.000000,0.000000,-1.861835,3.404205,-1.159564,-0.038739,-0.050613,9.477385
7.356437,-0.037005,0.438454,-0.017984,-0.000282,-0.010614,0.001657,-0.447146,-0.023845,-6.351380,0.000000,4.117302,0.160641,0.499010,0.069320,0.003617,-0.009687,1.001696,0.000000,0.000000,0.000000,-0.188175,-0.928387,-2.011019,0.029417,-0.028508,9.500635
7.405743,-0.037001,0.438125,-0.017982,-0.000234,-0.011559,0.001737,-0.443596,-0.021203,-6.360170,0.000000,4.117302,-0.091570,-0.239965,-0.041174,-0.002591,-0.010062,1.003829,0.000000,0.000000,0.000000,-0.045132,1.257171,-1.150001,-0.017137,-0.026365,9.510664
7.456405,-0.037003,0.438891,-0.017980,-0.000340,-0.008595,0.002289,-0.439722,-0.023705,-6.362418,0.000000,4.117302,-0.082709,0.315231,0.142857,0.004565,-0.008697,1.003120,0.000000,0.000000,0.000000,0.267551,1.117254,1.541710,0.033055,-0.022345,9.508158
7.506479,-0.037003,0.438717,-0.017977,-0.000445,-0.009419,0.002391,-0.449537,-0.018544,-6.362869,0.000000,4.117302,-0.069347,-0.258287,-0.085218,-0.001390,-0.011720,1.001635,0.000000,0.000000,0.000000,-0.882141,-0.318876,1.913663,-0.017357,-0.026396,9.482797
7.555635,-0.037005,0.438392,-0.017976,-0.000299,-0.011031,0.002664,-0.448265,-0.019924,-6.367579,0.000000,4.112023,0.097514,-0.204355,0.156938,0.005204,-0.013657,1.005105,0.000000,0.000000,0.000000,0.070007,-0.326180,0.313649,0.043333,-0.063807,9.539207
7.606478,-0.037002,0.438896,-0.017979,-0.000182,-0.009179,0.001663,-0.447246,-0.020691,-6.372508,0.000000,4.117302,-0.314077,0.417665,-0.095101,-0.000378,-0.010168,0.998164,0.000000,0.000000,0.000000,-2.486124,1.256704,1.469302,-0.011209,-0.026975,9.465186
7.655477,-0.036998,0.438714,-0.017985,0.000196,-0.009887,0.001672,-0.458098,-0.023695,-6.370703,0.000000,4.117302,-0.104935,0.049031,-0.142113,0.001912,-0.009301,1.000911,0.000000,0.000000,0.000000,0.584841,3.294582,2.755991,0.050023,-0.034268,9.491896
7.705433,-0.036996,0.438903,-0.017985,0.000583,-0.009187,0.001617,-0.456495,-0.025201,-6.375974,0.000000,4.112023,0.098457,0.001950,0.005925,-0.000825,-0.008906,1.000926,0.000000,0.000000,0.000000,-0.867880,-1.621763,0.374179,-0.023743,-0.000190,9.480578
