# meta:run_eval_mode=formation_scenario
# meta:scenario=A1
# meta:title=Vertical stack hover, dz=0.30 m
# meta:n_drones=2
# meta:duration_s=15.000
# meta:height=1.0
# meta:timescale=1.0
# meta:controller=5
# meta:ctrl_mode=3
# meta:tags=hover|data_collection
# meta:param_dz=0.3
# meta:param_hold=15.0
# meta:param_rotate_deg=0.0
# meta:realised_peak_speed=0.0
# meta:realised_peak_accel=0.0
# meta:realised_speed_requested=None
# meta:realised_period_effective=None
# meta:realised_period_pinned=False
# meta:realised_path_kind=fixed
# meta:indi_kr=2400.0
# meta:indi_kw=170.0
# meta:indi_kr_z=2400.0
# meta:indi_kw_z=170.0
# meta:indi_kr_geo=0.01
# meta:indi_kw_geo=0.0011
# meta:indi_kr_z_geo=0.01
# meta:indi_kw_z_geo=0.00138
# meta:indi_fc_bw=206.0
# meta:indi_mass=0.041
# meta:indi_kt1=4.1623e-10
# meta:indi_kt2=4.0592e-10
# meta:indi_kt3=4.1116e-10
# meta:indi_kt4=4.0631e-10
# meta:indi_j_scale=1.0
# meta:indi_notch_f0=6.9
# meta:indi_notch_bw=3.0
# meta:pos_kp_xy=64.0
# meta:pos_kp_z=48.0
# meta:pos_kv_xy=5.0
# meta:pos_kv_z=7.0
# meta:t_start_sim=1790176741.7289
# meta:usd_start_s=15.254879
# meta:config_source=all+robot_override
# meta:shared_controller=6
# meta:shared_ctrl_mode=3
# meta:gains_apply=0
time_s,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,roll,pitch,yaw,thrust,vbat,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,tau_x,tau_y,tau_z,alp_x,alp_y,alp_z,a_res_x,a_res_y,a_res_z
7.244419,-0.035620,-0.280025,-0.022970,0.019625,-0.000913,0.001981,-1.196947,1.652417,1.050873,0.000205,3.869208,0.349957,-1.990666,-0.456533,0.053466,-0.017020,0.995835,0.001404,0.001982,-0.000087,0.509447,0.028714,0.496216,0.000000,0.000000,0.000000
7.294374,-0.035873,-0.279880,-0.022994,0.001949,0.009010,-0.001120,-1.240002,1.710632,1.053243,0.000322,3.774194,0.389049,2.570306,0.799068,0.038300,-0.010234,0.987783,0.001404,0.001982,-0.000087,0.509447,0.028714,0.496216,0.000000,0.000000,0.000000
7.344334,-0.036173,-0.279704,-0.023035,-0.012864,0.017834,-0.001273,-1.271940,1.661299,0.965433,0.000162,3.832258,9.734607,5.785395,1.738262,0.033478,-0.012379,1.004315,0.001404,0.001982,-0.000087,0.509447,0.028714,0.496216,0.000000,0.000000,0.000000
7.397384,-0.036381,-0.280522,-0.021660,-0.021897,0.019511,0.032232,-0.806730,1.096876,0.969029,0.000015,3.848094,3.289317,11.500350,-1.159468,0.033498,-0.023512,1.113713,0.001404,0.001982,-0.000087,0.509447,0.028714,0.496216,0.000000,0.000000,0.000000
7.443341,-0.035922,-0.280595,-0.018293,-0.022088,0.021710,0.092843,-0.653648,0.542508,0.916304,-0.000035,3.853373,0.313302,15.958904,-2.358949,0.044139,-0.021862,1.105748,0.001404,0.001982,-0.000087,0.509447,0.028714,0.496216,0.000000,0.000000,0.000000
7.494309,-0.035356,-0.281354,-0.011964,-0.016516,0.021369,0.139382,-0.744990,-0.141377,0.848868,0.000174,3.858651,0.764974,2.718646,-1.668950,0.034472,-0.031495,1.078175,0.001404,0.001982,-0.000087,0.509447,0.028714,0.496216,0.000000,0.000000,0.000000
7.543605,-0.033404,-0.282375,-0.004195,-0.004599,0.019240,0.165081,-0.510128,-0.397791,0.788765,0.000051,3.853373,1.599448,8.405481,0.157158,0.038525,-0.034618,1.019591,0.001404,0.001982,-0.000087,0.509447,0.028714,0.496216,0.000000,0.000000,0.000000
7.593483,-0.030477,-0.283437,0.003793,0.012325,0.016177,0.173456,-0.477243,-0.945592,0.775493,-0.000132,3.853373,-11.779604,-0.019784,-0.320406,0.038780,-0.020408,1.026574,0.001404,0.001982,-0.000087,0.509447,0.028714,0.496216,0.000000,0.000000,0.000000
7.644703,-0.026359,-0.285467,0.012664,0.031219,0.014669,0.184938,-1.085824,-0.855202,0.799196,0.000059,3.853373,-21.845682,-5.798899,0.428303,0.032094,-0.020574,1.026588,0.001404,0.001982,-0.000087,0.509447,0.028714,0.496216,0.000000,0.000000,0.000000
7.693403,-0.022102,-0.286479,0.022840,0.045664,0.024405,0.204316,-2.061279,-0.721875,0.828281,-0.000231,3.848094,-1.444567,3.692426,-0.611605,0.032599,-0.033705,1.049166,0.001404,0.001982,-0.000087,0.509447,0.028714,0.496216,0.000000,0.000000,0.000000
7.744404,-0.016816,-0.288324,0.033326,0.061579,0.029554,0.221032,-1.691958,-0.804564,0.869688,-0.000145,3.842815,40.683048,-12.782198,-0.519712,0.049186,-0.038470,1.025366,0.001404,0.001982,-0.000087,0.509447,0.028714,0.496216,0.000000,0.000000,0.000000
7.793280,-0.010601,-0.291317,0.045012,0.073421,0.014779,0.231735,0.459751,-0.011433,0.897368,0.000302,3.842815,47.271046,-36.980244,1.930846,0.045285,-0.031569,1.024300,0.001404,0.001982,-0.000087,0.509447,0.028714,0.496216,0.000000,0.000000,0.000000
7.844344,-0.004648,-0.295371,0.056615,0.070150,-0.018297,0.240205,2.449388,1.649792,0.869630,0.000441,3.837537,1.792935,-32.419842,1.018981,0.022818,-0.037593,1.018788,0.001404,0.001982,-0.000087,0.509447,0.028714,0.496216,0.000000,0.000000,0.000000
7.894670,0.000584,-0.300007,0.069560,0.052834,-0.050488,0.250801,2.391307,3.152382,0.804949,0.000398,3.832258,-31.351000,-20.897863,-1.137794,0.032685,-0.036880,1.014675,0.001404,0.001982,-0.000087,0.509447,0.028714,0.496216,0.000000,0.000000,0.000000
