a_hat_res_rms,a_hat_vs_a_res_rmse,a_res_rms,a_res_z_mean,a_res_z_rms,cmd_logged,controller,dz_cmd_m,dz_err_mean_m,dz_err_rms_m,dz_mean_m,e_R_peak,e_R_rmse,effort_proxy,fs_hz,gyro_band_frac,gyro_x_band_pow,gyro_x_dom_hz,gyro_y_band_pow,gyro_y_dom_hz,gyro_z_band_pow,gyro_z_dom_hz,min_dz_m,min_sep_m,min_sep_vs_cmd_m,motor_mean_ratio,motor_rms_ratio,motor_sat_frac,motor_spread_mean,n_raw,n_robots,n_samples,nan_fraction,notes,phase,phase_t_hi,phase_t_lo,pos_err_valid,pos_peak_m,pos_peak_z,pos_rmse_m,pos_rmse_x,pos_rmse_y,pos_rmse_z,rate_hz_est,run,scenario,spectrum_ok,study_controller,t_below_min_safe_s,t_end,t_start,tau_peak,tau_rms,vehicle_id
0.0,0.7230430000083302,0.7230430000083302,-0.26661638634415774,0.6727739723979579,1,geometric,,,,,0.6150354557137336,0.1661988747918231,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,nan,nan,nan,nan,10501,2,10501,0.0,,scenario,21.0,0.0,1,0.18288973490603563,0.11187899999999995,0.05318256228683699,0.03421801136246593,0.007314846467035471,0.040050039337747805,500.0,A3_2026-09-23_17-45-03.meta,A3,0,geometric,,21.0,0.0,nan,nan,cf5
0.0,0.18583969153643742,0.18583969153643742,-0.10102288486140726,0.12508995659074393,1,geometric,,,,,0.038316085199299785,0.02276980154598403,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,nan,nan,nan,nan,469,2,469,0.0,,land,21.936,21.0,1,0.02390876797327705,0.022065,0.02350056088660596,0.008680063872550454,0.002230160648023247,0.021724622819223504,500.00000000000006,A3_2026-09-23_17-45-03.meta,A3,0,geometric,,21.936,21.0,nan,nan,cf5
0.0,0.9784928658891919,0.9784928658891919,-0.44256756533333336,0.9088247266155963,1,geometric,,,,,0.6150354557137336,0.22335394913803516,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,nan,nan,nan,nan,1500,2,1500,0.0,,approach1,4.1276276276276285,1.127627627627628,1,0.17844637057110463,0.10969899999999999,0.0724403995112948,0.051284963539274024,0.0073107726756251054,0.05063611950985845,499.99999999999994,A3_2026-09-23_17-45-03.meta,A3,0,geometric,,4.126,1.128,nan,nan,cf5
0.0,0.9084098574455548,0.9084098574455548,-0.36891434733333334,0.8571200494179692,1,geometric,,,,,0.5570513712127455,0.20171220497018352,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,nan,nan,nan,nan,1500,2,1500,0.0,,approach2,9.382882882882884,6.382882882882884,1,0.14346000090269062,0.103769,0.06071662281107758,0.03646496538189316,0.009017949432511435,0.0477021086883239,500.0000000000001,A3_2026-09-23_17-45-03.meta,A3,0,geometric,,9.382,6.384,nan,nan,cf5
0.0,0.9494109133844922,0.9494109133844923,-0.44391706,0.8845693888962456,1,geometric,,,,,0.5899311767265738,0.23526858185649013,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,nan,nan,nan,nan,1500,2,1500,0.0,,approach3,14.617117117117118,11.617117117117118,1,0.18288973490603563,0.11187899999999995,0.07378124412916424,0.0506542734798819,0.012847212551522609,0.05208421731320023,500.0000000000001,A3_2026-09-23_17-45-03.meta,A3,0,geometric,,14.616,11.618,nan,nan,cf5
0.0,0.9306050556227681,0.9306050556227681,-0.38658501666666667,0.8752126128767725,1,geometric,,,,,0.5368476491761885,0.20699105749770125,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,nan,nan,nan,nan,1500,2,1500,0.0,,approach4,19.872372372372375,16.872372372372375,1,0.14876123923589774,0.102769,0.062183201202897234,0.03920461653505447,0.006983645709942622,0.047759577539770316,499.99999999999983,A3_2026-09-23_17-45-03.meta,A3,0,geometric,,19.872,16.874,nan,nan,cf5
0.0,0.0,0.0,0.0,0.0,1,geometric,,,,,0.03375823041866975,0.03375823041866975,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,nan,nan,nan,nan,10501,2,10501,0.0,,scenario,21.0,0.0,1,0.08319202620443868,0.08113900000000007,0.07408518314269229,0.011422310891512768,0.015999271911095608,0.07142946502318713,500.0,A3_2026-09-23_17-45-03.meta,A3,0,geometric,,21.0,0.0,nan,nan,cf_second
0.0,0.0,0.0,0.0,0.0,1,geometric,,,,,0.03375823041866975,0.03375823041866975,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,nan,nan,nan,nan,469,2,469,0.0,,land,21.936,21.0,1,0.07643791577482996,0.07498999999999989,0.07478666540203022,0.0010763404257731466,0.012402717829259795,0.07374319903347583,500.00000000000006,A3_2026-09-23_17-45-03.meta,A3,0,geometric,,21.936,21.0,nan,nan,cf_second
0.0,0.0,0.0,0.0,0.0,1,geometric,,,,,0.03375823041866975,0.03375823041866975,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,nan,nan,nan,nan,1500,2,1500,0.0,,approach1,4.1276276276276285,1.127627627627628,1,0.07744479333047503,0.07309300000000007,0.06963368532161715,0.010633471598244227,0.010783686745357545,0.0679668412787981,499.99999999999994,A3_2026-09-23_17-45-03.meta,A3,0,geometric,,4.126,1.128,nan,nan,cf_second
0.0,0.0,0.0,0.0,0.0,1,geometric,,,,,0.03375823041866975,0.03375823041866975,nan,nan,nan,nan,nan,nan,nan,nan,nan,,,,nan,nan,nan,nan,1500,2,1500,0.0,,approach2,9.382882882882884,6.382882882882884,1,0.08319202620443868,0.08113900000000007,0.07935730478393697,0.011941565461641395,0.019248829100926287,0.07605565998095956,500.0000000000001,A3_2026-09-23_17-45-03.meta,A3,0,geometric,,9.382,6.384,nan,nan,cf_second
