# meta:t_zero=scenario_start
t,cf5.a_res_x,cf5.a_res_y,cf5.a_res_z,cf5.acc_x,cf5.acc_y,cf5.acc_z,cf5.alp_x,cf5.alp_y,cf5.alp_z,cf5.ctrltarget_x,cf5.ctrltarget_y,cf5.ctrltarget_z,cf5.e_r_norm,cf5.e_r_x,cf5.e_r_y,cf5.e_r_z,cf5.f_res_x,cf5.f_res_y,cf5.f_res_z,cf5.gyro_x,cf5.gyro_y,cf5.gyro_z,cf5.motor_m1,cf5.motor_m1_rpm,cf5.motor_m2,cf5.motor_m2_rpm,cf5.motor_m3,cf5.motor_m3_rpm,cf5.motor_m4,cf5.motor_m4_rpm,cf5.pitch_deg,cf5.rnn_clamped,cf5.rnn_pred_x,cf5.rnn_pred_y,cf5.rnn_pred_z,cf5.roll_deg,cf5.rpm_m1,cf5.rpm_m2,cf5.rpm_m3,cf5.rpm_m4,cf5.run_tag,cf5.tau_x,cf5.tau_y,cf5.tau_z,cf5.vx,cf5.vy,cf5.vz,cf5.x,cf5.y,cf5.yaw_deg,cf5.z,cf_second.a_res_x,cf_second.a_res_y,cf_second.a_res_z,cf_second.acc_x,cf_second.acc_y,cf_second.acc_z,cf_second.alp_x,cf_second.alp_y,cf_second.alp_z,cf_second.ctrltarget_x,cf_second.ctrltarget_y,cf_second.ctrltarget_z,cf_second.e_r_norm,cf_second.e_r_x,cf_second.e_r_y,cf_second.e_r_z,cf_second.f_res_x,cf_second.f_res_y,cf_second.f_res_z,cf_second.gyro_x,cf_second.gyro_y,cf_second.gyro_z,cf_second.motor_m1,cf_second.motor_m1_rpm,cf_second.motor_m2,cf_second.motor_m2_rpm,cf_second.motor_m3,cf_second.motor_m3_rpm,cf_second.motor_m4,cf_second.motor_m4_rpm,cf_second.pitch_deg,cf_second.rnn_clamped,cf_second.rnn_pred_x,cf_second.rnn_pred_y,cf_second.rnn_pred_z,cf_second.roll_deg,cf_second.rpm_m1,cf_second.rpm_m2,cf_second.rpm_m3,cf_second.rpm_m4,cf_second.run_tag,cf_second.tau_x,cf_second.tau_y,cf_second.tau_z,cf_second.vx,cf_second.vy,cf_second.vz,cf_second.x,cf_second.y,cf_second.yaw_deg,cf_second.z,rel.cf5_cf_second.vx,rel.cf5_cf_second.vy,rel.cf5_cf_second.vz,rel.cf5_cf_second.x,rel.cf5_cf_second.y,rel.cf5_cf_second.z,rel.cf_second_cf5.vx,rel.cf_second_cf5.vy,rel.cf_second_cf5.vz,rel.cf_second_cf5.x,rel.cf_second_cf5.y,rel.cf_second_cf5.z
0.000000,-0.055221,-0.101177,-0.078564,-0.006799,-0.011450,1.002291,2.093617,3.459622,0.944180,-0.600000,0.000002,1.000000,0.059771,0.010184,-0.057634,-0.011524,-0.002264,-0.004148,-0.003221,-8.626805,8.752654,0.403293,37072.781118,15041.125088,40469.709371,16391.214148,38618.347388,15655.829024,39388.571397,16105.710071,-0.106947,0.000000,0.000000,0.000000,0.000000,-0.341977,15014.270906,16271.547248,15769.887491,15928.475193,1790179065.000000,0.000000,0.000000,0.000000,-0.007897,0.004079,-0.004886,-0.614149,-0.004928,-0.679414,0.976138,0.000000,0.000000,0.000000,0.040719,-0.015520,0.989321,1.406469,-0.551585,0.138442,-0.000000,-0.000000,1.400002,0.044043,-0.023678,-0.036453,-0.007091,0.000000,0.000000,0.000000,-0.306898,2.614655,-2.786665,37107.000000,15576.000000,40990.000000,16181.000000,38706.000000,16129.000000,40930.000000,15723.000000,0.511049,0.000000,0.000000,0.000000,0.000000,-0.519306,15552.000000,15982.000000,16159.000000,15686.000000,1790179065.000000,0.001354,0.002144,0.000539,-0.021446,0.013703,-0.001098,0.030602,-0.026759,0.083238,1.328993,0.013548,-0.009624,-0.003787,-0.644750,0.021831,-0.352855,-0.013548,0.009624,0.003787,0.644750,-0.021831,0.352855
0.002000,-0.054739,-0.100588,-0.077935,-0.006801,-0.011344,1.002536,2.203951,3.242747,0.946248,-0.600000,0.000002,1.000000,0.059484,0.009874,-0.057400,-0.011538,-0.002244,-0.004124,-0.003195,-8.597126,8.947514,0.424549,37088.973862,15043.646449,40459.595910,16398.666172,38623.109959,15651.710800,39404.792156,16115.767502,-0.120200,0.000000,0.000000,0.000000,0.000000,-0.360890,15016.372041,16272.275641,15769.635355,15934.022188,1790179065.000000,0.000000,0.000000,0.000000,-0.007880,0.004083,-0.005010,-0.614150,-0.004929,-0.679801,0.976108,0.000000,0.000000,0.000000,0.042356,-0.012984,0.985284,1.406469,-0.551585,0.138442,-0.000000,-0.000000,1.400002,0.044043,-0.023678,-0.036453,-0.007091,0.000000,0.000000,0.000000,-0.867825,1.123216,-2.119357,37287.472004,15391.930747,40786.849705,15878.001965,39017.894401,16129.000000,40665.935658,15719.775049,0.511049,0.000000,0.000000,0.000000,0.000000,-0.519306,15551.736739,15995.427800,16148.716601,15698.131631,1790179065.000000,0.001354,0.002144,0.000539,-0.021446,0.013703,-0.001098,0.030602,-0.026759,0.083238,1.328993,0.013565,-0.009620,-0.003912,-0.644752,0.021830,-0.352885,-0.013565,0.009620,0.003912,0.644752,-0.021830,0.352885
0.004000,-0.054256,-0.099999,-0.077307,-0.006804,-0.011238,1.002781,2.314284,3.025873,0.948316,-0.600000,0.000002,1.000000,0.059196,0.009565,-0.057166,-0.011552,-0.002225,-0.004100,-0.003170,-8.567446,9.142374,0.445805,37105.166606,15046.167811,40449.482449,16406.118196,38627.872531,15647.592576,39421.012915,16125.824933,-0.133454,0.000000,0.000000,0.000000,0.000000,-0.379804,15018.473176,16273.004034,15769.383219,15939.569183,1790179065.000000,0.000000,0.000000,0.000000,-0.007863,0.004087,-0.005135,-0.614151,-0.004929,-0.680187,0.976078,0.000000,0.000000,0.000000,0.040275,-0.018178,0.984576,1.406469,-0.551585,0.138442,-0.000000,-0.000000,1.400002,0.044043,-0.023678,-0.036453,-0.007091,0.000000,0.000000,0.000000,-1.990011,0.516975,-0.978450,37655.635354,15624.297085,40369.479408,16024.268394,39486.879223,16125.327626,40280.579824,15624.297085,0.510712,0.000000,0.000000,0.000000,0.000000,-0.519399,15543.813512,16008.057381,16110.942619,15702.186488,1790179065.000000,0.001354,0.002144,0.000539,-0.021458,0.013716,-0.001110,0.030599,-0.026757,0.083007,1.328993,0.013595,-0.009629,-0.004025,-0.644750,0.021827,-0.352914,-0.013595,0.009629,0.004025,0.644750,-0.021827,0.352914
0.006000,-0.053774,-0.099410,-0.076678,-0.006806,-0.011132,1.003026,2.424618,2.808998,0.950384,-0.600000,0.000002,1.000000,0.058909,0.009256,-0.056932,-0.011566,-0.002205,-0.004076,-0.003144,-8.537766,9.337234,0.467061,37121.359350,15048.689172,40439.368987,16413.570220,38632.635103,15643.474352,39437.233674,16135.882364,-0.146707,0.000000,0.000000,0.000000,0.000000,-0.398717,15020.574310,16273.732428,15769.131083,15945.116179,1790179065.000000,0.000000,0.000000,0.000000,-0.007846,0.004091,-0.005260,-0.614153,-0.004930,-0.680574,0.976048,0.000000,0.000000,0.000000,0.037845,-0.021765,0.984493,1.406469,-0.551585,0.138442,-0.000000,-0.000000,1.400002,0.044043,-0.023678,-0.036453,-0.007091,0.000000,0.000000,0.000000,-2.012191,0.430453,-0.633517,37761.142064,15578.947709,40271.376677,15977.068024,39608.119389,15888.400278,40188.955576,15578.947709,0.488979,0.000000,0.000000,0.000000,0.000000,-0.525426,15531.782045,16011.759371,16107.240629,15714.217955,1790179065.000000,0.001354,0.002144,0.000539,-0.022262,0.014531,-0.001876,0.030396,-0.026626,0.068115,1.328979,0.014416,-0.010440,-0.003384,-0.644549,0.021696,-0.352930,-0.014416,0.010440,0.003384,0.644549,-0.021696,0.352930
0.008000,-0.053292,-0.098821,-0.076049,-0.006809,-0.011025,1.003271,2.534952,2.592124,0.952452,-0.600000,0.000002,1.000000,0.058622,0.008947,-0.056698,-0.011580,-0.002185,-0.004052,-0.003118,-8.508086,9.532094,0.488316,37137.552094,15051.210534,40429.255526,16421.022244,38637.397675,15639.356128,39453.454433,16145.939795,-0.159960,0.000000,0.000000,0.000000,0.000000,-0.417630,15022.675445,16274.460821,15768.878947,15950.663174,1790179065.000000,0.000000,0.000000,0.000000,-0.007830,0.004095,-0.005385,-0.614154,-0.004931,-0.680960,0.976018,0.000000,0.000000,0.000000,0.037407,-0.025438,0.989540,1.406469,-0.551585,0.138442,-0.000000,-0.000000,1.400002,0.044043,-0.023678,-0.036453,-0.007091,0.000000,0.000000,0.000000,-1.988196,1.453774,-0.843323,37718.730332,15352.137061,40314.069767,15980.523503,39497.930233,16067.246413,40297.093023,15772.000000,0.487566,0.000000,0.000000,0.000000,0.000000,-0.525818,15531.570015,16029.570015,16093.429985,15735.506680,1790179065.000000,0.001354,0.002144,0.000539,-0.022315,0.014584,-0.001926,0.030383,-0.026617,0.067147,1.328978,0.014485,-0.010489,-0.003459,-0.644537,0.021687,-0.352960,-0.014485,0.010489,0.003459,0.644537,-0.021687,0.352960
0.010000,-0.052810,-0.098232,-0.075420,-0.006811,-0.010919,1.003517,2.645286,2.375249,0.954520,-0.600000,0.000002,1.000000,0.058334,0.008638,-0.056465,-0.011594,-0.002165,-0.004028,-0.003092,-8.478407,9.726954,0.509572,37153.744838,15053.731895,40419.142065,16428.474268,38642.160247,15635.237904,39469.675193,16155.997227,-0.173213,0.000000,0.000000,0.000000,0.000000,-0.436544,15024.776579,16275.189214,15768.626810,15956.210169,1790179065.000000,0.000000,0.000000,0.000000,-0.007813,0.004099,-0.005510,-0.614155,-0.004931,-0.681347,0.975988,0.000000,0.000000,0.000000,0.035275,-0.028401,0.990666,1.406469,-0.551585,0.138442,-0.000000,-0.000000,1.400002,0.044043,-0.023678,-0.036453,-0.007091,0.000000,0.000000,0.000000,-1.321088,1.449848,-0.347160,37927.935983,15573.293237,40159.627775,16077.000000,39653.311306,15931.506970,40099.898296,15777.579246,0.487566,0.000000,0.000000,0.000000,0.000000,-0.525818,15539.281879,16037.281879,16084.779040,15744.381002,1790179065.000000,0.001354,0.002144,0.000539,-0.022315,0.014584,-0.001926,0.030383,-0.026617,0.067147,1.328978,0.014502,-0.010484,-0.003583,-0.644538,0.021686,-0.352990,-0.014502,0.010484,0.003583,0.644538,-0.021686,0.352990
0.012000,-0.052328,-0.097643,-0.074792,-0.006814,-0.010813,1.003762,2.755620,2.158375,0.956588,-0.599999,0.000002,1.000000,0.058047,0.008328,-0.056231,-0.011608,-0.002145,-0.004003,-0.003066,-8.448727,9.921814,0.530828,37169.937582,15056.253257,40409.028603,16435.926292,38646.922818,15631.119681,39485.895952,16166.054658,-0.186466,0.000000,0.000000,0.000000,0.000000,-0.455457,15026.877714,16275.917608,15768.374674,15961.757165,1790179065.000000,0.000000,0.000000,0.000000,-0.007796,0.004103,-0.005634,-0.614156,-0.004932,-0.681733,0.975958,0.000000,0.000000,0.000000,0.035380,-0.029224,0.994821,1.406469,-0.551585,0.138442,-0.000000,-0.000000,1.400002,0.044043,-0.023678,-0.036453,-0.007091,0.000000,0.000000,0.000000,-1.855048,1.144613,0.756486,38307.777557,15531.136048,39758.852036,16072.610725,40073.861966,16072.610725,39713.677259,15868.695134,0.487566,0.000000,0.000000,0.000000,0.000000,-0.525818,15527.000000,16024.662363,16079.902681,15767.324727,1790179065.000000,0.001354,0.002144,0.000539,-0.022315,0.014584,-0.001926,0.030383,-0.026617,0.067147,1.328978,0.014519,-0.010480,-0.003708,-0.644539,0.021686,-0.353020,-0.014519,0.010480,0.003708,0.644539,-0.021686,0.353020
0.014000,-0.051845,-0.097054,-0.074163,-0.006816,-0.010707,1.004007,2.865953,1.941500,0.958655,-0.599999,0.000002,1.000000,0.057760,0.008019,-0.055997,-0.011622,-0.002126,-0.003979,-0.003041,-8.419047,10.116673,0.552084,37186.130326,15058.774618,40398.915142,16443.378316,38651.685390,15627.001457,39502.116711,16176.112089,-0.199719,0.000000,0.000000,0.000000,0.000000,-0.474370,15028.978849,16276.646001,15768.122538,15967.304160,1790179065.000000,0.000000,0.000000,0.000000,-0.007779,0.004107,-0.005759,-0.614158,-0.004932,-0.682120,0.975928,0.000000,0.000000,0.000000,0.034961,-0.028481,0.996343,1.406469,-0.551585,0.138442,-0.000000,-0.000000,1.400002,0.044043,-0.023678,-0.036453,-0.007091,0.000000,0.000000,0.000000,-1.353817,0.441573,1.469529,38563.439504,15564.384695,39542.721820,16025.000000,40333.101344,16008.625646,39416.737332,15814.014478,0.487566,0.000000,0.000000,0.000000,0.000000,-0.525818,15526.677353,16020.677353,16068.000000,15759.032058,1790179065.000000,0.001354,0.002144,0.000539,-0.022315,0.014584,-0.001926,0.030383,-0.026617,0.067147,1.328978,0.014536,-0.010476,-0.003833,-0.644541,0.021685,-0.353049,-0.014536,0.010476,0.003833,0.644541,-0.021685,0.353049
0.016000,-0.057942,-0.098334,-0.087107,-0.006029,-0.011370,1.005696,1.186854,-0.041447,0.277031,-0.599999,0.000002,1.000000,0.057579,0.007811,-0.055849,-0.011631,-0.002376,-0.004032,-0.003571,-8.373763,10.120396,0.491600,37174.230769,15036.589069,40412.728745,16363.240891,38638.912955,15727.487854,39524.566802,16099.842105,-0.206160,0.000000,0.000000,0.000000,0.000000,-0.483562,15033.641700,16272.317814,15770.080972,15974.161943,1790179065.000000,0.000000,0.000000,0.000000,-0.007771,0.004109,-0.005820,-0.614158,-0.004933,-0.682307,0.975914,0.000000,0.000000,0.000000,0.035175,-0.024143,0.995760,1.406469,-0.551585,0.138442,-0.000000,-0.000000,1.400002,0.044043,-0.023678,-0.036453,-0.007091,0.000000,0.000000,0.000000,-1.381438,-0.192725,2.148824,38791.210580,15432.000000,39319.047813,16025.000000,40593.581892,15862.538149,39151.933876,15734.179044,0.487566,0.000000,0.000000,0.000000,0.000000,-0.525818,15521.644964,16015.532045,16069.467955,15749.806714,1790179065.000000,0.001354,0.002144,0.000539,-0.022315,0.014584,-0.001926,0.030383,-0.026617,0.067147,1.328978,0.014544,-0.010474,-0.003894,-0.644541,0.021685,-0.353064,-0.014544,0.010474,0.003894,0.644541,-0.021685,0.353064
0.018000,-0.064108,-0.103920,-0.089470,-0.003954,-0.013133,1.007589,0.382899,-3.540852,-0.534405,-0.599999,0.000002,1.000000,0.057215,0.006585,-0.055612,-0.011678,-0.002628,-0.004261,-0.003668,-8.330142,9.685470,0.433483,37122.379381,15015.000000,40418.612371,16200.863918,38643.979381,15715.173196,39547.218557,16109.593814,-0.207285,0.000000,0.000000,0.000000,0.000000,-0.489036,15039.169072,16268.000000,15774.711340,15980.169072,1790179065.000000,0.000000,0.000000,0.000000,-0.007607,0.005012,-0.005709,-0.614114,-0.004673,-0.682765,0.975938,0.000000,0.000000,0.000000,0.036186,-0.024658,0.994942,1.406469,-0.551585,0.138442,-0.000000,-0.000000,1.400002,0.044043,-0.023678,-0.036453,-0.007091,0.000000,0.000000,0.000000,-1.232276,-0.838049,2.209972,38803.607843,15420.078431,39323.011765,16025.000000,40632.388235,16155.023529,39101.266667,15809.576471,0.486132,0.000000,0.000000,0.000000,0.000000,-0.527540,15513.509804,16002.368627,16083.133333,15762.996078,1790179065.000000,0.001354,0.002144,0.000539,-0.022262,0.014415,-0.002076,0.030411,-0.026730,0.068650,1.328976,0.014656,-0.009404,-0.003632,-0.644525,0.022057,-0.353038,-0.014656,0.009404,0.003632,0.644525,-0.022057,0.353038
