cf5.a_hat_x,cf5.a_hat_y,cf5.a_hat_z,cf5.a_res_x,cf5.a_res_y,cf5.a_res_z,cf5.e_r_x,cf5.e_r_y,cf5.e_r_z,cf5.pos_des_x,cf5.pos_des_y,cf5.pos_des_z,cf5.pos_x,cf5.pos_y,cf5.pos_z,cf5.t
0.000000,0.000000,0.000000,-0.050841,-0.195906,-0.059794,0.008810,-0.024414,-0.023004,-0.600000,-0.000000,0.150000,-0.606938,-0.005494,0.124063,0.000000
0.000000,0.000000,0.000000,-0.049645,-0.196654,-0.063143,0.008814,-0.024249,-0.023033,-0.600000,-0.000000,0.150000,-0.606939,-0.005464,0.124063,0.002000
0.000000,0.000000,0.000000,-0.048450,-0.197402,-0.066491,0.008818,-0.024084,-0.023062,-0.600000,-0.000000,0.150000,-0.606939,-0.005434,0.124063,0.004000
0.000000,0.000000,0.000000,-0.047254,-0.198150,-0.069840,0.008822,-0.023919,-0.023091,-0.600000,-0.000000,0.150000,-0.606940,-0.005405,0.124063,0.006000
0.000000,0.000000,0.000000,-0.046059,-0.198898,-0.073188,0.008826,-0.023754,-0.023119,-0.600000,-0.000000,0.150000,-0.606941,-0.005375,0.124063,0.008000
0.000000,0.000000,0.000000,-0.044863,-0.199646,-0.076537,0.008830,-0.023589,-0.023148,-0.600000,-0.000000,0.150000,-0.606942,-0.005346,0.124062,0.010000
0.000000,0.000000,0.000000,-0.043668,-0.200394,-0.079885,0.008834,-0.023424,-0.023177,-0.600000,-0.000000,0.150000,-0.606942,-0.005316,0.124062,0.012000
0.000000,0.000000,0.000000,-0.042472,-0.201143,-0.083233,0.008838,-0.023259,-0.023206,-0.600000,-0.000000,0.150000,-0.606943,-0.005287,0.124062,0.014000
0.000000,0.000000,0.000000,-0.041277,-0.201891,-0.086582,0.008842,-0.023094,-0.023235,-0.600000,-0.000000,0.150000,-0.606944,-0.005257,0.124062,0.016000
0.000000,0.000000,0.000000,-0.040081,-0.202639,-0.089930,0.008846,-0.022929,-0.023264,-0.600000,-0.000000,0.150000,-0.606945,-0.005228,0.124062,0.018000
0.000000,0.000000,0.000000,-0.035079,-0.201987,-0.074351,0.008755,-0.022827,-0.023284,-0.600000,-0.000000,0.150000,-0.606945,-0.005209,0.124062,0.020000
0.000000,0.000000,0.000000,-0.023867,-0.196974,-0.047420,0.008508,-0.022829,-0.023287,-0.600000,-0.000000,0.150000,-0.606945,-0.005209,0.124062,0.022000
0.000000,0.000000,0.000000,-0.013125,-0.192617,-0.054743,0.008280,-0.022825,-0.023290,-0.600000,-0.000000,0.150000,-0.606945,-0.005209,0.124062,0.024000
0.000000,0.000000,0.000000,-0.004043,-0.194190,-0.083103,0.007880,-0.022873,-0.023295,-0.600000,-0.000000,0.150000,-0.606959,-0.005154,0.124045,0.026000
0.000000,0.000000,0.000000,0.002887,-0.197074,-0.100844,0.007213,-0.022656,-0.023412,-0.600000,-0.000000,0.150000,-0.606958,-0.005022,0.124044,0.028000
0.000000,0.000000,0.000000,0.007427,-0.196382,-0.097666,0.006798,-0.022413,-0.023515,-0.600000,-0.000000,0.150000,-0.606945,-0.004949,0.124057,0.030000
0.000000,0.000000,0.000000,0.004846,-0.193401,-0.093883,0.006691,-0.022399,-0.023517,-0.600000,-0.000000,0.150000,-0.606945,-0.004949,0.124057,0.032000
0.000000,0.000000,0.000000,-0.008068,-0.188401,-0.112455,0.006614,-0.022379,-0.023518,-0.600000,-0.000000,0.150000,-0.606945,-0.004949,0.124057,0.034000
0.000000,0.000000,0.000000,-0.024761,-0.176940,-0.146999,0.006643,-0.022471,-0.023517,-0.600000,-0.000000,0.150000,-0.606961,-0.004964,0.124334,0.036000
0.000000,0.000000,0.000000,-0.036117,-0.159771,-0.169587,0.006215,-0.022378,-0.023583,-0.600000,-0.000000,0.150000,-0.606958,-0.004896,0.124574,0.038000
0.000000,0.000000,0.000000,-0.042544,-0.141357,-0.159222,0.005775,-0.022211,-0.023646,-0.600000,-0.000000,0.150000,-0.606944,-0.004822,0.124599,0.040000
0.000000,0.000000,0.000000,-0.047903,-0.128822,-0.113123,0.005782,-0.022191,-0.023646,-0.600000,-0.000000,0.150000,-0.606944,-0.004822,0.124599,0.042000
0.000000,0.000000,0.000000,-0.055118,-0.127043,-0.083314,0.005787,-0.022166,-0.023646,-0.600000,-0.000000,0.150000,-0.606944,-0.004822,0.124599,0.044000
0.000000,0.000000,0.000000,-0.063953,-0.134398,-0.086638,0.006014,-0.022231,-0.023642,-0.600000,-0.000000,0.150000,-0.606961,-0.004878,0.124727,0.046000
0.000000,0.000000,0.000000,-0.073390,-0.147435,-0.106027,0.005628,-0.022133,-0.023790,-0.600000,-0.000000,0.150000,-0.606954,-0.004820,0.124847,0.048000
0.000000,0.000000,0.000000,-0.079522,-0.162414,-0.124208,0.005338,-0.022036,-0.023880,-0.600000,-0.000000,0.150000,-0.606942,-0.004763,0.124871,0.050000
0.000000,0.000000,0.000000,-0.080220,-0.176067,-0.124568,0.005381,-0.022013,-0.023880,-0.600000,-0.000000,0.150000,-0.606942,-0.004763,0.124871,0.052000
0.000000,0.000000,0.000000,-0.077294,-0.186511,-0.114064,0.005414,-0.021984,-0.023879,-0.600000,-0.000000,0.150000,-0.606942,-0.004763,0.124871,0.054000
0.000000,0.000000,0.000000,-0.075035,-0.193797,-0.121139,0.005802,-0.023461,-0.023836,-0.600000,-0.000000,0.150000,-0.607301,-0.004844,0.124916,0.056000
0.000000,0.000000,0.000000,-0.073287,-0.195525,-0.141574,0.005607,-0.024321,-0.023939,-0.600000,-0.000000,0.150000,-0.607478,-0.004797,0.124980,0.058000
0.000000,0.000000,0.000000,-0.068805,-0.191739,-0.150722,0.005391,-0.024567,-0.024022,-0.600000,-0.000000,0.150000,-0.607473,-0.004738,0.125008,0.060000
0.000000,0.000000,0.000000,-0.062191,-0.183307,-0.094481,0.005458,-0.024873,-0.024020,-0.600000,-0.000000,0.150000,-0.607473,-0.004738,0.125008,0.062000
0.000000,0.000000,0.000000,-0.058358,-0.169582,-0.045702,0.005507,-0.025132,-0.024019,-0.600000,-0.000000,0.150000,-0.607473,-0.004738,0.125008,0.064000
0.000000,0.000000,0.000000,-0.058168,-0.152591,-0.026330,0.005913,-0.026049,-0.024010,-0.600000,-0.000000,0.150000,-0.607663,-0.004833,0.125005,0.066000
0.000000,0.000000,0.000000,-0.061041,-0.137487,-0.018404,0.005815,-0.026602,-0.024052,-0.600000,-0.000000,0.150000,-0.607740,-0.004771,0.125056,0.068000
0.000000,0.000000,0.000000,-0.063908,-0.128265,-0.038627,0.005758,-0.026817,-0.024069,-0.600000,-0.000000,0.150000,-0.607738,-0.004730,0.125078,0.070000
0.000000,0.000000,0.000000,-0.064250,-0.127413,-0.068643,0.005823,-0.026978,-0.024068,-0.600000,-0.000000,0.150000,-0.607738,-0.004730,0.125078,0.072000
0.000000,0.000000,0.000000,-0.064752,-0.133277,-0.084949,0.005876,-0.027098,-0.024067,-0.600000,-0.000000,0.150000,-0.607738,-0.004730,0.125078,0.074000
0.000000,0.000000,0.000000,-0.069851,-0.140664,-0.105891,0.006331,-0.027561,-0.024058,-0.600000,-0.000000,0.150000,-0.607839,-0.004834,0.125047,0.076000
0.000000,0.000000,0.000000,-0.077836,-0.144720,-0.129306,0.006348,-0.027906,-0.024105,-0.600000,-0.000000,0.150000,-0.607871,-0.004773,0.125089,0.078000
0.000000,0.000000,0.000000,-0.085234,-0.145428,-0.123442,0.006342,-0.028052,-0.024127,-0.600000,-0.000000,0.150000,-0.607871,-0.004729,0.125114,0.080000
0.000000,0.000000,0.000000,-0.086537,-0.144491,-0.086975,0.006407,-0.028103,-0.024126,-0.599999,-0.000000,0.150000,-0.607871,-0.004729,0.125114,0.082000
0.000000,0.000000,0.000000,-0.081489,-0.143920,-0.056218,0.006451,-0.028130,-0.024125,-0.599999,-0.000000,0.150000,-0.607871,-0.004729,0.125114,0.084000
0.000000,0.000000,0.000000,-0.071793,-0.144209,-0.054434,0.006920,-0.028334,-0.024117,-0.599999,-0.000000,0.150000,-0.607923,-0.004840,0.125067,0.086000
0.000000,0.000000,0.000000,-0.059811,-0.145316,-0.053184,0.007062,-0.028287,-0.024126,-0.599999,-0.000000,0.150000,-0.607935,-0.004758,0.125117,0.088000
0.000000,0.000000,0.000000,-0.049817,-0.147530,-0.024451,0.007127,-0.028278,-0.024127,-0.599999,-0.000000,0.150000,-0.607935,-0.004732,0.125132,0.090000
0.000000,0.000000,0.000000,-0.043660,-0.153796,-0.006493,0.007189,-0.028282,-0.024126,-0.599999,-0.000000,0.150000,-0.607935,-0.004732,0.125132,0.092000
0.000000,0.000000,0.000000,-0.039557,-0.161673,-0.027946,0.007233,-0.028278,-0.024125,-0.599999,-0.000000,0.150000,-0.607935,-0.004732,0.125132,0.094000
0.000000,0.000000,0.000000,-0.036375,-0.166854,-0.048062,0.007718,-0.028364,-0.024117,-0.599999,-0.000000,0.150000,-0.607963,-0.004847,0.125075,0.096000
0.000000,0.000000,0.000000,-0.035112,-0.170935,-0.038067,0.008109,-0.028248,-0.024142,-0.599999,-0.000000,0.150000,-0.607967,-0.004770,0.125123,0.098000
0.000000,0.000000,0.000000,-0.035989,-0.172030,0.010162,0.008270,-0.028207,-0.024149,-0.599999,-0.000000,0.150000,-0.607966,-0.004739,0.125141,0.100000
0.000000,0.000000,0.000000,-0.042663,-0.169654,0.016615,0.008344,-0.028193,-0.024148,-0.599999,-0.000000,0.150000,-0.607966,-0.004739,0.125141,0.102000
0.000000,0.000000,0.000000,-0.056352,-0.168817,-0.014663,0.008397,-0.028177,-0.024147,-0.599999,-0.000000,0.150000,-0.607966,-0.004739,0.125141,0.104000
0.000000,0.000000,0.000000,-0.072643,-0.170184,-0.046560,0.008890,-0.028203,-0.024139,-0.599999,-0.000000,0.150000,-0.607982,-0.004859,0.125075,0.106000
0.000000,0.000000,0.000000,-0.085846,-0.172173,-0.063972,0.009572,-0.027623,-0.024159,-0.599999,-0.000000,0.150000,-0.607981,-0.004759,0.125136,0.108000
0.000000,0.000000,0.000000,-0.092550,-0.172205,-0.059637,0.009722,-0.027549,-0.024161,-0.599999,-0.000000,0.150000,-0.607981,-0.004746,0.125144,0.110000
0.000000,0.000000,0.000000,-0.094535,-0.171496,-0.045336,0.009809,-0.027527,-0.024159,-0.599999,-0.000000,0.150000,-0.607981,-0.004746,0.125144,0.112000
0.000000,0.000000,0.000000,-0.094584,-0.170537,-0.043292,0.009882,-0.027506,-0.024158,-0.599999,-0.000000,0.150000,-0.607981,-0.004746,0.125144,0.114000
0.000000,0.000000,0.000000,-0.093278,-0.168119,-0.071964,0.010414,-0.027507,-0.024149,-0.599999,-0.000000,0.150000,-0.607990,-0.004868,0.125074,0.116000
0.000000,0.000000,0.000000,-0.089755,-0.166981,-0.088595,0.011271,-0.026804,-0.024156,-0.599999,-0.000000,0.150000,-0.607987,-0.004773,0.125131,0.118000
0.000000,0.000000,0.000000,-0.081735,-0.168239,-0.083611,0.011519,-0.026662,-0.024155,-0.599998,-0.000000,0.150000,-0.607986,-0.004755,0.125142,0.120000
0.000000,0.000000,0.000000,-0.074212,-0.170254,-0.076192,0.011621,-0.026625,-0.024154,-0.599998,-0.000000,0.150000,-0.607986,-0.004755,0.125142,0.122000
0.000000,0.000000,0.000000,-0.068626,-0.172865,-0.055389,0.011701,-0.026590,-0.024152,-0.599998,-0.000000,0.150000,-0.607986,-0.004755,0.125142,0.124000
0.000000,0.000000,0.000000,-0.064450,-0.173945,-0.053435,0.012298,-0.028717,-0.024135,-0.599998,-0.000000,0.150000,-0.608498,-0.004879,0.125070,0.126000
0.000000,0.000000,0.000000,-0.060743,-0.174813,-0.057931,0.013644,-0.027687,-0.024116,-0.599998,-0.000000,0.150000,-0.608519,-0.004767,0.125138,0.128000
0.000000,0.000000,0.000000,-0.059790,-0.177195,-0.034439,0.013775,-0.027960,-0.024112,-0.599998,-0.000000,0.150000,-0.608519,-0.004766,0.125138,0.130000
0.000000,0.000000,0.000000,-0.063766,-0.179981,-0.036890,0.013905,-0.028231,-0.024107,-0.599998,-0.000000,0.150000,-0.608519,-0.004766,0.125138,0.132000
0.000000,0.000000,0.000000,-0.073761,-0.177015,-0.041058,0.014027,-0.028486,-0.024103,-0.599998,-0.000000,0.150000,-0.608525,-0.004769,0.125136,0.134000
0.000000,0.000000,0.000000,-0.083095,-0.165796,-0.020725,0.014683,-0.029618,-0.024067,-0.599998,-0.000000,0.150000,-0.608767,-0.004884,0.125068,0.136000
0.000000,0.000000,0.000000,-0.089634,-0.154009,-0.022471,0.016194,-0.028592,-0.024017,-0.599998,-0.000000,0.150000,-0.608783,-0.004788,0.125125,0.138000
0.000000,0.000000,0.000000,-0.096858,-0.147818,-0.061366,0.016475,-0.028682,-0.024008,-0.599997,-0.000000,0.150000,-0.608784,-0.004781,0.125129,0.140000
0.000000,0.000000,0.000000,-0.105354,-0.150273,-0.088833,0.016643,-0.028786,-0.024004,-0.599997,-0.000000,0.150000,-0.608784,-0.004781,0.125129,0.142000
0.000000,0.000000,0.000000,-0.111977,-0.155243,-0.099124,0.016815,-0.028881,-0.023999,-0.599997,-0.000000,0.150000,-0.608792,-0.004789,0.125124,0.144000
