# meta:t_zero=scenario_start
t,cf231_active.a_res_x,cf231_active.a_res_y,cf231_active.a_res_z,cf231_active.acc_x,cf231_active.acc_y,cf231_active.acc_z,cf231_active.alp_x,cf231_active.alp_y,cf231_active.alp_z,cf231_active.ctrltarget_x,cf231_active.ctrltarget_y,cf231_active.ctrltarget_z,cf231_active.e_r_norm,cf231_active.e_r_x,cf231_active.e_r_y,cf231_active.e_r_z,cf231_active.f_res_x,cf231_active.f_res_y,cf231_active.f_res_z,cf231_active.gyro_x,cf231_active.gyro_y,cf231_active.gyro_z,cf231_active.motor_m1,cf231_active.motor_m2,cf231_active.motor_m3,cf231_active.motor_m4,cf231_active.pitch_deg,cf231_active.rnn_clamped,cf231_active.rnn_pred_x,cf231_active.rnn_pred_y,cf231_active.rnn_pred_z,cf231_active.roll_deg,cf231_active.tau_x,cf231_active.tau_y,cf231_active.tau_z,cf231_active.vx,cf231_active.vy,cf231_active.vz,cf231_active.x,cf231_active.y,cf231_active.yaw_deg,cf231_active.z,cf_second.a_res_x,cf_second.a_res_y,cf_second.a_res_z,cf_second.acc_x,cf_second.acc_y,cf_second.acc_z,cf_second.alp_x,cf_second.alp_y,cf_second.alp_z,cf_second.ctrltarget_x,cf_second.ctrltarget_y,cf_second.ctrltarget_z,cf_second.e_r_norm,cf_second.e_r_x,cf_second.e_r_y,cf_second.e_r_z,cf_second.f_res_x,cf_second.f_res_y,cf_second.f_res_z,cf_second.gyro_x,cf_second.gyro_y,cf_second.gyro_z,cf_second.motor_m1,cf_second.motor_m2,cf_second.motor_m3,cf_second.motor_m4,cf_second.pitch_deg,cf_second.rnn_clamped,cf_second.rnn_pred_x,cf_second.rnn_pred_y,cf_second.rnn_pred_z,cf_second.roll_deg,cf_second.tau_x,cf_second.tau_y,cf_second.tau_z,cf_second.vx,cf_second.vy,cf_second.vz,cf_second.x,cf_second.y,cf_second.yaw_deg,cf_second.z,rel.cf231_active_cf_second.vx,rel.cf231_active_cf_second.vy,rel.cf231_active_cf_second.vz,rel.cf231_active_cf_second.x,rel.cf231_active_cf_second.y,rel.cf231_active_cf_second.z,rel.cf_second_cf231_active.vx,rel.cf_second_cf231_active.vy,rel.cf_second_cf231_active.vz,rel.cf_second_cf231_active.x,rel.cf_second_cf231_active.y,rel.cf_second_cf231_active.z
0.000000,0.088676,-0.046547,-0.547899,0.007716,-0.002766,0.996482,-11.122188,-7.647560,-4.100766,-0.000000,-0.200001,1.000000,0.054881,-0.047448,-0.027446,-0.002701,0.003636,-0.001908,-0.022464,2.684340,-4.193740,-1.212308,36942.993846,39190.363077,39420.153846,39402.123077,0.349401,0.000000,0.000000,0.000000,0.000000,-0.157572,0.000000,0.000000,0.000000,-0.007957,0.018096,-0.006223,-0.004146,-0.191710,-0.133162,0.974904,0.000000,0.000000,0.000000,-0.007081,0.004282,0.998688,1.873672,1.498016,0.292572,-0.000000,0.799990,1.650010,0.011303,-0.011303,0.000003,-0.000056,0.000000,0.000000,0.000000,0.794168,7.844120,0.067727,50263.689046,51683.810702,51448.953559,56875.160020,0.113397,0.000000,0.000000,0.000000,0.000000,-0.296581,0.000405,-0.000029,-0.000011,0.003459,-0.039735,0.013542,-0.002936,0.819938,-0.021050,1.187214,-0.011416,0.057831,-0.019764,-0.001209,-1.011648,-0.212310,0.011416,-0.057831,0.019764,0.001209,1.011648,0.212310
0.002000,0.087202,-0.037027,-0.547355,0.006171,-0.003536,0.998198,-14.593606,-6.750202,0.210849,-0.000000,-0.200001,1.000000,0.054412,-0.047275,-0.026792,-0.002687,0.003575,-0.001518,-0.022442,1.443802,-4.978620,-1.093490,36921.024138,39138.014943,39494.366667,39392.093103,0.345114,0.000000,0.000000,0.000000,0.000000,-0.156498,0.000000,0.000000,0.000000,-0.007329,0.017937,-0.006160,-0.003976,-0.191753,-0.133173,0.974918,0.000000,0.000000,0.000000,-0.007088,0.003154,0.997767,1.873672,1.498016,0.292572,-0.000000,0.799990,1.650010,0.011303,-0.011303,0.000003,-0.000056,0.000000,0.000000,0.000000,1.425973,7.378972,-0.272669,50158.168234,51838.785255,51326.078674,56940.835230,0.082069,0.000000,0.000000,0.000000,0.000000,-0.300165,0.000405,-0.000029,-0.000011,0.003261,-0.039272,0.013184,-0.002945,0.819837,-0.019460,1.187191,-0.010590,0.057209,-0.019344,-0.001031,-1.011590,-0.212273,0.010590,-0.057209,0.019344,0.001031,1.011590,0.212273
0.004000,0.076177,-0.032898,-0.539364,0.003426,-0.005710,0.998366,1.682931,-2.900722,2.783495,-0.000000,-0.200001,1.000000,0.053160,-0.046833,-0.025012,-0.002651,0.003123,-0.001349,-0.022114,2.101900,-5.116077,-0.762164,37052.905699,39054.786528,39519.343005,39303.123316,0.334542,0.000000,0.000000,0.000000,0.000000,-0.153849,0.000000,0.000000,0.000000,-0.005780,0.017546,-0.006006,-0.003557,-0.191859,-0.133200,0.974953,0.000000,0.000000,0.000000,-0.007423,0.002836,0.996718,1.873672,1.498016,0.292572,-0.000000,0.799990,1.650010,0.011303,-0.011303,0.000003,-0.000056,0.000000,0.000000,0.000000,1.570320,6.519713,-0.400551,50079.323248,51926.199193,51318.006556,56945.340393,0.082069,0.000000,0.000000,0.000000,0.000000,-0.300165,0.000405,-0.000029,-0.000011,0.003198,-0.039085,0.012928,-0.002962,0.819888,-0.019460,1.187131,-0.008977,0.056630,-0.018934,-0.000595,-1.011747,-0.212178,0.008977,-0.056630,0.018934,0.000595,1.011747,0.212178
0.006000,0.057511,-0.041197,-0.498796,0.000936,-0.008665,0.997451,11.775503,4.107691,1.814781,-0.000000,-0.200001,1.000000,0.053258,-0.046841,-0.025200,-0.002704,0.002358,-0.001689,-0.020451,3.314975,-4.553996,-0.580492,37148.294088,39043.930773,39510.865083,39247.885801,0.352646,0.000000,0.000000,0.000000,0.000000,-0.141762,0.000000,0.000000,0.000000,-0.006020,0.017657,-0.006095,-0.003582,-0.191785,-0.136890,0.974928,0.000000,0.000000,0.000000,-0.008017,0.003402,0.995906,1.873672,1.498016,0.292572,-0.000000,0.799990,1.650010,0.011303,-0.011303,0.000003,-0.000056,0.000000,0.000000,0.000000,1.400609,5.921079,-0.199482,50116.742086,51875.462896,51420.720291,56875.456668,0.082069,0.000000,0.000000,0.000000,0.000000,-0.300165,0.000405,-0.000029,-0.000011,0.003198,-0.039085,0.012928,-0.002962,0.819888,-0.019460,1.187131,-0.009217,0.056742,-0.019023,-0.000620,-1.011673,-0.212203,0.009217,-0.056742,0.019023,0.000620,1.011673,0.212203
0.008000,0.034200,-0.060645,-0.481723,0.000234,-0.009134,0.996073,3.622936,2.789789,0.556215,-0.000000,-0.200001,1.000000,0.053408,-0.046861,-0.025470,-0.002778,0.001402,-0.002486,-0.019751,3.465277,-4.523693,-0.564096,37151.198485,39060.292424,39511.971212,39248.676263,0.377604,0.000000,0.000000,0.000000,0.000000,-0.125100,0.000000,0.000000,0.000000,-0.006350,0.017810,-0.006219,-0.003617,-0.191683,-0.141976,0.974892,0.000000,0.000000,0.000000,-0.009094,0.004214,0.995344,1.873672,1.498016,0.292572,-0.000000,0.799990,1.650010,0.011303,-0.011303,0.000003,-0.000056,0.000000,0.000000,0.000000,1.632827,6.155165,0.132176,50257.214177,51762.252658,51515.524051,56784.284051,0.082069,0.000000,0.000000,0.000000,0.000000,-0.300165,0.000405,-0.000029,-0.000011,0.003198,-0.039085,0.012928,-0.002962,0.819888,-0.019460,1.187131,-0.009548,0.056895,-0.019147,-0.000656,-1.011570,-0.212239,0.009548,-0.056895,0.019147,0.000656,1.011570,0.212239
0.010000,0.015008,-0.079766,-0.497485,-0.000086,-0.006884,0.995224,-3.218601,-5.583883,-1.969523,-0.000000,-0.200001,1.000000,0.053259,-0.046821,-0.025233,-0.002772,0.000615,-0.003270,-0.020397,3.050261,-5.152095,-0.879621,37046.850317,39136.913701,39466.086299,39318.170161,0.377604,0.000000,0.000000,0.000000,0.000000,-0.125100,0.000000,0.000000,0.000000,-0.006350,0.017810,-0.006219,-0.003617,-0.191683,-0.141976,0.974892,0.000000,0.000000,0.000000,-0.010196,0.004778,0.995052,1.873672,1.498016,0.292572,-0.000000,0.799990,1.650010,0.011303,-0.011303,0.000003,-0.000056,0.000000,0.000000,0.000000,2.071800,6.536849,0.415235,50409.004030,51661.188917,51563.461965,56712.494710,0.038810,0.000000,0.000000,0.000000,0.000000,-0.292169,0.000405,-0.000029,-0.000011,0.003109,-0.038761,0.012751,-0.002942,0.819643,-0.020607,1.187212,-0.009460,0.056571,-0.018969,-0.000675,-1.011325,-0.212320,0.009460,-0.056571,0.018969,0.000675,1.011325,0.212320
0.012000,0.004298,-0.083473,-0.517883,-0.001014,-0.004073,0.995098,-3.511529,0.067353,-4.865985,-0.000000,-0.200001,1.000000,0.053171,-0.046805,-0.025076,-0.002768,0.000176,-0.003422,-0.021233,2.769514,-4.816630,-1.454516,36912.216244,39250.100508,39329.115736,39472.150254,0.377604,0.000000,0.000000,0.000000,0.000000,-0.125100,0.000000,0.000000,0.000000,-0.006350,0.017810,-0.006219,-0.003617,-0.191683,-0.141976,0.974892,0.000000,0.000000,0.000000,-0.010763,0.005269,0.995467,1.873672,1.498016,0.292572,-0.000000,0.799990,1.650010,0.011303,-0.011303,0.000003,-0.000056,0.000000,0.000000,0.000000,2.387366,6.456356,0.528708,50465.340342,51634.200489,51593.981418,56678.839120,0.014122,0.000000,0.000000,0.000000,0.000000,-0.291696,0.000405,-0.000029,-0.000011,0.002976,-0.037982,0.012293,-0.002953,0.819659,-0.021268,1.187176,-0.009326,0.055792,-0.018512,-0.000665,-1.011341,-0.212284,0.009326,-0.055792,0.018512,0.000665,1.011341,0.212284
0.014000,-0.002279,-0.067597,-0.543558,-0.002752,-0.002367,0.997740,-1.484874,8.011676,-2.153951,-0.000000,-0.200001,1.000000,0.052571,-0.046496,-0.024372,-0.002753,-0.000093,-0.002771,-0.022286,2.556163,-3.806943,-1.492278,36941.946930,39210.702393,39278.556712,39518.495317,0.374046,0.000000,0.000000,0.000000,0.000000,-0.123280,0.000000,0.000000,0.000000,-0.005829,0.017542,-0.006110,-0.003477,-0.191755,-0.142003,0.974917,0.000000,0.000000,0.000000,-0.010576,0.005633,0.996303,1.873672,1.498016,0.292572,-0.000000,0.799990,1.650010,0.011303,-0.011303,0.000003,-0.000056,0.000000,0.000000,0.000000,2.880409,6.391270,0.690641,50540.529652,51602.360429,51638.138548,56620.729039,0.014480,0.000000,0.000000,0.000000,0.000000,-0.294268,0.000405,-0.000029,-0.000011,0.002926,-0.037621,0.012077,-0.002966,0.819757,-0.021263,1.187125,-0.008755,0.055163,-0.018187,-0.000510,-1.011512,-0.212208,0.008755,-0.055163,0.018187,0.000510,1.011512,0.212208
0.016000,-0.011434,-0.044362,-0.560687,-0.002953,-0.003055,1.000051,-0.921206,10.701469,4.961237,-0.000000,-0.200001,1.000000,0.052047,-0.046124,-0.023946,-0.002812,-0.000469,-0.001819,-0.022988,2.536251,-2.580201,-0.783355,37160.336350,39013.755656,39389.282051,39398.615385,0.390397,0.000000,0.000000,0.000000,0.000000,-0.106839,0.000000,0.000000,0.000000,-0.005469,0.017303,-0.006145,-0.003326,-0.191765,-0.146907,0.974919,0.000000,0.000000,0.000000,-0.010028,0.005977,0.997065,1.873672,1.498016,0.292572,-0.000000,0.799990,1.650010,0.011303,-0.011303,0.000003,-0.000056,0.000000,0.000000,0.000000,3.794031,6.543617,0.953570,50682.522551,51545.531882,51684.929497,56523.661483,0.014480,0.000000,0.000000,0.000000,0.000000,-0.294268,0.000405,-0.000029,-0.000011,0.002926,-0.037621,0.012077,-0.002966,0.819757,-0.021263,1.187125,-0.008395,0.054924,-0.018222,-0.000359,-1.011522,-0.212206,0.008395,-0.054924,0.018222,0.000359,1.011522,0.212206
0.018000,-0.020663,-0.030341,-0.541281,-0.002290,-0.004476,0.999648,2.286277,6.385109,9.387314,-0.000000,-0.200001,1.000000,0.052200,-0.046103,-0.024309,-0.002897,-0.000847,-0.001244,-0.022193,2.871209,-2.086876,0.347143,37453.564909,38765.020284,39630.523327,39149.231744,0.414103,0.000000,0.000000,0.000000,0.000000,-0.090721,0.000000,0.000000,0.000000,-0.005804,0.017414,-0.006341,-0.003355,-0.191673,-0.152452,0.974886,0.000000,0.000000,0.000000,-0.009482,0.005989,0.997174,1.873672,1.498016,0.292572,-0.000000,0.799990,1.650010,0.011303,-0.011303,0.000003,-0.000056,0.000000,0.000000,0.000000,4.692504,6.458907,1.025812,50744.156883,51563.564777,51677.331984,56471.394737,0.014480,0.000000,0.000000,0.000000,0.000000,-0.294268,0.000405,-0.000029,-0.000011,0.002926,-0.037621,0.012077,-0.002966,0.819757,-0.021263,1.187125,-0.008730,0.055035,-0.018417,-0.000389,-1.011429,-0.212239,0.008730,-0.055035,0.018417,0.000389,1.011429,0.212239
