t,x,y,z,vx,vy,vz,roll_deg,pitch_deg,yaw_deg,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,a_res_x,a_res_y,a_res_z,tau_x,tau_y,tau_z,alp_x,alp_y,alp_z,rnn_pred_x,rnn_pred_y,rnn_pred_z,rnn_clamped,ctrltarget_x,ctrltarget_y,ctrltarget_z,motor_m1,motor_m2,motor_m3,motor_m4,e_r_x,e_r_y,e_r_z,e_r_norm
-0.0800,-0.004183,-0.192674,0.975915,-0.006606,0.016889,-0.004811,-0.163293,0.291049,-0.153217,-1.549780,-0.379866,0.360841,0.002739,-0.010191,1.012766,0.016057,-0.091285,-0.332642,0.000000,0.000000,0.000000,2.554919,-2.017906,6.971080,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.200001,1.000000,37266.000000,38539.000000,39566.000000,39162.000000,-0.043272,-0.025669,-0.003022,0.050404
-0.0777,-0.004183,-0.192674,0.975915,-0.006606,0.016889,-0.004811,-0.163293,0.291049,-0.153217,-3.800611,-0.044288,0.648008,0.002004,-0.006316,1.015050,0.024848,-0.099477,-0.354524,0.000000,0.000000,0.000000,-18.942579,5.017766,3.559952,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.200001,1.000000,37275.000000,38393.000000,39689.000000,39170.000000,-0.043235,-0.025711,-0.003023,0.050393
-0.0760,-0.004183,-0.192674,0.975915,-0.006606,0.016889,-0.004811,-0.163293,0.291049,-0.153217,-4.499472,-0.264592,0.549141,0.003306,-0.006533,1.017047,0.027541,-0.091162,-0.351311,0.000000,0.000000,0.000000,-9.275764,-1.203548,-0.502231,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.200001,1.000000,37222.000000,38404.000000,39694.000000,39208.000000,-0.043220,-0.025766,-0.003024,0.050409
-0.0741,-0.004183,-0.192674,0.975915,-0.006606,0.016889,-0.004811,-0.163293,0.291049,-0.153217,-3.696903,0.628410,0.108670,0.002739,-0.006161,1.009563,0.027737,-0.074664,-0.322665,0.000000,0.000000,0.000000,1.871563,3.497657,-2.929705,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.200001,1.000000,37167.000000,38507.000000,39543.000000,39312.000000,-0.043219,-0.025818,-0.003025,0.050435
-0.0721,-0.004252,-0.192504,0.975874,-0.007111,0.017174,-0.003385,-0.192524,0.292553,-0.150978,-2.731758,2.562809,-0.446552,0.001329,-0.004672,1.006680,0.029659,-0.064159,-0.324713,0.000000,0.000000,0.000000,13.301543,16.522909,-5.188302,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.200001,1.000000,37068.000000,38563.000000,39324.000000,39451.000000,-0.044431,-0.026173,-0.003005,0.051654
-0.0701,-0.004252,-0.192504,0.975874,-0.007111,0.017174,-0.003385,-0.192524,0.292553,-0.150978,-2.546755,4.285578,-0.930275,-0.000473,-0.002579,1.006452,0.025310,-0.056391,-0.379311,0.000000,0.000000,0.000000,0.312824,15.908143,-4.459985,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.200001,1.000000,37008.000000,38631.000000,39157.000000,39609.000000,-0.044468,-0.026252,-0.003007,0.051726
-0.0681,-0.004252,-0.192504,0.975874,-0.007111,0.017174,-0.003385,-0.192524,0.292553,-0.150978,-3.451255,5.575095,-0.734817,0.001216,-0.003129,1.006893,0.014088,-0.043141,-0.424180,0.000000,0.000000,0.000000,-3.352377,12.862533,-0.120943,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.200001,1.000000,37065.000000,38520.000000,39193.000000,39628.000000,-0.044523,-0.026351,-0.003009,0.051824
-0.0661,-0.004252,-0.192504,0.975874,-0.007111,0.017174,-0.003385,-0.192524,0.292553,-0.150978,-4.087884,5.272446,-0.473479,0.000150,-0.003605,0.997104,0.006869,-0.033396,-0.424740,0.000000,0.000000,0.000000,-8.941248,1.060925,2.987427,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.200001,1.000000,37097.000000,38449.000000,39284.000000,39578.000000,-0.044577,-0.026444,-0.003012,0.051917
-0.0642,-0.004058,-0.192885,0.975971,-0.006247,0.015470,-0.002885,-0.180821,0.286583,-0.150944,-5.541394,3.900057,-0.093454,0.000500,-0.005651,0.994269,0.006119,-0.031710,-0.431549,0.000000,0.000000,0.000000,-9.627818,-10.756730,3.038028,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.200001,1.000000,37126.000000,38350.000000,39405.000000,39459.000000,-0.042930,-0.025657,-0.002984,0.050101
-0.0622,-0.004123,-0.192729,0.975944,-0.006738,0.015782,-0.002592,-0.216183,0.244592,-0.156448,-4.808314,2.110809,-0.151145,-0.001933,-0.007723,0.992929,0.005436,-0.040565,-0.475548,0.000000,0.000000,0.000000,-0.478022,-15.681571,0.616281,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.200001,1.000000,37053.000000,38424.000000,39414.000000,39430.000000,-0.043935,-0.025107,-0.003109,0.050699
-0.0602,-0.004123,-0.192729,0.975944,-0.006738,0.015782,-0.002592,-0.216183,0.244592,-0.156448,-4.525352,0.587141,-0.022690,0.000322,-0.010430,0.997342,-0.000631,-0.057725,-0.524548,0.000000,0.000000,0.000000,5.617514,-14.015605,0.213544,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.200001,1.000000,37052.000000,38451.000000,39476.000000,39343.000000,-0.043695,-0.025039,-0.003105,0.050457
