# phase_offset=0.000
time,x,y,z,vx,vy,vz,qw,qx,qy,qz,wx,wy,wz,x_ref,y_ref,z_ref,vx_ref,vy_ref,vz_ref,thrust,tx,ty,tz,omega1,omega2,omega3,omega4,pos_error_x,pos_error_y,pos_error_z,vel_error_x,vel_error_y,vel_error_z
0.000000,0.000000,0.000000,0.500000,-0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,-0.000000,0.000000,0.000000,0.264870,0.000000,0.000000,0.000000,26487.001953,26487.001953,26487.001953,26487.001953,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.010000,0.000000,0.000000,0.500001,0.000000,0.000000,0.000228,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,-0.000000,0.000000,0.000000,0.264845,0.000000,0.000000,0.000000,26484.519531,26484.519531,26484.519531,26484.519531,0.000000,0.000000,0.000001,0.000000,0.000000,0.000228
0.020000,0.000000,0.000000,0.500004,0.000000,0.000000,0.000396,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,-0.000000,0.000000,0.000000,0.264826,0.000000,0.000000,0.000000,26482.642578,26482.642578,26482.642578,26482.642578,0.000000,0.000000,0.000004,0.000000,0.000000,0.000396
0.030000,0.000000,0.000000,0.500009,0.000000,0.000000,0.000519,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,-0.000000,0.000000,0.000000,0.264812,0.000000,0.000000,0.000000,26481.236328,26481.236328,26481.236328,26481.236328,0.000000,0.000000,0.000009,0.000000,0.000000,0.000519
0.040000,0.000000,0.000000,0.500014,0.000000,0.000000,0.000605,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,-0.000000,0.000000,0.000000,0.264802,0.000000,0.000000,0.000000,26480.195312,26480.195312,26480.195312,26480.195312,0.000000,0.000000,0.000014,0.000000,0.000000,0.000605
0.050000,0.000000,0.000000,0.500021,0.000000,0.000000,0.000664,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,-0.000000,0.000000,0.000000,0.264794,0.000000,0.000000,0.000000,26479.441406,26479.441406,26479.441406,26479.441406,0.000000,0.000000,0.000021,0.000000,0.000000,0.000664
0.060000,0.000000,0.000000,0.500028,0.000000,0.000000,0.000700,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,-0.000000,0.000000,0.000000,0.264789,0.000000,0.000000,0.000000,26478.917969,26478.917969,26478.917969,26478.917969,0.000000,0.000000,0.000028,0.000000,0.000000,0.000700
0.070000,0.000000,0.000000,0.500035,0.000000,0.000000,0.000721,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,-0.000000,0.000000,0.000000,0.264786,0.000000,0.000000,0.000000,26478.564453,26478.564453,26478.564453,26478.564453,0.000000,0.000000,0.000035,0.000000,0.000000,0.000721
0.080000,0.000000,0.000000,0.500042,0.000000,0.000000,0.000728,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,-0.000000,0.000000,0.000000,0.264783,0.000000,0.000000,0.000000,26478.347656,26478.347656,26478.347656,26478.347656,0.000000,0.000000,0.000042,0.000000,0.000000,0.000728
0.090000,0.000000,0.000000,0.500049,0.000000,0.000000,0.000725,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,-0.000000,0.000000,0.000000,0.264782,0.000000,0.000000,0.000000,26478.238281,26478.238281,26478.238281,26478.238281,0.000000,0.000000,0.000049,0.000000,0.000000,0.000725
0.100000,0.000000,0.000000,0.500056,0.000000,0.000000,0.000715,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,-0.000000,0.000000,0.000000,0.264782,0.000000,0.000000,0.000000,26478.207031,26478.207031,26478.207031,26478.207031,0.000000,0.000000,0.000056,0.000000,0.000000,0.000715
0.110000,0.000000,0.000000,0.500063,0.000000,0.000000,0.000700,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,-0.000000,0.000000,0.000000,0.264782,0.000000,0.000000,0.000000,26478.246094,26478.246094,26478.246094,26478.246094,0.000000,0.000000,0.000063,0.000000,0.000000,0.000700
0.120000,0.000000,0.000000,0.500070,0.000000,0.000000,0.000680,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,-0.000000,0.000000,0.000000,0.264783,0.000000,0.000000,0.000000,26478.326172,26478.326172,26478.326172,26478.326172,0.000000,0.000000,0.000070,0.000000,0.000000,0.000680
0.130000,0.000000,0.000000,0.500077,0.000000,0.000000,0.000657,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,-0.000000,0.000000,0.000000,0.264784,0.000000,0.000000,0.000000,26478.449219,26478.449219,26478.449219,26478.449219,0.000000,0.000000,0.000077,0.000000,0.000000,0.000657
0.140000,0.000000,0.000000,0.500084,0.000000,0.000000,0.000632,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,-0.000000,0.000000,0.000000,0.264786,0.000000,0.000000,0.000000,26478.601562,26478.601562,26478.601562,26478.601562,0.000000,0.000000,0.000084,0.000000,0.000000,0.000632
0.150000,0.000000,0.000000,0.500090,0.000000,0.000000,0.000605,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,-0.000000,0.000000,0.000000,0.264788,0.000000,0.000000,0.000000,26478.771484,26478.771484,26478.771484,26478.771484,0.000000,0.000000,0.000090,0.000000,0.000000,0.000605
0.160000,0.000000,0.000000,0.500096,0.000000,0.000000,0.000578,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,-0.000000,0.000000,0.000000,0.264790,0.000000,0.000000,0.000000,26478.955078,26478.955078,26478.955078,26478.955078,0.000000,0.000000,0.000096,0.000000,0.000000,0.000578
0.170000,0.000000,0.000000,0.500101,0.000000,0.000000,0.000550,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,-0.000000,0.000000,0.000000,0.264792,0.000000,0.000000,0.000000,26479.156250,26479.156250,26479.156250,26479.156250,0.000000,0.000000,0.000101,0.000000,0.000000,0.000550
0.180000,0.000000,0.000000,0.500107,0.000000,0.000000,0.000521,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,-0.000000,0.000000,0.000000,0.264794,0.000000,0.000000,0.000000,26479.357422,26479.357422,26479.357422,26479.357422,0.000000,0.000000,0.000107,0.000000,0.000000,0.000521
0.190000,0.000000,0.000000,0.500112,0.000000,0.000000,0.000493,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,-0.000000,0.000000,0.000000,0.264796,0.000000,0.000000,0.000000,26479.570312,26479.570312,26479.570312,26479.570312,0.000000,0.000000,0.000112,0.000000,0.000000,0.000493
0.200000,0.000000,0.000000,0.500116,0.000000,0.000000,0.000465,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,-0.000000,0.000000,0.000000,0.264798,0.000000,0.000000,0.000000,26479.781250,26479.781250,26479.781250,26479.781250,0.000000,0.000000,0.000116,0.000000,0.000000,0.000465
0.210000,0.000000,0.000000,0.500121,0.000000,0.000000,0.000437,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,-0.000000,0.000000,0.000000,0.264800,0.000000,0.000000,0.000000,26479.996094,26479.996094,26479.996094,26479.996094,0.000000,0.000000,0.000121,0.000000,0.000000,0.000437
0.220000,0.000000,0.000000,0.500125,0.000000,0.000000,0.000410,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,-0.000000,0.000000,0.000000,0.264802,0.000000,0.000000,0.000000,26480.212891,26480.212891,26480.212891,26480.212891,0.000000,0.000000,0.000125,0.000000,0.000000,0.000410
0.230000,0.000000,0.000000,0.500129,0.000000,0.000000,0.000383,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,-0.000000,0.000000,0.000000,0.264804,0.000000,0.000000,0.000000,26480.425781,26480.425781,26480.425781,26480.425781,0.000000,0.000000,0.000129,0.000000,0.000000,0.000383
0.240000,0.000000,0.000000,0.500133,0.000000,0.000000,0.000357,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,-0.000000,0.000000,0.000000,0.264806,0.000000,0.000000,0.000000,26480.640625,26480.640625,26480.640625,26480.640625,0.000000,0.000000,0.000133,0.000000,0.000000,0.000357
0.250000,0.000000,0.000000,0.500136,0.000000,0.000000,0.000331,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,-0.000000,0.000000,0.000000,0.264809,0.000000,0.000000,0.000000,26480.851562,26480.851562,26480.851562,26480.851562,0.000000,0.000000,0.000136,0.000000,0.000000,0.000331
0.260000,0.000000,0.000000,0.500139,0.000000,0.000000,0.000306,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,-0.000000,0.000000,0.000000,0.264811,0.000000,0.000000,0.000000,26481.060547,26481.060547,26481.060547,26481.060547,0.000000,0.000000,0.000139,0.000000,0.000000,0.000306
0.270000,0.000000,0.000000,0.500142,0.000000,0.000000,0.000282,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,-0.000000,0.000000,0.000000,0.264813,0.000000,0.000000,0.000000,26481.265625,26481.265625,26481.265625,26481.265625,0.000000,0.000000,0.000142,0.000000,0.000000,0.000282
0.280000,0.000000,0.000000,0.500145,0.000000,0.000000,0.000259,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,-0.000000,0.000000,0.000000,0.264815,0.000000,0.000000,0.000000,26481.464844,26481.464844,26481.464844,26481.464844,0.000000,0.000000,0.000145,0.000000,0.000000,0.000259
0.290000,0.000000,0.000000,0.500148,0.000000,0.000000,0.000236,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,-0.000000,0.000000,0.000000,0.264817,0.000000,0.000000,0.000000,26481.664062,26481.664062,26481.664062,26481.664062,0.000000,0.000000,0.000148,0.000000,0.000000,0.000236
0.300000,0.000000,0.000000,0.500150,0.000000,0.000000,0.000214,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,-0.000000,0.000000,0.000000,0.264819,0.000000,0.000000,0.000000,26481.861328,26481.861328,26481.861328,26481.861328,0.000000,0.000000,0.000150,0.000000,0.000000,0.000214
0.310000,0.000000,0.000000,0.500152,0.000000,0.000000,0.000193,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,-0.000000,0.000000,0.000000,0.264821,0.000000,0.000000,0.000000,26482.052734,26482.052734,26482.052734,26482.052734,0.000000,0.000000,0.000152,0.000000,0.000000,0.000193
0.320000,0.000000,0.000000,0.500154,0.000000,0.000000,0.000172,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,-0.000000,0.000000,0.000000,0.264822,0.000000,0.000000,0.000000,26482.236328,26482.236328,26482.236328,26482.236328,0.000000,0.000000,0.000154,0.000000,0.000000,0.000172
