# phase_offset=0.000
time,x,y,z,vx,vy,vz,qw,qx,qy,qz,wx,wy,wz,x_ref,y_ref,z_ref,vx_ref,vy_ref,vz_ref,thrust,tx,ty,tz,omega1,omega2,omega3,omega4,pos_error_x,pos_error_y,pos_error_z,vel_error_x,vel_error_y,vel_error_z
0.000000,0.000000,0.000000,0.500000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.000000,0.000000,0.000000,0.264870,0.000000,0.000000,0.000000,26487.001953,26487.001953,26487.001953,26487.001953,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.010000,0.000000,0.000000,0.500000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.500000,0.000000,-0.000000,0.000000,0.264870,0.000002,0.000002,0.000000,26474.830078,26489.912109,26499.173828,26484.091797,-0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000
0.020000,0.000000,-0.000000,0.500000,0.000000,-0.000000,0.000000,1.000000,0.000004,0.000002,0.000000,0.001443,0.000886,0.000000,0.000000,-0.000000,0.500000,0.000002,-0.000003,0.000000,0.264870,0.000003,0.000002,0.000000,26470.527344,26490.914062,26503.476562,26483.089844,-0.000000,0.000000,0.000000,-0.000002,0.000002,0.000000
0.030000,0.000000,-0.000000,0.500000,0.000001,-0.000002,0.000000,1.000000,0.000016,0.000010,0.000000,0.003393,0.002088,0.000000,0.000000,-0.000000,0.500000,0.000006,-0.000009,0.000000,0.264870,0.000004,0.000002,0.000000,26469.111328,26491.208984,26504.892578,26482.794922,-0.000000,0.000000,0.000000,-0.000004,0.000007,0.000000
0.040000,0.000000,-0.000000,0.500000,0.000004,-0.000007,0.000000,1.000000,0.000038,0.000023,0.000000,0.005507,0.003397,0.000000,0.000000,-0.000000,0.500000,0.000013,-0.000021,0.000000,0.264870,0.000004,0.000002,0.000000,26468.757812,26491.250000,26505.246094,26482.753906,-0.000000,0.000000,0.000000,-0.000009,0.000014,0.000000
0.050000,0.000000,-0.000000,0.500000,0.000011,-0.000018,-0.000000,1.000000,0.000071,0.000044,0.000000,0.007659,0.004736,0.000000,0.000000,-0.000001,0.500000,0.000026,-0.000042,0.000000,0.264870,0.000004,0.000002,0.000000,26468.804688,26491.199219,26505.207031,26482.812500,-0.000000,0.000000,0.000000,-0.000015,0.000024,-0.000000
0.060000,0.000000,-0.000000,0.500000,0.000022,-0.000036,0.000000,1.000000,0.000115,0.000071,0.000000,0.009801,0.006076,0.000000,0.000001,-0.000001,0.500000,0.000044,-0.000072,0.000000,0.264870,0.000004,0.000002,0.000000,26469.001953,26491.103516,26505.009766,26482.908203,-0.000000,0.000001,0.000000,-0.000022,0.000036,0.000000
0.070000,0.000001,-0.000001,0.500000,0.000039,-0.000063,0.000000,1.000000,0.000169,0.000104,0.000000,0.011916,0.007406,0.000000,0.000001,-0.000002,0.500000,0.000070,-0.000114,0.000000,0.264870,0.000004,0.000002,0.000000,26469.271484,26490.990234,26504.744141,26483.017578,-0.000001,0.000001,0.000000,-0.000031,0.000050,0.000000
0.080000,0.000001,-0.000002,0.500000,0.000063,-0.000102,0.000000,1.000000,0.000234,0.000145,0.000000,0.013994,0.008722,0.000000,0.000002,-0.000003,0.500000,0.000104,-0.000169,0.000000,0.264870,0.000003,0.000002,0.000000,26469.578125,26490.878906,26504.449219,26483.140625,-0.000001,0.000002,0.000000,-0.000041,0.000066,0.000000
0.090000,0.000002,-0.000003,0.500000,0.000096,-0.000156,0.000000,1.000000,0.000309,0.000192,0.000000,0.016032,0.010020,0.000001,0.000003,-0.000005,0.500000,0.000148,-0.000239,0.000000,0.264870,0.000003,0.000002,0.000000,26469.900391,26490.759766,26504.130859,26483.263672,-0.000001,0.000002,0.000000,-0.000052,0.000084,0.000000
