time,roll_rad,pitch_rad,yaw_rad,x,y,z
0.007112000,-0.045287091,0.000238764,-0.025457464,0.004635,-0.036251,1.074819
0.017031001,-0.044619463,0.001486019,-0.025547050,0.006270,-0.032428,1.075348
0.026929000,-0.043611649,0.002690123,-0.025604829,0.005997,-0.032190,1.075867
0.036839001,-0.042655081,0.003771102,-0.025539409,0.005726,-0.031910,1.076377
0.046762999,-0.041577421,0.004591759,-0.025514169,0.005580,-0.031812,1.078840
0.056682002,-0.040356789,0.005358313,-0.025522092,0.006432,-0.031000,1.079431
0.066573001,-0.039092153,0.006024125,-0.025497017,0.006191,-0.030594,1.080011
0.076490000,-0.038001124,0.005841643,-0.025509477,-0.001495,-0.024775,1.080579
0.086402997,-0.034318119,0.005898450,-0.025283152,-0.002025,-0.024063,1.080452
0.096325003,-0.034076147,0.006107836,-0.025276845,0.000757,-0.027489,1.080453
0.106222004,-0.032162774,0.005838307,-0.025248671,-0.001915,-0.025017,1.080921
0.116131000,-0.030056123,0.005805544,-0.025299776,-0.001683,-0.022855,1.081375
0.126055002,-0.027723113,0.005640035,-0.025407163,-0.003817,-0.018190,1.081852
0.135969996,-0.025420254,0.006001823,-0.025500571,-0.002898,-0.013837,1.082160
0.145876005,-0.023006918,0.006402899,-0.025645066,-0.004503,-0.009152,1.082543
0.155781001,-0.020145513,0.007232621,-0.025687255,-0.003053,-0.010318,1.082902
0.165698007,-0.017493488,0.008211708,-0.025722006,-0.004238,-0.008524,1.083239
0.175611004,-0.014791194,0.009328324,-0.025734313,-0.004527,-0.007353,1.082582
0.185516000,-0.011835403,0.010555654,-0.025835104,-0.005550,-0.006310,1.082827
0.195430994,-0.008946737,0.011828182,-0.025894376,-0.004444,-0.002664,1.083057
0.205342993,-0.005837914,0.012839755,-0.025932174,-0.005719,0.001143,1.083274
0.215248004,-0.002561590,0.013800872,-0.026021002,-0.005939,0.002159,1.083475
0.225176007,0.000523317,0.014381607,-0.026091289,-0.004698,0.005966,1.083075
0.235076994,0.003845504,0.014745991,-0.026237544,-0.004528,0.004364,1.083217
0.244984999,0.007004319,0.014851561,-0.026464401,-0.004687,0.005383,1.083338
0.254893005,0.010295352,0.014755468,-0.026689727,-0.005029,0.003586,1.083450
0.264809996,0.013590307,0.014580422,-0.026917364,-0.005164,0.004971,1.082132
0.274717987,0.015356161,0.014231153,-0.027148854,-0.004865,0.029365,1.082139
0.284630001,0.018435175,0.013977361,-0.027342584,-0.005027,0.033806,1.082142
0.294546992,0.021361342,0.013610578,-0.027551500,-0.005117,0.035034,1.082136
0.304452002,0.024429332,0.013256462,-0.027751522,-0.005053,0.033069,1.083232
0.314361006,0.027328096,0.013136620,-0.027905213,-0.004732,0.033724,1.083277
0.324277997,0.030398956,0.013411015,-0.028060760,-0.004167,0.036818,1.083316
0.334194005,0.034196887,0.013783767,-0.028112784,-0.003478,0.036300,1.083352
0.344108999,0.038373321,0.014236281,-0.028099965,-0.002594,0.038404,1.083389
0.354005009,0.042398881,0.014810557,-0.028100131,-0.001802,0.045960,1.084057
0.363925993,0.047342461,0.015292655,-0.028061546,-0.001643,0.042023,1.084130
0.373831987,0.052212723,0.015687943,-0.027963858,-0.001079,0.038606,1.084207
0.383738995,0.056176797,0.016147746,-0.027894961,-0.000917,0.044760,1.084279
0.393651009,0.059737846,0.016266162,-0.027751032,-0.001179,0.051314,1.086893
0.403562993,0.063197598,0.016055124,-0.027527137,-0.001725,0.050099,1.087086
0.413480014,0.065692775,0.015663037,-0.027488546,-0.001994,0.055637,1.087272
0.423393011,0.068005487,0.015469774,-0.027508900,-0.001880,0.056421,1.087456
0.433297008,0.070028074,0.015298160,-0.027455740,-0.002021,0.057068,1.086656
0.443206012,0.071764968,0.015197974,-0.027385326,-0.001883,0.057712,1.086765
0.453121990,0.073611043,0.014944599,-0.027279031,-0.001809,0.057696,1.086863
0.463037014,0.075556085,0.014942924,-0.027172975,-0.001645,0.058193,1.086953
0.472959995,0.077748910,0.015072546,-0.027116185,-0.001469,0.058617,1.087035
0.482863992,0.079762347,0.015715865,-0.026912361,0.002688,0.066822,1.086279
