t,x,y,z,vx,vy,vz,ax,ay,az,jx,jy,jz,yaw,yaw_dot,yaw_ddot,thrust,tx,ty,tz,ox,oy,oz,odx,ody,odz
0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.264870,-0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000
0.001000,-0.000000,0.000000,1.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000049,-0.000008,-0.000005,-0.000000,-0.000000,-0.000000,0.264870,0.000000,-0.000000,-0.000000,0.000001,-0.000005,-0.000000,0.001651,-0.009885,-0.000000
0.002000,-0.000000,0.000000,1.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000194,-0.000032,-0.000019,-0.000000,-0.000000,-0.000000,0.264870,0.000000,-0.000000,-0.000000,0.000003,-0.000020,-0.000000,0.003287,-0.019680,-0.000000
0.003000,-0.000000,-0.000000,1.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000434,-0.000073,-0.000043,-0.000000,-0.000000,-0.000000,0.264870,0.000000,-0.000000,-0.000000,0.000007,-0.000044,-0.000000,0.004910,-0.029385,-0.000000
0.004000,-0.000000,-0.000000,1.000000,-0.000000,-0.000000,-0.000000,-0.000001,-0.000000,-0.000000,-0.000770,-0.000129,-0.000077,-0.000000,-0.000000,-0.000000,0.264870,0.000000,-0.000001,-0.000000,0.000013,-0.000078,-0.000000,0.006518,-0.039001,-0.000000
0.005000,-0.000000,-0.000000,1.000000,-0.000000,-0.000000,-0.000000,-0.000002,-0.000000,-0.000000,-0.001199,-0.000200,-0.000120,-0.000000,-0.000000,-0.000001,0.264870,0.000000,-0.000001,-0.000000,0.000020,-0.000122,-0.000000,0.008112,-0.048529,-0.000001
0.006000,-0.000000,-0.000000,1.000000,-0.000000,-0.000000,-0.000000,-0.000003,-0.000001,-0.000000,-0.001722,-0.000288,-0.000172,-0.000000,-0.000000,-0.000001,0.264870,0.000000,-0.000001,-0.000000,0.000029,-0.000176,-0.000000,0.009693,-0.057967,-0.000001
0.007000,-0.000000,-0.000000,1.000000,-0.000000,-0.000000,-0.000000,-0.000005,-0.000001,-0.000001,-0.002336,-0.000391,-0.000234,-0.000000,-0.000000,-0.000002,0.264870,0.000000,-0.000001,-0.000000,0.000040,-0.000238,-0.000000,0.011259,-0.067317,-0.000002
0.008000,-0.000000,-0.000000,1.000000,-0.000000,-0.000000,-0.000000,-0.000008,-0.000001,-0.000001,-0.003042,-0.000509,-0.000304,-0.000000,-0.000000,-0.000003,0.264870,0.000000,-0.000001,-0.000000,0.000052,-0.000310,-0.000000,0.012812,-0.076580,-0.000002
0.009000,-0.000000,-0.000000,1.000000,-0.000000,-0.000000,-0.000000,-0.000012,-0.000002,-0.000001,-0.003839,-0.000642,-0.000384,-0.000000,-0.000000,-0.000004,0.264870,0.000000,-0.000001,-0.000000,0.000065,-0.000391,-0.000000,0.014351,-0.085754,-0.000004
0.010000,-0.000000,-0.000000,1.000000,-0.000000,-0.000000,-0.000000,-0.000016,-0.000003,-0.000002,-0.004724,-0.000790,-0.000472,-0.000000,-0.000000,-0.000005,0.264870,0.000000,-0.000002,-0.000000,0.000081,-0.000482,-0.000000,0.015876,-0.094841,-0.000005
0.011000,-0.000000,-0.000000,1.000000,-0.000000,-0.000000,-0.000000,-0.000021,-0.000004,-0.000002,-0.005699,-0.000953,-0.000570,-0.000000,-0.000000,-0.000006,0.264870,0.000000,-0.000002,-0.000000,0.000097,-0.000581,-0.000000,0.017387,-0.103842,-0.000006
0.012000,-0.000000,-0.000000,1.000000,-0.000000,-0.000000,-0.000000,-0.000027,-0.000005,-0.000003,-0.006762,-0.001131,-0.000676,-0.000000,-0.000000,-0.000008,0.264870,0.000000,-0.000002,-0.000000,0.000115,-0.000689,-0.000000,0.018885,-0.112755,-0.000008
0.013000,-0.000000,-0.000000,1.000000,-0.000000,-0.000000,-0.000000,-0.000035,-0.000006,-0.000003,-0.007911,-0.001324,-0.000791,-0.000000,-0.000000,-0.000011,0.264870,0.000000,-0.000002,-0.000000,0.000135,-0.000806,-0.000000,0.020369,-0.121582,-0.000010
0.014000,-0.000000,-0.000000,1.000000,-0.000000,-0.000000,-0.000000,-0.000043,-0.000007,-0.000004,-0.009147,-0.001531,-0.000915,-0.000000,-0.000000,-0.000013,0.264870,0.000000,-0.000002,-0.000000,0.000156,-0.000932,-0.000000,0.021839,-0.130323,-0.000013
0.015000,-0.000000,-0.000000,1.000000,-0.000000,-0.000000,-0.000000,-0.000053,-0.000009,-0.000005,-0.010468,-0.001752,-0.001047,-0.000000,-0.000000,-0.000016,0.264870,0.000000,-0.000002,-0.000000,0.000179,-0.001067,-0.000000,0.023296,-0.138978,-0.000016
0.016000,-0.000000,-0.000000,1.000000,-0.000000,-0.000000,-0.000000,-0.000064,-0.000011,-0.000006,-0.011873,-0.001988,-0.001187,-0.000000,-0.000000,-0.000020,0.264870,0.000000,-0.000002,-0.000000,0.000203,-0.001210,-0.000000,0.024740,-0.147547,-0.000019
0.017000,-0.000000,-0.000000,1.000000,-0.000000,-0.000000,-0.000000,-0.000077,-0.000013,-0.000008,-0.013362,-0.002238,-0.001336,-0.000000,-0.000000,-0.000024,0.264870,0.000000,-0.000003,-0.000000,0.000228,-0.001362,-0.000000,0.026169,-0.156031,-0.000023
0.018000,-0.000000,-0.000000,1.000000,-0.000000,-0.000000,-0.000000,-0.000091,-0.000015,-0.000009,-0.014934,-0.002501,-0.001493,-0.000000,-0.000000,-0.000028,0.264870,0.000000,-0.000003,-0.000000,0.000255,-0.001522,-0.000000,0.027586,-0.164431,-0.000027
0.019000,-0.000000,-0.000000,1.000000,-0.000001,-0.000000,-0.000000,-0.000107,-0.000018,-0.000011,-0.016588,-0.002779,-0.001659,-0.000000,-0.000000,-0.000033,0.264870,0.000000,-0.000003,-0.000000,0.000283,-0.001691,-0.000000,0.028989,-0.172745,-0.000032
0.020000,-0.000000,-0.000000,1.000000,-0.000001,-0.000000,-0.000000,-0.000124,-0.000021,-0.000012,-0.018323,-0.003070,-0.001832,-0.000000,-0.000000,-0.000038,0.264870,0.000001,-0.000003,-0.000000,0.000313,-0.001868,-0.000000,0.030379,-0.180976,-0.000037
0.021000,-0.000000,-0.000000,1.000000,-0.000001,-0.000000,-0.000000,-0.000143,-0.000024,-0.000014,-0.020139,-0.003375,-0.002014,-0.000000,-0.000000,-0.000044,0.264870,0.000001,-0.000003,-0.000000,0.000344,-0.002053,-0.000000,0.031756,-0.189123,-0.000043
0.022000,-0.000000,-0.000000,1.000000,-0.000001,-0.000000,-0.000000,-0.000164,-0.000028,-0.000016,-0.022033,-0.003693,-0.002203,-0.000000,-0.000000,-0.000050,0.264870,0.000001,-0.000003,-0.000000,0.000376,-0.002246,-0.000000,0.033119,-0.197186,-0.000049
0.023000,-0.000000,-0.000000,1.000000,-0.000001,-0.000000,-0.000000,-0.000187,-0.000031,-0.000019,-0.024007,-0.004024,-0.002401,-0.000000,-0.000000,-0.000057,0.264870,0.000001,-0.000003,-0.000000,0.000410,-0.002447,-0.000000,0.034469,-0.205165,-0.000056
0.024000,-0.000000,-0.000000,1.000000,-0.000001,-0.000000,-0.000000,-0.000212,-0.000036,-0.000021,-0.026058,-0.004369,-0.002606,-0.000000,-0.000000,-0.000065,0.264869,0.000001,-0.000004,-0.000000,0.000445,-0.002656,-0.000000,0.035806,-0.213062,-0.000063
0.025000,-0.000000,-0.000000,1.000000,-0.000002,-0.000000,-0.000000,-0.000240,-0.000040,-0.000024,-0.028187,-0.004727,-0.002819,-0.000000,-0.000000,-0.000073,0.264869,0.000001,-0.000004,-0.000000,0.000482,-0.002873,-0.000000,0.037130,-0.220876,-0.000071
0.026000,-0.000000,-0.000000,1.000000,-0.000002,-0.000000,-0.000000,-0.000269,-0.000045,-0.000027,-0.030392,-0.005098,-0.003039,-0.000000,-0.000001,-0.000082,0.264869,0.000001,-0.000004,-0.000000,0.000520,-0.003098,-0.000001,0.038441,-0.228607,-0.000080
0.027000,-0.000000,-0.000000,1.000000,-0.000002,-0.000000,-0.000000,-0.000300,-0.000050,-0.000030,-0.032672,-0.005481,-0.003267,-0.000000,-0.000001,-0.000092,0.264869,0.000001,-0.000004,-0.000000,0.000559,-0.003330,-0.000001,0.039739,-0.236256,-0.000089
0.028000,-0.000000,-0.000000,1.000000,-0.000002,-0.000000,-0.000000,-0.000334,-0.000056,-0.000033,-0.035027,-0.005877,-0.003503,-0.000000,-0.000001,-0.000103,0.264869,0.000001,-0.000004,-0.000000,0.000599,-0.003571,-0.000001,0.041024,-0.243824,-0.000099
0.029000,-0.000000,-0.000000,1.000000,-0.000003,-0.000000,-0.000000,-0.000370,-0.000062,-0.000037,-0.037455,-0.006286,-0.003746,-0.000000,-0.000001,-0.000114,0.264869,0.000001,-0.000004,-0.000000,0.000641,-0.003818,-0.000001,0.042296,-0.251310,-0.000110
0.030000,-0.000000,-0.000000,1.000000,-0.000003,-0.000001,-0.000000,-0.000409,-0.000069,-0.000041,-0.039957,-0.006707,-0.003996,-0.000000,-0.000001,-0.000125,0.264869,0.000001,-0.000004,-0.000000,0.000684,-0.004073,-0.000001,0.043556,-0.258715,-0.000121
0.031000,-0.000000,-0.000000,1.000000,-0.000004,-0.000001,-0.000000,-0.000450,-0.000075,-0.000045,-0.042531,-0.007140,-0.004253,-0.000000,-0.000001,-0.000138,0.264869,0.000001,-0.000004,-0.000000,0.000728,-0.004336,-0.000001,0.044802,-0.266039,-0.000133
0.032000,-0.000000,-0.000000,1.000000,-0.000004,-0.000001,-0.000000,-0.000494,-0.000083,-0.000049,-0.045176,-0.007586,-0.004518,-0.000000,-0.000001,-0.000152,0.264869,0.000001,-0.000005,-0.000000,0.000773,-0.004605,-0.000001,0.046036,-0.273282,-0.000146
0.033000,-0.000000,-0.000000,1.000000,-0.000005,-0.000001,-0.000000,-0.000541,-0.000091,-0.000054,-0.047892,-0.008044,-0.004789,-0.000000,-0.000001,-0.000166,0.264869,0.000001,-0.000005,-0.000000,0.000820,-0.004882,-0.000001,0.047257,-0.280445,-0.000159
0.034000,-0.000000,-0.000000,1.000000,-0.000005,-0.000001,-0.000001,-0.000590,-0.000099,-0.000059,-0.050678,-0.008513,-0.005068,-0.000000,-0.000002,-0.000181,0.264868,0.000001,-0.000005,-0.000000,0.000868,-0.005166,-0.000002,0.048465,-0.287529,-0.000174
0.035000,-0.000000,-0.000000,1.000000,-0.000006,-0.000001,-0.000001,-0.000642,-0.000108,-0.000064,-0.053533,-0.008994,-0.005353,-0.000000,-0.000002,-0.000197,0.264868,0.000001,-0.000005,-0.000000,0.000917,-0.005457,-0.000002,0.049660,-0.294532,-0.000189
0.036000,-0.000000,-0.000000,1.000000,-0.000006,-0.000001,-0.000001,-0.000697,-0.000117,-0.000070,-0.056457,-0.009487,-0.005646,-0.000000,-0.000002,-0.000214,0.264868,0.000001,-0.000005,-0.000000,0.000967,-0.005755,-0.000002,0.050844,-0.301456,-0.000205
0.037000,-0.000000,-0.000000,1.000000,-0.000007,-0.000001,-0.000001,-0.000755,-0.000127,-0.000076,-0.059447,-0.009992,-0.005945,-0.000000,-0.000002,-0.000231,0.264868,0.000001,-0.000005,-0.000000,0.001019,-0.006060,-0.000002,0.052014,-0.308301,-0.000221
0.038000,-0.000000,-0.000000,1.000000,-0.000008,-0.000001,-0.000001,-0.000816,-0.000137,-0.000082,-0.062505,-0.010508,-0.006250,-0.000000,-0.000002,-0.000250,0.264868,0.000001,-0.000005,-0.000000,0.001071,-0.006372,-0.000002,0.053172,-0.315068,-0.000239
0.039000,-0.000000,-0.000000,1.000000,-0.000009,-0.000001,-0.000001,-0.000880,-0.000148,-0.000088,-0.065628,-0.011035,-0.006563,-0.000000,-0.000003,-0.000270,0.264868,0.000001,-0.000005,-0.000000,0.001125,-0.006690,-0.000003,0.054318,-0.321756,-0.000257
0.040000,-0.000000,-0.000000,1.000000,-0.000010,-0.000002,-0.000001,-0.000947,-0.000159,-0.000095,-0.068817,-0.011573,-0.006882,-0.000000,-0.000003,-0.000290,0.264867,0.000001,-0.000005,-0.000000,0.001180,-0.007015,-0.000003,0.055451,-0.328365,-0.000277
0.041000,-0.000000,-0.000000,1.000000,-0.000011,-0.000002,-0.000001,-0.001018,-0.000171,-0.000102,-0.072070,-0.012123,-0.007207,-0.000000,-0.000003,-0.000312,0.264867,0.000001,-0.000006,-0.000000,0.001236,-0.007347,-0.000003,0.056572,-0.334897,-0.000297
0.042000,-0.000000,-0.000000,1.000000,-0.000012,-0.000002,-0.000001,-0.001091,-0.000183,-0.000109,-0.075387,-0.012683,-0.007539,-0.000000,-0.000004,-0.000335,0.264867,0.000001,-0.000006,-0.000000,0.001293,-0.007685,-0.000003,0.057680,-0.341352,-0.000318
0.043000,-0.000000,-0.000000,1.000000,-0.000013,-0.000002,-0.000001,-0.001169,-0.000196,-0.000117,-0.078767,-0.013254,-0.007877,-0.000000,-0.000004,-0.000358,0.264867,0.000001,-0.000006,-0.000000,0.001351,-0.008029,-0.000004,0.058776,-0.347729,-0.000340
0.044000,-0.000000,-0.000000,1.000000,-0.000014,-0.000002,-0.000001,-0.001249,-0.000210,-0.000125,-0.082209,-0.013836,-0.008221,-0.000000,-0.000004,-0.000383,0.264867,0.000001,-0.000006,-0.000000,0.001410,-0.008380,-0.000004,0.059860,-0.354029,-0.000363
0.045000,-0.000000,-0.000000,1.000000,-0.000015,-0.000003,-0.000002,-0.001333,-0.000224,-0.000133,-0.085712,-0.014429,-0.008571,-0.000000,-0.000005,-0.000408,0.264866,0.000001,-0.000006,-0.000000,0.001471,-0.008737,-0.000004,0.060932,-0.360253,-0.000387
0.046000,-0.000000,-0.000000,1.000000,-0.000017,-0.000003,-0.000002,-0.001420,-0.000239,-0.000142,-0.089277,-0.015032,-0.008928,-0.000000,-0.000005,-0.000435,0.264866,0.000001,-0.000006,-0.000000,0.001532,-0.009101,-0.000005,0.061992,-0.366400,-0.000412
0.047000,-0.000000,-0.000000,1.000000,-0.000018,-0.000003,-0.000002,-0.001512,-0.000254,-0.000151,-0.092900,-0.015645,-0.009290,-0.000000,-0.000006,-0.000463,0.264866,0.000001,-0.000006,-0.000000,0.001595,-0.009470,-0.000005,0.063039,-0.372471,-0.000438
0.048000,-0.000000,-0.000000,1.000000,-0.000020,-0.000003,-0.000002,-0.001606,-0.000270,-0.000161,-0.096584,-0.016268,-0.009658,-0.000000,-0.000006,-0.000492,0.264866,0.000001,-0.000006,-0.000000,0.001658,-0.009846,-0.000006,0.064075,-0.378466,-0.000465
0.049000,-0.000000,-0.000000,1.000000,-0.000021,-0.000004,-0.000002,-0.001705,-0.000287,-0.000170,-0.100325,-0.016902,-0.010033,-0.000000,-0.000007,-0.000522,0.264865,0.000001,-0.000006,-0.000000,0.001723,-0.010227,-0.000006,0.065098,-0.384386,-0.000493
0.050000,-0.000000,-0.000000,1.000000,-0.000023,-0.000004,-0.000002,-0.001807,-0.000304,-0.000181,-0.104124,-0.017545,-0.010412,-0.000000,-0.000007,-0.000554,0.264865,0.000001,-0.000006,-0.000000,0.001789,-0.010614,-0.000007,0.066110,-0.390231,-0.000523
0.051000,-0.000000,-0.000000,1.000000,-0.000025,-0.000004,-0.000002,-0.001913,-0.000322,-0.000191,-0.107980,-0.018199,-0.010798,-0.000000,-0.000008,-0.000586,0.264865,0.000001,-0.000007,-0.000000,0.001855,-0.011008,-0.000007,0.067109,-0.396001,-0.000553
0.052000,-0.000000,-0.000000,1.000000,-0.000027,-0.000005,-0.000003,-0.002023,-0.000340,-0.000202,-0.111893,-0.018862,-0.011189,-0.000000,-0.000008,-0.000620,0.264865,0.000001,-0.000007,-0.000000,0.001923,-0.011406,-0.000008,0.068097,-0.401697,-0.000584
0.053000,-0.000000,-0.000000,1.000000,-0.000029,-0.000005,-0.000003,-0.002137,-0.000359,-0.000214,-0.115861,-0.019535,-0.011586,-0.000000,-0.000009,-0.000655,0.264864,0.000001,-0.000007,-0.000000,0.001991,-0.011811,-0.000008,0.069073,-0.407318,-0.000616
0.054000,-0.000000,-0.000000,1.000000,-0.000031,-0.000005,-0.000003,-0.002255,-0.000379,-0.000225,-0.119883,-0.020217,-0.011988,-0.000000,-0.000010,-0.000691,0.264864,0.000001,-0.000007,-0.000000,0.002061,-0.012221,-0.000009,0.070037,-0.412865,-0.000649
0.055000,-0.000000,-0.000000,1.000000,-0.000034,-0.000006,-0.000003,-0.002377,-0.000400,-0.000238,-0.123960,-0.020909,-0.012396,-0.000000,-0.000010,-0.000728,0.264864,0.000001,-0.000007,-0.000000,0.002131,-0.012637,-0.000010,0.070989,-0.418339,-0.000684
0.056000,-0.000000,-0.000000,1.000000,-0.000036,-0.000006,-0.000004,-0.002503,-0.000421,-0.000250,-0.128090,-0.021610,-0.012809,-0.000000,-0.000011,-0.000766,0.264863,0.000001,-0.000007,-0.000000,0.002203,-0.013058,-0.000010,0.071930,-0.423739,-0.000720
0.057000,-0.000000,-0.000000,1.000000,-0.000039,-0.000006,-0.000004,-0.002633,-0.000443,-0.000263,-0.132272,-0.022320,-0.013227,-0.000000,-0.000012,-0.000806,0.264863,0.000001,-0.000007,-0.000000,0.002275,-0.013484,-0.000011,0.072859,-0.429066,-0.000756
0.058000,-0.000000,-0.000000,1.000000,-0.000041,-0.000007,-0.000004,-0.002767,-0.000466,-0.000277,-0.136507,-0.023039,-0.013651,-0.000000,-0.000013,-0.000847,0.264863,0.000001,-0.000007,-0.000000,0.002349,-0.013916,-0.000012,0.073777,-0.434320,-0.000794
0.059000,-0.000001,-0.000000,1.000000,-0.000044,-0.000007,-0.000004,-0.002906,-0.000489,-0.000291,-0.140792,-0.023767,-0.014079,-0.000000,-0.000014,-0.000890,0.264862,0.000001,-0.000007,-0.000000,0.002423,-0.014353,-0.000013,0.074682,-0.439502,-0.000833
0.060000,-0.000001,-0.000000,1.000000,-0.000047,-0.000008,-0.000005,-0.003049,-0.000513,-0.000305,-0.145128,-0.024504,-0.014513,-0.000000,-0.000014,-0.000934,0.264862,0.000001,-0.000007,-0.000000,0.002498,-0.014795,-0.000014,0.075577,-0.444612,-0.000873
0.061000,-0.000001,-0.000000,1.000000,-0.000050,-0.000008,-0.000005,-0.003196,-0.000538,-0.000320,-0.149514,-0.025249,-0.014951,-0.000000,-0.000015,-0.000979,0.264861,0.000001,-0.000007,-0.000000,0.002574,-0.015242,-0.000015,0.076460,-0.449650,-0.000915
0.062000,-0.000001,-0.000000,1.000000,-0.000053,-0.000009,-0.000005,-0.003348,-0.000564,-0.000335,-0.153949,-0.026004,-0.015395,-0.000000,-0.000016,-0.001025,0.264861,0.000001,-0.000008,-0.000000,0.002651,-0.015694,-0.000015,0.077331,-0.454616,-0.000957
0.063000,-0.000001,-0.000000,1.000000,-0.000057,-0.000010,-0.000006,-0.003504,-0.000590,-0.000350,-0.158432,-0.026766,-0.015843,-0.000000,-0.000017,-0.001073,0.264861,0.000001,-0.000008,-0.000000,0.002729,-0.016151,-0.000016,0.078191,-0.459511,-0.001001
0.064000,-0.000001,-0.000000,1.000000,-0.000060,-0.000010,-0.000006,-0.003665,-0.000617,-0.000366,-0.162962,-0.027537,-0.016296,-0.000000,-0.000019,-0.001122,0.264860,0.000001,-0.000008,-0.000000,0.002807,-0.016613,-0.000017,0.079040,-0.464335,-0.001046
0.065000,-0.000001,-0.000000,1.000000,-0.000064,-0.000011,-0.000006,-0.003830,-0.000645,-0.000383,-0.167540,-0.028317,-0.016754,-0.000000,-0.000020,-0.001172,0.264860,0.000001,-0.000008,-0.000000,0.002887,-0.017080,-0.000019,0.079877,-0.469088,-0.001092
0.066000,-0.000001,-0.000000,1.000000,-0.000068,-0.000011,-0.000007,-0.004000,-0.000674,-0.000400,-0.172164,-0.029104,-0.017216,-0.000000,-0.000021,-0.001224,0.264859,0.000001,-0.000008,-0.000000,0.002967,-0.017551,-0.000020,0.080703,-0.473771,-0.001140
0.067000,-0.000001,-0.000000,1.000000,-0.000072,-0.000012,-0.000007,-0.004174,-0.000703,-0.000417,-0.176833,-0.029900,-0.017683,-0.000000,-0.000022,-0.001278,0.264859,0.000001,-0.000008,-0.000000,0.003048,-0.018027,-0.000021,0.081518,-0.478383,-0.001188
0.068000,-0.000001,-0.000000,1.000000,-0.000076,-0.000013,-0.000008,-0.004353,-0.000734,-0.000435,-0.181547,-0.030703,-0.018155,-0.000000,-0.000023,-0.001332,0.264858,0.000001,-0.000008,-0.000000,0.003130,-0.018508,-0.000022,0.082322,-0.482926,-0.001238
