t,ref_x,ref_y,ref_z,sim_x,sim_y,sim_z,ref_vx,ref_vy,ref_vz,sim_vx,sim_vy,sim_vz,ref_thrust,ref_tx,ref_ty,ref_tz,ref_yaw,ref_ox,ref_oy,ref_oz,cmd_thrust,cmd_tx,cmd_ty,cmd_tz,mekf_roll,mekf_pitch,mekf_yaw,mekf_px,mekf_py,mekf_pz
0.000000,0.000000,0.000000,0.200000,0.000000,0.000000,0.200000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.264870,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.264870,0.000000,0.000000,0.000000,NaN,NaN,NaN,NaN,NaN,NaN
0.005000,0.000000,0.000000,0.200000,0.000000,0.000000,0.200000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000130,0.264835,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.264835,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.200000
0.010000,0.000000,0.000000,0.200000,0.000000,0.000000,0.200001,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000241,0.264805,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.264805,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.200001
0.015000,0.000000,0.000000,0.200000,0.000000,0.000000,0.200003,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000334,0.264779,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.264779,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.200002
0.020000,0.000000,0.000000,0.200000,0.000000,0.000000,0.200005,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000411,0.264757,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.264757,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.200004
0.025000,0.000000,0.000000,0.200000,0.000000,0.000000,0.200007,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000475,0.264739,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.264739,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.200006
0.030000,0.000000,0.000000,0.200000,0.000000,0.000000,0.200009,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000525,0.264724,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.264724,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.200009
0.035000,0.000000,0.000000,0.200000,0.000000,0.000000,0.200012,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000565,0.264713,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.264713,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.200011
0.040000,0.000000,0.000000,0.200000,0.000000,0.000000,0.200015,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000595,0.264703,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.264703,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.200014
0.045000,0.000000,0.000000,0.200000,0.000000,0.000000,0.200018,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000616,0.264696,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.264696,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.200017
0.050000,0.000000,0.000000,0.200000,0.000000,0.000000,0.200021,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000630,0.264691,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.264691,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.200021
0.055000,0.000000,0.000000,0.200000,0.000000,0.000000,0.200024,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000637,0.264688,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.264688,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.200024
0.060000,0.000000,0.000000,0.200000,0.000000,0.000000,0.200027,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000638,0.264687,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.264687,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.200027
0.065000,0.000000,0.000000,0.200000,0.000000,0.000000,0.200031,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000634,0.264686,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.264686,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.200030
0.070000,0.000000,0.000000,0.200000,0.000000,0.000000,0.200034,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000626,0.264687,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.264687,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.200034
0.075000,0.000000,0.000000,0.200000,0.000000,0.000000,0.200037,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000614,0.264689,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.264689,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.200037
0.080000,0.000000,0.000000,0.200000,0.000000,0.000000,0.200040,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000599,0.264692,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.264692,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.200040
0.085000,0.000000,0.000000,0.200000,0.000000,0.000000,0.200043,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000581,0.264696,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.264696,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.200043
0.090000,0.000000,0.000000,0.200000,0.000000,0.000000,0.200046,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000562,0.264700,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.264700,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.200046
