file,mode,tau,thrust_rate_limit,n_samples,mean_acc,max_acc,mean_jerk,max_jerk,mean_pos_err,max_pos_err
results/data/assignment5_closedloop_circle.csv,circle,,,2800,0.401977297699,3.427221025846,3.075965857849,104.665853075394,0.038631871906,0.403183736321
results/data/assignment5_closedloop_figure8_baseline.csv,figure8,,,2800,1.721451042326,5.463103850377,16.528663621945,694.596255676634,0.092838700701,0.447189374848
results/data/assignment5_closedloop_figure8_slow_before_gain.csv,figure8,,,5200,259459998.342210471630,16480483522.327789306641,13786926633.922925949097,717907674699.744140625000,17531108.594932626933,571829996.952063918114
results/data/assignment5_closedloop_figure8_tau0.01_R10.csv,figure8,0.01,10.0,2800,0.534165848306,2.913235019699,2.478049789710,72.746331866287,0.008498469838,0.095938008933
results/data/assignment5_closedloop_figure8_tau0.01_R20.csv,figure8,0.01,20.0,2800,0.534165848306,2.913235019699,2.478049789710,72.746331866287,0.008498469838,0.095938008933
results/data/assignment5_closedloop_figure8_tau0.01_R40.csv,figure8,0.01,40.0,2800,0.534165848306,2.913235019699,2.478049789710,72.746331866287,0.008498469838,0.095938008933
results/data/assignment5_closedloop_figure8_tau0.01_R5.csv,figure8,0.01,5.0,2800,0.534165848306,2.913235019699,2.478049789710,72.746331866287,0.008498469838,0.095938008933
results/data/assignment5_closedloop_figure8_tau0.02_R10.csv,figure8,0.02,10.0,2800,0.534165848306,2.913235019699,2.478049789710,72.746331866287,0.008498469838,0.095938008933
results/data/assignment5_closedloop_figure8_tau0.02_R20.csv,figure8,0.02,20.0,2800,0.534165848306,2.913235019699,2.478049789710,72.746331866287,0.008498469838,0.095938008933
results/data/assignment5_closedloop_figure8_tau0.02_R40.csv,figure8,0.02,40.0,2800,0.534165848306,2.913235019699,2.478049789710,72.746331866287,0.008498469838,0.095938008933
results/data/assignment5_closedloop_figure8_tau0.02_R5.csv,figure8,0.02,5.0,2800,0.534165848306,2.913235019699,2.478049789710,72.746331866287,0.008498469838,0.095938008933
results/data/assignment5_closedloop_figure8_tau0.03_R10.csv,figure8,0.03,10.0,2800,0.534165848306,2.913235019699,2.478049789710,72.746331866287,0.008498469838,0.095938008933
results/data/assignment5_closedloop_figure8_tau0.03_R20.csv,figure8,0.03,20.0,2800,0.534165848306,2.913235019699,2.478049789710,72.746331866287,0.008498469838,0.095938008933
results/data/assignment5_closedloop_figure8_tau0.03_R40.csv,figure8,0.03,40.0,2800,0.534165848306,2.913235019699,2.478049789710,72.746331866287,0.008498469838,0.095938008933
results/data/assignment5_closedloop_figure8_tau0.03_R5.csv,figure8,0.03,5.0,2800,0.534165848306,2.913235019699,2.478049789710,72.746331866287,0.008498469838,0.095938008933
results/data/assignment5_closedloop_figure8_tau0.05_R10.csv,figure8,0.05,10.0,2800,0.534165848306,2.913235019699,2.478049789710,72.746331866287,0.008498469838,0.095938008933
results/data/assignment5_closedloop_figure8_tau0.05_R20.csv,figure8,0.05,20.0,2800,0.534165848306,2.913235019699,2.478049789710,72.746331866287,0.008498469838,0.095938008933
results/data/assignment5_closedloop_figure8_tau0.05_R40.csv,figure8,0.05,40.0,2800,0.534165848306,2.913235019699,2.478049789710,72.746331866287,0.008498469838,0.095938008933
results/data/assignment5_closedloop_figure8_tau0.05_R5.csv,figure8,0.05,5.0,2800,0.534165848306,2.913235019699,2.478049789710,72.746331866287,0.008498469838,0.095938008933
results/data/assignment5_closedloop_hover.csv,hover,,,1600,0.031004250000,0.525200000000,0.323450000000,21.440000000000,0.007635402500,0.049999000000
