time,x,y,z,vx,vy,vz,qw,qx,qy,qz,wx,wy,wz
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.010000,0.000000,0.000000,0.000002,0.000000,0.000000,0.000228,1.000000,0.000000,0.000000,0.000021,0.000000,0.000000,0.004272
0.020000,0.000000,0.000000,0.000006,0.000000,0.000000,0.000399,1.000000,0.000000,0.000000,0.000080,0.000000,0.000000,0.011747
0.030000,0.000000,0.000000,0.000012,0.000000,0.000000,0.000527,1.000000,0.000000,0.000000,0.000188,0.000000,0.000000,0.021626
0.040000,0.000000,0.000000,0.000018,0.000000,0.000000,0.000623,1.000000,0.000000,0.000000,0.000355,0.000000,0.000000,0.033307
0.050000,0.000000,0.000000,0.000025,0.000000,0.000000,0.000695,1.000000,0.000000,0.000000,0.000586,0.000000,0.000000,0.046339
0.060000,0.000000,-0.000000,0.000032,0.000000,-0.000000,0.000749,1.000000,0.000000,0.000000,0.000888,0.000000,0.000000,0.060385
0.070000,0.000000,-0.000000,0.000040,0.000000,-0.000000,0.000789,0.999999,0.000000,0.000000,0.001264,0.000000,0.000000,0.075191
0.080000,0.000000,-0.000000,0.000048,0.000000,-0.000000,0.000820,0.999999,0.000000,0.000000,0.001717,0.000000,0.000000,0.090568
0.090000,0.000000,-0.000000,0.000057,0.000000,-0.000000,0.000843,0.999998,0.000000,0.000000,0.002249,0.000000,0.000000,0.106372
0.100000,0.000000,-0.000000,0.000065,0.000000,-0.000000,0.000860,0.999996,0.000000,0.000000,0.002862,0.000000,0.000000,0.122497
0.110000,0.000000,-0.000000,0.000074,0.000000,-0.000000,0.000873,0.999994,0.000000,0.000000,0.003556,0.000000,0.000000,0.138863
0.120000,0.000000,-0.000000,0.000083,0.000000,-0.000000,0.000882,0.999991,0.000000,0.000000,0.004333,0.000000,0.000000,0.155409
0.130000,0.000000,-0.000000,0.000092,0.000000,-0.000000,0.000889,0.999987,0.000000,0.000000,0.005193,-0.000000,0.000000,0.172090
0.140000,0.000000,-0.000000,0.000101,0.000000,-0.000000,0.000895,0.999981,0.000000,0.000000,0.006138,0.000000,0.000000,0.188873
0.150000,0.000000,-0.000000,0.000110,0.000000,-0.000000,0.000899,0.999974,0.000000,0.000000,0.007166,-0.000000,0.000000,0.205732
0.160000,0.000000,-0.000000,0.000119,0.000000,-0.000000,0.000902,0.999966,0.000000,0.000000,0.008279,-0.000000,0.000000,0.222647
0.170000,0.000000,-0.000000,0.000128,0.000000,-0.000000,0.000904,0.999955,0.000000,0.000000,0.009477,-0.000000,-0.000000,0.239606
0.180000,0.000000,-0.000000,0.000137,0.000000,-0.000000,0.000906,0.999942,0.000000,0.000000,0.010760,-0.000000,0.000000,0.256597
0.190000,0.000000,-0.000000,0.000146,0.000000,-0.000000,0.000907,0.999927,0.000000,0.000000,0.012128,-0.000000,-0.000000,0.273611
