time_ms,vel_x,vel_y,vel_z,roll,pitch,yaw,range_z,gyro_x,gyro_y,gyro_z,ekf_x,ekf_y,acc_x,acc_y,acc_z,flow_dx,flow_dy
0,0.0014,0.0029,0.0032,-0.40,1.58,-51.51,0.010,-0.273,-0.057,-0.165,-1.5169,1.4192,0.0281,-0.0028,1.0011,0.00,7.00
100,0.0043,-0.0088,0.0035,-0.36,1.49,-51.46,0.010,-0.021,0.117,0.117,-1.5163,1.4178,0.0284,-0.0039,1.0020,5.00,-8.00
202,0.0074,-0.0045,0.0036,-0.41,1.50,-51.41,0.006,0.068,-0.324,-0.069,-1.5172,1.4190,0.0267,-0.0049,1.0034,-2.00,0.00
302,0.0049,0.0064,0.0039,-0.44,1.58,-51.36,0.006,0.069,-0.189,-0.049,-1.5170,1.4169,0.0275,-0.0036,1.0018,-7.00,7.00
404,0.0081,-0.0020,0.0042,-0.42,1.51,-51.31,0.006,-0.060,0.236,-0.074,-1.5167,1.4172,0.0277,-0.0040,1.0017,6.00,-8.00
506,0.0028,0.0043,-0.0046,-0.42,1.58,-51.26,0.006,-0.052,-0.192,0.008,-1.5164,1.4193,0.0279,-0.0038,1.0009,0.00,4.00
607,0.0042,-0.0067,-0.0043,-0.37,1.50,-51.21,0.006,0.034,-0.162,-0.164,-1.5164,1.4172,0.0283,-0.0057,0.9999,-3.00,-3.00
709,0.0061,-0.0048,-0.0041,-0.39,1.50,-51.16,0.006,-0.013,0.081,-0.157,-1.5169,1.4178,0.0290,-0.0059,1.0026,6.00,4.00
811,0.0072,0.0069,-0.0039,-0.46,1.57,-51.11,0.011,-0.087,0.024,0.265,-1.5160,1.4178,0.0292,-0.0065,1.0025,-8.00,0.00
913,0.0075,-0.0047,-0.0033,-0.40,1.50,-51.06,0.011,-0.162,-0.006,-0.219,-1.5175,1.4176,0.0296,-0.0047,1.0025,0.00,4.00
1015,0.0045,-0.0007,-0.0030,-0.40,1.54,-51.02,0.011,-0.286,-0.105,0.348,-1.5162,1.4187,0.0299,-0.0055,1.0016,3.00,-4.00
1117,0.0093,-0.0009,0.0031,-0.43,1.51,-50.97,0.011,-0.026,0.186,0.051,-1.5167,1.4194,0.0283,-0.0071,1.0025,2.00,-3.00
1217,0.0009,-0.0016,0.0032,-0.37,1.55,-50.92,0.009,-0.021,-0.190,-0.263,-1.5167,1.4183,0.0277,-0.0081,1.0022,-2.00,7.00
1318,0.0081,0.0043,0.0033,-0.44,1.55,-50.87,0.009,-0.277,-0.210,0.117,-1.5166,1.4176,0.0271,-0.0052,1.0009,4.00,-3.00
1420,0.0050,0.0075,0.0036,-0.44,1.59,-50.82,0.009,-0.199,-0.272,-0.211,-1.5172,1.4190,0.0297,-0.0054,0.9998,-3.00,3.00
1520,0.0051,0.0014,0.0026,-0.41,1.55,-50.77,0.009,0.201,-0.106,-0.244,-1.5175,1.4180,0.0292,-0.0073,1.0008,-4.00,-2.00
1622,0.0056,-0.0027,0.0029,-0.39,1.52,-50.72,0.009,-0.195,-0.365,-0.031,-1.5174,1.4188,0.0292,-0.0069,1.0013,2.00,2.00
1723,0.0023,0.0048,0.0032,-0.41,1.59,-50.67,0.009,-0.278,-0.200,-0.167,-1.5165,1.4190,0.0285,-0.0059,0.9994,1.00,-2.00
1824,0.0008,-0.0009,0.0035,-0.38,1.56,-50.63,0.011,-0.135,-0.076,0.119,-1.5171,1.4191,0.0282,-0.0046,1.0024,-1.00,-2.00
1925,0.0012,0.0039,0.0037,-0.40,1.59,-50.58,0.011,-0.069,-0.249,0.135,-1.5170,1.4187,0.0306,-0.0062,1.0023,3.00,-1.00
2026,0.0062,0.0049,0.0038,-0.44,1.57,-50.53,0.011,-0.012,-0.159,-0.073,-1.5166,1.4185,0.0309,-0.0046,1.0023,3.00,-2.00
2127,0.0029,0.0049,0.0070,-0.42,1.59,-50.48,0.011,0.008,0.209,-0.021,-1.5169,1.4179,0.0298,-0.0061,0.9993,-2.00,0.00
2228,0.0035,0.0021,0.0071,-0.41,1.57,-50.43,0.011,-0.179,0.193,0.102,-1.5171,1.4172,0.0281,-0.0072,0.9998,-4.00,3.00
2329,0.0057,0.0010,0.0072,-0.42,1.55,-50.38,0.011,0.103,-0.213,-0.215,-1.5168,1.4175,0.0272,-0.0077,1.0008,6.00,-1.00
2431,0.0038,-0.0021,0.0074,-0.39,1.54,-50.33,0.011,-0.029,0.048,-0.195,-1.5166,1.4185,0.0270,-0.0043,1.0042,-2.00,-2.00
2531,0.0026,-0.0059,0.0087,-0.36,1.52,-50.29,0.011,-0.028,0.079,-0.212,-1.5174,1.4176,0.0264,-0.0052,1.0015,2.00,3.00
2632,0.0046,-0.0043,0.0090,-0.38,1.52,-50.24,0.011,-0.284,0.064,0.031,-1.5168,1.4175,0.0287,-0.0061,1.0013,-1.00,-3.00
2733,0.0060,0.0012,0.0090,-0.42,1.55,-50.19,0.011,-0.251,-0.338,-0.028,-1.5175,1.4177,0.0273,-0.0051,0.9995,-1.00,7.00
2835,0.0013,-0.0041,0.0091,-0.36,1.54,-50.14,0.009,-0.201,-0.194,0.227,-1.5170,1.4174,0.0265,-0.0057,0.9988,-4.00,-7.00
2935,0.0043,-0.0044,0.0091,-0.38,1.53,-50.10,0.009,-0.393,0.132,0.163,-1.5177,1.4186,0.0269,-0.0050,0.9989,3.00,-1.00
0,0.0003,-0.0029,0.0095,-0.37,1.55,-50.05,0.009,0.092,-0.491,-0.133,-1.5162,1.4180,0.0293,-0.0051,0.9999,1.00,8.00
51,0.0034,-0.0044,0.0046,-0.38,1.53,-50.00,0.009,0.045,0.025,-0.188,-1.5165,1.4175,0.0283,-0.0039,1.0016,2.00,-7.00
103,-0.0009,0.0025,0.0047,-0.39,1.59,-49.95,0.010,-0.373,-0.025,0.387,-1.5177,1.4186,0.0304,-0.0037,1.0028,-5.00,-1.00
155,0.0079,-0.0006,0.0049,-0.43,1.53,-49.90,0.010,-0.109,-0.098,0.465,-1.5171,1.4173,0.0321,-0.0036,1.0029,0.00,4.00
206,0.0057,-0.0036,0.0049,-0.40,1.52,-49.85,0.010,-0.249,-0.187,-0.158,-1.5162,1.4178,0.0299,-0.0037,1.0016,0.00,4.00
257,-0.0013,0.0031,0.0037,-0.39,1.60,-49.81,0.010,-0.134,-0.341,0.149,-1.5167,1.4184,0.0282,-0.0039,1.0015,-7.00,0.00
308,0.0023,-0.0047,0.0038,-0.38,1.53,-49.76,0.010,-0.206,-0.105,0.359,-1.5172,1.4190,0.0293,-0.0027,1.0007,2.00,0.00
360,0.0076,-0.0015,0.0039,-0.42,1.52,-49.71,0.010,-0.100,0.035,0.198,-1.5162,1.4199,0.0278,-0.0045,0.9980,6.00,0.00
411,0.0046,0.0022,0.0042,-0.42,1.56,-49.66,0.012,-0.090,0.077,-0.008,-1.5165,1.4197,0.0274,-0.0063,0.9998,0.00,-8.00
463,0.0019,0.0054,0.0045,-0.42,1.60,-49.62,0.012,-0.047,-0.154,0.340,-1.5174,1.4189,0.0251,-0.0040,1.0004,1.00,4.00
514,0.0083,0.0104,0.0047,-0.49,1.60,-49.57,0.012,-0.070,0.172,0.002,-1.5164,1.4177,0.0270,-0.0045,0.9997,0.00,4.00
565,0.0064,0.0087,0.0082,-0.46,1.60,-49.52,0.012,0.115,0.024,-0.411,-1.5170,1.4182,0.0310,-0.0056,1.0030,-1.00,-8.00
616,0.0013,0.0041,0.0086,-0.40,1.59,-49.47,0.010,-0.034,-0.232,-0.055,-1.5176,1.4188,0.0291,-0.0078,1.0025,3.00,0.00
668,0.0074,-0.0028,0.0086,-0.40,1.52,-49.42,0.010,-0.176,-0.246,-0.131,-1.5164,1.4177,0.0281,-0.0064,1.0005,-5.00,8.00
719,0.0034,0.0001,0.0085,-0.39,1.56,-49.37,0.010,-0.362,-0.040,-0.047,-1.5168,1.4173,0.0299,-0.0052,1.0024,-3.00,0.00
771,0.0003,0.0036,0.0051,-0.39,1.60,-49.33,0.010,0.119,-0.021,-0.110,-1.5171,1.4192,0.0282,-0.0055,1.0014,4.00,-3.00
823,0.0071,-0.0023,0.0052,-0.40,1.52,-49.28,0.010,-0.182,-0.077,-0.043,-1.5166,1.4196,0.0265,-0.0087,1.0006,-1.00,3.00
874,0.0045,-0.0045,0.0055,-0.38,1.52,-49.23,0.010,-0.296,-0.208,-0.111,-1.5168,1.4186,0.0294,-0.0077,0.9998,0.00,-5.00
925,0.0028,0.0059,0.0058,-0.42,1.60,-49.18,0.011,0.183,-0.021,-0.195,-1.5171,1.4192,0.0301,-0.0063,1.0007,4.00,1.00
977,0.0052,0.0078,0.0059,-0.45,1.60,-49.14,0.011,-0.078,-0.028,-0.078,-1.5164,1.4184,0.0297,-0.0053,1.0006,-6.00,4.00
1028,0.0040,0.0020,0.0064,-0.41,1.57,-49.09,0.011,-0.110,-0.076,-0.127,-1.5172,1.4180,0.0301,-0.0055,1.0029,0.00,-1.00
1080,0.0027,0.0052,0.0057,-0.42,1.60,-49.04,0.011,-0.043,-0.417,-0.251,-1.5168,1.4194,0.0274,-0.0051,0.9999,1.00,-2.00
1131,0.0062,0.0007,0.0060,-0.42,1.55,-49.00,0.011,-0.133,-0.097,0.081,-1.5166,1.4193,0.0273,-0.0065,1.0019,2.00,0.00
1182,0.0018,-0.0014,0.0061,-0.38,1.56,-48.95,0.011,-0.259,-0.035,-0.184,-1.5165,1.4189,0.0295,-0.0046,1.0018,3.00,-4.00
1234,0.0040,0.0061,0.0061,-0.44,1.59,-48.90,0.011,-0.100,0.254,-0.331,-1.5168,1.4186,0.0288,-0.0058,1.0013,-6.00,7.00
