time_ms,vel_x,vel_y,vel_z,roll,pitch,yaw,range_z,gyro_x,gyro_y,gyro_z,ekf_x,ekf_y,acc_x,acc_y,acc_z
0,0.0013,-0.0015,0.0102,-1.14,0.79,-59.20,0.009,0.033,0.000,0.136,0.0211,1.4164,0.0155,-0.0182,1.0001
101,0.0012,-0.0015,0.0104,-1.14,0.78,-59.15,0.009,-0.162,-0.116,-0.116,0.0212,1.4164,0.0167,-0.0210,0.9984
201,0.0043,-0.0043,0.0064,-1.15,0.75,-59.09,0.009,0.075,0.117,0.023,0.0207,1.4171,0.0164,-0.0225,1.0004
302,0.0044,-0.0044,0.0065,-1.15,0.75,-59.03,0.009,-0.317,-0.020,0.191,0.0212,1.4164,0.0144,-0.0232,1.0015
404,0.0046,-0.0046,0.0065,-1.15,0.75,-58.98,0.009,-0.169,0.066,-0.130,0.0209,1.4163,0.0142,-0.0201,0.9988
505,0.0024,-0.0006,0.0066,-1.15,0.79,-58.92,0.008,-0.187,-0.048,0.105,0.0205,1.4164,0.0138,-0.0205,1.0019
607,0.0046,-0.0044,0.0065,-1.15,0.75,-58.87,0.008,-0.339,-0.115,0.154,0.0209,1.4163,0.0136,-0.0207,1.0039
708,0.0030,-0.0053,0.0012,-1.14,0.75,-58.81,0.008,-0.036,-0.155,-0.180,0.0204,1.4170,0.0144,-0.0192,1.0025
808,0.0008,-0.0048,0.0014,-1.13,0.77,-58.75,0.008,0.126,0.120,-0.128,0.0205,1.4170,0.0164,-0.0186,0.9996
910,0.0025,-0.0051,0.0013,-1.14,0.76,-58.70,0.007,-0.010,-0.280,0.147,0.0209,1.4163,0.0148,-0.0194,1.0013
1011,0.0004,-0.0014,0.0014,-1.14,0.79,-58.64,0.007,-0.210,0.135,0.079,0.0206,1.4167,0.0129,-0.0180,1.0013
1112,0.0003,-0.0014,0.0018,-1.14,0.79,-58.58,0.007,0.052,0.213,0.050,0.0209,1.4163,0.0127,-0.0173,0.9987
1213,0.0024,-0.0049,-0.0033,-1.14,0.76,-58.53,0.007,-0.089,-0.107,-0.118,0.0203,1.4172,0.0147,-0.0205,1.0000
1313,0.0011,-0.0025,-0.0032,-1.14,0.78,-58.47,0.007,0.079,-0.019,0.098,0.0200,1.4182,0.0145,-0.0206,1.0012
1414,0.0025,-0.0047,-0.0031,-1.14,0.76,-58.42,0.007,-0.087,0.007,0.068,0.0204,1.4170,0.0134,-0.0197,1.0008
1516,-0.0002,0.0001,-0.0029,-1.14,0.80,-58.36,0.007,-0.003,-0.165,0.030,0.0204,1.4170,0.0170,-0.0184,0.9973
1617,-0.0016,0.0054,-0.0030,-1.15,0.84,-58.30,0.007,-0.222,-0.430,0.155,0.0207,1.4171,0.0178,-0.0184,1.0002
1718,0.0008,-0.0010,-0.0057,-1.14,0.79,-58.25,0.007,-0.453,0.309,-0.061,0.0207,1.4171,0.0160,-0.0180,1.0019
1819,0.0007,-0.0011,-0.0057,-1.14,0.79,-58.19,0.007,-0.147,-0.325,0.367,0.0205,1.4173,0.0137,-0.0184,1.0019
1921,0.0018,-0.0004,-0.0055,-1.15,0.79,-58.14,0.008,-0.068,-0.100,-0.015,0.0206,1.4161,0.0158,-0.0185,0.9998
2022,0.0020,-0.0005,-0.0056,-1.15,0.79,-58.08,0.008,-0.218,-0.128,-0.045,0.0203,1.4166,0.0158,-0.0195,1.0009
