time_ms,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,roll,pitch,yaw,thrust,vbat,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,rate_roll,rate_pitch,rate_yaw,range_z,flow_dx,flow_dy,mekf_roll,mekf_pitch,mekf_yaw,mekf_x,mekf_y,mekf_z
0,0.1889,0.0510,0.0089,-0.0027,-0.0115,0.0029,-1.67,1.11,-119.41,0,4.154,0.180,-0.122,-0.134,0.022,-0.028,0.000,0.000,0.000,0.000,0.0050,1,-2,0.00,0.00,0.00,0.0000,0.0000,0.0000
51,0.1898,0.0520,0.0072,0.0012,-0.0067,-0.0050,-1.66,1.09,-118.92,0,4.144,-0.211,-0.078,0.012,0.023,-0.026,0.000,0.000,0.000,0.000,0.0100,0,0,0.00,0.00,0.00,0.0000,0.0000,0.0000
101,0.1894,0.0524,0.0084,0.0001,-0.0051,0.0015,-1.66,1.12,-118.43,0,4.154,-0.021,-0.323,0.005,0.018,-0.029,0.000,0.000,0.000,0.000,0.0100,0,2,0.00,0.00,0.00,0.0000,0.0000,0.0000
153,0.1887,0.0509,0.0093,-0.0027,-0.0112,0.0054,-1.66,1.10,-117.94,0,4.144,0.075,-0.237,-0.629,0.023,-0.024,0.000,0.000,0.000,0.000,0.0100,3,5,0.00,0.00,0.00,0.0000,0.0000,0.0000
203,0.1896,0.0504,0.0099,0.0014,-0.0138,0.0071,-1.65,1.13,-117.45,0,4.154,-0.320,0.081,-0.079,0.024,-0.027,0.000,0.000,0.000,0.000,0.0090,0,0,0.00,0.00,0.00,0.0000,0.0000,0.0000
255,0.1894,0.0524,0.0098,0.0006,-0.0048,0.0056,-1.65,1.12,-116.97,0,4.144,-0.119,-0.058,0.064,0.022,-0.028,0.000,0.000,0.000,0.000,0.0120,-3,-6,0.00,0.00,0.00,0.0000,0.0000,0.0000
306,0.1895,0.0521,0.0112,0.0003,-0.0060,0.0114,-1.70,1.03,-116.48,0,4.154,-0.112,-0.222,0.004,0.023,-0.030,0.000,0.000,0.000,0.000,0.0090,0,0,0.00,0.00,0.00,0.0000,0.0000,0.0000
357,0.1895,0.0523,0.0107,0.0001,-0.0048,0.0077,-1.65,1.12,-116.00,0,4.144,-0.044,0.006,-0.321,0.026,-0.030,0.000,0.000,0.000,0.000,0.0100,-3,-4,0.00,0.00,0.00,0.0000,0.0000,0.0000
408,0.1895,0.0522,0.0106,-0.0006,-0.0052,0.0057,-1.69,1.06,-115.52,0,4.154,-0.415,-0.048,-0.076,0.020,-0.028,0.000,0.000,0.000,0.000,0.0090,-3,-5,0.00,0.00,0.00,0.0000,0.0000,0.0000
459,0.1894,0.0521,0.0101,-0.0007,-0.0057,0.0026,-1.69,1.05,-115.04,0,4.144,0.232,-0.029,-0.245,0.022,-0.029,0.000,0.000,0.000,0.000,0.0050,0,0,0.00,0.00,0.00,0.0000,0.0000,0.0000
509,0.1893,0.0520,0.0077,-0.0014,-0.0061,-0.0087,-1.65,1.11,-114.66,0,4.154,-0.345,0.121,0.071,0.024,-0.029,0.000,0.000,0.000,0.000,0.0100,0,0,0.00,0.00,0.00,0.0000,0.0000,0.0000
561,0.1894,0.0520,0.0084,-0.0008,-0.0068,-0.0034,-1.66,1.11,-114.08,0,4.144,-0.034,0.141,-0.275,0.024,-0.028,0.000,0.000,0.000,0.000,0.0100,0,2,0.00,0.00,0.00,0.0000,0.0000,0.0000
612,0.1891,0.0513,0.0091,-0.0021,-0.0097,0.0010,-1.66,1.12,-113.60,0,4.154,-0.135,-0.144,-0.077,0.025,-0.028,0.000,0.000,0.000,0.000,0.0080,7,9,0.00,0.00,0.00,0.0000,0.0000,0.0000
663,0.1892,0.0516,0.0086,-0.0013,-0.0085,-0.0016,-1.67,1.13,-113.22,0,4.144,0.063,0.135,-0.263,0.023,-0.026,0.000,0.000,0.000,0.000,0.0080,0,0,0.00,0.00,0.00,0.0000,0.0000,0.0000
714,0.1894,0.0520,0.0083,-0.0010,-0.0073,-0.0021,-1.66,1.12,-112.74,0,4.154,-0.330,-0.100,-0.442,0.024,-0.028,0.000,0.000,0.000,0.000,0.0100,0,0,0.00,0.00,0.00,0.0000,0.0000,0.0000
765,0.1894,0.0516,0.0090,-0.0009,-0.0087,0.0010,-1.66,1.11,-112.27,0,4.144,0.009,-0.072,-0.161,0.020,-0.027,0.000,0.000,0.000,0.000,0.0110,-3,-5,0.00,0.00,0.00,0.0000,0.0000,0.0000
816,0.1893,0.0511,0.0101,-0.0007,-0.0106,0.0061,-1.71,1.02,-111.80,0,4.154,-0.147,0.134,-0.220,0.023,-0.026,0.000,0.000,0.000,0.000,0.0060,4,5,0.00,0.00,0.00,0.0000,0.0000,0.0000
867,0.1903,0.0486,0.0084,0.0032,-0.0204,-0.0028,-1.65,1.13,-111.34,0,4.144,-0.073,0.073,-0.024,0.022,-0.027,0.000,0.000,0.000,0.000,0.0060,0,0,0.00,0.00,0.00,0.0000,0.0000,0.0000
918,0.1893,0.0514,0.0071,-0.0018,-0.0082,-0.0072,-1.66,1.13,-110.87,0,4.154,-0.236,-0.006,0.063,0.021,-0.029,0.000,0.000,0.000,0.000,0.0120,0,0,0.00,0.00,0.00,0.0000,0.0000,0.0000
