time_ms,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,roll,pitch,yaw,thrust,vbat,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,rate_roll,rate_pitch,rate_yaw,range_z,flow_dx,flow_dy,mekf_roll,mekf_pitch,mekf_yaw,mekf_x,mekf_y,mekf_z,our_ref_x,our_ref_y,our_ref_z,our_thrust,our_roll_cmd,our_pitch_cmd,our_yaw_rate_cmd
0,0.8304,0.8407,0.0097,0.0004,0.0065,0.0055,-2.30,1.14,-2.26,0,4.070,0.144,0.211,-0.537,0.022,-0.040,0.998,0.000,0.000,0.000,0.0120,-5,5,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00
101,0.8305,0.8393,0.0109,0.0028,-0.0029,0.0105,-2.28,1.10,-2.26,0,4.075,0.042,0.033,0.069,0.021,-0.045,0.999,0.000,0.000,0.000,0.0070,5,-2,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00
201,0.8295,0.8406,0.0097,-0.0013,0.0030,0.0018,-2.24,1.08,-2.24,0,4.070,-0.223,0.141,0.270,0.018,-0.042,1.001,0.000,0.000,0.000,0.0090,-1,4,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00
302,0.8303,0.8393,0.0095,0.0033,-0.0048,0.0009,-2.24,1.09,-2.22,0,4.075,-0.245,-0.111,-0.187,0.022,-0.041,0.999,0.000,0.000,0.000,0.0100,1,2,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00
404,0.8299,0.8404,0.0097,0.0022,0.0007,0.0026,-2.27,1.08,-2.22,0,4.075,-0.047,0.271,-0.124,0.022,-0.042,1.002,0.000,0.000,0.000,0.0090,-8,-4,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00
504,0.8287,0.8394,0.0095,-0.0039,-0.0059,0.0013,-2.30,1.08,-2.21,0,4.075,0.050,0.106,-0.205,0.022,-0.042,0.998,0.000,0.000,0.000,0.0090,8,1,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00
605,0.8299,0.8410,0.0094,0.0036,0.0025,0.0002,-2.22,1.07,-2.19,0,4.070,0.228,-0.001,-0.121,0.019,-0.041,0.999,0.000,0.000,0.000,0.0110,0,-1,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00
706,0.8291,0.8401,0.0101,-0.0004,-0.0036,0.0044,-2.24,1.08,-2.19,0,4.075,-0.029,0.067,0.147,0.022,-0.042,0.999,0.000,0.000,0.000,0.0100,-7,1,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00
808,0.8302,0.8396,0.0102,0.0065,-0.0060,0.0041,-2.29,1.05,-2.18,0,4.075,-0.172,0.332,0.236,0.020,-0.041,1.002,0.000,0.000,0.000,0.0100,-8,4,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00
909,0.8304,0.8394,0.0103,0.0074,-0.0081,0.0041,-2.28,1.07,-2.17,0,4.075,0.131,-0.042,0.227,0.020,-0.041,1.000,0.000,0.000,0.000,0.0080,-9,-1,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00
1010,0.8293,0.8395,0.0095,0.0005,-0.0079,0.0002,-2.29,1.07,-2.16,0,4.075,0.022,0.149,-0.016,0.020,-0.044,1.000,0.000,0.000,0.000,0.0090,8,4,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00
1110,0.8301,0.8412,0.0093,0.0056,0.0013,-0.0001,-2.22,1.08,-2.14,0,4.075,-0.296,0.018,0.032,0.022,-0.040,1.002,0.000,0.000,0.000,0.0090,2,1,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00
1212,0.8297,0.8410,0.0092,0.0036,0.0007,0.0002,-2.27,1.07,-2.14,0,4.070,-0.179,-0.132,-0.117,0.019,-0.042,1.001,0.000,0.000,0.000,0.0090,3,6,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00
1313,0.8305,0.8412,0.0091,0.0083,0.0009,0.0002,-2.27,1.09,-2.12,0,4.075,-0.100,0.191,0.098,0.021,-0.041,1.000,0.000,0.000,0.000,0.0080,-8,3,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00
1413,0.8299,0.8394,0.0087,0.0047,-0.0095,-0.0015,-2.30,1.10,-2.12,0,4.070,-0.056,-0.038,-0.332,0.022,-0.045,0.996,0.000,0.000,0.000,0.0100,8,1,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00
1514,0.8298,0.8410,0.0093,0.0043,-0.0000,0.0023,-2.22,1.07,-2.11,0,4.075,0.030,0.070,-0.068,0.017,-0.043,1.002,0.000,0.000,0.000,0.0120,7,4,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00
1565,0.8299,0.8411,0.0105,0.0050,-0.0002,0.0088,-2.23,1.09,-2.09,0,4.070,-0.156,0.004,0.011,0.021,-0.041,0.998,0.000,0.000,0.000,0.0070,2,0,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00
1617,0.8297,0.8410,0.0093,0.0044,-0.0006,-0.0001,-2.28,1.06,-2.09,0,4.075,-0.276,-0.129,-0.253,0.018,-0.043,1.003,0.000,0.000,0.000,0.0100,-14,20,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00
