time_ms,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,roll,pitch,yaw,thrust,vbat,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,rate_roll,rate_pitch,rate_yaw,range_z,flow_dx,flow_dy,mekf_roll,mekf_pitch,mekf_yaw,mekf_x,mekf_y,mekf_z,our_ref_x,our_ref_y,our_ref_z,our_thrust,our_roll_cmd,our_pitch_cmd,our_yaw_rate_cmd,multi_front,multi_back,multi_left,multi_right,multi_up,ai_feat_count
0,-0.8852,0.6689,0.0087,0.0348,-0.0013,0.0039,0.99,0.67,-81.65,0,4.059,-0.015,0.085,0.076,0.010,0.012,1.001,0.000,0.000,0.000,0.0090,-5,0,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.9380,0.2170,1.3990,0.4010,2.6960,0
101,-0.8812,0.6693,0.0089,0.0459,0.0011,0.0038,1.03,0.68,-81.27,0,4.054,0.034,-0.030,0.136,0.012,0.014,1.001,0.000,0.000,0.000,0.0100,-8,-1,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.9330,0.2190,1.3990,0.4010,2.6960,0
202,-0.8853,0.6697,0.0097,0.0136,0.0031,0.0073,1.00,0.70,-80.90,0,4.059,0.100,-0.298,-0.246,0.008,0.015,1.000,0.000,0.000,0.000,0.0110,-10,0,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.9330,0.2190,1.3860,0.4050,2.7020,0
304,-0.8832,0.6691,0.0101,0.0177,-0.0003,0.0077,0.84,0.74,-80.52,0,4.059,-0.101,-0.254,-0.212,0.010,0.012,1.002,0.000,0.000,0.000,0.0110,-7,-4,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.9260,0.2220,1.3860,0.4050,2.7020,0
406,-0.8733,0.6725,0.0109,0.0571,0.0162,0.0096,0.70,0.73,-80.16,0,4.059,-0.074,-0.356,0.095,0.010,0.012,1.002,0.000,0.000,0.000,0.0110,14,0,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.9260,0.2220,1.3890,0.4100,2.6900,0
508,-0.8695,0.6777,0.0112,0.0624,0.0413,0.0092,0.89,0.94,-79.78,0,4.059,0.123,-0.054,-0.138,0.011,0.014,0.999,0.000,0.000,0.000,0.0100,13,-3,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.9310,0.2150,1.3890,0.4100,2.6900,0
609,-0.8722,0.6765,0.0113,0.0377,0.0276,0.0073,0.94,0.89,-79.42,0,4.054,0.192,-0.062,0.193,0.008,0.012,1.001,0.000,0.000,0.000,0.0090,7,0,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.9310,0.2150,1.3920,0.4060,2.6910,0
712,-0.8737,0.6777,0.0118,0.0213,0.0294,0.0086,1.17,0.91,-79.13,0,4.054,0.162,-0.248,0.023,0.010,0.013,1.000,0.000,0.000,0.000,0.0070,0,0,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.9430,0.2200,1.3920,0.4060,2.6910,0
812,-0.8768,0.6775,0.0093,0.0015,0.0230,-0.0052,1.03,0.82,-78.76,0,4.059,0.035,-0.022,0.415,0.012,0.013,1.000,0.000,0.000,0.000,0.0110,7,1,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.9430,0.2200,1.3860,0.4080,2.6980,0
914,-0.8761,0.6767,0.0091,0.0016,0.0135,-0.0042,1.04,0.77,-78.41,0,4.059,-0.048,-0.016,-0.203,0.009,0.013,0.999,0.000,0.000,0.000,0.0080,7,-2,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.9350,0.2190,1.3860,0.4080,2.6980,0
1015,-0.8765,0.6781,0.0091,-0.0024,0.0184,-0.0040,1.08,0.78,-78.04,0,4.054,0.359,0.090,-0.076,0.010,0.013,1.001,0.000,0.000,0.000,0.0110,-1,1,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.9350,0.2190,1.3940,0.4110,2.6930,0
1117,-0.8777,0.6768,0.0090,-0.0106,0.0079,-0.0030,1.10,0.72,-77.69,0,4.059,0.281,0.058,0.003,0.013,0.012,1.000,0.000,0.000,0.000,0.0100,15,2,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.9330,0.2130,1.3940,0.4110,2.6930,0
1218,-0.8777,0.6771,0.0100,-0.0112,0.0071,0.0019,0.98,0.73,-77.33,0,4.059,0.160,0.008,-0.051,0.014,0.014,1.002,0.000,0.000,0.000,0.0090,2,-15,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.9330,0.2130,1.3860,0.4080,2.6850,0
1319,-0.8753,0.6797,0.0103,0.0013,0.0179,0.0033,0.98,0.64,-76.97,0,4.054,0.147,0.208,0.104,0.011,0.014,1.001,0.000,0.000,0.000,0.0100,10,-2,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.9330,0.2180,1.3860,0.4080,2.6850,0
1420,-0.8680,0.6771,0.0099,0.0364,0.0032,0.0018,0.76,0.61,-76.61,0,4.059,-0.226,-0.107,-0.263,0.011,0.011,1.001,0.000,0.000,0.000,0.0070,-20,5,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.9330,0.2180,1.3920,0.4110,2.6900,0
1521,-0.8728,0.6766,0.0104,0.0032,0.0001,0.0039,0.71,0.69,-76.26,0,4.059,0.020,-0.105,-0.003,0.012,0.013,1.001,0.000,0.000,0.000,0.0070,-2,0,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.9360,0.2200,1.3920,0.4110,2.6900,0
1572,-0.8713,0.6772,0.0081,0.0053,0.0015,-0.0070,0.89,0.64,-75.91,0,4.054,0.387,0.008,-0.151,0.011,0.014,1.001,0.000,0.000,0.000,0.0080,-4,-1,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.9360,0.2200,1.3870,0.4080,2.6920,0
1623,-0.8762,0.6747,0.0078,-0.0236,-0.0114,-0.0070,1.22,0.68,-75.56,0,4.054,0.053,0.058,0.275,0.009,0.013,1.000,0.000,0.000,0.000,0.0100,0,0,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.9290,0.2170,1.3870,0.4080,2.6920,0
1675,-0.8798,0.6743,0.0086,-0.0378,-0.0122,-0.0006,1.17,0.63,-75.21,0,4.059,0.333,-0.112,-0.057,0.011,0.011,1.001,0.000,0.000,0.000,0.0090,2,0,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.9290,0.2170,1.3900,0.4100,2.6970,0
1726,-0.8796,0.6746,0.0087,-0.0315,-0.0092,0.0003,1.13,0.64,-74.86,0,4.054,0.262,-0.457,-0.063,0.012,0.012,1.000,0.000,0.000,0.000,0.0080,-4,-2,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.9370,0.2210,1.3900,0.4100,2.6970,0
1777,-0.8799,0.6738,0.0086,-0.0283,-0.0116,-0.0002,1.03,0.65,-74.51,0,4.054,0.032,0.401,0.067,0.012,0.013,1.000,0.000,0.000,0.000,0.0050,-9,-1,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.9370,0.2210,1.3870,0.4080,2.6990,0
1828,-0.8722,0.6767,0.0087,0.0145,0.0053,0.0007,0.63,0.64,-74.17,0,4.059,0.093,-0.349,-0.063,0.009,0.014,1.000,0.000,0.000,0.000,0.0090,-5,5,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.9260,0.2150,1.3870,0.4080,2.6990,0
1879,-0.8646,0.6768,0.0075,0.0474,0.0051,-0.0032,0.47,0.63,-73.83,0,4.054,0.206,-0.051,0.105,0.012,0.013,1.000,0.000,0.000,0.000,0.0070,5,-4,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.9260,0.2150,1.4030,0.4080,2.6960,0
1930,-0.8617,0.6782,0.0074,0.0528,0.0105,-0.0030,0.57,0.66,-73.48,0,4.054,-0.030,-0.097,0.049,0.010,0.012,1.000,0.000,0.000,0.000,0.0100,-8,-2,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.9370,0.2170,1.4030,0.4080,2.6960,0
1981,-0.8646,0.6775,0.0085,0.0284,0.0063,0.0037,0.63,0.68,-73.14,0,4.054,-0.258,0.146,0.026,0.011,0.014,1.003,0.000,0.000,0.000,0.0090,15,-7,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.9370,0.2170,1.3790,0.4140,2.6920,0
2032,-0.8630,0.6787,0.0087,0.0299,0.0120,0.0043,0.74,0.69,-72.79,0,4.054,0.131,-0.115,-0.008,0.013,0.011,0.999,0.000,0.000,0.000,0.0080,-1,0,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.9340,0.2190,1.3790,0.4140,2.6920,0
2083,-0.8645,0.6771,0.0087,0.0169,0.0021,0.0037,0.74,0.72,-72.45,0,4.054,0.114,-0.362,-0.020,0.010,0.013,1.001,0.000,0.000,0.000,0.0070,0,-5,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.9340,0.2190,1.3880,0.4140,2.6930,0
2134,-0.8647,0.6775,0.0090,0.0108,0.0042,0.0041,0.72,0.69,-72.11,0,4.054,0.258,-0.302,-0.110,0.011,0.012,1.002,0.000,0.000,0.000,0.0100,0,-4,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.9410,0.2170,1.3880,0.4140,2.6930,0
2185,-0.8643,0.6784,0.0089,0.0086,0.0084,0.0042,0.83,0.70,-71.78,0,4.054,0.130,-0.202,-0.014,0.010,0.015,1.001,0.000,0.000,0.000,0.0080,2,0,0.00,0.00,0.00,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,0.00,0.00,0.9410,0.2170,1.3980,0.4060,2.6900,0
